compound,formula,mw,pka,solubility_mg_ml,class
Serotonin,C9H25N4O10,992.75,N/A,236.089,Amide
Adrenaline,C14H27N2O0,59.96,12.22,420.276,Nucleotide
Dopamine,C1H28N1O9,529.97,12.43,642.356,Lipid
Dopamine,C5H7N4O10,655.77,2.88,815.992,Nucleotide
Serotonin,C5H12N5O6,275.78,9.04,685.851,Lipid
Adenosine triphosphate,C1H11N1O1,112.15,13.48,86.722,Alkaloid
Urea,C14H31N5O4,119.02,4.39,854.882,Amide
Dopamine,C9H21N2O3,249.3,N/A,911.189,Hormone
Cholesterol,C12H21N3O0,923.2,2.07,503.958,Lipid
Dopamine,C13H39N4O4,752.96,2.19,902.337,Neurotransmitter
Glucose,C9H8N3O4,212.92,11.87,674.528,Organic Compound
Adenosine triphosphate,C14H8N3O6,425.92,10.11,895.586,Lipid
Urea,C15H37N4O10,892.07,11.44,347.044,Hormone
Cholesterol,C12H7N5O0,587.82,10.07,169.802,Neurotransmitter
Dopamine,C19H3N1O6,648.61,8.53,62.717,Organic Compound
Aspirin,C17H4N0O6,735.64,1.78,155.843,Carbohydrate
Aspirin,C1H1N0O4,794.59,9.26,804.975,Carbohydrate
Adenosine triphosphate,C7H7N1O3,840.99,10.16,771.4,Lipid
Adenosine triphosphate,C1H14N3O0,883.95,N/A,128.433,Lipid
Cholesterol,C8H11N4O2,81.35,11.89,755.69,Organic Compound
Adrenaline,C3H10N2O10,771.39,5.58,402.604,Organic Compound
Cholesterol,C5H8N4O9,832.33,5.56,686.185,Hormone
Adenosine triphosphate,C5H23N4O6,601.56,N/A,484.305,Nucleotide
Cholesterol,C15H31N2O9,251.23,5.21,245.857,Carbohydrate
Aspirin,C11H1N0O6,554.81,N/A,430.883,Neurotransmitter
Ethanol,C17H10N2O8,340.92,6.56,169.116,Hormone
Glucose,C5H39N1O6,997.64,4.03,529.245,Nucleotide
Urea,C6H20N4O5,806.95,4.67,484.041,Alkaloid
Adenosine triphosphate,C5H39N0O5,766.27,4.59,120.671,Lipid
Adenosine triphosphate,C19H30N2O1,195.18,N/A,1.084,Nucleotide
Adrenaline,C20H19N4O7,59.89,4.61,694.097,Neurotransmitter
Dopamine,C11H1N5O8,972.64,3.65,639.644,Neurotransmitter
Ethanol,C11H6N5O5,815.35,N/A,562.578,Carbohydrate
Adenosine triphosphate,C9H12N2O5,871.47,6.62,189.319,Carbohydrate
