compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C7H18N0O7,911.66,5.24,241.247,Neurotransmitter
Dopamine,C9H6N4O2,208.56,8.62,758.607,Alcohol
Glucose,C8H10N1O10,541.76,8.73,553.506,Carbohydrate
Aspirin,C9H4N5O5,899.91,5.22,829.209,Nucleotide
Adrenaline,C2H9N1O3,142.32,5.29,291.939,Nucleotide
Urea,C20H22N1O3,870.49,N/A,999.799,Organic Compound
Cholesterol,C12H5N3O6,977.58,5.58,691.209,Alcohol
Dopamine,C1H37N1O6,133.89,9.22,220.026,Carbohydrate
Dopamine,C3H25N5O5,640.7,3.45,325.833,Hormone
Serotonin,C4H18N3O10,276.21,2.92,657.923,Alcohol
Urea,C7H5N4O10,781.49,8.2,984.016,Lipid
Glucose,C7H29N0O2,499.03,N/A,394.353,Lipid
Cholesterol,C18H13N2O10,306.69,N/A,774.141,Neurotransmitter
Cholesterol,C20H15N2O7,122.59,N/A,959.522,Hormone
Ethanol,C3H20N5O1,229.35,8.58,940.157,Amide
Caffeine,C3H11N2O0,97.91,N/A,439.232,Nucleotide
Cholesterol,C17H22N0O8,670.37,2.13,369.534,Amide
Urea,C18H29N5O5,769.54,7.52,165.428,Carbohydrate
Ethanol,C5H6N5O3,872.15,N/A,527.031,Alkaloid
Adrenaline,C20H17N1O3,422.31,N/A,738.266,Amide
Adrenaline,C1H22N4O3,263.36,3.13,967.46,Amide
Serotonin,C5H16N1O2,654.43,12.36,454.34,Alcohol
Serotonin,C20H5N1O9,952.55,8.04,147.564,Alkaloid
Urea,C4H23N2O5,966.96,N/A,167.335,Hormone
Serotonin,C12H7N2O1,512.36,8.9,572.172,Hormone
Dopamine,C9H31N4O1,70.54,10.37,813.858,Amide
Ethanol,C13H35N0O0,447.77,6.81,646.18,Amide
Adrenaline,C11H30N2O4,87.88,4.26,998.493,Alcohol
Ethanol,C2H14N2O1,898.09,11.45,951.045,Amide
Dopamine,C4H37N4O2,114.25,1.74,350.51,Lipid
Ethanol,C19H13N4O3,593.16,9.28,940.841,Lipid
Cholesterol,C18H19N3O5,635.94,8.03,630.967,Alcohol
Cholesterol,C20H24N3O5,781.59,6.39,513.725,Alcohol
Glucose,C1H35N1O10,113.35,3.79,377.548,Carbohydrate
Aspirin,C18H1N5O8,805.46,8.14,942.944,Organic Compound
Cholesterol,C3H6N0O0,591.76,12.69,182.213,Neurotransmitter
Cholesterol,C7H16N4O10,416.46,11.76,753.266,Carbohydrate
Adrenaline,C4H5N2O1,371.27,11.6,538.975,Alcohol
Adenosine triphosphate,C4H16N2O0,504.53,13.43,129.789,Neurotransmitter
Cholesterol,C7H12N2O7,262.11,4.61,283.434,Hormone
Serotonin,C19H33N5O0,505.41,N/A,42.646,Hormone
Glucose,C7H38N5O2,746.21,10.4,569.603,Carbohydrate
Adenosine triphosphate,C5H39N5O2,960.41,7.98,987.828,Hormone
Cholesterol,C13H33N5O5,73.05,4.41,32.127,Hormone
Aspirin,C20H16N0O6,990.13,6.33,59.529,Amide
Adenosine triphosphate,C15H5N1O2,83.77,N/A,323.585,Alcohol
Aspirin,C1H8N0O2,654.6,11.41,150.736,Neurotransmitter
Aspirin,C13H6N2O3,317.85,N/A,512.141,Amide
Ethanol,C1H33N4O9,671.57,13.66,787.358,Organic Compound
Urea,C17H38N4O5,631.18,N/A,956.138,Alcohol
Adenosine triphosphate,C10H39N0O3,691.03,6.87,387.383,Alkaloid
Adrenaline,C4H16N4O6,555.82,N/A,801.397,Alcohol
Caffeine,C7H14N5O5,763.77,4.13,52.002,Hormone
Dopamine,C12H15N2O6,229.61,N/A,54.912,Hormone
Ethanol,C8H32N4O0,644.46,6.11,849.229,Nucleotide
Serotonin,C20H6N4O8,731.18,10.83,0.113,Alcohol
Aspirin,C16H36N0O0,308.18,4.9,758.571,Amide
Urea,C17H14N1O9,86.9,10.72,537.238,Neurotransmitter
Serotonin,C19H23N3O8,860.36,11.2,570.167,Alkaloid
Urea,C9H9N4O3,891.45,N/A,339.912,Organic Compound
Aspirin,C12H8N2O3,975.76,N/A,741.316,Alkaloid
Glucose,C10H27N0O10,897.61,4.91,34.566,Hormone
Caffeine,C10H11N4O3,928.6,8.6,459.933,Carbohydrate
Cholesterol,C20H19N2O8,818.46,7.44,666.606,Carbohydrate
Adenosine triphosphate,C6H35N1O3,65.07,12.58,928.843,Organic Compound
Adrenaline,C15H8N3O7,610.85,13.84,50.983,Lipid
Ethanol,C2H25N0O10,240.94,N/A,298.504,Alcohol
Dopamine,C2H25N5O2,240.93,10.49,905.554,Alcohol
Adrenaline,C20H13N4O4,827.94,12.26,565.894,Amide
Ethanol,C18H31N5O1,288.24,N/A,956.204,Nucleotide
Adenosine triphosphate,C4H24N1O4,510.19,5.88,92.134,Alkaloid
Urea,C12H31N4O3,541.34,N/A,274.117,Carbohydrate
Adenosine triphosphate,C3H24N1O0,558.09,10.09,714.169,Alcohol
Serotonin,C14H16N2O8,542.46,5.51,996.483,Neurotransmitter
Adrenaline,C1H29N4O4,552.32,4.98,857.296,Lipid
Caffeine,C9H25N3O4,976.54,10.92,886.755,Carbohydrate
Adrenaline,C1H2N3O3,969.73,9.84,480.382,Amide
Cholesterol,C17H26N5O5,905.66,4.55,113.827,Organic Compound
Ethanol,C16H16N2O7,551.84,N/A,569.039,Lipid
Caffeine,C4H5N3O4,425.65,5.14,688.706,Alcohol
Serotonin,C20H25N3O0,775.3,1.12,759.37,Alcohol
Urea,C2H25N0O10,117.64,10.03,22.46,Nucleotide
Glucose,C18H12N1O10,354.31,7.64,55.006,Carbohydrate
Serotonin,C11H27N2O3,216.54,5.75,20.147,Lipid
Aspirin,C8H7N1O7,363.77,3.14,929.473,Organic Compound
Dopamine,C16H27N0O9,830.15,9.75,290.829,Lipid
Serotonin,C11H11N4O2,533.79,6.76,941.449,Alcohol
Cholesterol,C20H3N1O2,343.85,8.62,685.203,Carbohydrate
Caffeine,C3H16N0O4,116.0,N/A,901.772,Carbohydrate
Cholesterol,C8H37N3O1,544.98,4.62,651.277,Lipid
Serotonin,C10H3N2O4,94.28,3.1,157.895,Amide
Adenosine triphosphate,C3H7N2O3,121.03,11.13,475.748,Alkaloid
Glucose,C3H18N0O4,135.8,7.81,26.519,Nucleotide
Serotonin,C18H7N2O6,783.22,12.34,486.588,Amide
Ethanol,C20H28N5O3,85.38,11.09,310.983,Lipid
Ethanol,C16H3N5O7,269.42,4.87,128.354,Lipid
Ethanol,C12H17N4O10,799.63,2.53,258.205,Alkaloid
Cholesterol,C1H13N2O6,387.41,8.0,975.304,Amide
Aspirin,C14H35N5O8,709.21,5.09,398.588,Alcohol
Adenosine triphosphate,C17H5N0O0,991.84,8.66,729.562,Hormone
Glucose,C11H19N3O9,294.77,4.56,273.825,Alkaloid
Dopamine,C14H5N1O5,960.04,5.35,112.187,Alkaloid
Adrenaline,C17H24N2O1,383.2,N/A,679.006,Organic Compound
Dopamine,C11H23N1O6,377.96,N/A,895.119,Nucleotide
Serotonin,C5H19N2O7,473.9,10.29,701.24,Nucleotide
Caffeine,C3H21N5O2,566.09,11.36,594.785,Neurotransmitter
Adenosine triphosphate,C11H40N3O2,469.28,3.61,554.791,Organic Compound
Urea,C20H16N1O7,928.78,9.1,536.38,Neurotransmitter
Dopamine,C14H15N3O3,788.16,9.07,701.106,Alkaloid
Serotonin,C1H13N1O2,685.76,4.89,128.784,Neurotransmitter
