compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C5H11N3O4,615.58,12.51,338.524,Amide
Glucose,C18H13N3O0,63.37,10.83,145.26,Nucleotide
Glucose,C13H15N1O8,918.34,N/A,666.329,Organic Compound
Urea,C11H10N5O5,452.76,7.26,72.749,Carbohydrate
Cholesterol,C8H25N5O1,870.04,N/A,189.213,Alcohol
Ethanol,C15H28N5O7,377.93,4.83,13.379,Carbohydrate
Dopamine,C5H34N0O7,779.61,9.48,126.541,Nucleotide
Urea,C12H26N0O8,657.79,12.17,620.504,Organic Compound
Dopamine,C1H4N4O10,927.78,6.38,615.291,Organic Compound
Urea,C3H30N4O7,536.25,5.06,907.661,Organic Compound
Dopamine,C11H15N4O2,116.69,6.59,806.875,Nucleotide
Adrenaline,C19H1N4O2,132.73,N/A,651.293,Hormone
Adenosine triphosphate,C13H16N1O10,429.99,6.61,772.663,Nucleotide
Cholesterol,C16H19N0O5,356.48,N/A,253.615,Neurotransmitter
Adenosine triphosphate,C14H35N5O7,404.08,N/A,792.885,Nucleotide
Aspirin,C14H3N0O8,870.21,2.98,310.811,Hormone
Aspirin,C9H6N1O1,841.16,13.49,933.114,Hormone
Caffeine,C11H4N4O8,556.94,8.22,955.818,Nucleotide
Cholesterol,C1H37N1O7,165.91,4.05,319.426,Alcohol
Glucose,C17H13N0O5,290.66,1.64,492.439,Alkaloid
Dopamine,C4H15N5O3,779.99,9.98,583.194,Alcohol
Dopamine,C6H2N4O7,657.66,10.36,301.506,Lipid
Dopamine,C12H21N0O2,542.74,6.49,894.734,Neurotransmitter
Caffeine,C2H36N4O8,994.44,5.71,644.081,Lipid
Dopamine,C14H19N1O9,579.76,5.12,947.705,Nucleotide
Dopamine,C13H16N4O1,971.58,N/A,973.741,Hormone
Caffeine,C1H3N1O6,807.39,10.57,595.369,Nucleotide
Adenosine triphosphate,C5H16N3O5,974.71,4.76,574.341,Carbohydrate
Ethanol,C19H38N1O6,740.59,3.35,103.188,Amide
Serotonin,C13H2N3O3,740.71,3.7,557.4,Alkaloid
Cholesterol,C9H36N2O4,918.6,7.06,490.499,Alcohol
Dopamine,C2H17N3O6,284.66,8.44,160.528,Nucleotide
Urea,C14H30N5O10,371.05,13.06,324.915,Hormone
Urea,C8H2N4O8,155.0,1.29,276.301,Alkaloid
Urea,C11H26N2O9,597.59,5.3,664.76,Neurotransmitter
Adenosine triphosphate,C16H14N1O1,817.74,1.15,496.506,Lipid
Aspirin,C9H29N1O5,666.78,12.63,137.639,Lipid
Adenosine triphosphate,C17H18N0O1,756.36,13.46,398.351,Amide
Ethanol,C3H39N3O4,560.35,10.06,690.906,Nucleotide
Adenosine triphosphate,C2H22N0O7,344.65,11.21,114.114,Alcohol
Urea,C15H35N0O1,458.55,5.61,422.572,Alcohol
Caffeine,C11H34N0O0,113.18,2.95,661.443,Organic Compound
Aspirin,C17H18N5O4,146.88,3.78,140.355,Neurotransmitter
Adrenaline,C3H2N4O9,288.95,11.38,358.427,Nucleotide
Adrenaline,C9H27N0O0,197.57,N/A,693.56,Alcohol
Cholesterol,C8H6N3O3,641.11,11.94,655.684,Organic Compound
Adenosine triphosphate,C8H24N3O5,721.13,10.42,303.773,Carbohydrate
Glucose,C4H35N1O9,348.3,12.0,714.323,Nucleotide
Ethanol,C16H33N4O5,276.84,3.42,614.41,Nucleotide
Glucose,C19H9N3O1,253.55,N/A,360.255,Alkaloid
Aspirin,C17H26N3O0,222.26,11.69,516.396,Lipid
Glucose,C9H7N3O8,764.28,1.1,540.275,Alkaloid
Adenosine triphosphate,C1H5N0O1,866.09,11.49,209.231,Hormone
Caffeine,C14H14N3O8,404.64,7.83,778.796,Amide
Glucose,C20H17N5O10,919.04,12.49,610.39,Alkaloid
Caffeine,C16H38N3O9,100.53,N/A,471.305,Lipid
Adenosine triphosphate,C3H39N3O0,732.73,N/A,382.937,Lipid
Cholesterol,C13H20N5O7,624.76,3.0,410.818,Organic Compound
Aspirin,C17H25N4O4,476.64,N/A,647.09,Amide
Aspirin,C13H30N0O4,536.22,N/A,280.965,Nucleotide
Ethanol,C12H3N2O5,135.86,5.93,440.13,Nucleotide
Urea,C20H38N2O6,484.7,N/A,519.525,Carbohydrate
Cholesterol,C8H5N5O0,409.56,10.74,315.299,Alkaloid
Caffeine,C10H38N5O8,644.34,N/A,719.903,Hormone
Adrenaline,C16H7N5O1,736.71,9.07,85.638,Nucleotide
Serotonin,C17H36N5O7,104.2,7.2,932.0,Alcohol
Urea,C12H9N2O8,418.13,9.89,38.346,Hormone
Glucose,C9H24N5O6,977.8,10.42,63.778,Organic Compound
Cholesterol,C3H5N0O6,876.93,7.27,112.786,Hormone
Urea,C16H23N3O7,760.05,6.36,614.563,Alkaloid
Urea,C9H17N1O6,647.18,N/A,559.51,Hormone
Ethanol,C9H8N0O2,768.6,11.63,162.039,Organic Compound
Urea,C16H36N0O5,975.22,4.88,138.753,Hormone
Glucose,C6H26N3O4,908.24,4.72,184.331,Alcohol
Caffeine,C7H37N3O3,83.72,6.62,729.581,Amide
Urea,C13H18N1O6,936.04,6.13,21.192,Alkaloid
Glucose,C14H35N1O9,266.54,N/A,535.165,Carbohydrate
Cholesterol,C5H24N5O10,783.19,11.78,329.921,Hormone
Urea,C3H22N5O10,960.58,11.42,772.488,Amide
Ethanol,C18H25N3O5,842.61,10.78,34.293,Amide
Adenosine triphosphate,C7H12N4O8,650.61,11.74,1.969,Hormone
Urea,C18H4N3O8,485.73,5.85,758.813,Nucleotide
Aspirin,C19H6N2O5,80.09,5.85,611.639,Alcohol
Dopamine,C19H9N1O1,953.35,7.09,922.701,Alcohol
Ethanol,C14H30N2O0,729.25,N/A,662.88,Alkaloid
Ethanol,C5H30N1O3,954.96,6.55,732.069,Nucleotide
Ethanol,C16H17N2O6,597.11,8.23,134.822,Alcohol
Aspirin,C20H18N1O8,528.82,N/A,386.411,Lipid
Cholesterol,C16H21N4O0,406.67,6.75,521.194,Carbohydrate
Adenosine triphosphate,C17H13N4O1,365.31,8.0,261.448,Nucleotide
Caffeine,C17H8N1O2,154.05,8.57,852.717,Alcohol
Caffeine,C20H32N1O5,866.95,7.45,22.316,Nucleotide
Aspirin,C11H39N4O8,459.69,N/A,356.944,Lipid
Urea,C9H24N0O10,822.03,1.65,913.544,Alcohol
Adrenaline,C2H40N2O5,835.17,3.18,514.671,Alkaloid
Caffeine,C15H30N1O1,519.73,3.98,615.536,Amide
Ethanol,C14H16N1O7,60.36,8.45,361.768,Lipid
Serotonin,C19H34N5O1,321.38,N/A,846.914,Carbohydrate
Glucose,C4H6N0O1,990.63,N/A,499.04,Nucleotide
Glucose,C17H21N3O1,871.36,N/A,635.102,Neurotransmitter
Dopamine,C16H28N1O7,774.01,6.77,259.12,Organic Compound
Urea,C20H23N1O9,248.45,9.18,924.692,Amide
Dopamine,C11H1N5O0,795.04,4.83,827.518,Lipid
Urea,C11H40N4O8,721.24,N/A,30.576,Organic Compound
Serotonin,C16H30N0O7,572.29,9.77,982.821,Carbohydrate
Cholesterol,C11H17N4O3,960.81,N/A,9.173,Nucleotide
Urea,C10H21N5O0,169.55,4.0,363.979,Carbohydrate
Ethanol,C4H37N0O3,363.72,4.95,253.116,Organic Compound
Aspirin,C4H22N4O2,185.4,5.51,810.829,Organic Compound
Caffeine,C5H34N1O2,228.57,N/A,341.053,Carbohydrate
Caffeine,C12H13N5O0,846.04,11.51,149.096,Organic Compound
Cholesterol,C1H33N3O5,560.98,1.92,305.773,Alcohol
Dopamine,C7H18N5O5,591.54,12.53,258.408,Amide
Caffeine,C6H31N5O4,51.44,8.39,278.704,Organic Compound
Serotonin,C7H18N5O9,441.78,10.9,499.963,Organic Compound
Dopamine,C16H35N3O6,254.9,10.61,951.993,Lipid
Adenosine triphosphate,C3H35N4O10,943.15,4.15,705.541,Carbohydrate
Urea,C18H24N0O9,948.74,2.97,456.641,Alcohol
Dopamine,C11H11N2O8,369.59,N/A,330.811,Hormone
Adenosine triphosphate,C9H30N4O2,252.51,2.26,442.646,Organic Compound
Urea,C16H25N3O1,984.65,5.31,134.058,Alcohol
Urea,C17H34N4O0,648.57,14.0,229.114,Neurotransmitter
Glucose,C2H34N5O10,169.41,6.29,218.968,Carbohydrate
Ethanol,C2H14N4O4,746.85,11.58,545.788,Carbohydrate
Caffeine,C9H20N4O7,117.19,10.95,876.297,Alcohol
Glucose,C6H19N4O1,488.7,6.55,114.283,Alcohol
Adrenaline,C17H25N3O6,895.34,11.36,446.986,Organic Compound
Urea,C13H11N1O6,967.8,8.77,113.241,Alcohol
Aspirin,C7H36N3O9,578.66,N/A,373.006,Hormone
Adrenaline,C5H16N1O6,555.29,8.03,161.826,Hormone
Adenosine triphosphate,C20H10N1O0,242.96,1.12,714.524,Organic Compound
Urea,C18H18N2O6,950.43,2.19,643.012,Amide
Serotonin,C17H36N1O4,246.87,N/A,734.082,Neurotransmitter
Adenosine triphosphate,C17H21N4O4,513.8,5.51,437.292,Lipid
Dopamine,C12H40N1O10,802.94,13.66,648.542,Amide
Dopamine,C14H22N5O8,381.56,11.76,631.953,Carbohydrate
Adenosine triphosphate,C3H22N0O10,443.05,9.07,579.498,Alkaloid
Dopamine,C3H31N0O3,708.74,11.2,66.509,Amide
Caffeine,C14H15N1O0,194.77,13.13,658.932,Hormone
Serotonin,C2H10N3O6,452.19,7.98,493.326,Organic Compound
Dopamine,C13H19N2O1,986.73,N/A,552.516,Carbohydrate
Glucose,C5H35N4O1,597.1,12.98,166.247,Lipid
Cholesterol,C13H1N5O4,789.02,3.32,590.035,Carbohydrate
Aspirin,C8H32N5O6,295.42,N/A,293.505,Lipid
Ethanol,C6H25N4O3,159.49,3.94,832.506,Neurotransmitter
Dopamine,C8H27N5O9,158.5,2.37,553.727,Hormone
Adrenaline,C7H39N4O1,891.75,N/A,478.94,Alcohol
Aspirin,C6H5N3O8,444.04,N/A,225.901,Lipid
Glucose,C17H24N1O1,779.47,12.66,642.831,Lipid
Cholesterol,C14H15N4O8,812.76,10.56,821.935,Alkaloid
Aspirin,C14H30N5O8,166.33,9.86,864.554,Hormone
Ethanol,C9H34N2O7,127.84,2.25,100.005,Carbohydrate
Ethanol,C2H27N4O3,973.91,10.28,664.222,Carbohydrate
Caffeine,C3H39N0O1,736.58,13.96,411.375,Carbohydrate
Glucose,C17H14N4O4,218.77,7.67,518.875,Amide
Dopamine,C4H1N2O2,585.42,1.99,71.237,Amide
Aspirin,C18H39N3O6,776.89,N/A,470.572,Alcohol
Ethanol,C4H28N4O3,753.98,7.95,595.316,Neurotransmitter
Urea,C19H19N0O10,599.08,1.65,998.209,Amide
Adrenaline,C17H25N1O1,188.98,8.45,268.711,Amide
Caffeine,C18H35N1O8,589.77,7.53,962.707,Lipid
Dopamine,C14H10N1O9,398.59,7.88,163.654,Alcohol
Serotonin,C12H24N0O3,843.29,13.11,278.719,Carbohydrate
Urea,C11H23N2O6,441.83,N/A,264.088,Neurotransmitter
Adrenaline,C9H24N2O9,832.53,10.37,938.872,Alkaloid
Adrenaline,C19H7N0O5,307.59,11.48,461.62,Alkaloid
Adrenaline,C4H26N0O2,258.91,1.52,873.786,Alcohol
Glucose,C1H6N0O8,744.55,5.37,175.006,Alkaloid
Adrenaline,C16H40N4O0,482.52,7.12,754.595,Alcohol
Cholesterol,C10H38N2O10,511.58,10.35,863.042,Carbohydrate
Ethanol,C8H24N0O7,623.8,1.07,921.317,Organic Compound
Adrenaline,C17H27N5O6,485.92,2.06,859.998,Lipid
Adrenaline,C9H23N2O9,198.51,N/A,294.938,Hormone
