compound,formula,mw,pka,solubility_mg_ml,class
Ethanol,C9H10N3O10,150.93,13.55,22.739,Alkaloid
Adenosine triphosphate,C7H7N3O5,538.05,11.23,902.931,Amide
Cholesterol,C15H19N3O10,356.55,9.14,397.873,Hormone
Adrenaline,C5H37N1O9,163.65,9.35,311.372,Neurotransmitter
Cholesterol,C15H21N2O8,729.72,4.45,853.677,Organic Compound
Ethanol,C12H30N2O3,503.82,8.26,816.749,Lipid
Dopamine,C1H37N4O0,335.76,2.72,492.706,Amide
Cholesterol,C1H21N5O0,787.55,N/A,435.877,Alcohol
Dopamine,C6H32N4O0,506.78,1.93,382.54,Organic Compound
Caffeine,C14H37N1O9,418.46,11.41,225.99,Alcohol
Adrenaline,C17H19N3O3,314.05,6.84,718.092,Neurotransmitter
Adenosine triphosphate,C13H17N2O7,96.97,13.54,42.085,Nucleotide
Caffeine,C7H24N2O8,643.34,3.04,205.561,Hormone
Adrenaline,C5H24N1O3,774.2,5.61,288.138,Alcohol
Aspirin,C9H34N5O7,918.08,13.06,307.0,Neurotransmitter
Caffeine,C11H7N4O5,687.77,7.75,787.737,Hormone
Cholesterol,C16H27N1O9,196.47,2.06,202.917,Nucleotide
Glucose,C8H9N5O1,698.47,8.85,827.305,Alkaloid
Glucose,C5H29N0O2,322.55,6.74,566.263,Carbohydrate
Adenosine triphosphate,C1H25N1O9,862.64,N/A,569.597,Neurotransmitter
Cholesterol,C9H18N0O2,470.53,N/A,872.32,Neurotransmitter
Glucose,C3H27N3O2,384.08,7.25,740.822,Amide
Ethanol,C13H35N0O9,721.2,6.44,776.446,Organic Compound
Aspirin,C10H32N4O5,86.05,N/A,634.232,Neurotransmitter
Adrenaline,C5H38N4O1,905.75,10.01,245.905,Hormone
Ethanol,C8H19N1O5,538.38,4.52,179.191,Nucleotide
Adenosine triphosphate,C2H7N4O5,997.91,9.37,293.56,Neurotransmitter
Cholesterol,C2H11N3O4,384.76,12.41,172.446,Nucleotide
Adenosine triphosphate,C13H31N1O3,909.84,6.11,311.07,Carbohydrate
Dopamine,C7H1N3O9,93.87,6.52,874.018,Neurotransmitter
Ethanol,C11H12N0O2,842.57,11.33,265.364,Lipid
Caffeine,C14H33N1O5,962.06,4.03,640.342,Alcohol
Serotonin,C7H14N0O10,701.15,8.19,631.149,Alkaloid
Ethanol,C11H3N3O3,574.91,N/A,945.443,Nucleotide
Aspirin,C1H1N5O6,779.01,3.42,392.731,Organic Compound
Serotonin,C13H23N2O7,285.11,6.97,665.044,Organic Compound
Serotonin,C7H13N5O2,408.37,8.68,373.777,Amide
Urea,C13H3N4O6,323.57,2.35,130.364,Lipid
