compound,formula,mw,pka,solubility_mg_ml,class
Cholesterol,C15H32N1O2,456.88,12.06,538.258,Organic Compound
Adenosine triphosphate,C17H32N0O9,489.09,6.83,161.922,Neurotransmitter
Serotonin,C10H25N5O0,513.67,N/A,816.648,Hormone
Serotonin,C18H21N2O8,510.31,4.99,999.524,Hormone
Caffeine,C20H32N0O0,975.91,N/A,989.481,Nucleotide
Aspirin,C1H23N1O5,941.53,8.89,18.43,Alkaloid
Serotonin,C16H29N5O1,392.43,3.48,698.683,Alkaloid
Glucose,C10H11N5O9,630.85,6.82,848.75,Lipid
Aspirin,C4H29N5O9,898.9,12.16,999.699,Carbohydrate
Cholesterol,C11H13N0O3,726.55,2.21,817.562,Alcohol
Adrenaline,C14H11N5O2,371.67,N/A,716.442,Alcohol
Urea,C11H31N5O6,609.09,10.84,287.469,Carbohydrate
Urea,C16H12N2O5,854.21,10.32,66.728,Lipid
Dopamine,C5H22N4O2,349.73,N/A,28.83,Alkaloid
Glucose,C3H4N1O10,399.93,10.78,915.15,Lipid
Cholesterol,C3H23N4O4,93.65,N/A,246.743,Amide
Caffeine,C17H11N1O7,654.15,13.19,936.665,Carbohydrate
Dopamine,C15H32N1O7,779.42,N/A,327.651,Nucleotide
Adrenaline,C13H18N2O5,123.91,5.07,828.995,Lipid
Adenosine triphosphate,C2H38N4O0,214.05,4.76,49.077,Neurotransmitter
Ethanol,C9H10N5O7,778.46,8.78,498.676,Amide
Urea,C13H28N4O7,600.9,2.83,851.755,Lipid
Ethanol,C19H3N0O10,609.22,N/A,598.814,Amide
Caffeine,C17H26N5O4,404.8,5.14,999.665,Alkaloid
Caffeine,C7H34N5O9,898.43,12.72,648.339,Amide
Adrenaline,C8H31N2O1,880.2,6.48,862.187,Lipid
Aspirin,C16H36N0O0,973.4,N/A,580.425,Nucleotide
Dopamine,C11H28N5O8,526.1,5.5,734.676,Hormone
Aspirin,C17H4N4O0,521.31,2.0,914.976,Neurotransmitter
Ethanol,C12H14N4O2,573.14,3.08,110.996,Alkaloid
Adenosine triphosphate,C3H1N1O10,903.47,N/A,870.255,Alkaloid
Cholesterol,C10H34N4O7,751.69,N/A,590.996,Alkaloid
Dopamine,C14H30N4O10,933.51,13.47,447.614,Organic Compound
Serotonin,C11H13N3O9,412.37,11.66,181.634,Alcohol
Caffeine,C13H31N3O7,458.52,N/A,589.442,Amide
