compound,formula,mw,pka,solubility_mg_ml,class
Urea,C14H11N4O3,677.13,1.11,76.019,Organic Compound
Adrenaline,C14H27N4O0,358.38,7.1,331.662,Organic Compound
Caffeine,C11H17N5O2,978.47,1.96,331.305,Alcohol
Urea,C16H25N2O4,568.58,3.92,381.305,Neurotransmitter
Dopamine,C11H32N1O2,230.34,12.87,949.512,Alcohol
Adrenaline,C11H32N1O4,627.7,3.35,99.63,Alkaloid
Urea,C6H29N0O6,941.73,9.86,127.498,Neurotransmitter
Adenosine triphosphate,C19H9N0O9,346.56,10.34,375.028,Nucleotide
Adrenaline,C13H31N3O9,695.7,7.96,973.486,Organic Compound
Aspirin,C13H1N5O4,786.78,11.17,769.148,Alkaloid
Cholesterol,C10H39N4O0,724.86,N/A,720.589,Alcohol
Dopamine,C20H22N4O3,835.81,9.0,931.851,Carbohydrate
Dopamine,C20H34N1O8,84.91,8.75,76.806,Amide
Adrenaline,C5H14N3O10,630.39,6.71,418.97,Organic Compound
Ethanol,C14H17N5O3,476.9,10.9,676.503,Lipid
Urea,C15H5N2O1,569.13,12.42,61.18,Alcohol
Cholesterol,C4H14N3O6,318.68,N/A,108.686,Neurotransmitter
Glucose,C3H36N2O2,297.91,2.81,893.958,Carbohydrate
Serotonin,C6H4N5O6,591.07,4.62,854.372,Alkaloid
Cholesterol,C1H11N5O8,349.78,1.71,833.704,Alcohol
Adenosine triphosphate,C18H14N0O8,370.89,11.46,906.639,Alkaloid
Caffeine,C11H36N0O1,555.17,3.42,323.457,Alcohol
Ethanol,C11H13N5O2,751.79,12.68,75.157,Hormone
Dopamine,C2H5N4O8,320.72,N/A,769.558,Nucleotide
Ethanol,C8H9N2O3,226.89,N/A,640.437,Alcohol
Serotonin,C15H24N2O10,469.76,5.4,667.963,Amide
Dopamine,C9H37N0O1,816.26,N/A,456.057,Neurotransmitter
Ethanol,C17H40N4O0,483.93,13.83,748.496,Alkaloid
Dopamine,C8H37N1O9,340.48,2.36,37.242,Organic Compound
Caffeine,C20H6N4O6,66.27,11.37,885.081,Lipid
