compound,formula,mw,pka,solubility_mg_ml,class
Cholesterol,C15H23N4O8,912.3,11.72,610.015,Organic Compound
Dopamine,C7H18N2O9,983.13,6.51,421.12,Alcohol
Glucose,C16H30N4O1,500.95,13.88,919.417,Carbohydrate
Adenosine triphosphate,C17H28N5O2,210.59,2.23,850.707,Hormone
Urea,C3H16N2O9,242.82,12.16,699.12,Nucleotide
Ethanol,C8H40N1O5,246.23,12.56,800.287,Nucleotide
Caffeine,C9H33N2O10,579.06,10.25,824.816,Amide
Aspirin,C13H13N2O8,457.4,1.75,156.808,Hormone
Dopamine,C6H1N1O0,987.18,11.7,374.704,Nucleotide
Dopamine,C8H33N1O9,562.23,2.44,544.962,Organic Compound
Caffeine,C15H12N4O8,879.24,1.44,285.308,Amide
Dopamine,C15H19N1O10,247.22,8.35,256.909,Nucleotide
Adenosine triphosphate,C1H38N4O1,496.69,N/A,337.804,Amide
Adrenaline,C10H35N1O1,961.26,2.1,419.575,Nucleotide
Glucose,C12H11N0O5,243.54,6.56,44.406,Hormone
Glucose,C6H6N0O1,811.42,8.08,612.833,Nucleotide
Caffeine,C3H32N2O3,86.92,1.12,794.75,Amide
Aspirin,C17H39N0O3,837.19,7.1,358.206,Neurotransmitter
Dopamine,C19H6N0O3,423.3,8.25,111.579,Carbohydrate
Adrenaline,C4H15N0O5,972.98,6.2,93.289,Alcohol
Adenosine triphosphate,C4H28N0O7,189.97,13.18,696.187,Hormone
Urea,C5H23N4O2,785.53,N/A,586.078,Lipid
Serotonin,C14H26N1O8,773.32,10.24,668.127,Alcohol
Serotonin,C12H12N5O5,341.69,N/A,229.749,Carbohydrate
Aspirin,C7H19N0O2,994.22,N/A,621.805,Hormone
Adrenaline,C17H2N2O4,459.84,N/A,813.899,Amide
Serotonin,C18H9N5O9,866.77,9.17,112.586,Alkaloid
Ethanol,C9H10N1O10,128.48,N/A,11.968,Nucleotide
Cholesterol,C20H17N3O0,659.17,2.7,658.456,Nucleotide
Adrenaline,C1H36N1O5,862.7,8.41,709.788,Neurotransmitter
Ethanol,C6H9N5O7,465.08,4.31,974.675,Alkaloid
Ethanol,C3H27N4O1,802.06,8.32,141.673,Alkaloid
Serotonin,C15H26N4O7,961.51,9.55,168.803,Alcohol
Caffeine,C14H24N0O7,927.8,13.33,890.074,Carbohydrate
Glucose,C9H10N5O3,682.45,5.21,560.901,Lipid
Glucose,C10H23N5O4,348.75,11.81,667.347,Organic Compound
Caffeine,C8H3N2O3,333.14,N/A,288.337,Hormone
Adrenaline,C3H39N2O1,817.27,10.57,371.508,Nucleotide
Aspirin,C20H11N1O9,282.5,10.41,927.959,Alcohol
Caffeine,C5H22N4O1,616.49,11.9,29.69,Alkaloid
Caffeine,C1H34N3O1,763.78,7.91,425.998,Nucleotide
Adenosine triphosphate,C20H3N2O6,157.09,2.42,971.967,Neurotransmitter
Dopamine,C4H18N4O7,653.9,N/A,433.331,Nucleotide
Glucose,C16H38N3O5,369.5,N/A,780.006,Alcohol
Caffeine,C9H19N4O4,581.86,N/A,327.145,Amide
Cholesterol,C16H36N3O5,74.57,N/A,633.465,Organic Compound
Caffeine,C11H34N4O10,697.84,9.86,625.808,Hormone
Urea,C14H7N2O1,941.84,5.35,573.302,Alcohol
Glucose,C17H21N3O2,432.35,N/A,430.289,Alcohol
Adrenaline,C17H8N0O7,256.06,5.87,506.902,Lipid
Adrenaline,C4H29N2O1,778.65,7.79,158.268,Lipid
Adrenaline,C12H20N2O10,71.25,1.97,908.759,Nucleotide
Glucose,C2H21N5O4,469.5,1.7,410.901,Lipid
Adenosine triphosphate,C6H9N5O5,104.68,5.75,258.922,Alkaloid
Dopamine,C13H30N0O7,337.69,3.91,375.194,Lipid
Dopamine,C5H23N1O5,429.12,8.07,346.74,Alcohol
Aspirin,C19H8N1O6,105.78,N/A,840.161,Hormone
Adrenaline,C11H5N5O2,93.4,13.56,908.088,Alkaloid
Adenosine triphosphate,C9H38N1O5,176.58,4.18,745.35,Carbohydrate
Urea,C8H18N4O10,920.02,5.24,423.986,Neurotransmitter
Ethanol,C18H4N1O0,373.09,11.42,725.061,Carbohydrate
Cholesterol,C6H13N4O6,699.22,10.72,658.304,Lipid
Caffeine,C11H14N5O2,610.24,3.72,80.409,Carbohydrate
Adenosine triphosphate,C2H5N1O4,991.07,4.05,384.111,Nucleotide
Adenosine triphosphate,C1H14N1O1,450.54,4.35,938.152,Nucleotide
Glucose,C11H21N1O7,861.31,4.83,139.091,Lipid
Aspirin,C4H2N4O7,120.62,N/A,303.03,Lipid
Adrenaline,C20H29N2O8,648.44,3.37,440.672,Amide
Adenosine triphosphate,C5H16N1O6,342.36,N/A,437.275,Amide
Ethanol,C19H14N0O3,951.92,1.17,458.135,Carbohydrate
Ethanol,C4H12N3O4,382.85,4.35,39.458,Hormone
Urea,C11H21N3O7,273.71,N/A,175.982,Carbohydrate
Caffeine,C1H23N3O0,558.34,13.89,160.686,Alkaloid
Adrenaline,C19H22N3O1,888.88,5.53,742.625,Amide
Adrenaline,C15H14N3O4,681.58,4.62,540.231,Alkaloid
Serotonin,C6H15N5O9,332.74,N/A,550.873,Organic Compound
Caffeine,C17H7N3O1,868.2,4.82,317.856,Alcohol
Cholesterol,C19H35N2O2,218.03,13.84,789.909,Alcohol
Dopamine,C7H9N5O2,854.9,11.0,261.48,Alkaloid
Glucose,C16H20N5O2,489.77,10.37,382.179,Lipid
Cholesterol,C17H16N1O6,406.18,N/A,766.311,Amide
Urea,C1H23N0O7,612.72,12.52,390.367,Alkaloid
Aspirin,C18H4N2O10,517.15,7.28,742.687,Amide
Aspirin,C20H27N5O4,553.29,N/A,844.338,Alkaloid
Glucose,C8H35N1O10,117.18,6.42,949.87,Lipid
Adenosine triphosphate,C12H12N1O6,353.8,2.39,948.875,Lipid
Glucose,C15H17N1O0,388.73,2.57,33.551,Alcohol
Dopamine,C1H39N4O3,241.59,5.83,264.495,Organic Compound
Ethanol,C2H16N2O1,497.47,12.27,119.278,Organic Compound
Urea,C15H24N1O4,731.32,9.21,350.626,Carbohydrate
Urea,C4H32N0O1,121.56,11.71,216.749,Amide
Ethanol,C9H1N0O5,798.85,3.28,530.065,Neurotransmitter
Aspirin,C11H25N2O1,103.41,1.68,954.898,Alcohol
Cholesterol,C13H30N1O8,270.28,5.63,599.556,Hormone
Ethanol,C4H34N4O9,887.76,1.82,630.551,Hormone
Cholesterol,C13H39N2O9,466.54,7.04,186.378,Carbohydrate
Adrenaline,C10H33N1O2,998.85,11.41,207.388,Organic Compound
Aspirin,C2H31N2O9,260.62,N/A,754.482,Alkaloid
Caffeine,C14H27N5O4,70.59,12.14,733.237,Neurotransmitter
Glucose,C18H17N5O4,750.68,3.31,130.64,Organic Compound
