compound,formula,mw,pka,solubility_mg_ml,class
Adrenaline,C17H23N5O3,490.94,10.86,522.182,Neurotransmitter
Adenosine triphosphate,C5H17N2O4,163.26,12.68,308.839,Hormone
Dopamine,C11H24N1O6,117.67,2.35,932.746,Amide
Cholesterol,C20H4N1O4,73.92,N/A,271.838,Amide
Urea,C9H11N5O4,63.09,11.13,366.14,Organic Compound
Serotonin,C10H39N1O9,167.76,12.59,93.832,Carbohydrate
Glucose,C5H38N2O9,885.41,5.33,224.988,Neurotransmitter
Serotonin,C10H30N1O7,183.8,2.38,766.0,Lipid
Serotonin,C6H39N2O3,871.83,11.6,192.442,Organic Compound
Serotonin,C12H28N0O4,629.89,9.44,11.018,Amide
Dopamine,C10H12N3O8,118.59,N/A,379.749,Alkaloid
Adrenaline,C5H35N2O0,676.02,5.69,101.755,Nucleotide
Caffeine,C12H2N3O0,335.78,1.91,320.267,Alkaloid
Cholesterol,C11H24N1O9,721.03,2.34,54.043,Alcohol
Glucose,C15H30N4O10,576.65,5.19,804.69,Carbohydrate
Caffeine,C10H32N1O5,759.45,9.51,317.653,Lipid
Cholesterol,C18H37N3O4,812.96,N/A,237.604,Organic Compound
Glucose,C10H5N4O7,960.26,8.7,24.937,Alkaloid
Cholesterol,C6H1N3O6,547.27,3.46,179.846,Nucleotide
Aspirin,C5H1N0O8,534.51,N/A,172.676,Alkaloid
Aspirin,C19H37N3O10,393.6,6.96,383.745,Alkaloid
Adrenaline,C10H32N0O10,525.6,7.0,574.195,Amide
Glucose,C18H40N2O4,724.48,8.57,779.718,Hormone
Aspirin,C16H12N4O3,99.87,7.31,498.785,Alcohol
Serotonin,C5H31N3O4,606.27,5.62,629.875,Hormone
Ethanol,C5H14N5O8,909.52,10.54,700.647,Hormone
Caffeine,C19H12N5O6,876.86,1.54,118.123,Carbohydrate
Cholesterol,C13H38N0O1,791.49,10.07,643.221,Lipid
Aspirin,C1H22N1O5,539.49,N/A,237.335,Nucleotide
Caffeine,C15H32N3O10,319.55,N/A,410.213,Alcohol
Aspirin,C7H36N0O7,75.26,12.46,553.094,Organic Compound
Caffeine,C15H7N1O8,878.74,11.1,665.379,Organic Compound
Aspirin,C2H9N5O6,306.45,5.27,323.291,Neurotransmitter
Cholesterol,C18H3N2O2,167.07,10.53,855.089,Organic Compound
Adenosine triphosphate,C15H33N4O10,179.47,5.62,266.264,Neurotransmitter
Adenosine triphosphate,C13H24N1O0,66.73,5.96,835.976,Neurotransmitter
Dopamine,C4H19N0O5,352.57,N/A,960.423,Alkaloid
Ethanol,C15H38N1O0,767.68,12.77,988.974,Neurotransmitter
Caffeine,C19H38N2O7,711.5,11.6,618.019,Hormone
Urea,C19H6N5O9,221.8,11.03,156.051,Neurotransmitter
Aspirin,C6H26N4O8,331.33,13.77,298.964,Amide
Caffeine,C9H3N3O1,443.44,5.15,98.153,Organic Compound
Adenosine triphosphate,C9H4N0O0,558.17,11.78,1.049,Nucleotide
Adrenaline,C3H6N0O5,958.08,12.42,883.105,Neurotransmitter
Cholesterol,C17H4N5O2,418.35,N/A,918.991,Alkaloid
Adenosine triphosphate,C2H40N1O6,214.71,3.16,204.16,Neurotransmitter
Urea,C19H3N1O4,578.73,8.46,759.555,Lipid
Adrenaline,C18H4N3O1,596.38,10.77,124.679,Lipid
Urea,C17H10N2O6,666.82,1.1,629.644,Carbohydrate
Glucose,C14H20N2O6,993.49,N/A,188.86,Lipid
Aspirin,C3H8N3O8,876.3,4.39,716.708,Lipid
Aspirin,C1H26N3O5,238.83,13.39,667.186,Hormone
Adenosine triphosphate,C1H18N1O5,746.79,9.53,256.749,Organic Compound
Adenosine triphosphate,C7H31N1O10,55.05,11.82,364.763,Lipid
Glucose,C16H27N2O3,262.52,N/A,786.834,Organic Compound
Adenosine triphosphate,C20H12N3O1,794.86,10.77,345.142,Alkaloid
Cholesterol,C4H33N4O6,111.63,12.87,466.828,Neurotransmitter
Ethanol,C7H24N3O8,358.32,11.57,396.03,Alcohol
Urea,C5H24N5O2,754.16,10.18,269.147,Alkaloid
Aspirin,C4H8N5O8,319.01,3.28,178.701,Hormone
Ethanol,C12H12N3O8,600.52,4.45,711.947,Lipid
Ethanol,C2H32N3O6,122.35,7.3,653.014,Nucleotide
Adenosine triphosphate,C18H36N3O3,764.29,11.77,307.908,Amide
Urea,C6H13N2O6,708.26,10.45,887.721,Carbohydrate
Dopamine,C8H11N0O10,425.47,N/A,227.511,Neurotransmitter
Adenosine triphosphate,C15H36N0O2,687.83,13.21,879.657,Amide
Adenosine triphosphate,C12H33N0O3,81.72,11.1,72.807,Alkaloid
Adrenaline,C7H25N5O6,694.59,12.47,393.551,Neurotransmitter
Dopamine,C9H13N4O9,871.96,11.01,71.977,Lipid
Serotonin,C13H4N1O8,346.69,10.46,595.177,Amide
Serotonin,C20H39N0O7,367.1,3.58,678.711,Nucleotide
Serotonin,C4H20N1O7,548.64,2.24,31.596,Alkaloid
Adenosine triphosphate,C4H6N1O4,595.66,N/A,670.049,Neurotransmitter
Dopamine,C4H18N4O2,324.14,10.65,857.76,Nucleotide
Dopamine,C17H19N4O7,411.44,N/A,852.547,Nucleotide
Serotonin,C1H12N1O7,398.12,14.0,666.817,Lipid
Serotonin,C17H6N3O2,131.65,6.49,750.098,Hormone
Urea,C19H24N0O8,274.85,5.97,570.965,Carbohydrate
Urea,C20H28N2O0,966.35,13.75,683.357,Carbohydrate
Adenosine triphosphate,C12H23N3O8,560.35,11.76,245.262,Alkaloid
Dopamine,C7H38N1O1,382.16,N/A,901.06,Hormone
Adrenaline,C12H27N1O6,912.7,N/A,936.758,Alkaloid
Cholesterol,C8H15N4O4,283.04,10.23,978.744,Nucleotide
Cholesterol,C15H10N1O9,697.18,N/A,988.627,Lipid
Glucose,C3H21N4O4,314.15,3.88,919.115,Amide
Glucose,C15H29N0O3,388.69,2.29,247.562,Alcohol
Aspirin,C19H10N5O5,60.53,7.94,548.553,Hormone
Glucose,C19H17N3O2,101.53,2.22,950.824,Alkaloid
Cholesterol,C18H9N3O6,114.78,13.64,547.512,Neurotransmitter
Urea,C17H4N2O10,546.79,8.64,684.289,Organic Compound
Dopamine,C19H4N4O6,651.27,N/A,128.953,Amide
Ethanol,C6H38N0O5,755.98,N/A,302.15,Organic Compound
Dopamine,C2H18N5O4,427.25,6.19,396.076,Neurotransmitter
Ethanol,C6H8N1O7,345.55,1.63,513.923,Organic Compound
Glucose,C4H30N0O4,749.04,10.89,405.344,Hormone
Dopamine,C2H33N3O7,457.57,11.47,915.188,Amide
Adenosine triphosphate,C13H9N3O4,102.34,2.25,516.159,Carbohydrate
Urea,C3H16N0O2,785.43,7.09,702.845,Lipid
Glucose,C2H7N1O5,676.37,11.92,372.291,Lipid
Serotonin,C14H27N4O8,614.17,N/A,976.189,Nucleotide
Serotonin,C11H36N1O4,946.96,12.85,244.902,Lipid
Dopamine,C8H20N3O5,916.4,2.99,144.738,Nucleotide
Caffeine,C2H4N5O8,675.95,1.62,151.155,Lipid
Glucose,C19H21N1O4,394.21,8.92,226.366,Alkaloid
Glucose,C14H40N3O8,629.91,9.8,791.867,Alkaloid
Ethanol,C16H18N1O10,942.73,7.23,972.513,Organic Compound
Serotonin,C9H3N3O9,139.25,N/A,406.753,Neurotransmitter
Serotonin,C19H22N4O2,229.04,9.27,895.581,Alkaloid
Adrenaline,C11H14N1O1,627.66,N/A,912.651,Neurotransmitter
Glucose,C4H16N2O3,285.94,N/A,36.242,Carbohydrate
Adrenaline,C12H8N1O1,458.78,N/A,20.814,Lipid
Adenosine triphosphate,C14H27N3O10,772.53,8.94,604.936,Alcohol
Adenosine triphosphate,C1H4N0O4,947.57,10.54,861.003,Neurotransmitter
Ethanol,C12H22N0O1,385.45,N/A,889.447,Alcohol
Adrenaline,C1H10N1O2,70.64,2.99,69.105,Amide
Glucose,C19H18N2O7,614.72,5.88,714.688,Organic Compound
Adrenaline,C4H11N1O7,527.05,N/A,244.415,Hormone
Ethanol,C8H13N4O4,339.8,N/A,549.771,Lipid
Aspirin,C1H33N1O10,693.43,2.96,232.021,Lipid
Caffeine,C12H12N1O9,264.24,8.27,575.211,Carbohydrate
Serotonin,C9H35N5O4,835.91,3.71,597.71,Hormone
Aspirin,C11H35N1O0,572.65,4.36,784.559,Alkaloid
Glucose,C7H17N1O8,901.96,3.03,259.696,Hormone
Cholesterol,C17H22N2O0,899.89,13.91,910.836,Amide
Caffeine,C4H29N4O8,90.82,1.62,518.977,Alcohol
Adenosine triphosphate,C15H14N0O4,74.02,3.34,328.858,Neurotransmitter
Ethanol,C3H18N5O2,444.55,3.78,126.91,Hormone
Adenosine triphosphate,C3H19N1O8,95.72,4.09,388.148,Nucleotide
Caffeine,C19H3N4O7,507.09,7.56,620.815,Alkaloid
Adrenaline,C8H32N3O5,336.02,8.91,505.199,Alkaloid
Adenosine triphosphate,C18H1N0O6,993.52,5.26,216.022,Alkaloid
Adrenaline,C13H5N0O8,573.25,N/A,106.812,Nucleotide
Urea,C18H36N4O10,950.59,N/A,171.037,Organic Compound
Dopamine,C20H15N4O8,387.72,6.72,191.642,Alcohol
Ethanol,C6H5N3O6,585.86,13.58,199.615,Lipid
Adrenaline,C5H37N4O8,898.03,11.83,658.07,Nucleotide
Ethanol,C8H37N0O0,524.75,1.62,423.617,Neurotransmitter
Urea,C3H34N4O4,770.17,8.06,847.691,Lipid
Aspirin,C17H39N0O8,525.2,7.81,161.646,Organic Compound
Adrenaline,C18H19N1O4,228.01,5.64,954.158,Neurotransmitter
Ethanol,C7H23N1O1,656.55,N/A,327.936,Nucleotide
Adrenaline,C2H27N4O0,848.29,3.73,188.737,Organic Compound
Ethanol,C9H23N2O8,192.11,1.95,549.088,Neurotransmitter
Serotonin,C14H36N1O0,491.73,3.01,803.036,Alcohol
Urea,C19H40N1O6,217.01,6.28,58.88,Neurotransmitter
Cholesterol,C8H12N5O6,412.59,9.72,4.348,Neurotransmitter
Ethanol,C15H21N4O5,316.98,5.08,2.274,Nucleotide
Urea,C7H22N5O9,252.13,12.91,8.307,Hormone
Glucose,C8H38N3O6,401.26,4.83,25.284,Carbohydrate
Glucose,C17H40N2O0,769.36,N/A,355.441,Carbohydrate
Cholesterol,C5H40N4O2,703.27,6.97,351.241,Organic Compound
Dopamine,C1H20N4O7,482.24,12.44,286.916,Carbohydrate
Dopamine,C5H22N4O8,442.66,N/A,605.824,Lipid
Adrenaline,C16H7N5O1,856.27,N/A,429.127,Organic Compound
Adenosine triphosphate,C20H23N0O6,763.45,4.66,998.348,Amide
Adrenaline,C14H24N0O7,558.91,1.84,319.794,Amide
Ethanol,C1H21N4O6,376.98,10.78,48.458,Alcohol
Urea,C13H14N2O4,997.87,1.71,550.161,Alcohol
Dopamine,C20H11N2O3,906.65,12.62,700.598,Hormone
Ethanol,C8H38N2O3,719.63,2.18,151.419,Neurotransmitter
Adrenaline,C20H25N2O4,116.75,2.69,270.331,Alcohol
Adenosine triphosphate,C12H12N4O9,962.7,13.46,808.434,Amide
Glucose,C9H8N4O10,161.7,N/A,343.425,Organic Compound
Cholesterol,C1H19N5O9,686.95,5.6,601.445,Alkaloid
Urea,C19H24N3O6,920.96,2.76,237.815,Neurotransmitter
Dopamine,C14H12N5O6,752.72,N/A,247.086,Alcohol
Urea,C20H30N2O4,150.53,N/A,125.38,Amide
Caffeine,C16H15N0O4,879.08,10.15,913.842,Amide
Glucose,C8H21N4O1,447.93,N/A,576.968,Organic Compound
Aspirin,C12H21N0O6,118.49,9.01,392.786,Carbohydrate
Ethanol,C5H39N5O0,469.34,7.25,500.472,Amide
Urea,C8H34N2O8,216.56,N/A,277.523,Alcohol
Aspirin,C16H6N5O4,965.85,12.92,568.727,Nucleotide
Dopamine,C3H25N4O0,678.46,2.84,177.606,Nucleotide
Dopamine,C4H17N5O8,248.67,7.32,789.403,Hormone
Dopamine,C12H25N3O0,214.78,8.77,551.156,Alcohol
Urea,C2H25N2O9,628.42,10.15,603.305,Alkaloid
Glucose,C9H22N3O8,631.71,9.31,471.301,Alkaloid
Ethanol,C18H7N1O4,383.66,10.57,149.487,Organic Compound
Dopamine,C11H13N1O9,589.65,3.42,419.183,Carbohydrate
Aspirin,C19H4N0O4,147.47,4.91,374.816,Neurotransmitter
Aspirin,C8H19N5O4,733.18,5.16,971.195,Alkaloid
Aspirin,C16H3N4O10,146.0,N/A,62.104,Alkaloid
Ethanol,C10H28N5O4,107.92,N/A,586.875,Organic Compound
Glucose,C8H9N1O2,240.8,1.97,227.031,Neurotransmitter
Adrenaline,C19H1N3O8,349.21,N/A,394.913,Nucleotide
Adenosine triphosphate,C12H13N1O10,791.08,1.34,901.479,Hormone
Aspirin,C10H38N3O2,430.34,10.6,39.732,Hormone
Adrenaline,C2H10N1O3,500.97,3.45,368.214,Nucleotide
Dopamine,C12H15N1O8,281.22,N/A,726.328,Carbohydrate
Urea,C2H9N1O7,191.37,9.9,630.865,Alkaloid
Glucose,C15H34N0O10,987.04,11.06,975.144,Lipid
Ethanol,C17H9N2O10,194.91,9.92,197.395,Neurotransmitter
Caffeine,C7H28N1O10,555.6,13.19,95.951,Amide
Adenosine triphosphate,C20H31N2O10,479.6,1.27,313.915,Hormone
Caffeine,C4H31N5O8,356.81,12.95,536.686,Carbohydrate
Serotonin,C5H10N1O9,551.82,N/A,960.124,Neurotransmitter
Dopamine,C16H31N4O8,638.72,11.24,610.397,Nucleotide
Caffeine,C13H39N0O4,889.47,N/A,655.074,Lipid
Aspirin,C17H4N0O5,778.29,1.38,225.134,Organic Compound
Ethanol,C4H16N3O8,393.34,3.51,639.61,Neurotransmitter
Dopamine,C1H16N4O9,678.67,2.17,820.639,Neurotransmitter
Ethanol,C13H10N2O4,552.28,2.84,611.812,Hormone
Cholesterol,C19H15N4O3,243.13,13.66,345.546,Organic Compound
Cholesterol,C20H36N1O7,213.26,9.86,792.513,Organic Compound
Adenosine triphosphate,C7H32N5O1,239.07,1.61,158.02,Hormone
Urea,C16H6N0O0,68.82,5.4,311.553,Carbohydrate
Cholesterol,C13H40N4O0,670.12,8.8,234.313,Alcohol
Cholesterol,C11H24N2O7,117.83,1.27,262.864,Organic Compound
Dopamine,C13H36N3O6,953.24,3.28,68.533,Alkaloid
Serotonin,C12H36N5O8,143.06,8.98,501.206,Nucleotide
Caffeine,C18H32N0O6,851.07,8.48,746.208,Amide
Adenosine triphosphate,C6H36N1O10,443.23,10.73,569.538,Carbohydrate
Ethanol,C8H35N5O4,588.91,7.18,866.593,Neurotransmitter
Ethanol,C14H4N5O10,394.94,5.7,879.804,Amide
Cholesterol,C20H15N3O0,263.54,N/A,928.022,Lipid
Aspirin,C4H19N4O6,653.39,N/A,23.442,Lipid
Ethanol,C3H35N2O8,155.82,7.97,965.26,Carbohydrate
Aspirin,C8H26N0O4,671.14,3.54,296.77,Alcohol
Aspirin,C18H6N4O10,168.44,N/A,144.451,Alkaloid
Aspirin,C20H31N2O5,842.9,4.03,956.66,Organic Compound
Caffeine,C15H9N2O3,987.13,4.2,713.006,Amide
Urea,C10H30N5O6,335.15,7.38,890.407,Nucleotide
Adenosine triphosphate,C15H37N2O5,406.92,N/A,416.745,Alkaloid
Adrenaline,C1H37N2O6,397.51,8.88,283.202,Neurotransmitter
Dopamine,C10H35N5O2,177.05,N/A,9.181,Organic Compound
Cholesterol,C5H27N5O10,764.8,N/A,78.674,Neurotransmitter
Glucose,C11H35N2O6,651.64,N/A,354.928,Nucleotide
Urea,C9H20N0O8,436.21,6.18,466.238,Carbohydrate
Ethanol,C5H8N0O10,628.88,6.76,926.882,Carbohydrate
Cholesterol,C8H8N3O1,511.93,5.2,474.462,Alkaloid
Adenosine triphosphate,C11H18N2O7,86.62,6.74,99.624,Carbohydrate
Aspirin,C17H5N5O4,912.57,11.32,585.47,Carbohydrate
Urea,C14H40N1O5,302.75,3.28,84.44,Alcohol
Dopamine,C14H30N3O5,688.25,12.55,41.811,Hormone
Adrenaline,C4H26N5O6,472.71,9.81,258.912,Hormone
Serotonin,C4H8N5O7,844.11,4.05,725.638,Amide
Urea,C14H16N0O9,762.18,3.83,886.515,Neurotransmitter
Glucose,C15H11N2O10,102.25,2.89,865.668,Hormone
Cholesterol,C5H26N3O10,697.51,1.01,855.896,Alkaloid
Ethanol,C12H21N3O3,705.41,9.03,540.716,Carbohydrate
Aspirin,C14H35N1O6,210.66,4.15,888.179,Alcohol
Dopamine,C20H29N2O6,666.09,10.32,786.211,Alkaloid
Adrenaline,C8H18N1O10,266.0,N/A,437.101,Neurotransmitter
Aspirin,C15H27N0O2,602.05,11.49,398.07,Alkaloid
Urea,C8H1N3O1,70.11,13.66,505.136,Neurotransmitter
Aspirin,C7H25N3O0,906.75,N/A,311.571,Lipid
Dopamine,C15H5N2O0,179.08,10.94,383.984,Amide
Aspirin,C17H35N3O2,955.99,7.61,382.281,Neurotransmitter
Urea,C17H33N3O7,409.23,11.54,329.935,Lipid
Serotonin,C14H39N4O7,242.34,10.54,809.928,Carbohydrate
Caffeine,C17H12N5O3,199.13,8.14,673.78,Carbohydrate
Ethanol,C18H22N1O8,862.06,N/A,825.603,Organic Compound
Caffeine,C3H16N1O3,182.68,12.92,270.905,Hormone
Aspirin,C10H14N2O9,701.2,3.86,597.161,Carbohydrate
Adenosine triphosphate,C20H12N5O4,906.87,10.92,550.563,Organic Compound
Adenosine triphosphate,C8H20N5O10,418.34,12.23,952.661,Alcohol
Cholesterol,C1H20N0O5,944.37,3.29,391.852,Organic Compound
Adrenaline,C18H16N2O2,154.36,4.57,796.1,Alkaloid
Aspirin,C20H29N5O4,87.5,N/A,344.58,Hormone
Dopamine,C2H10N1O5,844.04,13.69,578.622,Lipid
Cholesterol,C4H1N0O7,504.92,12.72,132.957,Nucleotide
Urea,C9H11N1O5,161.9,11.51,441.3,Carbohydrate
Caffeine,C1H7N5O4,537.47,7.99,704.71,Hormone
Ethanol,C1H10N2O7,675.71,11.93,144.681,Hormone
Glucose,C12H39N4O1,996.14,4.36,95.219,Alkaloid
Cholesterol,C5H32N1O9,739.77,7.93,17.095,Organic Compound
Glucose,C18H11N4O5,422.19,4.08,263.945,Carbohydrate
Adenosine triphosphate,C9H8N1O7,103.84,11.13,475.332,Nucleotide
Adrenaline,C11H3N3O10,168.18,N/A,660.52,Alkaloid
Aspirin,C1H2N4O4,698.57,N/A,865.086,Neurotransmitter
Aspirin,C9H15N2O8,438.85,4.33,588.567,Alcohol
Caffeine,C20H2N5O7,660.58,12.6,376.084,Neurotransmitter
Serotonin,C7H9N3O2,355.43,5.67,508.808,Alcohol
Glucose,C4H38N1O6,778.33,12.5,7.591,Hormone
Dopamine,C2H31N0O3,947.98,1.85,236.087,Neurotransmitter
Caffeine,C16H38N3O7,620.91,11.48,977.096,Organic Compound
Caffeine,C14H20N5O5,585.75,5.93,356.153,Amide
Dopamine,C4H33N0O2,396.98,3.95,216.009,Hormone
Serotonin,C20H18N3O9,161.34,2.7,991.862,Carbohydrate
Aspirin,C18H38N4O5,380.31,N/A,483.759,Amide
Adenosine triphosphate,C1H38N1O8,633.11,N/A,391.975,Amide
Glucose,C13H26N1O9,950.61,10.45,741.392,Nucleotide
Adrenaline,C7H35N1O5,336.5,3.85,962.48,Carbohydrate
Caffeine,C1H28N1O1,830.48,3.0,589.479,Alkaloid
Serotonin,C4H10N2O9,495.14,2.04,805.586,Nucleotide
Serotonin,C15H32N1O5,169.91,3.87,919.499,Organic Compound
Aspirin,C9H39N0O1,466.14,N/A,273.116,Organic Compound
Cholesterol,C4H1N2O0,624.91,3.8,29.643,Carbohydrate
Dopamine,C7H35N2O6,624.1,8.28,625.775,Alkaloid
Adenosine triphosphate,C3H15N1O5,409.86,13.82,150.527,Amide
Adrenaline,C19H4N5O6,749.51,4.45,530.905,Nucleotide
Adenosine triphosphate,C10H24N1O5,740.73,9.24,129.429,Alkaloid
Ethanol,C13H9N4O0,308.12,7.86,376.405,Nucleotide
Adrenaline,C10H38N4O8,872.91,6.6,855.999,Carbohydrate
Adenosine triphosphate,C15H40N2O9,848.77,11.94,519.576,Amide
Caffeine,C19H35N5O9,777.82,13.83,88.469,Lipid
Adenosine triphosphate,C18H20N1O5,978.39,8.74,100.771,Carbohydrate
Cholesterol,C1H23N2O0,434.07,6.31,750.81,Alcohol
Adrenaline,C15H3N3O5,288.58,N/A,579.249,Amide
Adenosine triphosphate,C13H33N2O3,110.3,N/A,937.672,Neurotransmitter
Dopamine,C19H26N0O9,223.27,11.2,487.631,Nucleotide
Cholesterol,C20H35N2O6,824.45,13.67,256.231,Nucleotide
Adrenaline,C1H35N2O4,612.34,12.31,510.254,Neurotransmitter
Dopamine,C9H39N5O4,596.24,1.05,578.905,Nucleotide
Ethanol,C8H40N0O10,627.36,2.97,863.215,Nucleotide
Adenosine triphosphate,C7H27N5O7,196.21,10.56,886.774,Hormone
Adrenaline,C15H32N4O9,237.99,6.5,472.713,Hormone
Glucose,C6H34N2O6,915.1,2.95,802.244,Alcohol
Adrenaline,C15H18N4O0,336.51,6.41,991.171,Nucleotide
Cholesterol,C19H32N2O1,524.34,10.57,477.855,Hormone
Urea,C12H15N3O9,789.41,10.26,640.732,Lipid
Caffeine,C17H38N2O0,710.43,8.2,114.746,Neurotransmitter
Urea,C16H12N0O4,164.79,9.92,559.347,Carbohydrate
Adenosine triphosphate,C7H23N4O9,186.88,7.7,209.258,Lipid
Adrenaline,C15H29N3O0,151.92,1.57,287.592,Alkaloid
Ethanol,C1H2N1O2,446.41,2.19,508.622,Hormone
Adenosine triphosphate,C16H17N2O1,69.62,11.71,670.608,Neurotransmitter
Cholesterol,C17H15N5O9,104.92,9.31,976.804,Nucleotide
Aspirin,C11H33N3O1,638.8,N/A,110.637,Amide
Ethanol,C2H5N2O1,124.22,3.39,873.468,Nucleotide
Adrenaline,C8H37N1O3,542.9,5.82,973.238,Amide
Ethanol,C14H25N5O9,649.49,8.37,36.26,Organic Compound
Cholesterol,C3H24N5O7,529.16,4.48,765.607,Carbohydrate
Ethanol,C12H27N3O4,613.54,10.37,174.52,Lipid
