compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C5H6N0O5,502.31,1.88,431.329,Amide
Dopamine,C7H4N2O6,225.8,N/A,612.782,Neurotransmitter
Adenosine triphosphate,C18H37N3O3,124.8,3.88,82.988,Nucleotide
Adenosine triphosphate,C14H7N5O9,102.54,10.56,237.675,Carbohydrate
Cholesterol,C16H3N4O6,204.97,7.78,881.84,Lipid
Glucose,C1H18N0O4,116.02,11.04,155.667,Hormone
Glucose,C15H14N2O4,659.39,11.63,825.536,Nucleotide
Adenosine triphosphate,C14H17N1O7,307.28,10.62,652.824,Lipid
Caffeine,C20H14N0O1,521.14,2.11,806.7,Alkaloid
Aspirin,C2H39N5O7,374.55,8.66,439.228,Hormone
Dopamine,C2H37N3O9,559.18,N/A,783.889,Organic Compound
Serotonin,C12H11N1O6,921.51,N/A,423.114,Alkaloid
Adrenaline,C17H16N0O0,577.43,13.67,608.201,Nucleotide
Ethanol,C4H7N2O5,70.46,N/A,19.559,Neurotransmitter
Adenosine triphosphate,C9H10N1O5,206.04,10.43,219.654,Amide
Glucose,C12H29N5O7,598.18,4.2,75.799,Alcohol
Urea,C11H13N5O8,205.68,12.42,379.224,Lipid
Adrenaline,C2H16N5O6,358.19,2.88,81.291,Organic Compound
Adrenaline,C13H16N2O6,859.12,8.39,550.672,Organic Compound
Dopamine,C6H9N0O4,332.02,1.07,745.073,Lipid
Serotonin,C9H19N3O4,589.89,8.79,930.844,Carbohydrate
Adenosine triphosphate,C11H21N0O7,555.45,4.22,511.457,Carbohydrate
Glucose,C7H25N4O8,294.6,3.7,858.7,Lipid
Ethanol,C13H37N2O6,703.09,6.17,468.912,Alcohol
Adrenaline,C8H4N3O8,92.9,6.53,562.346,Hormone
Caffeine,C11H11N2O10,578.36,3.92,140.626,Carbohydrate
Serotonin,C17H23N1O7,182.26,6.54,341.482,Nucleotide
Glucose,C16H24N0O7,926.27,10.34,879.406,Carbohydrate
Serotonin,C15H38N4O9,106.47,2.99,43.003,Lipid
Cholesterol,C15H36N5O4,275.64,7.42,407.522,Amide
Cholesterol,C15H29N2O9,228.73,1.89,989.502,Hormone
Ethanol,C19H38N5O3,848.96,9.63,82.197,Amide
Ethanol,C15H22N2O5,718.95,4.62,733.069,Alcohol
Cholesterol,C5H2N2O6,259.41,4.19,813.051,Neurotransmitter
Glucose,C11H19N3O2,668.06,5.26,330.515,Hormone
Caffeine,C14H38N1O5,267.99,7.74,357.801,Lipid
Serotonin,C18H17N0O2,818.76,5.38,134.817,Neurotransmitter
Serotonin,C4H19N1O1,51.57,N/A,110.252,Amide
Cholesterol,C16H6N2O5,259.98,9.2,81.607,Nucleotide
Dopamine,C2H26N0O8,655.91,12.24,702.365,Neurotransmitter
Glucose,C15H16N0O1,52.8,N/A,919.856,Alcohol
Adrenaline,C20H10N2O9,432.28,2.96,272.64,Alcohol
Aspirin,C20H38N1O4,263.82,N/A,155.404,Nucleotide
Dopamine,C11H32N4O3,690.7,9.79,465.153,Nucleotide
Cholesterol,C20H5N2O3,681.4,N/A,509.031,Lipid
Caffeine,C3H37N3O1,956.07,10.07,163.209,Alcohol
Dopamine,C13H31N4O7,796.73,6.07,887.612,Amide
Urea,C6H26N4O1,505.95,6.18,757.561,Carbohydrate
Caffeine,C17H39N3O6,387.18,10.77,752.072,Alkaloid
Serotonin,C20H29N1O9,521.64,13.91,410.762,Alcohol
Glucose,C14H39N3O2,682.14,13.82,994.826,Nucleotide
Caffeine,C14H16N2O10,95.15,7.7,755.805,Lipid
Cholesterol,C2H3N2O3,777.5,10.82,721.199,Alkaloid
Glucose,C18H18N2O10,538.14,N/A,215.415,Carbohydrate
Cholesterol,C17H31N2O7,247.49,10.61,284.086,Amide
Glucose,C15H24N5O6,547.73,6.02,122.601,Alkaloid
Dopamine,C7H3N4O1,541.53,8.25,316.356,Neurotransmitter
Urea,C9H36N3O2,771.32,8.21,484.814,Alcohol
Dopamine,C15H13N0O3,455.29,12.12,589.509,Neurotransmitter
Cholesterol,C13H26N4O2,992.27,13.97,530.264,Hormone
Ethanol,C15H15N3O3,201.26,10.55,549.626,Alkaloid
Adrenaline,C6H19N5O2,314.45,11.47,224.202,Hormone
Cholesterol,C19H28N2O2,410.36,6.65,58.625,Amide
Glucose,C8H9N0O10,79.98,N/A,482.862,Alkaloid
Caffeine,C16H3N1O9,628.99,6.52,768.265,Hormone
Serotonin,C10H7N1O8,278.34,N/A,59.094,Alkaloid
Urea,C8H17N3O0,968.31,11.21,631.935,Hormone
Dopamine,C16H21N4O6,848.83,7.15,957.546,Nucleotide
Aspirin,C13H1N1O6,986.41,N/A,666.358,Organic Compound
Ethanol,C18H9N3O6,575.25,3.85,878.883,Neurotransmitter
Ethanol,C16H38N0O0,541.28,N/A,595.285,Neurotransmitter
Dopamine,C9H17N4O0,99.17,N/A,346.765,Alcohol
Glucose,C14H30N4O10,534.25,5.02,951.501,Amide
Cholesterol,C8H35N1O1,223.78,4.99,225.517,Organic Compound
Glucose,C3H1N0O0,604.54,11.06,463.346,Amide
Serotonin,C19H34N4O4,508.84,N/A,284.357,Nucleotide
Serotonin,C9H18N1O6,428.85,3.88,977.962,Carbohydrate
Dopamine,C3H31N3O4,419.12,2.76,558.618,Carbohydrate
Serotonin,C9H33N2O6,327.9,11.18,680.799,Lipid
Cholesterol,C2H25N0O0,592.32,1.08,32.868,Alcohol
Ethanol,C10H12N0O4,202.65,5.27,505.942,Alkaloid
Serotonin,C19H29N4O5,117.65,5.22,14.076,Alcohol
Urea,C3H1N5O10,443.92,10.13,838.488,Amide
Ethanol,C16H2N5O3,754.8,10.57,423.902,Alkaloid
Glucose,C12H18N5O10,206.89,9.39,772.941,Nucleotide
Serotonin,C18H29N0O1,636.89,11.1,723.477,Neurotransmitter
Glucose,C20H40N4O3,603.47,4.28,413.777,Neurotransmitter
Serotonin,C19H32N4O10,954.58,9.12,323.145,Alkaloid
Serotonin,C12H17N3O10,671.96,8.36,768.17,Alkaloid
Cholesterol,C10H34N3O10,364.84,7.13,605.887,Lipid
Ethanol,C3H11N3O2,272.91,13.77,895.23,Neurotransmitter
Adenosine triphosphate,C4H17N2O5,489.61,9.36,787.509,Nucleotide
Ethanol,C1H40N2O3,594.59,12.92,369.544,Alkaloid
