compound,formula,mw,pka,solubility_mg_ml,class
Ethanol,C3H40N1O4,869.18,N/A,965.868,Alcohol
Cholesterol,C3H3N4O4,60.65,N/A,480.501,Amide
Serotonin,C18H13N1O9,334.73,N/A,156.766,Amide
Dopamine,C11H9N5O5,535.93,13.52,3.251,Alkaloid
Dopamine,C6H4N1O2,223.81,N/A,639.907,Hormone
Urea,C14H35N4O9,803.6,8.37,628.365,Organic Compound
Ethanol,C9H24N5O4,528.32,9.17,943.539,Nucleotide
Aspirin,C9H11N5O2,409.85,2.23,970.213,Alkaloid
Adrenaline,C20H25N5O4,972.14,N/A,19.343,Hormone
Adenosine triphosphate,C4H10N5O7,692.46,11.06,157.244,Neurotransmitter
Serotonin,C14H12N5O5,89.2,6.07,228.259,Lipid
Adenosine triphosphate,C18H21N1O7,208.14,3.02,105.715,Hormone
Adenosine triphosphate,C12H8N0O0,902.04,6.46,75.641,Amide
Urea,C1H16N5O1,589.54,N/A,792.999,Lipid
Urea,C19H6N5O10,347.36,N/A,906.818,Nucleotide
Aspirin,C11H4N1O8,695.61,12.2,942.647,Lipid
Cholesterol,C8H13N4O0,254.77,N/A,419.835,Alcohol
Glucose,C7H1N5O7,653.29,N/A,348.226,Nucleotide
Caffeine,C19H39N1O7,554.88,1.0,354.931,Alcohol
Dopamine,C14H38N4O9,488.8,5.75,300.0,Organic Compound
Dopamine,C16H5N4O10,833.66,2.33,24.75,Amide
Cholesterol,C19H29N4O3,704.23,13.58,930.355,Lipid
Serotonin,C18H20N0O5,650.65,4.04,471.348,Lipid
Ethanol,C20H1N3O6,913.93,N/A,553.275,Nucleotide
Caffeine,C5H3N5O3,865.31,6.78,258.199,Neurotransmitter
Adenosine triphosphate,C16H27N1O3,420.14,N/A,608.201,Amide
Urea,C11H4N4O10,371.54,12.89,642.804,Organic Compound
Ethanol,C20H35N1O1,601.2,10.9,470.986,Organic Compound
Urea,C7H8N1O9,535.16,4.37,239.642,Alkaloid
Ethanol,C10H33N0O5,406.25,N/A,261.382,Alcohol
Dopamine,C10H28N0O0,80.49,13.93,800.129,Amide
Dopamine,C1H31N5O7,665.73,8.12,906.057,Organic Compound
Adrenaline,C8H39N0O0,808.85,7.95,984.592,Lipid
Glucose,C2H15N1O2,217.81,N/A,86.045,Lipid
Adenosine triphosphate,C7H7N3O9,650.51,2.23,954.166,Alkaloid
Cholesterol,C12H18N0O1,912.17,7.72,455.616,Lipid
Glucose,C7H18N2O2,674.91,N/A,757.605,Lipid
Adrenaline,C7H4N5O7,95.32,5.85,161.432,Alkaloid
Urea,C7H31N2O6,721.69,9.68,98.42,Carbohydrate
Dopamine,C1H36N2O6,347.99,1.18,292.969,Lipid
Adenosine triphosphate,C20H5N3O3,869.93,9.4,158.163,Alcohol
Cholesterol,C8H15N3O8,111.77,4.56,645.821,Hormone
Serotonin,C14H33N0O8,95.45,4.62,391.827,Lipid
Glucose,C13H18N4O2,827.57,11.44,59.836,Amide
Ethanol,C17H26N3O0,658.14,N/A,413.004,Nucleotide
Urea,C19H20N1O4,399.27,12.99,417.784,Alcohol
Urea,C3H12N1O3,78.26,12.67,274.739,Carbohydrate
Aspirin,C12H29N5O4,971.26,3.88,114.086,Nucleotide
Adrenaline,C8H2N1O10,71.35,11.23,976.052,Lipid
Cholesterol,C1H9N4O10,808.3,5.85,540.464,Organic Compound
Adrenaline,C15H6N5O10,155.19,5.41,319.13,Carbohydrate
Serotonin,C20H10N3O9,104.33,N/A,689.206,Neurotransmitter
Dopamine,C2H18N1O1,404.63,3.14,282.092,Alkaloid
Adenosine triphosphate,C13H3N4O10,530.53,N/A,383.329,Amide
Serotonin,C3H26N5O8,205.77,1.91,258.939,Organic Compound
Dopamine,C8H9N0O3,304.33,N/A,982.349,Organic Compound
Cholesterol,C1H33N2O9,468.34,N/A,834.006,Nucleotide
Dopamine,C19H13N0O7,910.27,1.63,296.005,Carbohydrate
Caffeine,C10H19N0O6,598.2,11.0,543.457,Carbohydrate
Ethanol,C12H12N1O0,715.14,1.46,540.971,Alcohol
Cholesterol,C3H15N5O1,877.06,8.63,919.301,Neurotransmitter
Ethanol,C15H3N5O7,456.2,N/A,18.733,Nucleotide
Serotonin,C12H18N4O9,355.64,11.2,645.92,Lipid
Dopamine,C13H16N4O6,955.72,7.34,605.48,Nucleotide
Urea,C20H29N2O8,416.69,6.36,485.401,Organic Compound
Glucose,C2H8N4O0,171.43,1.8,974.332,Lipid
Ethanol,C15H12N3O6,442.87,13.28,170.884,Organic Compound
Glucose,C20H17N1O7,728.58,1.81,294.858,Neurotransmitter
Urea,C9H15N5O3,170.85,8.86,726.673,Nucleotide
Adenosine triphosphate,C10H17N5O1,54.08,2.13,636.733,Lipid
Adenosine triphosphate,C18H4N4O10,640.48,6.99,678.553,Nucleotide
Serotonin,C19H25N5O7,707.76,N/A,565.127,Organic Compound
Adenosine triphosphate,C16H39N5O0,755.3,8.56,520.546,Lipid
Dopamine,C4H2N3O1,888.64,N/A,250.287,Alcohol
Adrenaline,C4H33N0O7,368.57,8.33,850.718,Hormone
Urea,C11H6N1O3,358.66,1.99,555.526,Alkaloid
Cholesterol,C6H39N3O3,377.18,13.43,981.466,Neurotransmitter
Caffeine,C14H18N0O10,485.73,6.0,698.723,Organic Compound
Ethanol,C15H23N5O1,92.94,N/A,186.369,Nucleotide
Serotonin,C18H16N3O1,585.46,9.05,480.087,Organic Compound
Glucose,C2H34N4O2,623.97,1.88,40.403,Nucleotide
Glucose,C12H28N0O1,740.68,13.31,331.58,Organic Compound
Dopamine,C5H19N3O8,722.84,N/A,320.818,Nucleotide
Dopamine,C14H14N4O10,374.05,9.77,602.793,Alcohol
Cholesterol,C9H20N1O5,748.64,N/A,654.696,Alcohol
Adrenaline,C8H1N3O9,461.84,7.55,298.769,Carbohydrate
Adrenaline,C12H6N4O0,338.95,6.94,798.762,Nucleotide
Aspirin,C4H37N3O4,909.63,1.52,555.673,Carbohydrate
Serotonin,C10H34N3O4,606.74,N/A,923.613,Carbohydrate
Aspirin,C11H8N1O5,231.43,N/A,346.49,Organic Compound
Dopamine,C4H18N0O3,285.27,9.62,789.873,Alkaloid
Adrenaline,C10H7N5O0,589.06,7.69,448.476,Organic Compound
Cholesterol,C7H5N2O2,804.22,11.93,367.551,Amide
Serotonin,C17H39N0O10,568.17,4.1,209.277,Lipid
Cholesterol,C3H36N2O7,432.84,11.68,896.147,Organic Compound
Adenosine triphosphate,C7H10N1O6,105.94,12.95,659.003,Alkaloid
Adrenaline,C4H6N0O0,904.65,8.45,655.303,Hormone
Dopamine,C9H34N0O6,262.48,N/A,675.404,Alcohol
Caffeine,C11H8N0O7,319.25,8.34,829.672,Alkaloid
Ethanol,C15H29N2O8,719.89,13.18,90.686,Amide
Caffeine,C20H35N4O2,136.49,N/A,321.102,Alkaloid
Ethanol,C2H8N4O7,242.35,11.35,150.321,Lipid
Urea,C8H34N0O9,317.76,N/A,71.659,Nucleotide
Dopamine,C9H9N3O1,922.8,2.51,989.827,Organic Compound
Aspirin,C18H11N5O1,747.87,4.69,333.103,Alcohol
Adrenaline,C14H13N2O6,982.74,7.26,989.975,Nucleotide
Glucose,C12H18N4O5,72.0,3.68,966.963,Amide
Dopamine,C17H5N1O6,657.2,8.93,261.453,Nucleotide
Glucose,C6H15N3O5,184.73,11.6,281.266,Neurotransmitter
Adrenaline,C11H23N4O7,990.2,6.52,667.685,Organic Compound
Dopamine,C7H17N5O7,998.87,5.42,110.226,Neurotransmitter
Adrenaline,C14H5N3O0,83.44,1.03,520.044,Alkaloid
Serotonin,C2H11N0O5,111.68,13.24,768.661,Nucleotide
Ethanol,C7H16N5O2,202.43,N/A,253.002,Alcohol
Cholesterol,C15H21N2O6,454.01,N/A,971.244,Organic Compound
Cholesterol,C3H30N1O9,764.33,4.11,890.722,Nucleotide
Serotonin,C8H16N2O3,939.68,N/A,340.373,Alcohol
Adenosine triphosphate,C7H20N5O2,754.25,9.74,420.63,Neurotransmitter
Ethanol,C13H8N3O10,868.11,2.42,549.023,Alkaloid
Adenosine triphosphate,C12H37N1O8,879.77,8.96,742.313,Alcohol
Aspirin,C9H33N3O0,348.81,1.73,777.947,Alcohol
Urea,C9H32N5O9,615.5,9.2,699.468,Lipid
Caffeine,C10H4N4O7,939.84,N/A,750.807,Neurotransmitter
Serotonin,C18H8N3O8,362.4,10.86,396.393,Lipid
Adrenaline,C17H17N1O3,929.6,1.71,58.392,Neurotransmitter
Dopamine,C10H8N4O5,896.99,N/A,793.421,Amide
Cholesterol,C15H19N3O10,878.87,3.71,591.125,Nucleotide
Caffeine,C15H35N1O4,618.27,8.64,619.985,Amide
Caffeine,C3H19N2O5,457.97,10.0,706.758,Hormone
Ethanol,C1H32N5O3,363.74,13.74,891.614,Carbohydrate
Ethanol,C9H12N3O10,654.19,9.64,440.75,Alkaloid
Cholesterol,C15H9N5O0,321.34,12.35,361.366,Alkaloid
Cholesterol,C8H17N0O3,563.59,6.68,419.709,Hormone
Serotonin,C1H15N1O5,771.93,10.7,120.185,Carbohydrate
Dopamine,C4H35N3O3,491.26,5.3,513.829,Neurotransmitter
Cholesterol,C8H5N4O0,735.73,10.92,470.261,Hormone
Dopamine,C12H27N0O9,944.93,9.94,819.812,Hormone
Glucose,C10H1N1O2,509.7,6.87,154.375,Lipid
Caffeine,C5H18N4O8,455.75,N/A,954.271,Neurotransmitter
Urea,C2H35N3O4,439.82,N/A,937.892,Alcohol
Urea,C18H1N0O0,155.95,N/A,792.338,Nucleotide
Glucose,C7H35N3O1,571.3,13.9,901.791,Lipid
Serotonin,C15H35N0O7,392.37,6.28,843.251,Lipid
Dopamine,C12H7N0O1,166.51,2.86,548.847,Amide
Caffeine,C9H38N3O5,933.62,3.5,901.828,Alkaloid
Aspirin,C13H28N0O10,188.16,4.52,828.311,Neurotransmitter
Urea,C20H7N0O4,627.59,5.52,416.869,Alkaloid
Serotonin,C19H33N0O10,624.11,7.93,744.653,Hormone
Dopamine,C5H35N2O6,135.53,N/A,737.795,Organic Compound
Urea,C6H33N5O5,666.27,9.93,904.827,Alcohol
Glucose,C11H36N5O3,205.38,N/A,64.742,Hormone
Adrenaline,C17H3N3O3,490.23,1.9,691.923,Nucleotide
Adrenaline,C1H29N5O7,140.59,10.73,623.43,Neurotransmitter
Adrenaline,C6H18N5O6,867.78,N/A,374.425,Amide
Urea,C8H34N1O7,766.86,5.59,795.872,Amide
Adrenaline,C8H39N3O5,806.31,3.31,900.156,Hormone
Cholesterol,C4H24N1O8,665.87,10.65,451.327,Carbohydrate
Adrenaline,C17H3N5O0,901.56,N/A,609.198,Organic Compound
Serotonin,C16H31N1O0,116.34,7.6,418.447,Alkaloid
Caffeine,C12H38N4O3,995.2,5.43,35.344,Organic Compound
Ethanol,C5H40N3O8,537.16,9.27,609.783,Amide
Cholesterol,C18H7N0O7,691.79,N/A,496.488,Alkaloid
Aspirin,C13H39N1O10,931.82,14.0,232.156,Alkaloid
Dopamine,C12H5N3O9,870.52,8.44,858.237,Carbohydrate
Cholesterol,C9H15N1O10,359.9,10.51,320.282,Alkaloid
Ethanol,C18H32N3O0,877.57,7.4,485.004,Amide
