compound,formula,mw,pka,solubility_mg_ml,class
Ethanol,C4H34N3O3,764.93,13.3,974.408,Alcohol
Dopamine,C2H10N3O9,266.02,11.02,954.059,Alcohol
Caffeine,C2H7N1O3,940.15,9.92,311.764,Amide
Cholesterol,C8H16N5O8,374.49,12.83,131.45,Amide
Serotonin,C16H40N5O7,805.57,11.49,417.469,Hormone
Caffeine,C12H19N3O6,744.95,12.68,830.72,Carbohydrate
Cholesterol,C10H35N0O8,774.66,5.85,932.372,Nucleotide
Adenosine triphosphate,C8H20N0O1,322.57,2.67,861.16,Alcohol
Dopamine,C8H16N1O5,582.8,10.47,496.933,Neurotransmitter
Ethanol,C14H18N2O5,633.72,9.54,982.174,Alkaloid
Serotonin,C15H22N5O6,98.21,13.41,867.848,Amide
Aspirin,C6H26N2O8,583.94,N/A,893.974,Lipid
Adenosine triphosphate,C10H33N2O9,51.32,13.79,982.559,Neurotransmitter
Cholesterol,C19H19N5O9,698.9,12.61,351.619,Nucleotide
Caffeine,C15H21N5O10,535.52,2.87,473.175,Amide
Aspirin,C5H17N2O6,611.5,12.17,189.068,Nucleotide
Caffeine,C9H17N1O3,629.93,2.46,815.932,Lipid
Ethanol,C20H16N0O4,511.86,N/A,169.728,Alcohol
Dopamine,C14H39N1O5,657.13,5.99,894.785,Alkaloid
Ethanol,C16H22N4O7,279.04,10.14,537.787,Organic Compound
Glucose,C3H23N4O2,579.49,N/A,391.311,Alkaloid
Adrenaline,C11H18N1O10,836.01,N/A,651.673,Lipid
Adrenaline,C18H26N1O4,446.11,9.19,519.357,Alkaloid
Urea,C13H33N5O6,430.38,8.55,154.007,Alcohol
Aspirin,C4H11N4O5,96.31,9.05,879.718,Alkaloid
Aspirin,C9H9N2O4,643.83,8.07,449.598,Hormone
Caffeine,C11H38N4O10,932.45,13.31,205.742,Alkaloid
Adrenaline,C12H7N5O3,572.33,1.56,152.02,Organic Compound
Ethanol,C18H28N4O1,543.06,N/A,539.653,Alkaloid
Serotonin,C4H26N0O3,806.99,N/A,496.082,Organic Compound
Cholesterol,C10H18N4O3,986.6,6.54,930.771,Carbohydrate
Urea,C17H13N1O4,818.07,13.41,816.473,Hormone
Serotonin,C11H13N4O8,556.61,2.3,18.977,Amide
Urea,C2H39N3O0,140.73,7.61,979.8,Organic Compound
Cholesterol,C14H18N5O2,934.84,6.25,894.28,Lipid
Adrenaline,C7H11N3O0,399.43,10.17,481.585,Lipid
Adrenaline,C8H21N2O6,974.09,12.92,801.368,Hormone
Aspirin,C15H31N3O5,810.5,N/A,261.544,Alkaloid
Serotonin,C16H33N3O3,995.13,4.19,700.376,Alcohol
Cholesterol,C6H6N0O1,77.69,1.71,568.495,Amide
Cholesterol,C6H29N4O0,404.18,9.26,761.722,Alcohol
Serotonin,C13H35N3O6,423.52,7.88,991.61,Hormone
Cholesterol,C1H36N2O5,172.83,8.87,104.242,Carbohydrate
Dopamine,C8H26N1O8,662.97,7.05,344.442,Lipid
Aspirin,C15H7N3O7,780.08,2.73,554.135,Alkaloid
Aspirin,C9H7N0O6,333.46,11.66,303.381,Organic Compound
Aspirin,C3H2N4O0,446.65,N/A,611.727,Alkaloid
Caffeine,C15H11N0O3,378.37,9.63,723.546,Amide
Adenosine triphosphate,C6H27N0O7,81.61,12.08,499.502,Alkaloid
Caffeine,C7H32N0O7,213.85,10.53,55.268,Organic Compound
Ethanol,C8H15N3O4,334.75,5.86,219.046,Hormone
Dopamine,C8H7N4O0,757.81,10.76,601.582,Alcohol
