compound,formula,mw,pka,solubility_mg_ml,class
Urea,C19H29N5O0,140.7,10.44,746.823,Carbohydrate
Caffeine,C9H4N2O2,687.43,10.56,573.141,Carbohydrate
Ethanol,C3H4N2O9,331.04,3.57,363.826,Hormone
Cholesterol,C18H37N4O7,233.17,3.9,479.347,Neurotransmitter
Ethanol,C11H15N0O4,815.12,10.69,395.287,Lipid
Cholesterol,C9H20N5O1,971.58,4.04,149.503,Hormone
Urea,C1H2N0O5,613.93,4.86,850.465,Alkaloid
Caffeine,C19H11N2O9,469.73,11.06,291.531,Organic Compound
Dopamine,C2H15N1O1,480.89,7.7,148.462,Amide
Glucose,C12H26N0O1,132.15,4.78,489.368,Nucleotide
Aspirin,C19H1N0O7,781.34,11.11,464.356,Lipid
Ethanol,C19H12N5O10,489.2,7.51,989.323,Neurotransmitter
Aspirin,C11H33N0O6,883.06,N/A,721.024,Nucleotide
Urea,C5H13N2O8,251.37,2.91,336.69,Nucleotide
Urea,C3H2N3O6,982.87,4.42,145.715,Alkaloid
Caffeine,C20H26N5O5,234.82,9.44,512.369,Amide
Adrenaline,C12H33N3O6,629.17,3.59,627.657,Alcohol
Serotonin,C9H12N4O8,619.23,2.89,294.449,Organic Compound
Glucose,C3H9N1O9,61.96,N/A,250.85,Hormone
Serotonin,C11H8N2O3,499.25,1.06,921.311,Nucleotide
Adrenaline,C2H2N1O10,731.04,3.07,161.907,Neurotransmitter
Serotonin,C12H22N0O7,437.85,13.38,599.043,Carbohydrate
Caffeine,C10H8N2O8,794.94,13.25,715.492,Organic Compound
Dopamine,C13H8N1O8,437.19,8.48,952.505,Carbohydrate
Adrenaline,C9H23N1O4,80.96,2.16,150.412,Carbohydrate
Urea,C14H8N3O7,83.12,3.83,93.391,Lipid
Ethanol,C4H8N3O6,286.12,N/A,140.095,Organic Compound
Adrenaline,C16H24N4O1,537.23,10.8,128.135,Nucleotide
Cholesterol,C17H14N5O0,669.29,13.25,302.756,Alkaloid
Glucose,C3H21N1O10,451.24,1.89,462.193,Nucleotide
Adrenaline,C11H23N2O7,479.06,7.79,624.445,Neurotransmitter
Dopamine,C17H23N2O1,831.92,5.24,319.664,Neurotransmitter
Adrenaline,C13H14N2O7,869.55,5.27,833.446,Nucleotide
