compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C20H18N0O4,702.8,8.97,960.433,Alkaloid
Adrenaline,C14H2N3O8,657.86,8.21,90.254,Hormone
Serotonin,C1H10N5O7,596.36,N/A,638.32,Organic Compound
Serotonin,C8H2N1O1,924.88,11.83,699.32,Alkaloid
Serotonin,C3H28N5O10,784.11,3.5,98.798,Amide
Caffeine,C10H7N1O0,633.75,13.66,145.367,Neurotransmitter
Adrenaline,C17H32N3O3,937.35,N/A,372.169,Organic Compound
Serotonin,C8H36N2O4,445.58,1.85,511.919,Amide
Glucose,C18H14N2O8,984.94,4.68,341.821,Alcohol
Ethanol,C17H28N3O5,529.17,6.53,485.496,Lipid
Urea,C16H2N1O3,141.0,5.2,200.481,Amide
Glucose,C7H15N0O3,503.35,3.69,225.803,Neurotransmitter
Adenosine triphosphate,C9H39N0O7,335.91,2.87,629.054,Organic Compound
Cholesterol,C17H34N4O7,537.58,10.53,656.897,Amide
Ethanol,C6H28N4O3,709.43,6.46,337.661,Carbohydrate
Ethanol,C12H5N1O7,777.35,N/A,303.656,Amide
Dopamine,C13H18N0O1,826.34,N/A,278.612,Amide
Aspirin,C12H36N3O6,712.66,6.8,880.859,Alkaloid
Caffeine,C6H22N1O10,780.93,N/A,422.776,Organic Compound
Urea,C10H25N4O7,966.4,N/A,930.446,Alcohol
Cholesterol,C3H19N5O10,375.38,N/A,703.031,Neurotransmitter
Aspirin,C17H19N1O7,717.24,10.97,11.151,Hormone
Adenosine triphosphate,C5H17N2O6,58.42,9.76,717.638,Lipid
Adrenaline,C16H1N3O9,494.61,5.54,555.645,Carbohydrate
Adrenaline,C8H8N2O5,405.41,1.1,524.868,Amide
Urea,C11H10N3O8,422.53,3.17,265.21,Amide
Caffeine,C16H35N3O7,908.65,7.62,45.455,Organic Compound
Glucose,C11H33N3O6,206.48,4.35,839.052,Nucleotide
Caffeine,C7H17N5O8,414.1,9.97,228.649,Amide
Adrenaline,C15H8N2O2,913.03,8.85,130.349,Neurotransmitter
Aspirin,C17H28N0O2,125.65,5.52,631.757,Alkaloid
Aspirin,C4H20N2O5,455.41,N/A,82.689,Neurotransmitter
Glucose,C9H28N5O5,637.63,2.05,998.473,Neurotransmitter
Glucose,C12H29N1O0,250.71,1.17,841.645,Alcohol
Urea,C4H35N1O2,787.92,1.26,138.401,Lipid
Glucose,C5H28N5O4,249.43,12.32,289.596,Nucleotide
Cholesterol,C5H4N1O4,484.78,N/A,254.212,Neurotransmitter
Adrenaline,C17H25N5O1,65.18,13.78,441.863,Carbohydrate
Adenosine triphosphate,C4H6N1O0,510.0,N/A,768.608,Amide
Urea,C20H12N4O2,314.73,9.59,204.664,Hormone
Urea,C14H29N0O4,712.17,8.59,599.046,Carbohydrate
Serotonin,C13H9N3O2,373.73,4.98,941.799,Amide
Urea,C14H24N0O6,797.04,6.83,45.615,Hormone
Aspirin,C11H38N3O5,296.44,10.67,101.016,Alcohol
Dopamine,C5H37N4O2,907.66,8.8,664.436,Hormone
Glucose,C5H25N2O0,527.02,N/A,877.968,Lipid
Urea,C14H27N5O9,866.25,13.04,113.406,Alkaloid
Adrenaline,C6H16N4O5,53.85,7.1,4.929,Organic Compound
Ethanol,C1H26N0O1,984.84,N/A,428.622,Amide
Serotonin,C17H40N3O1,124.03,7.49,870.794,Lipid
Glucose,C9H7N3O0,589.29,N/A,14.968,Alkaloid
Adrenaline,C16H35N1O0,460.06,9.58,761.897,Lipid
Glucose,C15H31N4O2,623.42,11.88,605.387,Hormone
Adenosine triphosphate,C8H6N0O0,175.43,7.25,330.658,Nucleotide
Dopamine,C3H36N0O4,407.77,1.15,207.641,Amide
Urea,C4H22N1O8,358.24,N/A,144.983,Organic Compound
Urea,C7H33N4O6,420.28,N/A,938.439,Alkaloid
Dopamine,C14H11N2O3,300.85,2.19,437.327,Alcohol
Ethanol,C15H5N5O2,933.74,3.43,400.667,Hormone
Serotonin,C2H4N2O7,573.21,13.99,886.361,Alcohol
Serotonin,C7H1N2O1,247.27,13.29,322.651,Lipid
Cholesterol,C18H9N3O7,135.95,8.37,83.224,Lipid
Dopamine,C19H9N4O9,997.64,10.91,395.585,Amide
Urea,C7H21N2O2,436.47,8.03,522.997,Lipid
Adrenaline,C18H13N0O10,821.23,7.38,824.986,Amide
Aspirin,C5H10N5O9,119.38,N/A,886.852,Lipid
Glucose,C16H3N5O6,839.46,7.81,42.884,Neurotransmitter
Adrenaline,C17H22N1O10,514.52,13.87,799.485,Organic Compound
Glucose,C15H31N5O0,104.35,13.03,834.113,Neurotransmitter
Aspirin,C11H14N4O1,626.87,5.25,195.26,Hormone
Urea,C14H4N5O7,279.45,10.87,621.354,Hormone
Ethanol,C6H26N0O4,513.89,2.25,272.8,Alkaloid
Serotonin,C14H29N1O10,602.89,11.96,518.585,Alcohol
Adrenaline,C13H24N4O6,194.81,9.7,794.426,Nucleotide
Aspirin,C1H18N0O2,309.49,4.2,366.769,Organic Compound
Dopamine,C5H3N4O7,694.09,3.5,956.957,Neurotransmitter
Aspirin,C3H25N0O7,944.25,9.73,597.694,Nucleotide
Cholesterol,C19H10N4O9,320.67,7.02,480.488,Nucleotide
Dopamine,C11H1N2O5,269.54,8.57,225.921,Nucleotide
Aspirin,C9H5N3O0,747.01,9.61,410.468,Amide
Dopamine,C4H32N3O10,489.86,6.16,65.416,Neurotransmitter
Dopamine,C2H13N3O10,707.64,N/A,196.969,Lipid
Cholesterol,C9H18N2O8,147.38,2.0,974.624,Alkaloid
Urea,C8H38N3O3,417.47,11.8,663.755,Organic Compound
Cholesterol,C19H35N3O0,421.64,3.4,429.114,Organic Compound
Adrenaline,C1H24N3O8,386.35,2.09,193.99,Lipid
Caffeine,C11H13N0O8,114.38,12.78,540.643,Lipid
Urea,C7H12N5O9,586.08,3.26,465.408,Amide
Dopamine,C8H12N5O2,741.81,12.81,710.811,Lipid
Aspirin,C20H4N0O5,816.86,1.54,704.378,Amide
Urea,C4H34N5O3,262.25,4.78,374.618,Alkaloid
Adenosine triphosphate,C14H36N3O9,189.31,2.05,777.817,Neurotransmitter
Caffeine,C10H17N2O7,696.92,4.07,676.017,Carbohydrate
Dopamine,C14H25N4O3,672.53,8.79,265.532,Nucleotide
Urea,C11H37N3O10,349.97,2.83,818.386,Neurotransmitter
Adrenaline,C20H13N1O6,718.58,5.07,236.562,Carbohydrate
Urea,C18H7N3O2,101.02,4.06,257.697,Hormone
Adenosine triphosphate,C17H1N5O0,843.84,2.86,928.175,Carbohydrate
Dopamine,C3H28N5O2,70.1,9.39,553.631,Nucleotide
Ethanol,C16H23N2O9,426.84,7.17,779.732,Carbohydrate
Adrenaline,C16H30N4O10,422.32,N/A,419.195,Nucleotide
Adrenaline,C5H11N5O7,166.86,13.19,257.628,Neurotransmitter
Serotonin,C8H32N5O2,974.0,6.11,363.428,Amide
Urea,C20H16N0O0,229.82,5.8,197.933,Nucleotide
Adrenaline,C18H40N1O9,251.43,9.05,61.698,Lipid
Adrenaline,C12H23N2O1,234.72,N/A,452.535,Amide
Glucose,C7H10N5O8,563.32,10.38,481.006,Nucleotide
Adrenaline,C16H23N4O1,95.51,N/A,464.91,Lipid
Cholesterol,C19H37N3O9,863.32,5.13,887.71,Neurotransmitter
Adrenaline,C16H11N5O2,967.67,9.53,399.991,Amide
Aspirin,C10H39N3O0,593.22,11.49,49.362,Lipid
