compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C16H39N4O3,618.29,7.14,43.908,Hormone
Urea,C20H29N2O0,982.01,N/A,732.261,Hormone
Caffeine,C10H39N0O1,551.01,9.12,800.525,Lipid
Ethanol,C5H3N1O9,697.89,N/A,562.071,Carbohydrate
Dopamine,C16H29N3O1,854.96,8.25,182.754,Hormone
Adrenaline,C12H19N5O5,572.5,11.8,222.401,Lipid
Adenosine triphosphate,C2H15N2O0,345.49,4.76,818.552,Neurotransmitter
Adenosine triphosphate,C19H29N3O1,244.71,1.27,530.401,Carbohydrate
Adrenaline,C7H37N2O2,148.53,13.14,434.405,Alcohol
Serotonin,C4H10N0O9,340.08,10.53,861.774,Neurotransmitter
Glucose,C9H39N3O5,375.87,13.72,278.642,Lipid
Ethanol,C3H9N3O0,107.73,N/A,117.156,Nucleotide
Serotonin,C3H24N1O9,964.06,4.52,754.168,Alkaloid
Ethanol,C11H18N0O5,185.44,N/A,854.409,Amide
Cholesterol,C10H16N3O8,678.77,1.32,50.339,Lipid
Caffeine,C9H30N4O0,769.85,4.18,532.304,Lipid
Adenosine triphosphate,C18H24N3O4,468.8,9.35,324.524,Alcohol
Caffeine,C18H30N1O10,764.04,N/A,527.265,Nucleotide
Caffeine,C15H1N1O5,974.72,1.99,17.273,Alkaloid
Urea,C6H31N3O9,132.01,4.21,27.827,Carbohydrate
Caffeine,C7H10N4O4,235.61,4.34,188.299,Organic Compound
Urea,C5H5N2O8,244.27,6.25,699.364,Neurotransmitter
Ethanol,C3H3N4O7,427.54,12.54,548.946,Hormone
Adenosine triphosphate,C18H23N5O5,52.79,7.39,270.079,Nucleotide
Dopamine,C9H39N5O6,526.69,8.42,507.141,Alcohol
Adrenaline,C20H17N0O5,53.53,12.77,798.098,Alcohol
Glucose,C13H39N4O4,69.56,10.85,545.528,Alcohol
Glucose,C5H12N0O8,284.49,12.69,700.944,Hormone
Glucose,C15H30N2O3,780.66,9.36,485.282,Neurotransmitter
Cholesterol,C3H25N0O7,422.48,12.22,563.815,Alcohol
Aspirin,C6H2N3O7,465.62,2.64,417.861,Neurotransmitter
Adrenaline,C19H14N3O5,878.39,6.34,646.261,Amide
Glucose,C3H14N3O4,748.88,5.6,1.877,Lipid
Dopamine,C18H30N3O8,736.27,8.56,322.575,Lipid
Aspirin,C4H28N4O1,680.3,9.31,150.899,Organic Compound
Adrenaline,C9H24N0O1,167.16,2.26,833.939,Alkaloid
Cholesterol,C10H31N5O8,675.45,9.68,247.082,Organic Compound
Glucose,C4H24N5O4,396.44,10.43,838.95,Alkaloid
Caffeine,C8H12N3O8,345.17,6.77,28.487,Amide
Dopamine,C9H2N3O5,703.29,N/A,38.48,Alkaloid
Urea,C6H12N1O6,262.64,12.05,725.769,Amide
