compound,formula,mw,pka,solubility_mg_ml,class
Cholesterol,C3H33N1O7,602.34,3.24,427.389,Nucleotide
Serotonin,C5H35N4O3,313.72,10.58,483.293,Organic Compound
Adenosine triphosphate,C14H11N5O9,280.54,6.83,754.691,Neurotransmitter
Glucose,C12H28N1O8,315.76,1.74,938.612,Nucleotide
Caffeine,C4H28N1O4,390.32,N/A,7.025,Neurotransmitter
Dopamine,C14H9N2O1,673.68,5.39,971.55,Alcohol
Adrenaline,C6H7N3O5,127.48,1.6,68.396,Alkaloid
Adenosine triphosphate,C18H19N1O8,824.95,13.51,137.926,Hormone
Adrenaline,C16H30N2O6,599.66,9.87,784.935,Amide
Aspirin,C8H16N3O1,602.04,4.28,459.4,Organic Compound
Glucose,C12H13N2O7,434.11,N/A,688.617,Organic Compound
Adenosine triphosphate,C8H1N0O5,196.25,5.98,356.021,Alkaloid
Caffeine,C19H18N1O1,651.3,N/A,595.577,Organic Compound
Dopamine,C19H10N1O6,388.5,2.17,921.574,Neurotransmitter
Dopamine,C3H24N1O3,421.23,7.45,11.997,Amide
Aspirin,C1H5N0O9,334.99,3.74,37.67,Neurotransmitter
Glucose,C12H40N5O4,160.39,6.53,898.367,Alcohol
Ethanol,C13H17N4O5,482.84,8.69,783.889,Alcohol
Dopamine,C12H8N0O10,343.68,N/A,267.494,Amide
Serotonin,C16H5N2O5,695.17,11.09,759.887,Neurotransmitter
Cholesterol,C7H26N1O2,240.72,7.41,330.793,Carbohydrate
Serotonin,C10H36N5O5,532.73,N/A,729.874,Alcohol
Glucose,C17H1N3O2,167.96,4.26,613.926,Amide
Serotonin,C6H37N2O4,352.55,N/A,904.56,Organic Compound
Serotonin,C11H1N1O10,710.06,2.33,405.492,Amide
Adenosine triphosphate,C14H35N3O9,94.51,7.07,681.779,Carbohydrate
Urea,C12H15N0O6,279.87,10.81,973.414,Hormone
Serotonin,C15H13N5O2,324.12,2.18,179.83,Organic Compound
Serotonin,C19H38N1O9,294.07,5.05,826.802,Neurotransmitter
Adenosine triphosphate,C14H21N1O4,897.98,13.12,706.664,Organic Compound
Aspirin,C13H29N1O6,593.82,N/A,872.272,Nucleotide
Adenosine triphosphate,C5H32N4O6,380.7,10.73,638.776,Lipid
Aspirin,C17H10N2O3,955.6,10.03,242.051,Alcohol
Adrenaline,C10H20N1O7,662.74,5.26,469.004,Alcohol
Aspirin,C14H39N0O4,141.5,11.15,490.457,Carbohydrate
Ethanol,C7H24N5O7,327.41,N/A,184.957,Hormone
Cholesterol,C13H21N0O10,367.64,N/A,256.321,Amide
Glucose,C9H26N3O6,978.69,13.06,555.51,Hormone
Caffeine,C9H16N2O8,707.24,6.64,920.269,Carbohydrate
Serotonin,C17H5N4O7,926.42,9.02,392.331,Alcohol
Dopamine,C18H32N4O2,670.29,1.13,996.21,Organic Compound
Glucose,C10H16N5O0,693.38,10.62,976.457,Nucleotide
Ethanol,C5H6N4O10,207.82,11.56,287.154,Carbohydrate
Caffeine,C2H15N1O9,130.92,12.16,212.05,Carbohydrate
Adenosine triphosphate,C6H17N5O7,968.64,7.59,144.0,Alcohol
Dopamine,C2H39N5O0,614.83,1.37,586.938,Organic Compound
Adenosine triphosphate,C10H10N2O3,564.31,N/A,759.391,Neurotransmitter
Cholesterol,C11H35N5O6,154.82,N/A,680.994,Amide
Adenosine triphosphate,C9H36N1O4,326.15,3.75,552.252,Organic Compound
Serotonin,C18H5N4O5,186.1,1.59,539.269,Organic Compound
Aspirin,C11H5N3O7,954.9,11.79,475.104,Neurotransmitter
Glucose,C6H17N5O9,934.02,8.88,650.44,Neurotransmitter
Adenosine triphosphate,C12H33N4O5,503.31,5.73,149.575,Alcohol
Cholesterol,C3H18N4O0,987.58,13.2,486.664,Neurotransmitter
Adenosine triphosphate,C4H35N1O10,540.07,4.99,142.337,Alkaloid
Serotonin,C17H2N3O3,750.85,2.29,240.599,Alcohol
Serotonin,C20H4N5O10,860.97,N/A,383.512,Neurotransmitter
Adrenaline,C16H4N0O9,723.1,N/A,839.971,Alcohol
Glucose,C15H34N1O9,726.05,N/A,226.12,Alkaloid
Dopamine,C4H25N5O0,262.7,N/A,745.177,Nucleotide
Adrenaline,C6H29N4O5,469.94,N/A,353.835,Lipid
Serotonin,C10H36N2O3,512.82,6.34,336.043,Neurotransmitter
Glucose,C4H32N3O10,168.71,3.31,790.166,Hormone
Urea,C14H26N5O4,761.48,N/A,737.922,Hormone
Adenosine triphosphate,C16H33N1O3,960.88,10.1,517.294,Alkaloid
Ethanol,C5H4N0O9,226.8,N/A,144.696,Lipid
Ethanol,C6H27N1O7,54.88,N/A,460.708,Amide
Cholesterol,C12H10N0O2,804.68,N/A,945.575,Alcohol
Serotonin,C1H35N3O6,65.7,6.74,348.69,Organic Compound
Dopamine,C13H26N0O6,504.45,11.37,201.212,Alkaloid
Caffeine,C4H31N1O0,460.61,5.5,229.173,Alkaloid
Aspirin,C17H8N5O8,642.51,10.77,304.275,Amide
Glucose,C14H20N5O1,304.99,N/A,334.155,Lipid
Aspirin,C2H24N5O0,113.39,12.07,858.415,Amide
Ethanol,C8H39N2O6,435.84,8.37,840.492,Hormone
Urea,C4H39N1O0,97.01,8.78,573.091,Carbohydrate
Glucose,C5H5N4O9,417.67,3.77,721.2,Lipid
Caffeine,C6H26N2O7,309.87,N/A,630.12,Carbohydrate
