compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C3H3N3O5,503.61,5.4,531.839,Hormone
Adrenaline,C13H28N0O8,556.32,5.16,880.447,Organic Compound
Serotonin,C10H23N0O5,806.64,6.85,270.048,Neurotransmitter
Adenosine triphosphate,C6H3N1O9,376.76,5.24,263.124,Carbohydrate
Serotonin,C10H38N1O1,467.96,3.39,833.918,Organic Compound
Ethanol,C4H40N4O8,204.5,2.52,251.93,Nucleotide
Ethanol,C8H16N3O8,378.96,12.28,478.193,Alcohol
Dopamine,C16H32N3O10,141.35,N/A,956.423,Neurotransmitter
Cholesterol,C2H24N2O1,544.69,5.88,700.035,Amide
Ethanol,C3H14N1O3,707.12,N/A,217.613,Amide
Ethanol,C16H32N0O5,978.32,4.7,561.062,Alkaloid
Caffeine,C12H26N3O5,683.14,N/A,624.889,Amide
Aspirin,C17H1N4O4,535.48,4.36,91.493,Alcohol
Dopamine,C6H5N1O9,813.76,3.55,122.336,Alcohol
Urea,C16H9N5O10,294.89,3.58,848.424,Hormone
Adenosine triphosphate,C5H20N4O10,975.01,12.12,354.243,Alcohol
Urea,C17H20N5O7,811.24,N/A,872.082,Carbohydrate
Ethanol,C17H39N5O10,161.95,8.91,555.186,Organic Compound
Aspirin,C16H12N5O9,191.38,N/A,69.66,Neurotransmitter
Dopamine,C14H26N2O1,422.45,N/A,75.269,Nucleotide
Aspirin,C16H30N3O5,448.23,N/A,238.276,Alcohol
Caffeine,C6H17N1O2,723.41,9.66,224.328,Alkaloid
Ethanol,C2H32N2O5,490.87,N/A,184.141,Organic Compound
Adenosine triphosphate,C12H21N5O8,267.45,13.54,948.375,Carbohydrate
Dopamine,C20H39N5O2,930.57,5.95,709.34,Lipid
Ethanol,C2H28N0O7,788.95,6.41,941.041,Organic Compound
Cholesterol,C20H31N0O8,101.48,5.59,870.759,Nucleotide
Adenosine triphosphate,C10H25N4O2,848.39,1.48,601.689,Neurotransmitter
Adenosine triphosphate,C11H9N4O4,625.51,N/A,410.378,Amide
Caffeine,C14H26N3O0,853.62,11.57,19.514,Organic Compound
Dopamine,C15H33N0O6,839.92,11.87,507.679,Carbohydrate
Serotonin,C8H39N3O10,180.85,1.37,398.117,Hormone
Urea,C9H8N4O4,752.86,N/A,882.688,Neurotransmitter
Caffeine,C7H40N1O5,77.45,9.38,232.706,Nucleotide
Aspirin,C18H15N4O4,787.18,11.4,557.009,Nucleotide
Serotonin,C3H34N3O1,894.37,N/A,564.272,Alcohol
Dopamine,C13H40N2O10,787.99,N/A,177.87,Alcohol
Glucose,C15H36N3O9,137.57,N/A,453.43,Hormone
Ethanol,C17H31N3O7,237.44,12.02,226.443,Alcohol
Dopamine,C16H36N5O8,335.24,N/A,736.196,Carbohydrate
Urea,C8H23N0O3,754.3,N/A,794.273,Alkaloid
Caffeine,C18H36N0O0,376.77,5.35,816.232,Amide
Serotonin,C6H31N4O4,581.25,N/A,220.391,Neurotransmitter
Adrenaline,C9H15N0O6,683.29,4.61,691.167,Organic Compound
Urea,C4H10N0O8,895.02,N/A,598.559,Organic Compound
Adrenaline,C17H17N3O1,903.8,11.74,852.41,Carbohydrate
Glucose,C15H39N1O7,474.07,2.69,317.454,Lipid
Adenosine triphosphate,C8H22N2O6,692.85,3.42,249.573,Lipid
Caffeine,C19H25N1O9,311.52,8.61,468.249,Amide
Caffeine,C8H39N3O7,264.59,2.65,510.244,Organic Compound
Glucose,C15H29N0O6,218.47,4.5,761.501,Lipid
Urea,C5H17N5O9,703.89,1.7,707.343,Alcohol
Adrenaline,C9H34N0O9,321.73,8.99,667.312,Alcohol
Glucose,C10H8N0O0,954.81,2.67,534.441,Carbohydrate
Aspirin,C14H20N0O7,646.33,13.97,950.487,Nucleotide
Urea,C12H5N4O9,595.77,8.36,956.672,Organic Compound
Serotonin,C18H28N3O10,221.12,N/A,937.429,Neurotransmitter
Aspirin,C18H1N1O3,531.82,N/A,520.219,Alcohol
Cholesterol,C15H26N4O6,142.27,13.32,308.833,Hormone
Ethanol,C4H30N0O5,186.02,13.84,762.674,Amide
Cholesterol,C3H22N1O10,584.43,1.25,35.665,Organic Compound
Urea,C11H33N2O3,603.52,10.95,270.434,Nucleotide
Serotonin,C14H30N3O1,291.78,6.4,764.76,Alkaloid
Serotonin,C11H18N1O4,625.39,11.05,964.597,Hormone
Adenosine triphosphate,C13H33N4O2,234.41,N/A,864.063,Alkaloid
Urea,C15H34N2O1,194.83,9.5,752.758,Alkaloid
Caffeine,C18H5N5O7,867.98,9.72,887.519,Alcohol
Aspirin,C7H14N4O7,708.23,3.19,756.986,Alkaloid
Caffeine,C4H12N5O6,123.93,7.99,724.572,Nucleotide
Glucose,C17H7N0O2,289.17,12.19,976.683,Organic Compound
Cholesterol,C15H21N4O5,803.2,13.71,992.866,Hormone
Adenosine triphosphate,C12H19N1O10,672.73,12.22,546.597,Neurotransmitter
Ethanol,C13H25N2O3,484.19,N/A,554.956,Carbohydrate
Dopamine,C5H20N4O0,341.13,1.13,183.788,Alcohol
Ethanol,C8H30N2O9,969.98,4.27,711.087,Carbohydrate
Cholesterol,C12H7N3O3,736.42,3.02,807.667,Organic Compound
Cholesterol,C9H21N0O2,537.97,4.97,250.683,Amide
Cholesterol,C5H20N3O1,285.15,N/A,669.446,Neurotransmitter
Serotonin,C7H4N4O6,420.26,3.99,478.518,Nucleotide
Glucose,C20H39N3O5,775.17,12.62,298.421,Organic Compound
Adrenaline,C2H31N5O7,386.85,6.84,508.226,Organic Compound
Ethanol,C15H21N5O0,852.83,6.44,865.453,Carbohydrate
Urea,C5H12N2O0,466.63,12.0,570.088,Alkaloid
Ethanol,C18H39N3O5,676.52,8.69,270.076,Alcohol
Caffeine,C4H36N4O10,626.23,10.34,692.025,Alkaloid
Serotonin,C3H14N4O9,450.91,4.83,991.27,Alkaloid
Caffeine,C7H27N0O9,700.88,N/A,901.02,Carbohydrate
Aspirin,C1H22N3O4,713.23,4.04,658.275,Hormone
Caffeine,C12H24N1O1,393.89,7.15,889.741,Lipid
Adenosine triphosphate,C3H14N5O6,923.18,12.39,886.529,Amide
Adrenaline,C7H36N4O5,61.65,4.6,693.53,Nucleotide
Aspirin,C1H8N2O2,361.66,10.5,163.553,Alcohol
Adrenaline,C19H17N5O6,287.38,5.28,168.345,Nucleotide
Caffeine,C11H10N4O0,625.31,12.72,736.87,Lipid
Caffeine,C20H10N2O5,420.21,4.0,690.648,Neurotransmitter
Ethanol,C2H13N4O3,138.1,5.74,46.269,Neurotransmitter
Ethanol,C1H6N0O3,483.03,9.7,425.032,Carbohydrate
Serotonin,C14H31N1O7,392.24,10.02,109.06,Amide
Aspirin,C5H13N5O10,764.05,N/A,154.991,Nucleotide
Adenosine triphosphate,C10H18N0O3,619.84,11.47,496.761,Organic Compound
Caffeine,C15H25N5O4,737.13,1.59,616.768,Organic Compound
Caffeine,C8H13N2O5,758.14,N/A,710.023,Carbohydrate
Cholesterol,C17H13N4O6,382.61,12.2,5.696,Neurotransmitter
Cholesterol,C18H36N1O7,642.97,5.26,792.416,Neurotransmitter
Adenosine triphosphate,C15H37N1O5,319.02,N/A,380.305,Neurotransmitter
Adenosine triphosphate,C4H5N1O7,63.04,13.46,989.234,Neurotransmitter
Glucose,C3H36N0O7,629.45,13.11,67.651,Alcohol
Caffeine,C13H25N5O8,278.64,13.2,957.239,Hormone
Aspirin,C19H39N0O5,68.42,8.35,717.757,Hormone
Dopamine,C5H38N4O8,111.32,N/A,995.411,Organic Compound
Glucose,C20H24N2O3,376.55,13.44,152.231,Hormone
Serotonin,C14H1N0O5,606.51,1.9,855.404,Lipid
Adenosine triphosphate,C16H31N1O2,629.83,11.36,643.853,Carbohydrate
Dopamine,C5H35N4O8,787.02,3.84,369.32,Hormone
Adrenaline,C5H36N5O4,995.96,N/A,730.082,Alkaloid
Cholesterol,C14H19N0O10,967.7,N/A,167.71,Nucleotide
Caffeine,C4H19N4O10,625.89,11.81,539.996,Neurotransmitter
Aspirin,C18H14N2O5,500.81,9.38,571.515,Hormone
Glucose,C16H29N4O8,106.89,7.88,138.183,Nucleotide
Adenosine triphosphate,C14H13N3O1,72.82,8.11,200.647,Carbohydrate
Adenosine triphosphate,C4H30N1O4,851.91,13.86,726.695,Alkaloid
Ethanol,C8H28N1O6,86.15,11.66,670.408,Carbohydrate
Adrenaline,C5H38N4O0,682.27,N/A,924.54,Carbohydrate
Glucose,C4H39N5O0,936.14,12.6,391.089,Hormone
Dopamine,C3H1N1O9,135.69,N/A,364.481,Neurotransmitter
Caffeine,C3H31N4O3,198.27,6.86,314.097,Hormone
Glucose,C12H16N0O7,215.3,6.67,546.124,Alcohol
Dopamine,C15H25N0O7,354.93,12.41,60.848,Organic Compound
Dopamine,C7H13N0O3,53.09,5.27,398.32,Alkaloid
Ethanol,C17H37N2O2,559.43,N/A,190.12,Neurotransmitter
Adrenaline,C8H2N0O4,426.06,13.79,911.084,Alcohol
Aspirin,C7H19N3O9,675.76,5.82,387.653,Alcohol
Glucose,C10H11N1O7,554.66,3.16,343.856,Amide
Glucose,C19H37N4O10,655.8,11.18,106.729,Carbohydrate
Caffeine,C14H18N3O5,445.71,N/A,98.14,Nucleotide
Adenosine triphosphate,C14H7N0O1,81.88,8.34,295.466,Carbohydrate
Urea,C11H35N1O1,747.92,5.47,312.663,Organic Compound
Adrenaline,C16H1N4O3,81.28,1.82,348.04,Amide
Dopamine,C5H17N2O0,337.47,3.25,187.076,Amide
Ethanol,C7H2N4O6,496.55,2.28,967.588,Nucleotide
Dopamine,C17H17N3O6,678.92,4.3,842.441,Amide
Dopamine,C19H17N2O3,593.37,7.64,178.072,Neurotransmitter
Urea,C20H9N0O4,896.72,10.32,548.98,Hormone
Glucose,C11H30N2O1,407.04,7.6,52.365,Organic Compound
Adenosine triphosphate,C2H19N4O4,486.79,N/A,701.783,Alkaloid
Dopamine,C19H26N0O9,754.0,11.04,481.177,Organic Compound
Serotonin,C11H36N1O2,676.95,10.3,915.296,Alkaloid
Adrenaline,C18H17N1O1,274.7,7.95,940.444,Carbohydrate
Ethanol,C4H4N0O4,94.68,2.4,957.261,Hormone
Caffeine,C4H28N4O1,466.13,N/A,472.117,Nucleotide
Glucose,C17H32N4O7,647.17,1.7,288.093,Nucleotide
Dopamine,C12H14N1O3,452.09,5.97,210.637,Nucleotide
Adrenaline,C20H14N4O4,715.37,3.7,360.042,Alcohol
Cholesterol,C17H33N2O0,55.5,N/A,122.195,Lipid
Adrenaline,C10H15N2O0,781.94,10.18,729.517,Hormone
Urea,C1H30N0O7,363.6,8.99,269.205,Alkaloid
Glucose,C15H14N4O1,146.64,7.2,28.476,Lipid
Cholesterol,C2H28N4O9,441.34,1.12,435.606,Amide
Serotonin,C3H8N1O10,344.16,6.69,61.743,Organic Compound
Adenosine triphosphate,C11H17N0O1,396.89,5.66,313.357,Alkaloid
Glucose,C6H4N0O3,297.55,3.1,58.118,Carbohydrate
Serotonin,C6H18N4O5,767.72,N/A,158.724,Nucleotide
Caffeine,C16H27N2O8,414.74,4.01,982.344,Lipid
Dopamine,C19H40N3O4,58.5,8.53,423.812,Organic Compound
Glucose,C16H25N0O7,847.52,6.56,771.534,Neurotransmitter
Ethanol,C7H27N4O6,527.84,2.89,743.982,Nucleotide
Caffeine,C6H5N5O0,727.66,12.91,369.349,Amide
Adrenaline,C17H3N1O1,272.24,11.34,566.024,Lipid
Glucose,C3H11N2O9,531.96,5.19,871.857,Hormone
Glucose,C16H37N4O10,179.16,2.29,658.017,Alcohol
Adenosine triphosphate,C1H9N2O10,209.59,10.24,418.395,Amide
Adrenaline,C17H24N3O8,524.17,7.14,18.936,Lipid
Cholesterol,C10H15N2O2,517.88,N/A,580.819,Carbohydrate
Caffeine,C9H6N0O1,130.6,1.12,640.323,Carbohydrate
Adrenaline,C12H28N1O6,762.19,12.89,293.388,Hormone
Dopamine,C12H9N4O2,567.98,13.45,431.577,Alcohol
Dopamine,C17H35N5O0,775.46,8.5,656.999,Organic Compound
Adrenaline,C19H38N2O7,702.33,5.53,384.105,Carbohydrate
Adenosine triphosphate,C2H15N5O10,922.01,3.18,600.924,Amide
Adrenaline,C13H19N1O2,406.54,N/A,899.05,Nucleotide
Adenosine triphosphate,C3H13N5O10,725.92,N/A,242.841,Nucleotide
Aspirin,C9H30N3O9,160.44,N/A,404.561,Alkaloid
Adrenaline,C15H19N5O8,628.02,4.82,592.925,Hormone
Serotonin,C15H27N3O4,599.73,N/A,569.542,Carbohydrate
Serotonin,C10H16N1O3,926.41,4.06,421.715,Nucleotide
Ethanol,C13H23N1O4,68.73,5.27,994.323,Alcohol
Serotonin,C2H27N5O10,543.02,6.16,533.049,Alkaloid
Aspirin,C10H8N3O8,964.53,4.17,306.393,Alcohol
Caffeine,C14H29N0O10,686.72,4.12,62.487,Hormone
Aspirin,C9H32N2O7,416.89,3.26,382.236,Neurotransmitter
Adrenaline,C6H8N4O4,581.62,10.21,892.862,Neurotransmitter
Cholesterol,C12H17N5O5,772.73,11.97,922.494,Organic Compound
Cholesterol,C11H16N3O3,150.75,12.42,953.705,Hormone
Cholesterol,C3H10N5O5,401.34,12.95,559.418,Lipid
Glucose,C6H38N4O3,615.4,1.41,922.487,Hormone
Serotonin,C16H7N2O0,403.89,8.31,460.796,Amide
Urea,C17H16N1O5,417.29,7.37,435.919,Alcohol
Serotonin,C3H35N4O4,780.7,N/A,790.342,Amide
Cholesterol,C9H20N0O9,743.8,1.3,28.27,Alcohol
Glucose,C11H14N5O5,640.76,N/A,864.665,Alkaloid
Glucose,C16H4N0O9,557.45,2.32,612.661,Carbohydrate
Urea,C15H29N3O9,853.6,6.27,926.881,Hormone
Glucose,C3H17N1O6,555.57,6.68,318.772,Organic Compound
Caffeine,C5H32N2O2,395.88,1.49,807.985,Alcohol
Caffeine,C16H14N1O0,106.69,13.6,474.825,Lipid
Glucose,C1H28N1O4,533.3,6.13,711.205,Hormone
Adenosine triphosphate,C12H39N1O8,109.93,4.01,617.119,Amide
Adenosine triphosphate,C10H38N1O0,70.21,10.43,716.105,Lipid
Adrenaline,C16H34N2O6,802.19,10.88,75.206,Alkaloid
Serotonin,C3H26N0O3,548.15,4.86,706.25,Amide
Adrenaline,C18H18N3O9,513.94,5.63,310.368,Hormone
Urea,C13H36N0O10,729.06,4.26,446.52,Alcohol
Urea,C18H32N4O10,760.67,1.22,871.556,Alkaloid
Urea,C10H6N3O10,639.19,N/A,79.87,Hormone
Urea,C16H14N3O10,262.82,12.22,515.089,Organic Compound
Dopamine,C20H3N5O0,152.55,N/A,217.508,Alcohol
Caffeine,C12H27N5O1,491.82,8.31,805.804,Organic Compound
Ethanol,C11H28N1O7,193.26,6.74,2.54,Alkaloid
Adenosine triphosphate,C14H18N5O7,810.58,N/A,556.692,Organic Compound
Glucose,C6H32N2O1,889.41,N/A,581.419,Hormone
Aspirin,C1H23N1O7,703.82,6.56,687.566,Organic Compound
Ethanol,C7H10N4O7,847.01,3.39,447.11,Neurotransmitter
Ethanol,C6H30N1O10,157.01,9.89,516.341,Lipid
Urea,C10H5N3O10,70.57,4.62,86.908,Lipid
Ethanol,C13H8N1O3,712.66,N/A,147.721,Organic Compound
Ethanol,C9H31N1O2,121.95,N/A,63.747,Nucleotide
Glucose,C5H11N3O1,151.09,8.09,352.178,Alcohol
Serotonin,C10H17N5O1,536.1,11.27,372.031,Alkaloid
Urea,C14H36N0O4,648.26,13.06,207.085,Hormone
Caffeine,C7H26N4O8,336.82,N/A,536.347,Nucleotide
Serotonin,C9H16N4O10,312.56,13.99,580.368,Nucleotide
Caffeine,C3H28N4O7,866.38,N/A,825.467,Nucleotide
Aspirin,C14H8N0O3,730.97,4.46,908.773,Amide
Urea,C5H21N1O3,330.79,4.48,511.936,Alcohol
Urea,C20H34N1O6,838.24,6.28,962.007,Alkaloid
Ethanol,C5H4N0O5,232.65,7.62,39.797,Carbohydrate
