compound,formula,mw,pka,solubility_mg_ml,class
Adrenaline,C2H4N5O5,441.74,12.82,779.162,Carbohydrate
Adenosine triphosphate,C16H38N4O4,756.41,1.53,471.523,Hormone
Ethanol,C17H17N3O7,678.64,7.32,380.651,Neurotransmitter
Cholesterol,C6H3N3O7,660.86,5.43,381.572,Organic Compound
Adenosine triphosphate,C13H27N4O4,348.0,7.75,570.257,Carbohydrate
Aspirin,C1H7N1O4,896.03,N/A,902.249,Alkaloid
Cholesterol,C17H17N2O6,464.79,N/A,840.532,Organic Compound
Adrenaline,C7H29N3O6,736.56,13.92,82.386,Nucleotide
Cholesterol,C8H6N1O9,675.01,2.5,421.238,Lipid
Aspirin,C15H2N2O1,496.39,5.64,881.826,Organic Compound
Adenosine triphosphate,C1H4N3O4,656.87,6.28,868.208,Hormone
Cholesterol,C10H20N2O0,330.12,5.83,547.757,Alkaloid
Ethanol,C19H15N1O8,704.77,N/A,605.223,Neurotransmitter
Serotonin,C17H12N3O3,567.58,6.61,712.882,Nucleotide
Serotonin,C4H15N4O7,443.19,2.19,533.854,Nucleotide
Serotonin,C13H38N0O4,76.16,6.73,271.158,Hormone
Cholesterol,C15H15N3O6,825.76,N/A,722.824,Amide
Cholesterol,C10H9N1O8,621.65,5.08,543.392,Amide
Dopamine,C12H6N3O2,828.5,9.38,415.418,Lipid
Urea,C16H2N2O3,401.65,9.98,988.453,Neurotransmitter
Serotonin,C20H29N5O0,747.06,11.62,404.413,Carbohydrate
Glucose,C7H29N4O10,148.33,8.9,123.954,Carbohydrate
Adenosine triphosphate,C4H40N4O4,840.16,10.39,767.321,Nucleotide
Serotonin,C13H22N4O3,807.53,N/A,450.968,Lipid
Adenosine triphosphate,C12H6N1O4,651.13,7.16,434.232,Hormone
Adrenaline,C3H10N4O4,693.98,3.6,601.945,Alkaloid
Ethanol,C17H11N3O5,998.2,10.44,230.204,Alkaloid
Adenosine triphosphate,C10H34N0O3,355.56,1.75,740.535,Carbohydrate
Glucose,C19H15N5O2,789.09,N/A,217.384,Amide
Ethanol,C14H19N5O3,412.29,13.58,132.972,Amide
Urea,C12H11N4O9,490.22,2.0,760.114,Alkaloid
Urea,C10H33N1O3,527.42,4.28,376.335,Carbohydrate
Urea,C1H7N2O8,185.82,1.2,865.932,Nucleotide
Adenosine triphosphate,C20H26N2O4,377.56,N/A,617.253,Alcohol
Aspirin,C17H25N2O10,295.93,4.12,732.754,Alcohol
Adrenaline,C15H38N0O5,539.83,N/A,33.492,Neurotransmitter
Cholesterol,C17H32N2O8,396.81,8.01,371.349,Carbohydrate
Adenosine triphosphate,C15H31N3O2,908.69,12.35,442.352,Carbohydrate
Dopamine,C11H1N2O5,519.0,N/A,587.779,Lipid
Urea,C16H12N2O9,454.02,1.45,251.599,Organic Compound
Adenosine triphosphate,C10H28N4O4,805.58,11.85,836.174,Organic Compound
Serotonin,C16H4N4O3,692.4,12.01,973.098,Organic Compound
Serotonin,C20H1N2O9,151.83,6.0,140.703,Nucleotide
Caffeine,C8H26N1O9,384.8,8.3,943.733,Carbohydrate
Caffeine,C10H3N2O6,149.23,1.96,190.651,Hormone
Glucose,C19H22N3O4,611.18,5.13,720.847,Alkaloid
Ethanol,C17H29N4O5,508.33,10.29,822.594,Alcohol
Adrenaline,C6H32N1O7,662.58,6.53,30.113,Carbohydrate
Cholesterol,C17H18N2O9,89.61,13.47,820.274,Amide
Serotonin,C15H7N1O8,241.63,8.91,13.329,Nucleotide
Aspirin,C5H18N0O5,604.65,8.86,117.319,Lipid
Dopamine,C2H33N4O3,89.66,11.63,210.576,Amide
Adenosine triphosphate,C20H6N3O5,185.04,N/A,346.055,Nucleotide
Urea,C18H18N0O0,896.06,N/A,416.024,Organic Compound
