compound,formula,mw,pka,solubility_mg_ml,class
Glucose,C10H36N0O1,204.17,2.11,250.949,Carbohydrate
Urea,C18H33N2O10,212.23,13.41,425.017,Hormone
Urea,C10H26N0O7,607.86,5.12,388.924,Organic Compound
Serotonin,C16H33N4O0,445.63,2.85,756.459,Lipid
Adrenaline,C13H29N2O9,917.29,1.85,144.503,Nucleotide
Caffeine,C1H23N3O10,215.85,2.9,286.236,Neurotransmitter
Adrenaline,C20H35N1O2,594.47,5.34,827.044,Alcohol
Dopamine,C19H15N0O1,536.8,5.53,945.068,Alkaloid
Caffeine,C8H15N5O6,107.36,9.03,570.68,Lipid
Adenosine triphosphate,C11H21N1O1,967.47,9.4,14.171,Carbohydrate
Dopamine,C17H19N0O1,203.31,7.26,39.518,Alcohol
Urea,C20H20N2O5,741.04,4.61,508.115,Amide
Glucose,C11H10N1O3,265.48,12.57,239.458,Alcohol
Adrenaline,C9H36N4O1,519.28,N/A,942.856,Alcohol
Adenosine triphosphate,C13H3N0O3,444.38,6.4,430.304,Carbohydrate
Serotonin,C17H19N3O4,315.72,12.75,509.468,Alcohol
Cholesterol,C17H25N1O2,956.69,N/A,445.522,Nucleotide
Adrenaline,C1H10N5O2,68.63,6.81,489.244,Alcohol
Ethanol,C15H22N5O5,292.73,2.1,97.693,Hormone
Serotonin,C17H2N2O0,642.85,2.78,399.314,Carbohydrate
Cholesterol,C6H15N2O7,188.33,2.36,182.032,Alkaloid
Serotonin,C17H37N2O3,371.74,7.33,563.581,Alcohol
Ethanol,C1H7N5O0,401.45,N/A,9.202,Alcohol
Caffeine,C2H16N4O0,497.65,13.77,521.622,Alcohol
Caffeine,C17H23N3O3,915.16,10.25,907.215,Hormone
Aspirin,C16H30N5O10,946.8,6.89,352.74,Organic Compound
Adenosine triphosphate,C9H12N0O3,442.69,11.24,408.633,Lipid
Caffeine,C1H10N0O8,53.21,3.97,208.56,Alcohol
Dopamine,C7H30N1O4,988.52,13.35,399.311,Organic Compound
Serotonin,C20H10N4O9,223.69,3.73,184.359,Amide
Cholesterol,C3H22N3O0,544.7,2.41,867.562,Organic Compound
Dopamine,C8H22N4O0,345.11,N/A,284.399,Nucleotide
Adrenaline,C18H16N5O7,251.81,4.43,657.025,Hormone
Ethanol,C5H5N3O1,658.87,5.46,73.81,Carbohydrate
Ethanol,C8H19N0O8,472.73,11.48,723.215,Amide
Urea,C6H23N1O0,319.67,3.61,168.014,Carbohydrate
Ethanol,C7H12N3O5,604.13,5.68,831.724,Neurotransmitter
Caffeine,C7H36N3O10,149.35,11.09,69.316,Carbohydrate
Urea,C17H34N2O2,549.57,2.16,72.902,Amide
Cholesterol,C4H1N3O1,677.93,4.39,590.493,Alcohol
Cholesterol,C9H40N3O5,339.95,10.2,225.863,Lipid
Aspirin,C19H12N0O0,646.96,5.09,248.25,Alkaloid
Glucose,C16H33N2O1,966.18,4.43,669.453,Hormone
Serotonin,C15H22N3O6,728.21,1.01,96.327,Organic Compound
Cholesterol,C10H36N4O5,376.82,1.52,995.332,Lipid
Ethanol,C8H38N1O5,682.41,6.56,688.643,Hormone
Urea,C13H9N2O1,530.17,10.07,233.216,Organic Compound
Ethanol,C9H22N2O4,393.63,11.06,687.812,Neurotransmitter
Dopamine,C8H8N3O3,116.46,11.93,189.323,Carbohydrate
Urea,C4H9N2O7,336.36,5.45,303.939,Lipid
Serotonin,C1H25N3O9,611.19,9.09,724.445,Alkaloid
Adrenaline,C13H4N0O1,568.94,9.58,769.894,Neurotransmitter
Caffeine,C18H28N3O4,639.22,4.13,486.951,Hormone
Cholesterol,C13H12N4O7,424.28,12.04,194.534,Lipid
Ethanol,C10H14N3O0,60.89,N/A,147.785,Amide
Aspirin,C9H25N0O1,838.24,5.09,524.85,Nucleotide
Adrenaline,C15H32N3O5,500.41,8.24,60.745,Alcohol
Cholesterol,C8H11N4O1,662.99,7.83,337.121,Nucleotide
Serotonin,C8H7N2O5,131.12,3.53,79.848,Carbohydrate
Urea,C3H10N4O9,178.4,9.8,143.809,Amide
Adrenaline,C7H30N5O1,524.17,N/A,130.684,Lipid
Urea,C1H22N4O9,401.37,N/A,904.856,Alcohol
Glucose,C5H31N4O9,902.68,9.64,991.48,Organic Compound
Caffeine,C18H32N3O7,513.09,8.44,757.916,Hormone
Adrenaline,C3H20N1O1,645.55,11.7,301.809,Nucleotide
Urea,C19H29N5O3,78.85,6.05,730.375,Hormone
Ethanol,C14H30N4O9,246.44,5.57,983.118,Organic Compound
Aspirin,C10H38N1O10,846.33,2.37,108.941,Nucleotide
Urea,C9H11N4O3,940.94,11.46,467.1,Organic Compound
Adenosine triphosphate,C17H25N5O8,416.54,10.41,752.99,Carbohydrate
Adenosine triphosphate,C18H25N5O10,175.48,2.76,992.007,Amide
Adenosine triphosphate,C8H22N4O5,868.57,N/A,715.287,Nucleotide
Dopamine,C1H20N0O6,354.87,N/A,64.289,Hormone
Cholesterol,C12H16N0O7,961.82,13.89,379.715,Carbohydrate
Cholesterol,C4H11N5O0,339.87,5.13,830.842,Lipid
Dopamine,C9H6N1O7,618.07,7.76,706.415,Organic Compound
Serotonin,C8H28N1O0,505.6,3.95,768.594,Alcohol
Urea,C3H4N4O10,471.61,1.19,12.655,Neurotransmitter
Adrenaline,C13H5N5O8,348.88,5.58,706.97,Alcohol
Adrenaline,C3H35N5O5,611.25,12.84,349.494,Alkaloid
Caffeine,C9H38N4O3,69.37,10.06,232.083,Lipid
Serotonin,C13H37N2O10,461.38,13.44,15.892,Alcohol
Glucose,C1H23N2O1,748.86,6.28,380.301,Nucleotide
Adrenaline,C13H25N5O6,631.82,2.43,62.369,Alcohol
Cholesterol,C20H13N1O10,233.42,10.75,831.917,Neurotransmitter
Glucose,C12H5N2O6,887.29,5.72,93.534,Amide
Serotonin,C9H14N4O0,71.57,1.54,997.064,Amide
Glucose,C3H34N5O1,972.25,1.36,32.45,Carbohydrate
Cholesterol,C2H7N2O1,489.88,13.33,62.551,Carbohydrate
Adenosine triphosphate,C3H27N5O4,276.11,13.0,816.188,Carbohydrate
Adenosine triphosphate,C18H16N1O9,282.03,5.84,617.029,Alcohol
Glucose,C4H1N3O8,153.72,1.99,892.709,Nucleotide
Aspirin,C1H31N3O4,137.32,N/A,212.574,Neurotransmitter
Dopamine,C9H20N1O1,596.79,6.65,30.537,Carbohydrate
Adenosine triphosphate,C9H18N4O1,679.27,3.61,265.425,Lipid
Ethanol,C18H7N3O10,151.63,10.56,904.553,Nucleotide
Glucose,C16H13N4O9,869.1,7.13,664.462,Alcohol
Serotonin,C8H2N4O8,348.08,11.89,968.62,Alcohol
Serotonin,C8H5N1O6,577.74,4.54,591.535,Organic Compound
Urea,C6H2N1O8,383.08,4.32,214.882,Organic Compound
Dopamine,C16H6N3O2,728.06,6.13,927.881,Carbohydrate
Dopamine,C7H37N0O7,402.15,9.12,727.556,Organic Compound
Glucose,C2H13N1O10,98.21,6.35,949.887,Nucleotide
Glucose,C8H13N2O7,334.82,8.56,306.076,Neurotransmitter
Caffeine,C17H22N0O0,392.53,10.42,81.126,Amide
Adrenaline,C18H9N4O7,53.56,11.27,56.516,Neurotransmitter
Caffeine,C2H3N4O5,392.2,3.55,726.386,Organic Compound
Urea,C20H27N1O10,710.88,N/A,347.689,Carbohydrate
Adenosine triphosphate,C10H18N0O2,957.19,N/A,356.751,Amide
Cholesterol,C16H40N2O1,907.86,12.73,165.415,Alcohol
Ethanol,C14H24N3O10,914.08,12.61,586.085,Neurotransmitter
Ethanol,C1H10N3O3,836.94,13.85,601.752,Hormone
Cholesterol,C1H5N5O7,601.86,9.97,870.33,Hormone
Aspirin,C6H38N0O8,590.04,N/A,907.81,Alkaloid
Caffeine,C14H11N0O8,599.55,12.66,21.776,Alkaloid
Adenosine triphosphate,C12H21N0O3,714.0,1.8,15.152,Alcohol
Adenosine triphosphate,C17H32N4O9,870.12,N/A,967.598,Alkaloid
Cholesterol,C10H26N5O3,480.78,4.72,965.95,Lipid
Glucose,C19H1N5O5,502.33,13.27,21.962,Lipid
Ethanol,C9H1N2O4,490.58,N/A,27.435,Nucleotide
Glucose,C2H7N3O8,431.46,10.74,125.996,Alcohol
Adenosine triphosphate,C10H37N2O1,155.1,N/A,122.072,Lipid
Adrenaline,C5H33N5O5,166.9,4.14,84.41,Carbohydrate
Serotonin,C9H13N2O0,572.15,1.14,460.757,Carbohydrate
Glucose,C11H5N3O8,784.34,6.79,925.02,Alkaloid
Glucose,C9H35N5O4,998.08,6.36,621.056,Amide
Glucose,C7H16N1O2,334.73,5.75,502.734,Lipid
Dopamine,C12H39N4O5,828.32,6.4,354.499,Alkaloid
Ethanol,C2H18N3O6,99.67,6.09,192.002,Hormone
Serotonin,C15H40N5O6,942.99,13.53,154.275,Lipid
Adenosine triphosphate,C18H2N4O6,262.12,N/A,361.58,Carbohydrate
Ethanol,C19H33N3O4,977.67,10.1,469.7,Nucleotide
Cholesterol,C4H13N1O1,190.52,N/A,523.193,Amide
Dopamine,C20H12N4O10,622.5,6.26,809.173,Hormone
Adrenaline,C1H28N4O3,615.01,N/A,860.992,Lipid
Dopamine,C8H1N0O10,86.09,4.12,343.599,Organic Compound
Glucose,C9H27N3O6,339.07,11.01,620.351,Neurotransmitter
Cholesterol,C12H1N5O1,970.12,9.58,649.693,Hormone
Adrenaline,C14H39N2O0,333.93,3.57,748.443,Nucleotide
Urea,C17H40N4O9,61.74,9.05,941.721,Nucleotide
Serotonin,C16H13N4O6,628.62,3.42,581.471,Neurotransmitter
Ethanol,C4H32N5O4,925.1,12.68,474.263,Alkaloid
Adrenaline,C3H23N3O6,975.81,N/A,661.358,Alkaloid
Caffeine,C18H4N0O3,629.57,6.56,958.014,Lipid
Aspirin,C10H35N3O7,183.46,N/A,624.618,Carbohydrate
Serotonin,C10H17N1O5,895.22,2.45,717.021,Amide
Adenosine triphosphate,C11H13N0O6,104.09,2.67,327.392,Alcohol
Aspirin,C4H32N4O10,717.55,6.82,597.943,Carbohydrate
Adenosine triphosphate,C15H38N3O4,477.2,4.73,634.545,Organic Compound
Cholesterol,C11H14N1O2,419.25,1.88,784.775,Carbohydrate
Aspirin,C5H7N2O10,748.84,4.19,322.963,Lipid
Caffeine,C20H32N3O1,855.6,N/A,28.041,Neurotransmitter
Glucose,C14H34N5O1,795.31,N/A,490.672,Amide
Ethanol,C20H31N5O2,515.69,N/A,576.021,Alkaloid
Serotonin,C19H34N4O9,195.06,N/A,834.971,Nucleotide
Aspirin,C6H22N5O4,741.35,13.3,713.954,Alkaloid
Serotonin,C13H27N1O7,248.3,11.96,914.059,Alkaloid
Dopamine,C10H2N1O10,388.44,6.43,121.79,Alcohol
Dopamine,C3H19N5O0,809.49,2.07,42.389,Amide
Ethanol,C7H29N0O10,376.66,2.42,363.792,Hormone
Aspirin,C16H21N5O3,290.83,5.84,750.329,Neurotransmitter
Ethanol,C13H21N0O1,833.18,5.09,614.529,Amide
Ethanol,C20H32N4O5,566.06,2.78,950.146,Carbohydrate
Adrenaline,C11H1N1O6,818.13,3.52,589.436,Lipid
Serotonin,C6H21N2O10,606.05,5.3,345.121,Nucleotide
Adrenaline,C15H26N5O6,812.7,2.86,494.687,Carbohydrate
Adenosine triphosphate,C3H1N2O0,697.05,7.31,737.385,Nucleotide
Adrenaline,C5H32N4O1,60.17,6.06,509.848,Nucleotide
Cholesterol,C14H35N1O5,354.23,6.41,115.91,Amide
Glucose,C9H14N4O0,172.8,6.78,520.433,Alkaloid
Caffeine,C10H18N5O10,145.62,N/A,7.719,Lipid
Adenosine triphosphate,C8H39N2O10,341.16,9.08,556.296,Neurotransmitter
Serotonin,C20H1N3O10,520.06,N/A,477.444,Nucleotide
Adrenaline,C19H15N1O7,393.69,10.15,610.242,Lipid
Dopamine,C15H30N3O0,135.97,2.43,385.427,Alcohol
Serotonin,C9H38N2O8,757.74,13.41,334.861,Hormone
Cholesterol,C5H25N5O9,890.05,12.45,916.079,Alkaloid
Adrenaline,C13H4N1O10,774.0,7.71,731.301,Alkaloid
Urea,C16H1N4O8,818.45,10.17,360.028,Alkaloid
Adenosine triphosphate,C18H37N5O6,944.79,N/A,60.986,Organic Compound
Adrenaline,C9H25N3O1,404.26,13.32,712.864,Hormone
Aspirin,C7H40N0O8,307.85,7.69,627.736,Organic Compound
Cholesterol,C18H35N4O6,931.0,1.21,317.138,Alkaloid
Cholesterol,C3H27N3O7,850.74,10.83,893.818,Alcohol
Glucose,C11H17N0O1,887.71,13.18,961.47,Alkaloid
Aspirin,C5H30N4O9,662.53,2.62,439.408,Carbohydrate
Ethanol,C4H13N0O0,644.42,8.39,3.041,Alkaloid
Glucose,C14H7N0O6,778.86,4.0,862.228,Lipid
Aspirin,C16H1N1O10,619.55,7.38,262.916,Hormone
Ethanol,C14H9N0O3,574.73,N/A,42.336,Organic Compound
Aspirin,C11H40N4O7,113.25,N/A,12.636,Carbohydrate
Ethanol,C3H8N0O8,422.49,7.69,852.492,Alkaloid
Dopamine,C16H13N3O4,97.58,7.31,132.589,Neurotransmitter
Dopamine,C8H4N4O3,977.67,6.95,991.441,Carbohydrate
Adenosine triphosphate,C18H15N1O10,931.5,6.02,119.379,Alcohol
Adrenaline,C19H12N2O2,393.61,4.32,343.985,Carbohydrate
Dopamine,C19H12N5O2,202.41,8.37,134.575,Organic Compound
Adenosine triphosphate,C13H9N5O9,813.17,12.86,827.8,Nucleotide
Dopamine,C11H36N0O3,407.94,9.55,370.874,Amide
Ethanol,C7H22N2O9,242.44,6.04,17.951,Nucleotide
Dopamine,C19H10N4O7,895.13,12.69,215.459,Carbohydrate
Adenosine triphosphate,C6H39N1O4,920.38,7.92,504.162,Alkaloid
Urea,C12H27N4O9,567.39,13.83,668.057,Hormone
Dopamine,C7H5N3O3,602.74,6.24,401.782,Alkaloid
Urea,C17H9N2O5,791.7,12.47,982.007,Lipid
Aspirin,C5H2N2O2,130.56,N/A,784.965,Organic Compound
Urea,C2H19N0O9,691.61,N/A,668.313,Organic Compound
Urea,C1H38N2O2,970.46,1.65,346.902,Organic Compound
Adrenaline,C19H35N4O4,102.93,13.22,87.248,Amide
Ethanol,C9H17N3O7,680.6,10.36,644.847,Amide
Caffeine,C12H4N1O10,266.38,8.39,496.468,Alkaloid
Urea,C18H35N3O5,100.14,11.77,101.689,Carbohydrate
Ethanol,C6H36N1O3,826.95,6.49,583.858,Lipid
Urea,C1H3N5O10,269.78,N/A,725.464,Neurotransmitter
Adrenaline,C16H22N0O9,536.24,N/A,57.412,Nucleotide
Caffeine,C19H36N1O3,54.34,N/A,982.055,Organic Compound
Dopamine,C12H34N2O5,317.33,10.29,337.658,Alkaloid
Ethanol,C19H25N0O0,685.34,2.95,791.82,Neurotransmitter
Urea,C8H5N4O10,471.99,7.37,361.885,Organic Compound
Dopamine,C9H28N4O10,378.73,1.11,111.218,Amide
Cholesterol,C6H28N4O2,117.77,12.31,182.262,Nucleotide
Glucose,C20H13N2O9,630.86,11.9,543.706,Hormone
Urea,C18H14N3O0,619.45,4.82,27.586,Carbohydrate
Urea,C18H33N3O1,168.64,10.17,907.767,Hormone
Dopamine,C12H28N1O3,465.46,7.56,179.386,Organic Compound
Ethanol,C9H24N5O8,542.67,11.79,181.416,Amide
Urea,C2H33N4O2,322.14,9.92,846.05,Lipid
Adenosine triphosphate,C15H7N2O0,420.04,4.58,441.531,Nucleotide
Caffeine,C18H5N4O7,157.09,8.68,742.443,Alcohol
Glucose,C18H33N2O4,498.49,N/A,169.184,Alcohol
Aspirin,C19H7N4O4,663.07,N/A,517.37,Hormone
