compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C2H27N3O9,646.8,5.73,603.03,Carbohydrate
Glucose,C15H27N2O1,296.72,N/A,445.232,Neurotransmitter
Cholesterol,C10H26N2O3,114.11,9.46,523.37,Nucleotide
Adenosine triphosphate,C20H35N2O8,713.57,N/A,674.787,Hormone
Urea,C17H40N3O6,640.67,N/A,82.692,Amide
Ethanol,C8H1N2O6,593.28,N/A,534.836,Nucleotide
Glucose,C9H38N3O3,440.42,11.66,987.909,Hormone
Cholesterol,C17H2N3O8,907.54,8.88,192.88,Alkaloid
Caffeine,C4H34N2O4,87.62,4.01,939.443,Hormone
Ethanol,C4H5N0O9,189.24,N/A,553.394,Amide
Adenosine triphosphate,C12H8N3O5,907.72,3.95,4.384,Neurotransmitter
Glucose,C8H1N5O5,226.04,1.12,915.748,Lipid
Adrenaline,C17H12N0O8,221.99,N/A,991.231,Amide
Adrenaline,C16H16N3O3,971.0,2.16,688.276,Nucleotide
Serotonin,C1H19N2O2,942.5,6.68,758.013,Hormone
Urea,C8H8N3O0,556.94,N/A,540.861,Alkaloid
Caffeine,C18H17N0O3,765.48,3.13,374.698,Lipid
Dopamine,C6H2N4O10,492.86,N/A,683.773,Hormone
Caffeine,C16H38N1O5,314.79,4.95,122.97,Lipid
Ethanol,C7H34N3O8,617.21,7.82,199.297,Alkaloid
Cholesterol,C19H9N3O8,265.13,6.42,337.94,Nucleotide
Serotonin,C17H4N0O8,778.66,5.73,513.219,Alkaloid
Adenosine triphosphate,C16H28N0O5,820.63,7.92,495.425,Amide
Caffeine,C6H28N2O4,60.22,N/A,49.055,Carbohydrate
Caffeine,C20H37N5O6,600.0,3.62,589.23,Nucleotide
Ethanol,C14H11N1O9,124.92,7.13,682.071,Alkaloid
Ethanol,C18H12N5O1,169.32,9.54,380.544,Amide
Cholesterol,C13H3N2O1,888.96,5.73,222.929,Alcohol
Adrenaline,C16H11N0O3,652.02,10.72,449.158,Alkaloid
Ethanol,C15H20N1O4,738.34,4.75,994.513,Lipid
Caffeine,C10H38N1O8,617.95,N/A,86.722,Carbohydrate
Ethanol,C6H9N0O1,569.87,9.38,304.516,Alcohol
Adrenaline,C1H10N3O1,370.82,N/A,47.365,Carbohydrate
Dopamine,C5H20N1O5,239.09,6.11,28.006,Amide
Dopamine,C7H27N2O6,353.53,11.93,244.57,Amide
Adenosine triphosphate,C11H3N3O10,464.77,N/A,720.797,Nucleotide
Dopamine,C17H7N5O2,863.29,5.6,361.206,Alkaloid
Adenosine triphosphate,C8H36N0O7,294.17,1.56,124.332,Neurotransmitter
Aspirin,C5H26N0O0,769.86,7.25,93.845,Hormone
Caffeine,C3H16N4O10,960.23,N/A,459.162,Hormone
Dopamine,C11H8N3O3,157.47,6.19,453.26,Hormone
Urea,C7H7N4O3,96.8,1.05,280.858,Lipid
Aspirin,C1H13N3O8,361.12,11.07,220.047,Carbohydrate
Adrenaline,C11H13N3O7,946.53,7.83,58.944,Carbohydrate
Glucose,C4H12N4O4,768.18,5.68,926.104,Nucleotide
Ethanol,C18H1N1O4,896.08,12.58,906.234,Neurotransmitter
Dopamine,C10H8N3O7,358.33,5.42,84.821,Amide
Ethanol,C10H10N2O6,819.5,12.91,841.706,Amide
Cholesterol,C6H25N5O0,174.93,2.36,238.055,Hormone
Ethanol,C20H5N1O9,158.83,6.58,931.613,Amide
Serotonin,C11H6N5O1,352.83,N/A,352.395,Nucleotide
Urea,C11H28N2O5,921.94,10.99,926.445,Alcohol
Ethanol,C8H39N0O5,292.64,N/A,806.136,Hormone
Urea,C8H20N1O9,709.63,12.0,927.901,Lipid
Adrenaline,C3H19N5O10,67.28,N/A,804.093,Organic Compound
Serotonin,C2H34N0O5,873.52,6.29,621.845,Alkaloid
Caffeine,C9H39N4O6,794.33,N/A,239.867,Lipid
Urea,C11H24N1O10,168.4,9.07,218.193,Alkaloid
Urea,C4H32N4O3,406.49,N/A,208.101,Neurotransmitter
Serotonin,C19H31N1O4,701.53,11.53,453.982,Neurotransmitter
Aspirin,C14H11N0O5,53.57,6.67,955.279,Organic Compound
Glucose,C14H33N4O4,298.43,2.96,476.489,Organic Compound
Dopamine,C12H21N5O2,759.75,6.13,835.975,Carbohydrate
Aspirin,C12H2N1O4,471.22,1.59,746.26,Alcohol
Dopamine,C18H16N1O0,947.32,12.97,831.893,Alcohol
Aspirin,C3H29N2O4,454.34,8.58,197.701,Nucleotide
Caffeine,C6H8N0O3,336.97,1.53,703.596,Alcohol
Serotonin,C6H27N5O7,791.23,13.18,612.32,Hormone
Cholesterol,C14H24N2O6,163.6,7.99,38.791,Hormone
Caffeine,C16H36N4O9,524.57,N/A,509.231,Alcohol
Glucose,C2H17N0O1,712.86,5.42,91.491,Nucleotide
Aspirin,C10H11N4O0,741.09,N/A,732.035,Hormone
Aspirin,C8H39N1O8,466.49,3.77,335.566,Alcohol
Cholesterol,C14H12N2O6,150.03,1.51,936.884,Carbohydrate
Glucose,C1H35N1O8,233.32,6.18,544.677,Nucleotide
Urea,C14H30N2O3,767.35,4.9,170.87,Amide
Aspirin,C5H38N0O10,394.63,13.5,605.343,Neurotransmitter
Urea,C4H16N1O9,161.92,4.51,2.767,Nucleotide
Glucose,C7H3N3O3,810.75,N/A,428.293,Organic Compound
Caffeine,C9H38N3O6,426.68,N/A,180.278,Lipid
Glucose,C17H27N3O10,122.48,10.46,187.882,Neurotransmitter
Ethanol,C2H20N2O4,938.13,4.7,365.456,Nucleotide
Adenosine triphosphate,C10H35N3O9,95.96,N/A,752.582,Amide
Dopamine,C1H28N1O9,179.82,4.33,11.492,Neurotransmitter
Aspirin,C4H39N2O9,968.12,1.94,337.516,Neurotransmitter
Urea,C12H38N3O3,683.83,5.87,112.384,Organic Compound
Dopamine,C10H4N3O6,443.77,9.64,479.253,Nucleotide
Cholesterol,C20H40N1O8,928.98,3.61,181.263,Alcohol
Caffeine,C11H15N4O10,62.02,2.9,217.283,Nucleotide
Aspirin,C4H3N1O1,107.58,4.66,907.182,Carbohydrate
Urea,C16H23N4O10,74.33,N/A,58.398,Neurotransmitter
Aspirin,C5H5N5O9,941.67,8.77,257.568,Lipid
Serotonin,C17H34N2O9,644.43,9.85,455.68,Nucleotide
Urea,C8H31N2O3,556.64,N/A,221.308,Alcohol
Urea,C13H29N0O7,918.44,11.48,956.184,Alcohol
Adrenaline,C8H22N4O7,623.27,13.16,104.775,Neurotransmitter
Adrenaline,C5H2N0O4,92.56,11.94,602.919,Lipid
Urea,C20H8N4O1,959.01,5.46,443.2,Hormone
Glucose,C16H22N5O5,449.62,12.17,253.432,Neurotransmitter
Serotonin,C15H3N1O2,573.03,3.1,509.533,Carbohydrate
Caffeine,C7H35N4O7,258.25,6.05,472.699,Organic Compound
Glucose,C11H18N4O6,787.24,12.42,694.869,Alcohol
Dopamine,C13H31N4O1,824.83,10.08,895.701,Alcohol
Caffeine,C12H39N0O7,675.12,4.58,41.337,Nucleotide
Caffeine,C17H34N2O9,683.81,N/A,806.227,Hormone
Adrenaline,C1H32N3O10,350.8,5.68,918.621,Lipid
Glucose,C13H37N5O8,79.97,4.14,772.921,Alkaloid
Aspirin,C3H11N0O0,833.18,9.1,944.8,Lipid
Serotonin,C4H13N0O10,767.9,12.69,486.67,Nucleotide
Dopamine,C4H36N0O4,155.78,8.69,742.702,Amide
Adrenaline,C8H2N4O2,391.77,N/A,324.092,Nucleotide
Aspirin,C18H26N5O8,365.99,2.21,473.575,Carbohydrate
Urea,C16H4N1O9,285.46,3.91,514.39,Hormone
Adenosine triphosphate,C5H24N0O2,236.03,10.71,343.156,Alkaloid
Serotonin,C11H28N2O4,272.25,N/A,401.135,Nucleotide
Glucose,C1H6N0O7,559.34,6.05,338.81,Amide
Glucose,C15H30N0O5,266.87,5.35,864.365,Hormone
Urea,C5H2N4O3,337.42,3.06,346.224,Nucleotide
Adenosine triphosphate,C9H15N5O8,950.56,4.97,182.819,Lipid
Glucose,C15H17N2O1,536.07,6.13,639.456,Neurotransmitter
Dopamine,C2H37N3O2,351.64,6.28,497.682,Lipid
Serotonin,C12H6N3O5,282.91,10.74,79.297,Amide
Cholesterol,C19H4N5O4,409.39,3.16,69.273,Alkaloid
Urea,C4H8N0O8,147.08,N/A,135.955,Lipid
Caffeine,C7H2N2O1,552.24,10.36,443.422,Organic Compound
Ethanol,C16H24N0O7,256.31,12.53,286.603,Neurotransmitter
Glucose,C9H7N3O4,230.0,4.37,274.585,Carbohydrate
Ethanol,C11H12N0O7,965.64,7.93,408.488,Amide
Glucose,C14H7N5O2,576.89,N/A,665.568,Nucleotide
Ethanol,C5H1N3O8,260.5,1.37,744.164,Amide
Dopamine,C17H30N2O6,512.41,10.09,501.069,Lipid
Ethanol,C2H9N5O6,419.67,3.65,344.433,Carbohydrate
Serotonin,C8H31N2O3,555.65,2.53,792.861,Amide
Ethanol,C20H17N4O3,632.08,4.35,504.966,Lipid
Glucose,C11H27N0O1,730.64,8.8,515.778,Carbohydrate
Glucose,C9H34N0O9,584.34,1.72,275.579,Alkaloid
Aspirin,C11H7N3O3,323.52,2.58,327.966,Nucleotide
Serotonin,C11H19N5O10,336.56,5.74,71.613,Neurotransmitter
Cholesterol,C14H37N0O4,163.15,13.72,805.866,Carbohydrate
Aspirin,C11H36N5O0,179.48,10.07,470.69,Hormone
Serotonin,C5H38N2O9,755.52,8.5,534.872,Carbohydrate
Caffeine,C19H1N5O5,928.33,6.82,845.794,Alkaloid
Aspirin,C12H38N4O2,577.45,12.35,36.584,Organic Compound
Adrenaline,C12H2N4O0,459.8,12.62,275.468,Hormone
Caffeine,C19H3N0O4,528.15,1.15,521.748,Alkaloid
Ethanol,C11H33N4O10,584.22,7.09,608.135,Amide
Glucose,C8H12N1O9,949.15,N/A,940.224,Lipid
Adrenaline,C14H14N3O9,669.33,4.65,694.137,Carbohydrate
Serotonin,C19H3N5O7,578.88,N/A,292.958,Carbohydrate
Ethanol,C6H33N1O3,805.44,1.18,183.61,Amide
Ethanol,C11H39N4O0,734.1,7.9,23.93,Alkaloid
Aspirin,C11H21N5O0,341.0,N/A,678.606,Lipid
Caffeine,C13H30N3O8,724.72,13.68,909.606,Organic Compound
Dopamine,C17H7N3O0,253.46,10.3,615.279,Nucleotide
Aspirin,C8H20N5O0,313.49,12.84,576.796,Organic Compound
Serotonin,C7H14N0O3,869.62,7.3,651.347,Amide
Dopamine,C1H29N0O5,760.69,9.64,571.417,Neurotransmitter
Adrenaline,C8H19N4O4,835.9,9.73,209.221,Hormone
Caffeine,C5H6N4O5,436.04,N/A,340.796,Hormone
Adenosine triphosphate,C7H31N1O1,867.82,7.48,786.066,Amide
Dopamine,C15H30N2O4,102.54,N/A,781.248,Alkaloid
Caffeine,C9H30N4O5,347.86,8.82,257.903,Neurotransmitter
Ethanol,C5H15N3O1,515.89,11.09,997.552,Neurotransmitter
Adrenaline,C3H11N3O4,181.4,5.53,296.574,Alcohol
Aspirin,C11H20N2O10,227.91,N/A,72.913,Alkaloid
Urea,C14H2N0O4,561.72,4.29,51.691,Alcohol
Adrenaline,C10H23N2O4,468.04,5.18,925.976,Neurotransmitter
Dopamine,C4H32N2O5,839.68,4.36,718.166,Organic Compound
Serotonin,C4H31N1O5,770.91,N/A,543.46,Alkaloid
Caffeine,C7H15N1O3,886.31,7.13,532.573,Lipid
Ethanol,C17H1N2O7,911.0,2.26,301.981,Neurotransmitter
Caffeine,C4H21N3O2,990.49,7.37,430.074,Alcohol
Adenosine triphosphate,C8H33N1O4,971.94,N/A,777.54,Nucleotide
Dopamine,C8H34N2O7,518.37,8.09,657.627,Lipid
Serotonin,C2H26N1O9,392.25,12.91,346.767,Organic Compound
Cholesterol,C7H24N0O5,742.66,10.76,901.777,Alcohol
Caffeine,C7H32N5O10,965.67,12.06,528.039,Lipid
Serotonin,C17H35N0O6,90.66,3.87,140.661,Amide
Dopamine,C11H31N3O9,881.86,N/A,64.165,Carbohydrate
Aspirin,C11H2N0O1,211.36,13.45,732.574,Nucleotide
Dopamine,C14H17N0O8,204.3,11.92,746.915,Amide
