compound,formula,mw,pka,solubility_mg_ml,class
Caffeine,C4H4N2O7,205.49,12.73,480.727,Organic Compound
Adrenaline,C2H28N4O4,822.46,N/A,982.411,Nucleotide
Adenosine triphosphate,C13H9N3O9,782.63,N/A,560.755,Alkaloid
Ethanol,C5H12N5O0,559.78,5.25,423.135,Organic Compound
Serotonin,C2H7N2O9,834.88,13.95,269.011,Nucleotide
Urea,C2H12N1O1,967.76,10.26,222.196,Amide
Glucose,C8H8N2O5,562.41,N/A,936.757,Carbohydrate
Adrenaline,C11H32N4O4,597.77,11.13,318.384,Hormone
Caffeine,C7H14N2O10,977.18,6.97,72.317,Amide
Adrenaline,C20H34N0O0,585.17,6.82,124.259,Carbohydrate
Dopamine,C14H16N2O10,343.62,6.17,337.428,Nucleotide
Adenosine triphosphate,C17H21N4O3,657.27,13.16,601.224,Nucleotide
Glucose,C2H5N1O10,710.57,4.94,391.331,Carbohydrate
Serotonin,C10H34N2O4,310.5,4.75,446.94,Amide
Aspirin,C5H38N1O3,126.13,N/A,126.667,Hormone
Aspirin,C11H17N0O6,308.19,9.7,723.952,Neurotransmitter
Adenosine triphosphate,C10H6N5O2,280.5,4.96,545.346,Neurotransmitter
Adrenaline,C18H14N3O7,380.83,N/A,228.503,Organic Compound
Urea,C14H29N5O7,841.51,4.76,569.479,Lipid
Ethanol,C19H12N1O3,877.97,11.45,544.781,Nucleotide
Caffeine,C12H40N0O9,522.5,5.4,359.577,Organic Compound
Adenosine triphosphate,C14H12N5O8,698.43,12.45,392.608,Nucleotide
Aspirin,C20H32N5O6,669.14,11.81,231.02,Alkaloid
Aspirin,C9H13N4O0,724.85,11.11,35.743,Alkaloid
Adenosine triphosphate,C19H2N2O9,289.37,13.22,725.836,Organic Compound
Ethanol,C5H40N0O0,759.68,7.33,846.266,Hormone
Aspirin,C4H4N2O8,545.95,3.98,140.19,Alcohol
Adenosine triphosphate,C15H3N5O3,922.88,13.58,900.344,Lipid
Aspirin,C15H32N1O8,606.68,N/A,978.575,Carbohydrate
Dopamine,C7H4N3O3,645.1,8.59,112.788,Carbohydrate
Aspirin,C15H13N0O5,943.76,3.03,926.407,Lipid
Ethanol,C15H12N4O7,206.25,13.47,2.073,Hormone
Serotonin,C1H37N5O9,753.39,8.22,502.853,Hormone
Urea,C7H33N2O10,474.19,8.06,48.453,Alcohol
Urea,C11H11N3O0,828.49,2.16,926.761,Lipid
Dopamine,C8H40N5O9,444.18,1.89,504.982,Neurotransmitter
Urea,C13H37N1O5,729.26,N/A,598.256,Hormone
