compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C3H26N4O8,886.53,11.82,185.318,Organic Compound
Dopamine,C20H15N3O1,234.45,7.92,675.57,Alkaloid
Dopamine,C11H35N2O4,465.47,7.87,397.399,Amide
Urea,C12H8N5O3,910.2,4.25,603.405,Nucleotide
Dopamine,C11H1N4O0,376.02,N/A,140.894,Alcohol
Urea,C12H28N1O4,291.57,N/A,75.849,Carbohydrate
Caffeine,C20H23N3O5,92.83,13.85,736.343,Amide
Aspirin,C8H16N4O5,590.25,N/A,910.395,Carbohydrate
Adenosine triphosphate,C4H39N0O0,718.07,6.58,46.608,Neurotransmitter
Dopamine,C9H13N5O0,304.08,11.38,228.458,Amide
Aspirin,C14H27N2O0,378.72,1.95,96.512,Alcohol
Urea,C17H1N1O2,526.59,5.63,697.856,Neurotransmitter
Ethanol,C5H26N4O4,737.51,5.12,976.824,Neurotransmitter
Serotonin,C14H17N2O0,839.69,N/A,312.788,Neurotransmitter
Dopamine,C8H13N5O9,667.23,6.66,800.755,Nucleotide
Urea,C16H38N5O8,775.13,N/A,355.885,Alcohol
Ethanol,C2H5N5O5,944.5,12.98,630.035,Alcohol
Aspirin,C13H10N4O5,926.08,12.88,530.49,Alkaloid
Serotonin,C9H36N4O1,128.95,N/A,440.615,Nucleotide
Urea,C2H9N1O7,886.78,5.22,411.466,Lipid
Serotonin,C5H21N4O3,388.19,9.78,917.602,Organic Compound
Adrenaline,C6H17N0O6,374.6,3.6,422.959,Carbohydrate
Glucose,C17H26N5O2,468.39,11.71,892.419,Carbohydrate
Ethanol,C16H8N1O7,945.27,N/A,176.693,Carbohydrate
Aspirin,C1H38N3O7,475.99,3.76,965.33,Alkaloid
Serotonin,C11H17N5O0,792.75,4.11,497.863,Amide
Aspirin,C9H2N4O0,887.17,13.95,569.602,Organic Compound
Urea,C18H5N1O10,268.82,11.74,580.574,Neurotransmitter
Aspirin,C16H3N4O0,531.75,12.9,416.275,Lipid
Adenosine triphosphate,C20H11N4O7,53.22,6.38,991.128,Neurotransmitter
Adrenaline,C5H3N3O2,396.0,N/A,343.305,Hormone
Caffeine,C9H31N5O7,831.91,13.76,453.749,Nucleotide
Caffeine,C8H3N2O1,679.57,10.45,521.507,Amide
Aspirin,C16H10N5O9,627.77,12.19,280.914,Nucleotide
Glucose,C3H15N4O3,733.77,3.22,674.021,Amide
Glucose,C8H39N4O3,143.43,N/A,537.304,Amide
Serotonin,C13H22N2O10,231.64,8.49,855.486,Carbohydrate
Adenosine triphosphate,C16H31N5O3,751.15,9.21,89.964,Lipid
Caffeine,C7H33N4O6,585.85,N/A,384.699,Hormone
Caffeine,C10H16N4O9,818.51,N/A,698.996,Amide
Urea,C10H20N1O0,326.07,6.44,360.857,Nucleotide
Aspirin,C18H40N2O1,427.47,9.56,705.98,Alkaloid
