compound,formula,mw,pka,solubility_mg_ml,class
Urea,C12H22N4O4,246.62,8.85,951.844,Lipid
Glucose,C17H8N2O0,878.7,8.69,903.494,Alkaloid
Cholesterol,C19H25N3O4,177.67,5.85,652.755,Carbohydrate
Adenosine triphosphate,C16H22N5O1,258.68,3.7,142.41,Hormone
Urea,C16H13N4O10,660.74,11.62,485.982,Hormone
Aspirin,C6H35N0O2,80.77,3.0,440.901,Amide
Caffeine,C15H24N5O1,467.97,10.88,221.749,Hormone
Dopamine,C6H23N5O6,752.99,4.34,799.043,Neurotransmitter
Glucose,C17H29N3O8,602.7,10.14,709.35,Organic Compound
Adrenaline,C13H25N1O3,751.05,9.04,486.3,Alkaloid
Urea,C2H37N1O10,359.02,5.79,435.63,Alcohol
Cholesterol,C19H14N0O2,685.21,12.11,186.029,Organic Compound
Cholesterol,C12H36N2O2,163.51,12.26,837.969,Lipid
Ethanol,C7H5N3O1,66.0,N/A,954.543,Lipid
Adrenaline,C9H4N0O7,555.69,2.96,315.279,Hormone
Cholesterol,C5H9N0O0,843.21,8.64,671.736,Nucleotide
Glucose,C19H22N5O0,127.49,7.35,909.677,Neurotransmitter
Glucose,C14H2N4O8,780.41,N/A,596.413,Carbohydrate
Serotonin,C2H39N0O9,738.0,2.63,325.92,Hormone
Dopamine,C15H5N0O6,720.7,N/A,594.368,Hormone
Urea,C12H5N5O4,361.37,N/A,335.434,Nucleotide
Aspirin,C17H16N1O0,663.94,9.37,886.081,Nucleotide
Dopamine,C17H35N5O10,501.95,7.33,766.229,Hormone
Dopamine,C15H29N2O7,579.03,8.2,733.853,Neurotransmitter
Aspirin,C6H15N4O1,352.13,N/A,811.016,Amide
Cholesterol,C20H40N1O1,535.5,8.63,654.907,Alkaloid
Cholesterol,C1H25N5O9,857.99,N/A,7.195,Nucleotide
Ethanol,C7H24N3O3,939.48,N/A,803.489,Alcohol
Adenosine triphosphate,C1H12N5O3,861.72,2.54,632.296,Lipid
Aspirin,C14H28N4O6,827.83,9.55,334.155,Amide
Urea,C8H5N5O9,540.42,9.57,16.135,Nucleotide
Ethanol,C12H27N5O8,348.71,2.99,79.266,Alcohol
Caffeine,C12H17N5O0,927.13,10.95,90.799,Neurotransmitter
Adenosine triphosphate,C12H33N5O0,559.12,12.71,161.943,Hormone
Adrenaline,C16H31N3O7,286.27,N/A,955.015,Neurotransmitter
Urea,C4H15N1O4,621.28,13.5,639.67,Nucleotide
Adrenaline,C7H28N5O1,666.87,N/A,239.648,Lipid
Ethanol,C7H24N3O0,205.54,9.08,941.576,Carbohydrate
Serotonin,C2H7N4O2,581.76,5.37,627.84,Amide
Dopamine,C5H12N3O4,417.39,10.63,944.615,Amide
Aspirin,C11H10N3O4,551.75,11.91,347.02,Neurotransmitter
Glucose,C6H14N2O0,538.72,N/A,41.706,Hormone
Urea,C1H2N1O10,841.8,N/A,130.52,Nucleotide
Ethanol,C16H6N3O3,246.92,11.74,944.945,Alkaloid
Aspirin,C20H29N4O10,878.76,5.24,764.329,Neurotransmitter
Dopamine,C2H40N0O3,455.35,2.26,246.341,Nucleotide
Adrenaline,C16H17N1O4,821.56,N/A,206.776,Alkaloid
