compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C16H29N3O3,333.58,6.56,671.433,Alcohol
Aspirin,C17H3N3O4,653.37,1.05,906.38,Organic Compound
Dopamine,C9H3N4O1,645.69,11.1,801.292,Neurotransmitter
Dopamine,C16H33N3O8,555.69,6.95,42.878,Amide
Adenosine triphosphate,C15H24N4O8,596.15,7.79,768.162,Nucleotide
Dopamine,C8H23N3O8,616.85,8.97,39.436,Alcohol
Urea,C1H1N5O0,425.98,7.72,924.516,Hormone
Urea,C16H17N2O10,436.7,N/A,224.499,Alkaloid
Dopamine,C4H30N4O6,517.66,7.28,331.655,Alkaloid
Aspirin,C5H12N3O0,439.18,2.41,851.21,Organic Compound
Adrenaline,C18H27N5O0,839.86,9.05,123.126,Lipid
Urea,C11H17N3O3,441.23,N/A,567.931,Hormone
Serotonin,C20H22N0O9,353.59,8.52,76.769,Lipid
Urea,C6H26N3O0,849.35,5.1,962.89,Amide
Dopamine,C15H27N1O10,641.55,5.8,974.012,Alkaloid
Aspirin,C19H16N0O6,527.86,N/A,483.082,Alcohol
Adenosine triphosphate,C9H2N1O10,629.44,10.02,683.424,Alkaloid
Adenosine triphosphate,C13H33N2O6,974.45,9.77,269.205,Alkaloid
Aspirin,C5H14N3O0,535.67,11.26,613.538,Organic Compound
Dopamine,C15H21N5O2,660.36,N/A,759.08,Hormone
Urea,C10H20N2O6,824.24,5.1,646.467,Nucleotide
Cholesterol,C2H26N1O10,304.53,7.88,869.925,Nucleotide
Cholesterol,C8H25N3O5,312.07,2.03,23.951,Carbohydrate
Glucose,C17H27N4O4,392.67,8.27,797.881,Amide
Caffeine,C4H7N4O8,235.24,N/A,310.587,Amide
Adrenaline,C20H37N2O10,526.26,8.74,170.507,Neurotransmitter
Urea,C8H29N0O7,810.66,12.03,641.492,Alkaloid
Serotonin,C5H7N0O2,245.73,4.99,263.558,Alkaloid
Glucose,C19H20N3O3,847.77,13.98,657.661,Neurotransmitter
Dopamine,C13H21N5O3,911.06,6.31,577.621,Lipid
Adrenaline,C6H17N3O9,310.79,N/A,718.316,Organic Compound
Cholesterol,C14H5N3O1,299.97,1.38,970.08,Alcohol
Dopamine,C5H1N0O2,420.65,N/A,83.602,Nucleotide
Dopamine,C4H29N4O3,625.37,3.06,588.378,Nucleotide
Ethanol,C8H36N3O0,727.76,4.97,92.241,Amide
Adenosine triphosphate,C9H29N5O2,988.82,10.99,916.955,Carbohydrate
Dopamine,C7H40N5O5,970.52,7.6,304.147,Hormone
Dopamine,C8H28N5O2,757.74,1.16,990.557,Amide
Cholesterol,C3H31N0O1,411.19,2.23,812.544,Alkaloid
Caffeine,C19H18N5O0,241.87,N/A,739.846,Lipid
Serotonin,C5H23N0O6,139.75,11.09,38.73,Nucleotide
Caffeine,C14H10N3O8,666.76,12.39,422.823,Organic Compound
Dopamine,C18H34N2O8,552.36,N/A,611.255,Nucleotide
Caffeine,C12H23N5O5,988.66,N/A,353.818,Alkaloid
Dopamine,C12H23N1O1,224.35,7.81,959.11,Carbohydrate
Glucose,C9H40N3O0,203.91,11.0,126.154,Amide
Glucose,C4H10N5O3,901.64,11.94,361.534,Nucleotide
Cholesterol,C4H32N1O7,867.27,6.77,77.973,Carbohydrate
Dopamine,C20H29N1O9,227.57,2.12,284.124,Neurotransmitter
Aspirin,C3H25N1O8,913.42,2.24,510.088,Amide
Adenosine triphosphate,C16H24N2O10,89.81,10.91,103.497,Organic Compound
Aspirin,C19H8N5O5,857.76,3.05,115.788,Alcohol
Adrenaline,C19H21N3O6,464.1,10.68,801.906,Amide
Urea,C16H4N5O10,589.14,13.19,40.238,Alcohol
Ethanol,C12H12N1O9,751.92,N/A,488.232,Carbohydrate
Adrenaline,C4H23N2O7,781.83,N/A,335.316,Alcohol
Urea,C5H3N5O4,878.32,4.03,659.877,Nucleotide
Adenosine triphosphate,C18H12N4O0,955.07,10.08,183.211,Hormone
Caffeine,C16H8N0O2,359.49,13.33,903.146,Nucleotide
Glucose,C5H6N0O9,652.48,13.73,912.768,Alkaloid
