compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C6H32N4O3,887.34,12.37,700.573,Carbohydrate
Dopamine,C17H4N1O9,754.2,1.35,86.378,Alcohol
Aspirin,C4H11N0O2,566.27,3.33,542.009,Nucleotide
Dopamine,C4H25N3O0,932.54,7.41,910.837,Hormone
Adrenaline,C10H30N4O4,491.0,3.86,521.345,Alcohol
Ethanol,C20H32N4O9,849.33,7.46,598.504,Alkaloid
Cholesterol,C14H23N4O0,629.82,11.62,864.096,Hormone
Dopamine,C18H13N4O6,68.95,N/A,230.768,Organic Compound
Ethanol,C20H38N5O6,317.52,2.71,293.281,Lipid
Dopamine,C15H31N3O8,509.36,8.07,873.747,Nucleotide
Aspirin,C18H37N0O5,446.9,N/A,308.85,Hormone
Caffeine,C9H23N1O6,686.25,9.64,548.277,Carbohydrate
Urea,C1H34N5O4,445.93,N/A,671.639,Amide
Glucose,C9H32N0O7,649.93,10.12,973.408,Amide
Caffeine,C4H16N1O1,231.01,9.77,613.116,Hormone
Adrenaline,C19H32N4O3,184.42,N/A,90.401,Hormone
Urea,C1H24N5O8,500.68,9.67,486.941,Alkaloid
Aspirin,C2H24N3O7,283.07,1.22,750.339,Organic Compound
Cholesterol,C8H24N2O0,744.18,8.9,520.358,Neurotransmitter
Cholesterol,C8H12N0O4,968.91,3.31,208.327,Nucleotide
Dopamine,C9H8N1O6,831.98,11.91,797.74,Carbohydrate
Ethanol,C3H17N4O7,586.11,N/A,778.934,Alkaloid
Dopamine,C3H24N5O7,508.41,7.93,53.957,Alkaloid
Adrenaline,C10H4N1O0,152.36,7.69,280.477,Amide
Glucose,C17H34N1O2,171.98,11.49,199.588,Amide
Ethanol,C8H24N1O5,149.26,N/A,137.563,Alcohol
Dopamine,C17H36N4O3,409.64,N/A,328.488,Hormone
Caffeine,C2H40N5O10,110.63,9.38,785.967,Hormone
Aspirin,C11H26N4O3,810.04,4.02,526.534,Hormone
Aspirin,C9H13N3O4,455.61,11.61,843.185,Lipid
