compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C9H15N4O4,133.75,11.12,782.671,Alkaloid
Caffeine,C20H10N3O8,733.47,8.61,337.524,Alcohol
Adenosine triphosphate,C20H21N4O9,101.85,5.06,696.885,Lipid
Cholesterol,C15H14N4O7,609.29,9.36,627.786,Amide
Serotonin,C12H9N1O1,376.72,6.81,750.372,Amide
Aspirin,C7H28N1O10,556.5,12.9,720.929,Alcohol
Caffeine,C17H28N4O7,664.7,10.79,757.185,Alkaloid
Dopamine,C11H18N0O8,878.0,1.38,746.095,Alkaloid
Aspirin,C19H15N1O3,532.33,N/A,554.231,Alkaloid
Aspirin,C17H17N5O1,806.47,13.01,357.942,Carbohydrate
Cholesterol,C1H28N5O4,92.96,N/A,99.126,Hormone
Glucose,C13H34N5O5,961.7,7.75,948.002,Lipid
Adrenaline,C3H19N5O5,407.95,7.83,559.765,Lipid
Ethanol,C16H7N2O6,410.64,8.16,702.685,Lipid
Caffeine,C19H11N2O7,388.14,6.48,747.709,Organic Compound
Adrenaline,C13H39N3O1,247.72,10.4,4.654,Alcohol
Cholesterol,C14H35N0O3,655.75,4.97,677.023,Neurotransmitter
Glucose,C18H2N1O7,595.88,9.56,901.345,Alkaloid
Ethanol,C16H12N4O10,363.15,4.15,88.951,Alcohol
Serotonin,C14H36N3O6,750.28,6.8,568.757,Amide
Cholesterol,C3H30N1O8,538.52,5.31,268.133,Alcohol
Urea,C1H1N2O6,115.59,5.72,762.961,Hormone
Aspirin,C8H35N2O9,550.77,8.96,319.084,Nucleotide
Serotonin,C13H26N1O2,490.17,9.41,431.444,Lipid
Caffeine,C19H13N4O9,683.1,11.21,35.25,Neurotransmitter
Adenosine triphosphate,C1H13N2O1,526.56,7.14,601.704,Alcohol
Glucose,C9H20N3O6,127.59,3.63,171.948,Amide
Serotonin,C15H23N0O9,759.61,5.89,217.507,Neurotransmitter
Urea,C14H7N1O1,609.78,N/A,588.827,Alcohol
Aspirin,C19H30N0O8,677.73,13.6,448.749,Neurotransmitter
Ethanol,C12H27N0O3,178.89,N/A,605.143,Nucleotide
Ethanol,C8H16N2O0,753.17,13.08,496.219,Carbohydrate
Dopamine,C10H40N5O6,98.12,6.72,571.921,Alkaloid
Serotonin,C5H33N0O1,477.12,5.57,400.514,Organic Compound
Serotonin,C7H40N2O7,472.06,6.92,983.565,Neurotransmitter
Caffeine,C2H35N2O2,638.15,9.38,631.996,Nucleotide
Ethanol,C8H5N4O3,105.71,8.82,63.609,Hormone
Aspirin,C19H7N3O5,507.44,12.05,779.208,Nucleotide
Dopamine,C13H31N5O1,438.15,11.89,719.097,Alkaloid
Serotonin,C13H10N5O4,56.05,13.74,372.138,Neurotransmitter
Adrenaline,C3H30N1O4,217.98,3.77,829.707,Carbohydrate
Cholesterol,C20H8N0O3,379.62,4.47,877.947,Carbohydrate
Aspirin,C4H29N5O10,379.17,N/A,783.882,Amide
Serotonin,C17H1N2O0,169.6,9.76,998.372,Carbohydrate
Dopamine,C18H29N5O3,392.0,6.72,951.099,Neurotransmitter
Serotonin,C12H20N2O3,837.42,13.74,580.52,Neurotransmitter
Serotonin,C18H15N4O9,622.46,10.13,109.229,Alkaloid
Cholesterol,C18H23N1O5,408.67,12.42,190.853,Amide
Caffeine,C2H30N5O0,498.65,10.56,634.729,Nucleotide
Caffeine,C2H13N2O5,888.48,11.46,766.669,Lipid
Caffeine,C1H15N4O3,494.68,N/A,545.192,Amide
Adrenaline,C9H3N1O4,521.81,N/A,675.226,Organic Compound
Ethanol,C13H36N1O8,908.23,1.64,619.178,Alcohol
Aspirin,C5H18N4O3,824.47,8.09,236.98,Organic Compound
Dopamine,C12H5N2O9,851.35,N/A,282.803,Neurotransmitter
Adenosine triphosphate,C17H27N5O7,337.85,2.98,654.272,Lipid
Aspirin,C4H24N4O3,699.78,11.86,288.496,Hormone
Glucose,C19H6N5O6,729.27,8.85,878.093,Carbohydrate
Glucose,C2H14N5O3,160.65,5.38,933.552,Organic Compound
Serotonin,C12H1N2O0,227.78,1.97,936.86,Nucleotide
Caffeine,C9H27N5O0,156.77,N/A,921.587,Amide
Serotonin,C18H9N4O9,365.08,7.37,520.566,Carbohydrate
Ethanol,C4H9N3O5,456.09,6.84,579.705,Carbohydrate
Adrenaline,C1H17N2O10,395.92,5.03,398.87,Carbohydrate
Glucose,C6H27N4O2,890.1,6.36,238.015,Nucleotide
Adenosine triphosphate,C18H38N3O2,746.56,4.71,19.268,Lipid
Dopamine,C1H38N5O7,986.91,N/A,801.438,Alkaloid
Aspirin,C4H34N2O10,204.91,8.8,51.868,Hormone
Cholesterol,C14H6N2O2,80.38,3.45,723.709,Alkaloid
Ethanol,C2H9N0O5,882.78,13.69,504.58,Alcohol
Adrenaline,C7H35N4O6,789.88,8.84,630.484,Nucleotide
Adenosine triphosphate,C4H22N4O5,763.22,10.2,755.621,Amide
Adenosine triphosphate,C13H38N1O4,307.85,13.33,413.192,Alkaloid
Dopamine,C15H16N4O2,451.09,11.01,770.066,Lipid
Serotonin,C16H13N3O7,814.08,4.9,326.206,Organic Compound
