compound,formula,mw,pka,solubility_mg_ml,class
Adrenaline,C3H30N3O7,797.89,6.5,576.865,Organic Compound
Dopamine,C19H38N3O5,860.72,10.04,896.339,Lipid
Dopamine,C10H11N4O9,693.35,9.17,328.316,Organic Compound
Adrenaline,C7H38N3O6,614.53,10.0,697.637,Neurotransmitter
Serotonin,C3H18N3O4,68.6,7.78,779.365,Alcohol
Adrenaline,C16H22N2O2,147.67,7.32,515.17,Amide
Aspirin,C8H16N4O3,892.51,11.98,421.194,Amide
Dopamine,C14H3N4O7,777.88,N/A,460.657,Alcohol
Glucose,C14H7N5O8,372.38,3.75,155.322,Organic Compound
Adenosine triphosphate,C15H13N4O7,721.98,13.33,724.743,Carbohydrate
Caffeine,C11H13N2O4,694.44,10.27,102.791,Alkaloid
Adrenaline,C2H34N4O4,320.52,2.28,248.056,Organic Compound
Aspirin,C5H40N3O6,171.63,12.34,232.894,Organic Compound
Glucose,C19H40N0O7,766.92,6.58,288.492,Alcohol
Dopamine,C7H33N4O5,384.43,6.35,159.933,Alkaloid
Ethanol,C11H23N0O5,120.69,N/A,301.121,Neurotransmitter
Serotonin,C19H18N2O2,437.29,N/A,144.943,Organic Compound
Aspirin,C9H18N0O6,163.18,1.39,586.671,Lipid
Caffeine,C1H31N2O8,374.65,5.51,292.772,Alcohol
Urea,C5H11N1O1,933.8,6.17,111.99,Neurotransmitter
Urea,C13H30N2O0,189.01,5.28,734.867,Alcohol
Adenosine triphosphate,C7H39N5O1,796.75,4.25,941.621,Alcohol
Urea,C5H4N0O7,403.37,11.12,281.921,Neurotransmitter
Ethanol,C7H26N3O8,911.39,6.63,923.3,Neurotransmitter
Aspirin,C5H37N1O2,692.31,2.4,359.528,Lipid
Glucose,C2H38N4O8,786.3,6.37,960.927,Alkaloid
Serotonin,C4H4N4O1,413.36,2.47,286.216,Organic Compound
Urea,C20H19N4O3,230.51,3.57,668.49,Nucleotide
Adrenaline,C6H23N2O5,287.77,N/A,931.321,Amide
Glucose,C20H36N5O2,497.15,1.58,581.686,Carbohydrate
Adenosine triphosphate,C17H12N4O2,591.03,11.59,748.0,Alcohol
Dopamine,C16H38N4O4,910.59,10.07,280.319,Organic Compound
Aspirin,C17H10N5O5,270.81,11.19,196.183,Carbohydrate
Caffeine,C12H39N2O5,320.84,4.95,763.937,Lipid
Caffeine,C15H24N4O4,697.41,N/A,943.087,Amide
Serotonin,C19H12N0O2,929.65,5.72,957.49,Hormone
Cholesterol,C16H18N3O2,601.43,11.36,80.135,Lipid
Adrenaline,C12H8N5O3,918.69,8.91,612.444,Lipid
Aspirin,C14H8N4O4,457.27,11.05,303.343,Carbohydrate
Aspirin,C4H30N1O0,285.05,2.78,605.798,Nucleotide
Ethanol,C15H10N5O3,464.24,10.91,295.598,Neurotransmitter
Ethanol,C16H34N4O3,598.27,4.65,901.842,Organic Compound
Cholesterol,C2H6N3O1,640.23,2.1,433.949,Organic Compound
Ethanol,C14H27N3O10,218.88,1.9,498.636,Lipid
Cholesterol,C7H10N4O6,546.13,8.54,253.717,Organic Compound
Aspirin,C7H32N1O6,526.02,N/A,573.294,Alkaloid
Serotonin,C10H37N4O5,682.42,13.17,11.367,Carbohydrate
Caffeine,C13H28N2O1,870.66,N/A,148.847,Neurotransmitter
Urea,C17H3N5O2,913.88,2.61,516.537,Alcohol
Dopamine,C7H8N1O7,332.45,13.94,440.544,Neurotransmitter
Serotonin,C2H38N2O3,817.04,9.06,325.137,Alkaloid
Caffeine,C10H29N0O0,837.22,N/A,145.967,Neurotransmitter
Urea,C17H29N3O8,506.04,6.05,804.61,Hormone
Urea,C2H33N1O8,697.02,13.98,442.889,Organic Compound
Caffeine,C16H39N0O6,461.75,1.52,348.32,Nucleotide
Caffeine,C6H32N4O7,608.57,10.96,281.411,Amide
Glucose,C13H39N1O10,94.77,11.77,352.619,Lipid
Ethanol,C20H38N5O1,864.97,3.34,585.573,Carbohydrate
Dopamine,C16H39N2O7,867.22,13.23,919.017,Hormone
Caffeine,C8H6N5O9,177.51,12.67,549.951,Alkaloid
Glucose,C18H24N5O0,289.67,5.3,981.928,Hormone
Adenosine triphosphate,C10H30N2O2,337.98,8.38,560.487,Organic Compound
Glucose,C17H35N5O3,726.83,10.87,916.248,Hormone
Adenosine triphosphate,C2H31N2O1,919.7,4.59,197.675,Neurotransmitter
Aspirin,C17H11N2O5,613.84,1.64,651.478,Neurotransmitter
Cholesterol,C18H26N5O2,645.15,10.57,112.697,Alcohol
Ethanol,C8H14N2O2,547.29,3.9,968.483,Organic Compound
Glucose,C1H30N1O7,416.54,7.76,935.661,Amide
Cholesterol,C12H2N1O2,177.74,12.86,969.959,Lipid
Dopamine,C10H15N5O10,883.54,13.89,389.054,Hormone
Caffeine,C10H31N5O6,385.25,7.15,490.544,Nucleotide
Cholesterol,C12H16N5O4,860.27,8.12,25.256,Alkaloid
Cholesterol,C7H9N4O1,305.82,13.39,173.942,Alcohol
Glucose,C14H22N2O9,433.23,6.19,810.183,Lipid
Caffeine,C11H5N5O9,73.48,11.69,90.679,Lipid
Glucose,C11H1N2O10,179.69,12.7,331.074,Amide
Aspirin,C6H38N2O7,84.85,2.07,184.463,Organic Compound
Adrenaline,C8H37N3O1,678.49,6.3,104.183,Amide
Dopamine,C3H15N3O0,793.47,4.74,447.33,Neurotransmitter
Adrenaline,C15H9N3O4,348.58,4.96,116.445,Alcohol
Glucose,C8H22N1O3,994.3,4.76,802.343,Carbohydrate
Adenosine triphosphate,C19H24N4O7,848.08,10.3,197.839,Hormone
Cholesterol,C3H1N2O6,707.01,N/A,83.354,Amide
Adenosine triphosphate,C11H16N3O5,869.2,7.26,80.49,Carbohydrate
Dopamine,C14H7N3O6,869.89,11.97,587.821,Nucleotide
Urea,C2H14N0O5,491.77,N/A,790.647,Hormone
Dopamine,C7H19N4O4,981.56,7.9,443.681,Alcohol
Glucose,C16H37N2O4,223.43,N/A,184.412,Lipid
Ethanol,C18H7N5O10,295.5,10.82,278.51,Hormone
Caffeine,C13H33N1O9,782.67,1.27,863.312,Nucleotide
Ethanol,C19H6N4O10,285.01,2.42,3.3,Alkaloid
Glucose,C16H3N1O10,667.48,2.83,954.633,Alkaloid
Adrenaline,C7H5N1O5,230.88,2.3,696.786,Alcohol
Cholesterol,C17H14N0O4,937.7,9.09,268.585,Alcohol
Glucose,C20H17N5O1,194.85,3.76,240.567,Neurotransmitter
Glucose,C15H6N0O7,63.37,11.84,295.454,Hormone
Aspirin,C11H34N3O6,67.69,N/A,454.321,Organic Compound
Glucose,C18H22N0O7,895.36,5.42,887.165,Alcohol
Cholesterol,C8H9N5O0,273.07,12.77,621.42,Nucleotide
Ethanol,C5H4N1O5,182.74,8.4,707.666,Alkaloid
Dopamine,C15H28N3O10,541.82,2.6,707.881,Lipid
Dopamine,C11H21N1O4,812.64,11.62,912.326,Organic Compound
Dopamine,C11H38N2O1,129.6,N/A,152.181,Carbohydrate
Serotonin,C17H21N1O7,177.78,12.91,132.872,Nucleotide
Serotonin,C8H30N3O7,868.26,N/A,840.532,Nucleotide
Ethanol,C16H5N5O0,712.9,2.74,293.613,Carbohydrate
Glucose,C10H37N5O0,889.86,8.65,892.351,Alcohol
Adrenaline,C16H28N1O0,696.26,2.56,31.132,Alcohol
Cholesterol,C13H18N0O10,279.9,4.5,286.41,Alcohol
Urea,C6H37N2O8,451.64,13.29,679.722,Neurotransmitter
Cholesterol,C5H7N1O5,721.34,N/A,493.313,Carbohydrate
Ethanol,C12H17N0O6,157.12,12.93,149.066,Amide
Cholesterol,C4H27N2O2,604.32,3.69,801.842,Alkaloid
Ethanol,C9H29N2O10,227.08,1.73,265.882,Amide
Adrenaline,C18H17N0O2,87.28,11.29,915.497,Carbohydrate
Serotonin,C4H22N5O2,622.4,9.74,433.249,Neurotransmitter
Adrenaline,C9H8N2O4,601.96,10.25,621.049,Amide
Glucose,C7H40N5O7,625.69,7.32,241.696,Hormone
Adenosine triphosphate,C8H9N2O7,924.9,4.59,12.395,Nucleotide
Adenosine triphosphate,C4H21N1O4,277.47,2.67,788.459,Alkaloid
Glucose,C6H19N0O10,948.15,7.94,6.502,Nucleotide
Adenosine triphosphate,C4H5N0O10,979.5,10.62,744.478,Alcohol
Adenosine triphosphate,C7H34N2O0,397.71,12.58,552.984,Carbohydrate
Glucose,C16H32N1O5,350.72,11.13,27.276,Alcohol
Aspirin,C7H22N3O8,836.18,2.59,888.603,Organic Compound
Adenosine triphosphate,C10H2N4O2,59.74,13.85,65.385,Carbohydrate
Cholesterol,C4H19N2O1,116.02,12.69,848.908,Nucleotide
Serotonin,C9H36N2O1,583.06,12.14,405.546,Amide
Serotonin,C20H9N4O5,198.21,N/A,688.589,Hormone
Urea,C18H1N4O10,489.5,11.33,82.244,Carbohydrate
Glucose,C19H24N2O10,223.99,10.05,971.824,Alkaloid
Ethanol,C18H20N3O3,893.02,11.72,444.67,Hormone
Adenosine triphosphate,C7H22N2O8,606.44,5.05,913.698,Alkaloid
Serotonin,C2H30N0O1,497.45,N/A,248.978,Carbohydrate
Dopamine,C20H35N3O6,559.86,N/A,801.216,Carbohydrate
Caffeine,C18H1N4O5,892.91,2.83,764.436,Amide
Serotonin,C13H36N0O10,711.23,13.99,268.568,Alkaloid
Adrenaline,C19H21N1O4,997.93,N/A,381.335,Organic Compound
Caffeine,C3H13N4O0,526.49,N/A,247.851,Alkaloid
Ethanol,C13H34N4O8,881.56,1.46,881.19,Alcohol
Urea,C1H24N2O2,141.05,5.03,959.373,Amide
Cholesterol,C11H13N2O2,845.22,N/A,297.486,Hormone
Caffeine,C9H29N1O6,700.46,10.6,526.178,Amide
Urea,C19H30N1O5,156.54,N/A,563.596,Alcohol
Caffeine,C12H40N3O2,161.41,4.86,459.838,Alcohol
Dopamine,C8H15N1O2,791.69,2.93,843.524,Nucleotide
Dopamine,C15H35N0O7,815.17,1.88,662.329,Carbohydrate
Glucose,C19H4N3O9,473.06,11.29,630.963,Nucleotide
Adenosine triphosphate,C13H13N0O10,955.06,1.24,863.612,Alkaloid
Glucose,C3H19N1O3,231.77,N/A,958.92,Alkaloid
Cholesterol,C12H17N5O4,933.34,10.32,826.149,Alcohol
Adrenaline,C8H7N0O6,83.37,N/A,349.703,Amide
Adrenaline,C18H20N3O6,342.45,N/A,435.468,Neurotransmitter
Adrenaline,C1H33N2O8,594.67,6.59,102.068,Alcohol
Serotonin,C8H16N5O8,621.44,7.02,339.765,Hormone
Caffeine,C8H11N4O7,844.1,2.25,6.056,Amide
Ethanol,C1H10N1O2,777.13,1.19,861.742,Alcohol
Ethanol,C2H17N0O3,65.6,8.97,743.516,Carbohydrate
Adenosine triphosphate,C15H17N0O7,604.95,7.28,866.507,Lipid
Adenosine triphosphate,C17H13N3O7,716.38,N/A,89.399,Hormone
Glucose,C13H38N1O10,884.53,7.11,777.599,Carbohydrate
Urea,C1H20N3O7,759.11,1.4,599.682,Lipid
Aspirin,C6H22N1O2,868.66,8.82,830.158,Alcohol
Adrenaline,C3H26N3O7,646.15,4.67,631.129,Lipid
Dopamine,C15H36N5O9,883.61,N/A,821.815,Organic Compound
Urea,C20H24N2O8,72.49,N/A,35.747,Nucleotide
Aspirin,C10H8N4O4,311.83,N/A,879.967,Lipid
Serotonin,C3H28N4O7,169.51,4.45,800.148,Alkaloid
Urea,C12H19N5O7,374.36,N/A,181.168,Carbohydrate
Aspirin,C3H30N3O3,656.06,9.32,752.087,Neurotransmitter
Serotonin,C1H7N4O8,235.13,11.83,780.313,Lipid
Caffeine,C13H8N4O5,502.93,12.08,27.361,Alkaloid
Cholesterol,C2H13N4O10,973.9,N/A,657.106,Alkaloid
Dopamine,C15H24N4O1,353.97,N/A,198.108,Organic Compound
Serotonin,C2H22N3O8,638.27,N/A,86.312,Alkaloid
Serotonin,C17H25N4O6,866.68,5.0,839.583,Alkaloid
Ethanol,C10H13N2O1,497.73,9.79,549.693,Alkaloid
Serotonin,C1H29N2O0,326.9,1.19,2.832,Amide
Glucose,C16H33N0O1,685.74,11.68,549.143,Neurotransmitter
Aspirin,C16H1N0O2,265.97,8.72,374.801,Carbohydrate
Caffeine,C3H23N0O0,939.2,8.14,183.398,Amide
Caffeine,C2H36N4O9,334.16,13.84,901.021,Carbohydrate
Caffeine,C6H15N4O7,183.71,4.19,764.727,Nucleotide
Urea,C2H18N0O9,238.51,1.06,169.278,Organic Compound
Adenosine triphosphate,C6H7N2O8,979.46,8.55,125.431,Neurotransmitter
Adenosine triphosphate,C16H1N4O1,153.35,2.51,947.544,Amide
Caffeine,C17H22N3O6,75.28,10.35,784.794,Alkaloid
Urea,C6H39N3O9,474.06,N/A,121.013,Neurotransmitter
Dopamine,C12H25N2O1,123.54,10.92,584.765,Neurotransmitter
Serotonin,C13H23N2O9,717.69,10.85,910.439,Organic Compound
Urea,C1H11N3O0,637.78,N/A,143.062,Lipid
Adenosine triphosphate,C8H36N2O5,903.27,11.11,634.68,Amide
Adenosine triphosphate,C19H12N4O9,745.97,7.75,852.414,Alcohol
Cholesterol,C10H11N5O2,751.21,11.36,825.844,Lipid
Glucose,C3H20N1O5,647.55,2.18,521.711,Alcohol
Urea,C7H4N2O10,922.0,9.21,529.805,Nucleotide
Caffeine,C8H14N1O3,320.26,13.85,599.084,Alkaloid
Caffeine,C7H23N3O2,612.71,N/A,954.194,Lipid
Aspirin,C4H11N2O2,156.19,8.14,962.809,Nucleotide
Caffeine,C13H18N5O6,644.02,1.84,566.16,Alcohol
Serotonin,C13H19N3O9,196.93,6.69,506.378,Hormone
Urea,C7H27N0O5,159.66,3.68,219.248,Neurotransmitter
Adrenaline,C12H39N4O10,800.59,6.06,288.201,Alcohol
Aspirin,C10H36N5O6,911.14,10.91,988.991,Hormone
Urea,C16H24N4O2,878.97,11.04,251.364,Amide
Caffeine,C7H37N2O9,485.55,10.97,509.547,Amide
Glucose,C14H6N2O8,570.53,8.79,365.928,Alcohol
Aspirin,C11H9N3O10,625.61,8.37,226.303,Alkaloid
Adenosine triphosphate,C14H19N0O6,736.31,N/A,458.498,Nucleotide
Aspirin,C7H39N5O4,946.31,9.59,485.987,Nucleotide
Serotonin,C9H21N4O10,497.36,10.32,17.793,Neurotransmitter
Serotonin,C18H32N2O9,512.73,13.44,264.183,Amide
Urea,C7H40N0O1,757.92,N/A,158.069,Hormone
Ethanol,C18H30N2O9,194.52,8.91,500.888,Alcohol
Serotonin,C7H20N4O1,940.3,11.01,57.121,Nucleotide
Glucose,C14H27N1O8,998.94,13.73,811.266,Lipid
Adenosine triphosphate,C6H19N3O2,909.21,8.13,213.681,Hormone
Cholesterol,C14H25N4O2,948.71,4.65,970.651,Neurotransmitter
Adrenaline,C11H22N5O10,416.96,7.46,629.815,Hormone
Urea,C7H36N0O3,194.36,3.13,270.996,Lipid
Aspirin,C13H29N4O7,976.43,2.53,801.211,Neurotransmitter
Dopamine,C14H4N3O1,804.74,11.74,515.684,Alcohol
Adenosine triphosphate,C3H3N4O7,485.59,6.31,886.291,Alkaloid
Adenosine triphosphate,C20H15N2O4,492.07,N/A,966.2,Lipid
Cholesterol,C15H30N5O3,903.21,3.38,144.506,Hormone
Glucose,C13H35N1O5,641.05,6.71,261.562,Alcohol
Serotonin,C10H27N4O6,209.59,N/A,574.512,Carbohydrate
Dopamine,C4H39N4O3,126.74,11.05,358.498,Amide
Urea,C4H39N5O2,411.55,10.72,420.141,Nucleotide
Adrenaline,C16H32N2O2,182.13,2.45,1.958,Hormone
Adenosine triphosphate,C19H36N4O5,682.52,10.94,622.986,Alcohol
Glucose,C4H25N5O7,939.65,4.97,891.859,Carbohydrate
Dopamine,C12H40N0O2,747.9,11.85,490.651,Alkaloid
