compound,formula,mw,pka,solubility_mg_ml,class
Ethanol,C2H40N5O1,122.69,7.87,674.169,Nucleotide
Caffeine,C13H23N3O4,360.82,N/A,371.596,Lipid
Cholesterol,C15H26N3O7,262.91,7.77,340.5,Nucleotide
Ethanol,C20H39N4O6,987.42,8.99,21.043,Hormone
Dopamine,C4H5N5O0,752.41,10.65,536.419,Alcohol
Dopamine,C14H26N5O8,877.07,12.89,224.578,Organic Compound
Urea,C7H9N3O5,686.32,12.23,859.672,Amide
Serotonin,C10H27N3O3,942.4,3.68,602.955,Hormone
Cholesterol,C13H34N4O2,740.28,10.53,753.326,Lipid
Serotonin,C16H16N3O6,637.2,4.43,632.201,Alkaloid
Serotonin,C17H31N5O5,364.9,11.23,110.76,Alcohol
Serotonin,C11H3N1O6,777.39,8.44,663.644,Lipid
Dopamine,C2H29N5O7,230.1,6.6,787.948,Alkaloid
Adenosine triphosphate,C13H28N1O2,142.3,1.59,713.935,Alcohol
Serotonin,C19H12N2O2,429.52,2.03,167.994,Nucleotide
Adenosine triphosphate,C9H7N0O0,568.88,10.21,371.539,Lipid
Glucose,C4H5N5O2,599.74,N/A,369.097,Neurotransmitter
Serotonin,C5H17N4O4,971.41,8.05,585.548,Neurotransmitter
Aspirin,C12H28N4O4,556.02,4.96,67.943,Hormone
Urea,C3H18N5O0,570.8,3.37,118.799,Nucleotide
Glucose,C7H11N0O4,579.04,6.79,812.407,Neurotransmitter
Cholesterol,C10H8N0O2,350.93,5.27,208.798,Lipid
Cholesterol,C8H23N0O9,119.65,8.26,698.22,Organic Compound
Ethanol,C5H26N3O6,732.96,2.56,171.396,Alkaloid
Aspirin,C2H8N2O4,515.66,7.74,643.077,Hormone
Dopamine,C2H2N2O3,952.23,11.84,374.158,Amide
Caffeine,C12H36N5O6,72.01,3.94,820.709,Nucleotide
Dopamine,C4H15N2O2,634.55,1.41,827.879,Carbohydrate
Urea,C5H32N5O0,782.05,11.54,415.328,Carbohydrate
Aspirin,C9H8N4O1,60.57,6.84,664.825,Nucleotide
Adrenaline,C2H12N3O9,151.09,4.54,392.651,Lipid
Urea,C16H31N3O10,599.66,6.87,853.512,Lipid
Serotonin,C11H29N2O3,592.54,N/A,863.785,Alkaloid
Caffeine,C5H23N0O9,963.03,13.43,38.034,Carbohydrate
Aspirin,C2H11N0O4,810.59,4.44,626.083,Carbohydrate
Dopamine,C11H25N4O7,888.19,10.75,358.875,Nucleotide
Aspirin,C5H27N0O3,693.16,8.45,292.299,Organic Compound
Urea,C1H16N3O10,863.52,12.95,615.871,Amide
Adenosine triphosphate,C2H7N5O0,794.49,4.34,911.478,Lipid
Glucose,C15H10N4O1,312.68,2.58,368.309,Nucleotide
Adenosine triphosphate,C6H24N5O10,915.03,4.27,486.145,Lipid
Aspirin,C2H3N2O9,643.95,2.09,472.887,Organic Compound
Urea,C18H4N5O8,262.86,3.14,157.541,Alcohol
Caffeine,C9H15N0O7,795.64,8.68,238.731,Alcohol
Caffeine,C16H8N3O8,950.3,3.66,243.503,Alkaloid
Dopamine,C11H30N1O10,278.86,7.99,471.595,Organic Compound
Aspirin,C6H7N0O1,484.56,13.34,310.889,Amide
Urea,C16H25N1O1,541.13,11.27,36.994,Carbohydrate
Caffeine,C5H19N1O1,991.71,5.73,738.518,Organic Compound
Dopamine,C14H16N0O6,220.21,13.67,311.299,Lipid
Aspirin,C3H40N1O2,765.58,7.41,73.475,Amide
Serotonin,C2H4N4O5,144.68,11.41,398.314,Lipid
Cholesterol,C3H7N0O10,202.07,9.69,268.176,Nucleotide
Caffeine,C3H30N4O1,783.36,12.17,288.299,Hormone
Dopamine,C6H21N0O10,369.33,N/A,570.846,Carbohydrate
Glucose,C5H11N5O6,860.77,9.93,148.09,Hormone
Caffeine,C8H39N0O8,711.46,8.76,287.358,Neurotransmitter
Adrenaline,C20H34N1O0,919.71,5.75,689.192,Alkaloid
Cholesterol,C16H10N1O5,512.77,N/A,80.782,Carbohydrate
Dopamine,C16H35N1O6,834.76,N/A,734.826,Alcohol
Cholesterol,C13H24N5O7,582.48,7.74,446.693,Alkaloid
Dopamine,C1H26N5O10,674.78,7.38,714.57,Alkaloid
Glucose,C9H14N0O7,769.67,1.54,69.908,Alcohol
Ethanol,C19H5N4O5,621.81,13.95,695.411,Carbohydrate
Urea,C14H16N2O7,752.89,12.35,242.555,Hormone
Aspirin,C7H39N5O9,882.79,13.12,345.586,Lipid
Cholesterol,C10H29N1O8,329.22,2.64,80.121,Alkaloid
Aspirin,C10H36N4O3,307.9,9.79,979.258,Organic Compound
Serotonin,C10H4N2O3,447.37,N/A,45.036,Amide
Caffeine,C18H38N5O10,206.61,N/A,208.551,Amide
Ethanol,C10H26N3O10,715.79,13.57,375.594,Amide
Ethanol,C1H9N5O8,706.07,2.85,466.563,Alkaloid
Cholesterol,C8H3N0O10,92.03,9.75,208.258,Neurotransmitter
Ethanol,C7H8N3O0,581.98,9.8,153.685,Lipid
Cholesterol,C2H36N3O9,151.36,10.14,311.583,Alkaloid
Urea,C13H37N0O8,191.87,10.21,314.13,Hormone
Serotonin,C3H25N0O4,469.34,12.19,650.715,Lipid
Adenosine triphosphate,C15H39N4O10,843.35,11.89,903.783,Nucleotide
Ethanol,C10H33N3O3,87.86,12.55,814.743,Amide
Urea,C3H22N3O7,771.96,7.76,754.937,Hormone
Dopamine,C6H16N3O0,534.6,13.19,739.679,Alkaloid
Ethanol,C20H25N1O2,895.66,7.45,138.836,Organic Compound
Aspirin,C18H19N2O9,810.76,N/A,547.482,Alcohol
Aspirin,C12H33N1O1,493.54,4.43,245.504,Nucleotide
Adenosine triphosphate,C1H38N1O9,123.25,6.89,752.278,Hormone
Adrenaline,C5H25N0O1,749.03,N/A,439.998,Alcohol
Cholesterol,C8H20N4O2,87.39,5.91,575.461,Organic Compound
Cholesterol,C4H22N0O0,990.93,3.57,496.536,Organic Compound
Adrenaline,C20H21N2O3,711.48,9.99,186.643,Alkaloid
Ethanol,C20H12N2O7,919.61,5.64,497.647,Neurotransmitter
Adrenaline,C2H7N1O8,277.52,N/A,994.304,Neurotransmitter
Urea,C19H13N1O9,519.42,N/A,801.118,Organic Compound
Aspirin,C8H38N5O4,655.35,6.03,403.515,Neurotransmitter
Urea,C9H21N4O7,523.13,3.52,451.262,Amide
Serotonin,C20H14N0O6,314.47,13.18,19.276,Lipid
Serotonin,C10H31N4O2,239.89,6.84,554.579,Carbohydrate
Aspirin,C10H20N2O1,522.7,5.24,422.636,Lipid
Adrenaline,C5H6N5O1,455.33,N/A,24.197,Alkaloid
Serotonin,C5H5N1O10,496.07,11.25,45.384,Carbohydrate
Glucose,C1H6N0O0,299.2,N/A,317.624,Organic Compound
Adenosine triphosphate,C7H10N3O6,914.28,10.19,621.948,Amide
Aspirin,C14H35N1O1,536.78,1.86,722.552,Hormone
Cholesterol,C13H24N3O2,94.55,7.7,711.329,Carbohydrate
Dopamine,C17H15N2O10,193.14,11.42,150.179,Hormone
Adenosine triphosphate,C3H38N4O3,832.35,5.31,134.422,Lipid
Glucose,C6H7N4O10,449.01,2.24,395.118,Alkaloid
Dopamine,C12H40N2O2,830.21,1.9,67.955,Hormone
Caffeine,C1H25N4O1,127.93,1.59,740.972,Amide
Adenosine triphosphate,C18H30N5O5,119.3,7.62,510.824,Lipid
Dopamine,C1H1N1O10,407.0,4.68,633.62,Hormone
Ethanol,C5H29N4O8,299.51,9.09,870.85,Lipid
Ethanol,C12H40N3O6,516.13,12.01,992.307,Alkaloid
Urea,C1H12N2O2,93.13,N/A,890.715,Organic Compound
Urea,C4H25N1O0,282.23,N/A,598.6,Carbohydrate
Cholesterol,C20H26N5O4,593.98,4.42,858.157,Carbohydrate
Glucose,C15H8N0O8,968.99,N/A,418.734,Alkaloid
Urea,C2H36N4O5,960.1,10.11,341.923,Alkaloid
Urea,C4H17N5O0,485.74,2.78,454.574,Alcohol
Urea,C12H29N0O4,284.65,12.65,149.93,Carbohydrate
Caffeine,C5H13N5O7,960.95,9.19,617.472,Organic Compound
Dopamine,C5H16N0O5,391.88,10.3,187.262,Neurotransmitter
Adenosine triphosphate,C20H30N3O2,819.89,8.21,700.294,Organic Compound
Aspirin,C9H11N1O2,384.61,8.54,569.649,Lipid
Glucose,C8H19N5O0,589.86,9.51,891.474,Organic Compound
Adenosine triphosphate,C7H30N3O8,639.89,N/A,373.228,Carbohydrate
Urea,C3H22N2O10,638.07,4.48,694.518,Neurotransmitter
Aspirin,C20H15N4O4,890.88,12.24,333.043,Alcohol
