compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C8H21N3O8,89.68,9.65,984.856,Amide
Ethanol,C7H10N4O8,220.77,5.03,32.131,Amide
Adrenaline,C10H34N0O7,228.39,8.36,191.092,Carbohydrate
Ethanol,C16H9N2O0,936.44,6.81,555.255,Amide
Serotonin,C16H20N2O1,670.67,4.52,167.493,Lipid
Adenosine triphosphate,C16H38N2O3,289.61,N/A,942.383,Hormone
Glucose,C4H8N4O1,782.54,N/A,999.042,Alkaloid
Dopamine,C19H22N1O8,428.29,N/A,201.063,Amide
Urea,C19H40N3O10,408.52,11.35,647.257,Alkaloid
Dopamine,C17H30N0O7,730.27,9.47,702.961,Carbohydrate
Adenosine triphosphate,C17H37N5O5,243.87,10.67,606.31,Amide
Urea,C5H13N2O8,796.9,4.19,227.432,Neurotransmitter
Adenosine triphosphate,C9H6N2O8,394.85,N/A,407.433,Alcohol
Dopamine,C1H6N4O4,188.68,4.87,134.25,Nucleotide
Urea,C3H33N0O5,680.57,5.65,958.521,Organic Compound
Urea,C19H39N0O1,340.3,12.69,783.769,Nucleotide
Aspirin,C10H34N4O10,935.65,N/A,263.315,Alkaloid
Cholesterol,C14H10N2O10,378.04,4.69,774.373,Neurotransmitter
Aspirin,C7H19N1O2,233.3,9.91,344.8,Neurotransmitter
Glucose,C12H5N0O1,713.9,12.1,643.585,Neurotransmitter
Serotonin,C7H14N5O5,476.69,N/A,914.1,Carbohydrate
Urea,C13H6N2O7,876.71,11.22,272.483,Lipid
Dopamine,C3H6N5O5,852.51,3.19,943.095,Hormone
Dopamine,C11H16N2O6,968.6,10.22,99.009,Amide
Serotonin,C10H19N5O10,727.13,12.38,334.626,Alcohol
Urea,C12H15N5O9,430.34,6.44,459.304,Alkaloid
Glucose,C13H36N5O10,912.89,N/A,750.237,Amide
Caffeine,C4H40N0O0,764.8,12.3,996.203,Nucleotide
Glucose,C5H30N0O0,358.66,4.81,461.175,Carbohydrate
Adrenaline,C15H29N3O9,295.35,5.69,443.61,Organic Compound
Aspirin,C2H26N4O4,498.49,4.39,115.959,Carbohydrate
Ethanol,C20H34N4O9,934.36,10.03,8.472,Alkaloid
Serotonin,C18H7N1O6,881.13,5.91,102.078,Lipid
Adrenaline,C13H25N2O8,257.63,4.11,569.42,Organic Compound
Aspirin,C19H3N5O2,87.56,12.53,327.257,Alkaloid
Caffeine,C10H30N5O7,396.18,11.51,768.063,Organic Compound
Ethanol,C1H8N4O8,700.91,5.85,827.687,Neurotransmitter
Dopamine,C1H35N4O9,883.31,8.61,801.609,Hormone
