compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C6H14N4O3,577.84,N/A,969.608,Carbohydrate
Caffeine,C3H39N2O5,141.85,13.63,386.587,Organic Compound
Glucose,C1H27N1O6,143.45,9.69,239.859,Neurotransmitter
Glucose,C8H2N1O7,669.88,3.48,435.685,Lipid
Urea,C7H29N0O0,677.1,N/A,439.652,Amide
Caffeine,C18H9N1O4,641.88,1.86,616.912,Neurotransmitter
Cholesterol,C16H37N0O9,422.05,1.18,715.59,Alcohol
Serotonin,C4H25N5O10,53.59,9.49,71.639,Alcohol
Ethanol,C9H3N3O4,830.89,11.3,622.032,Organic Compound
Caffeine,C14H25N3O9,811.61,1.18,840.874,Hormone
Cholesterol,C14H2N0O3,888.21,9.87,462.504,Organic Compound
Aspirin,C9H36N4O9,831.46,8.29,218.995,Organic Compound
Adenosine triphosphate,C1H25N3O10,582.68,N/A,322.606,Alcohol
Dopamine,C19H17N2O2,661.17,13.84,391.692,Amide
Serotonin,C13H1N0O6,864.75,4.97,743.333,Nucleotide
Serotonin,C14H2N5O0,196.91,13.91,958.39,Alkaloid
Caffeine,C4H12N1O5,741.31,1.7,420.065,Hormone
Glucose,C16H29N5O2,863.6,N/A,841.142,Hormone
Glucose,C4H40N0O9,278.19,N/A,127.701,Nucleotide
Serotonin,C16H4N1O9,743.93,N/A,996.729,Amide
Adenosine triphosphate,C14H20N2O10,463.01,6.73,926.454,Organic Compound
Urea,C2H10N0O10,264.19,9.2,755.05,Alcohol
Dopamine,C11H2N3O9,524.65,11.5,8.648,Nucleotide
Cholesterol,C3H38N4O5,207.79,7.57,262.802,Organic Compound
Serotonin,C15H20N5O1,388.61,4.71,224.879,Neurotransmitter
Aspirin,C14H14N3O9,662.94,12.63,996.575,Lipid
Ethanol,C10H19N3O10,184.94,1.8,609.678,Lipid
Adrenaline,C18H8N4O1,609.86,2.3,949.634,Lipid
Dopamine,C7H15N4O10,110.4,5.49,242.6,Carbohydrate
Glucose,C16H24N5O6,785.65,2.81,883.949,Carbohydrate
Adenosine triphosphate,C10H12N3O10,785.88,9.48,729.765,Organic Compound
Cholesterol,C15H30N5O10,179.67,13.88,650.935,Lipid
Dopamine,C10H39N2O7,116.23,6.64,521.748,Neurotransmitter
Dopamine,C15H38N4O4,298.81,2.69,576.414,Alcohol
Ethanol,C7H25N4O6,408.57,1.45,454.798,Alkaloid
Ethanol,C14H29N5O5,378.66,5.37,153.027,Nucleotide
Adrenaline,C10H21N2O8,319.34,9.39,317.716,Hormone
Adenosine triphosphate,C13H9N1O7,430.73,N/A,320.059,Neurotransmitter
Urea,C6H24N3O4,792.73,N/A,885.492,Carbohydrate
Urea,C17H9N3O6,511.3,10.48,97.807,Carbohydrate
Adrenaline,C12H23N4O10,711.37,7.86,406.333,Hormone
Adenosine triphosphate,C11H9N1O9,305.82,5.52,258.71,Alkaloid
Urea,C10H39N3O8,573.86,7.89,707.238,Nucleotide
Urea,C13H16N4O6,367.75,N/A,682.593,Alcohol
Ethanol,C14H20N1O9,694.84,6.5,172.235,Organic Compound
Glucose,C13H40N3O1,624.77,9.37,673.916,Nucleotide
Adrenaline,C12H24N1O2,410.31,N/A,386.177,Amide
Dopamine,C12H31N1O5,897.91,2.35,152.718,Alkaloid
Urea,C16H2N1O9,418.25,9.09,891.746,Alkaloid
Urea,C9H3N3O7,119.81,5.62,20.456,Amide
Caffeine,C10H15N0O6,107.57,N/A,941.545,Alkaloid
Serotonin,C10H18N0O10,339.79,N/A,501.289,Carbohydrate
Adenosine triphosphate,C8H32N1O9,587.11,4.13,134.749,Nucleotide
Urea,C20H23N4O2,101.5,9.87,100.283,Hormone
Urea,C3H12N0O0,563.44,10.26,40.313,Alkaloid
Dopamine,C6H36N3O7,767.42,4.96,229.492,Lipid
Serotonin,C18H39N4O3,143.1,3.68,579.5,Amide
Adrenaline,C5H16N3O10,68.4,10.16,493.585,Carbohydrate
Urea,C2H23N3O4,276.04,7.43,516.146,Alkaloid
Urea,C13H21N2O2,312.97,N/A,484.086,Nucleotide
Caffeine,C11H38N5O10,394.32,11.29,441.366,Alcohol
Adrenaline,C3H25N4O5,836.91,12.74,25.302,Organic Compound
Aspirin,C2H2N0O7,845.68,10.3,111.004,Hormone
Ethanol,C3H14N0O1,445.74,9.51,422.42,Organic Compound
Urea,C6H26N3O9,353.95,6.99,32.638,Nucleotide
Ethanol,C10H15N4O4,199.5,3.73,305.901,Organic Compound
Serotonin,C15H18N3O10,662.28,N/A,60.219,Hormone
Adenosine triphosphate,C11H3N4O5,403.05,4.65,494.204,Neurotransmitter
Adenosine triphosphate,C2H32N1O3,945.87,3.93,445.523,Nucleotide
Adenosine triphosphate,C16H35N1O0,222.55,N/A,481.26,Alcohol
Cholesterol,C4H11N4O5,879.58,8.99,390.92,Neurotransmitter
Dopamine,C14H21N4O10,691.39,12.33,6.787,Nucleotide
Adrenaline,C18H8N5O9,103.42,9.63,335.737,Alkaloid
Adrenaline,C4H26N2O10,725.14,3.1,373.358,Nucleotide
Adenosine triphosphate,C13H7N4O0,876.81,N/A,476.162,Hormone
Dopamine,C1H30N5O4,660.41,2.05,711.153,Amide
Glucose,C14H4N4O2,453.29,5.64,216.875,Alkaloid
Adenosine triphosphate,C17H3N2O7,610.22,1.79,517.626,Hormone
Serotonin,C9H35N3O4,530.06,13.02,641.616,Lipid
Urea,C13H11N2O2,120.71,13.43,397.901,Hormone
Aspirin,C1H15N0O3,919.47,7.64,826.969,Amide
Adrenaline,C17H27N3O9,598.34,6.69,281.724,Neurotransmitter
Urea,C18H21N0O10,698.82,7.88,899.14,Amide
Adrenaline,C20H16N1O2,882.9,N/A,644.941,Hormone
Dopamine,C8H23N1O5,542.93,2.49,631.576,Organic Compound
Adenosine triphosphate,C18H10N4O2,704.56,10.25,55.092,Nucleotide
Caffeine,C18H39N2O1,141.14,9.58,39.07,Nucleotide
Glucose,C3H27N4O5,763.52,1.46,653.689,Alcohol
Aspirin,C2H35N1O7,459.42,13.41,151.822,Lipid
Aspirin,C1H14N4O1,58.74,11.5,228.064,Organic Compound
Glucose,C3H16N3O0,356.71,N/A,922.086,Lipid
Urea,C1H22N4O7,468.14,3.92,806.029,Alcohol
Urea,C19H28N1O1,337.68,N/A,615.722,Alcohol
Aspirin,C14H39N5O2,998.92,N/A,980.491,Hormone
Caffeine,C10H20N4O4,249.47,12.6,501.83,Organic Compound
Ethanol,C11H34N5O6,210.88,8.58,484.232,Alkaloid
Adrenaline,C10H1N0O0,105.45,N/A,365.851,Alkaloid
Urea,C14H1N0O8,131.53,7.74,970.428,Carbohydrate
Serotonin,C15H19N0O1,664.59,6.35,510.02,Lipid
Adrenaline,C17H17N1O4,918.1,8.53,74.103,Alkaloid
Ethanol,C4H19N2O10,245.39,7.46,563.433,Alkaloid
Glucose,C18H19N5O3,908.24,1.85,930.076,Carbohydrate
Serotonin,C19H39N4O7,867.1,9.52,141.792,Alcohol
Ethanol,C1H37N0O1,245.48,2.79,435.347,Nucleotide
Caffeine,C6H26N5O9,199.86,N/A,644.701,Amide
Adenosine triphosphate,C5H14N0O1,200.58,1.91,389.408,Neurotransmitter
Adenosine triphosphate,C6H34N5O0,552.67,1.63,980.835,Alcohol
Adenosine triphosphate,C11H37N2O6,519.87,N/A,989.488,Neurotransmitter
Serotonin,C3H22N2O7,698.93,1.12,360.057,Carbohydrate
Ethanol,C10H40N1O1,455.0,10.57,615.669,Organic Compound
Adenosine triphosphate,C4H31N0O0,982.08,13.5,277.678,Amide
Dopamine,C12H11N2O6,720.4,N/A,260.12,Hormone
Cholesterol,C13H28N1O1,317.13,5.32,372.462,Carbohydrate
Serotonin,C12H6N2O2,948.43,12.23,453.828,Alcohol
Glucose,C19H12N1O7,928.55,3.79,62.441,Hormone
Caffeine,C2H3N2O4,472.08,8.78,550.805,Alcohol
Adenosine triphosphate,C1H1N4O9,879.82,4.01,839.688,Amide
Glucose,C14H10N2O4,364.47,1.36,671.952,Organic Compound
Ethanol,C15H33N1O6,928.68,N/A,427.304,Alkaloid
Adenosine triphosphate,C1H16N1O0,454.59,N/A,526.0,Carbohydrate
Caffeine,C4H2N1O9,346.14,N/A,746.998,Alcohol
Ethanol,C20H31N4O1,56.49,4.98,937.13,Alcohol
Ethanol,C2H37N0O1,132.42,6.6,753.638,Amide
Aspirin,C20H32N0O5,966.2,2.52,622.366,Nucleotide
Ethanol,C6H6N4O7,412.7,8.94,603.28,Hormone
Glucose,C13H35N0O6,991.07,N/A,726.122,Organic Compound
Cholesterol,C8H27N1O6,445.58,5.81,457.495,Nucleotide
Cholesterol,C13H8N4O8,424.55,1.68,370.478,Carbohydrate
Aspirin,C10H7N2O2,642.49,2.05,56.687,Hormone
Aspirin,C3H9N2O0,700.95,5.92,305.443,Organic Compound
Aspirin,C9H18N5O2,652.39,11.39,882.515,Lipid
Glucose,C17H23N0O5,134.82,11.62,629.549,Neurotransmitter
Adrenaline,C20H32N4O5,50.56,12.03,791.669,Lipid
Adenosine triphosphate,C15H17N5O10,66.53,11.01,680.161,Neurotransmitter
Adenosine triphosphate,C14H35N1O1,882.98,6.5,596.818,Alcohol
Glucose,C11H38N5O8,688.89,2.7,696.508,Hormone
Serotonin,C6H32N1O9,544.51,1.03,972.545,Alcohol
Serotonin,C10H37N2O5,160.27,N/A,927.065,Hormone
Caffeine,C7H19N2O5,259.08,N/A,71.75,Carbohydrate
Aspirin,C5H4N1O1,635.1,5.02,955.74,Organic Compound
Caffeine,C7H23N1O6,635.98,4.88,487.376,Alcohol
Adrenaline,C6H29N3O7,562.36,N/A,165.649,Organic Compound
Caffeine,C12H19N5O1,60.1,12.59,950.295,Amide
Dopamine,C6H29N3O0,835.99,7.99,876.229,Nucleotide
Urea,C2H29N4O7,601.63,7.45,335.932,Lipid
Urea,C18H29N1O5,205.53,12.8,494.194,Organic Compound
Ethanol,C12H17N3O4,291.98,13.52,758.198,Alkaloid
Adrenaline,C6H17N0O9,578.74,N/A,385.407,Neurotransmitter
Urea,C12H4N2O7,490.08,13.86,846.887,Alkaloid
Ethanol,C8H32N2O8,471.2,10.01,180.238,Alkaloid
Glucose,C18H11N0O1,576.8,6.81,864.385,Alkaloid
Serotonin,C5H15N3O4,790.52,8.91,580.725,Hormone
Adenosine triphosphate,C11H12N3O4,74.12,10.74,58.187,Neurotransmitter
Adenosine triphosphate,C19H32N4O4,107.25,7.38,125.722,Lipid
Aspirin,C12H4N3O3,550.29,13.38,893.815,Alcohol
Cholesterol,C4H21N4O0,499.27,13.1,267.263,Alcohol
Aspirin,C11H35N5O9,863.67,6.75,982.419,Nucleotide
Adenosine triphosphate,C11H27N3O8,334.52,8.03,963.823,Neurotransmitter
Dopamine,C5H16N5O3,981.93,9.76,632.206,Organic Compound
Aspirin,C5H18N1O1,880.41,8.83,871.504,Amide
Ethanol,C15H24N4O1,707.56,1.84,315.141,Alcohol
Caffeine,C7H21N5O0,822.73,12.02,84.269,Lipid
Aspirin,C11H34N5O2,400.92,3.35,134.45,Carbohydrate
Adenosine triphosphate,C18H38N2O10,195.15,10.15,219.038,Nucleotide
Serotonin,C1H3N0O2,994.63,13.28,543.324,Hormone
Aspirin,C11H21N4O4,628.04,12.01,589.002,Amide
Glucose,C13H11N1O6,102.37,N/A,570.252,Alcohol
Glucose,C4H8N2O6,441.88,5.89,249.118,Carbohydrate
Serotonin,C12H39N4O6,80.93,N/A,633.92,Amide
Caffeine,C14H29N3O10,272.06,12.54,171.962,Alcohol
Glucose,C16H23N4O6,906.49,5.29,221.501,Hormone
Cholesterol,C3H14N5O10,885.0,3.55,864.279,Neurotransmitter
Cholesterol,C6H16N1O3,192.97,N/A,222.93,Neurotransmitter
Dopamine,C3H25N5O9,254.26,5.8,342.664,Alcohol
Aspirin,C6H30N5O1,764.93,9.7,34.89,Lipid
Ethanol,C14H2N0O5,232.99,12.0,648.851,Alcohol
Caffeine,C16H11N4O2,75.62,N/A,842.748,Alcohol
Adrenaline,C20H39N1O8,375.58,10.16,840.821,Alcohol
Urea,C19H11N2O6,82.98,6.16,546.81,Hormone
Adrenaline,C14H26N4O8,778.53,13.87,833.576,Alkaloid
Ethanol,C1H1N1O6,991.63,N/A,996.028,Lipid
Adrenaline,C18H16N1O10,245.87,7.85,672.946,Hormone
Glucose,C17H32N1O3,916.19,N/A,857.781,Alcohol
Adenosine triphosphate,C5H12N4O4,608.06,8.49,389.196,Hormone
Ethanol,C3H12N1O4,467.57,N/A,4.891,Nucleotide
Adrenaline,C11H11N4O8,84.12,6.31,995.518,Alkaloid
Adenosine triphosphate,C1H20N5O8,671.22,9.47,343.27,Alkaloid
Adenosine triphosphate,C2H2N3O4,639.85,10.35,737.167,Neurotransmitter
Serotonin,C3H40N5O4,327.72,6.87,689.082,Organic Compound
Caffeine,C19H26N5O8,187.0,2.78,390.424,Nucleotide
Caffeine,C15H28N2O0,872.22,9.85,657.034,Hormone
Dopamine,C8H31N3O10,866.81,6.84,13.393,Carbohydrate
Cholesterol,C5H29N4O8,923.24,N/A,627.441,Lipid
Adrenaline,C1H20N0O5,859.32,8.51,419.191,Alcohol
Dopamine,C12H22N2O3,369.63,2.02,587.849,Hormone
Ethanol,C18H6N4O2,432.82,8.28,185.265,Neurotransmitter
Ethanol,C11H19N4O1,403.51,9.7,336.991,Neurotransmitter
Serotonin,C5H25N5O2,291.35,1.92,737.767,Neurotransmitter
Ethanol,C2H33N2O8,84.09,7.52,912.326,Hormone
Serotonin,C5H40N5O0,136.13,13.03,297.572,Carbohydrate
Serotonin,C11H8N1O6,817.51,N/A,347.353,Hormone
Glucose,C9H18N1O3,85.91,2.37,32.484,Nucleotide
Cholesterol,C4H1N1O7,952.61,3.37,104.931,Neurotransmitter
Glucose,C9H40N2O0,249.73,12.32,778.614,Alkaloid
Adrenaline,C7H16N0O3,566.47,12.32,144.555,Organic Compound
Cholesterol,C5H39N2O9,108.69,1.41,782.726,Amide
Cholesterol,C7H6N0O1,936.53,N/A,899.747,Alkaloid
Serotonin,C8H23N5O6,271.86,12.5,611.253,Organic Compound
Cholesterol,C3H5N2O10,796.84,N/A,523.044,Organic Compound
Adenosine triphosphate,C13H21N3O9,687.98,N/A,939.941,Carbohydrate
Ethanol,C5H37N0O9,237.82,7.62,144.21,Organic Compound
Glucose,C11H27N2O10,431.91,3.7,836.7,Lipid
Serotonin,C6H30N5O9,826.19,7.89,424.48,Neurotransmitter
Adenosine triphosphate,C9H35N2O4,797.64,4.85,328.834,Carbohydrate
Glucose,C15H15N2O6,687.82,3.45,340.768,Lipid
Ethanol,C6H15N5O7,946.07,5.84,112.702,Neurotransmitter
Serotonin,C15H5N5O7,749.52,7.2,694.975,Organic Compound
Ethanol,C12H17N3O10,777.64,9.44,351.492,Lipid
Ethanol,C15H7N1O10,695.71,9.42,783.89,Lipid
Cholesterol,C3H35N1O9,392.56,N/A,729.086,Nucleotide
Urea,C20H22N0O8,405.5,1.85,456.322,Alcohol
Adrenaline,C8H23N0O10,533.95,9.12,239.585,Carbohydrate
Adenosine triphosphate,C16H31N1O0,412.83,N/A,198.726,Organic Compound
Caffeine,C19H25N0O4,569.63,N/A,860.404,Organic Compound
Cholesterol,C5H6N2O2,179.21,7.42,70.946,Alcohol
Caffeine,C3H1N1O2,729.4,13.8,776.905,Alcohol
Serotonin,C10H31N0O0,404.95,6.76,351.114,Amide
