compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C8H22N0O2,56.67,6.52,770.576,Neurotransmitter
Serotonin,C11H38N5O9,800.86,5.08,823.111,Nucleotide
Dopamine,C6H30N5O4,442.82,N/A,52.479,Organic Compound
Adenosine triphosphate,C19H35N4O2,424.21,N/A,556.282,Amide
Cholesterol,C14H26N0O2,435.16,3.02,611.26,Lipid
Cholesterol,C8H6N1O7,304.52,7.1,237.938,Organic Compound
Urea,C8H11N4O0,572.57,7.83,979.433,Hormone
Adenosine triphosphate,C19H35N3O0,342.77,N/A,501.154,Alkaloid
Adenosine triphosphate,C13H9N3O9,646.89,4.97,175.273,Hormone
Cholesterol,C7H17N5O6,150.56,11.03,224.719,Carbohydrate
Caffeine,C4H8N3O4,650.58,12.08,623.375,Organic Compound
Serotonin,C20H4N5O10,390.54,4.9,886.265,Neurotransmitter
Glucose,C8H40N4O10,843.14,4.55,462.955,Organic Compound
Adenosine triphosphate,C15H26N4O4,360.26,N/A,550.467,Alkaloid
Ethanol,C4H31N0O10,517.15,N/A,97.927,Alkaloid
Adrenaline,C4H4N0O3,406.62,2.59,972.145,Carbohydrate
Caffeine,C17H21N4O10,819.91,7.71,106.838,Alcohol
Aspirin,C18H34N3O1,133.87,6.62,549.417,Organic Compound
Glucose,C12H28N2O10,477.13,10.16,514.105,Hormone
Adrenaline,C20H17N0O7,555.68,13.76,134.519,Alkaloid
Adenosine triphosphate,C20H15N0O8,279.53,3.73,193.569,Hormone
Aspirin,C15H6N1O10,183.35,11.07,955.416,Nucleotide
Glucose,C10H10N2O2,707.9,7.09,967.09,Lipid
Ethanol,C17H21N2O0,255.49,3.68,771.339,Organic Compound
Serotonin,C7H16N5O6,552.33,8.35,872.233,Organic Compound
Glucose,C2H6N4O4,827.64,5.26,501.232,Organic Compound
Urea,C2H1N3O4,504.41,1.56,828.152,Nucleotide
Adenosine triphosphate,C1H11N3O7,99.6,1.42,695.465,Alkaloid
Glucose,C13H12N1O5,458.72,10.36,513.04,Hormone
Dopamine,C9H25N1O3,447.12,2.53,124.574,Neurotransmitter
Glucose,C3H28N3O9,396.74,12.94,9.078,Alcohol
Dopamine,C3H22N3O4,125.78,13.81,619.418,Alcohol
Caffeine,C4H22N5O5,374.7,7.93,326.167,Carbohydrate
Ethanol,C12H4N2O9,826.06,9.19,514.623,Organic Compound
Cholesterol,C20H23N5O3,351.13,13.44,392.016,Hormone
Ethanol,C11H39N5O4,951.32,N/A,794.002,Neurotransmitter
Urea,C8H35N4O8,427.76,8.13,284.22,Neurotransmitter
Aspirin,C4H5N3O6,486.58,3.42,7.651,Lipid
Aspirin,C11H14N5O9,279.5,12.29,436.921,Organic Compound
Dopamine,C18H4N4O7,942.48,5.93,325.078,Alcohol
Serotonin,C14H6N3O7,146.45,6.16,513.27,Organic Compound
Glucose,C2H26N5O5,385.06,6.39,440.432,Hormone
Adrenaline,C2H16N0O8,879.33,9.66,889.414,Hormone
Ethanol,C5H18N4O1,824.79,N/A,301.49,Lipid
Adenosine triphosphate,C2H23N2O10,516.65,11.57,699.787,Carbohydrate
Ethanol,C14H14N5O4,51.85,1.92,390.893,Neurotransmitter
Aspirin,C20H2N0O2,738.39,8.52,21.437,Carbohydrate
Adrenaline,C13H6N1O2,551.39,7.67,377.424,Organic Compound
Aspirin,C12H6N3O1,727.24,9.42,12.418,Lipid
Glucose,C11H15N3O2,846.38,N/A,805.819,Carbohydrate
Adenosine triphosphate,C13H6N1O10,394.53,12.61,949.946,Hormone
Serotonin,C13H36N0O3,423.67,5.93,143.551,Carbohydrate
Glucose,C8H11N2O10,292.39,9.52,333.394,Alkaloid
Adenosine triphosphate,C2H23N0O1,767.77,2.06,168.227,Hormone
Adrenaline,C12H2N0O0,897.86,5.24,876.377,Carbohydrate
Adrenaline,C12H9N4O4,501.59,1.33,691.403,Hormone
Serotonin,C18H12N0O4,106.64,10.52,725.874,Organic Compound
Ethanol,C6H4N1O2,870.24,N/A,895.95,Amide
Glucose,C11H1N2O8,923.76,3.75,156.508,Alkaloid
