compound,formula,mw,pka,solubility_mg_ml,class
Caffeine,C3H32N4O0,872.81,3.18,497.354,Hormone
Urea,C9H12N4O8,886.21,5.93,639.746,Lipid
Cholesterol,C4H26N1O8,842.96,N/A,144.585,Alkaloid
Urea,C4H9N4O7,451.49,6.94,220.978,Hormone
Dopamine,C13H37N2O3,635.45,13.94,397.443,Hormone
Urea,C15H30N5O4,240.83,N/A,548.511,Organic Compound
Dopamine,C10H38N1O9,594.62,N/A,125.251,Hormone
Cholesterol,C15H15N5O8,460.69,7.41,936.132,Alcohol
Urea,C4H3N0O9,660.26,N/A,453.385,Alkaloid
Adenosine triphosphate,C2H31N0O2,507.28,11.81,224.28,Neurotransmitter
Aspirin,C10H2N0O5,573.76,12.43,135.785,Amide
Urea,C16H34N0O5,489.35,5.88,754.589,Amide
Ethanol,C6H22N0O4,613.84,N/A,757.075,Hormone
Serotonin,C1H39N3O5,114.99,9.14,860.297,Lipid
Adenosine triphosphate,C20H37N2O8,252.55,1.52,768.454,Hormone
Adrenaline,C4H2N5O4,769.25,13.12,491.004,Amide
Adenosine triphosphate,C18H1N4O10,856.32,12.7,161.48,Lipid
Glucose,C11H30N2O8,893.91,5.97,195.967,Nucleotide
Caffeine,C2H19N5O0,76.6,10.09,233.69,Organic Compound
Glucose,C8H8N0O5,919.77,7.59,901.952,Neurotransmitter
Caffeine,C8H2N3O0,417.31,5.59,674.04,Alcohol
Glucose,C16H26N3O5,492.65,9.15,58.029,Amide
Glucose,C17H40N5O5,978.71,5.61,646.043,Neurotransmitter
Aspirin,C18H34N1O4,982.07,N/A,717.465,Nucleotide
Dopamine,C8H18N3O5,270.07,7.02,805.609,Alkaloid
Adenosine triphosphate,C15H12N3O7,780.63,11.31,489.356,Nucleotide
Ethanol,C11H9N0O6,805.6,3.66,827.935,Alkaloid
Urea,C16H27N5O7,609.01,7.77,687.836,Neurotransmitter
Dopamine,C4H13N4O0,675.8,2.68,402.669,Lipid
Dopamine,C9H21N4O5,124.48,8.6,695.556,Alcohol
Cholesterol,C15H30N4O3,253.99,3.89,589.798,Organic Compound
Urea,C19H29N0O8,479.72,2.97,534.742,Alkaloid
Urea,C7H10N2O7,523.22,4.58,359.349,Alkaloid
Aspirin,C19H22N2O5,987.71,2.23,81.03,Alkaloid
Cholesterol,C1H4N3O8,428.08,N/A,239.088,Carbohydrate
Ethanol,C20H28N3O1,395.91,N/A,596.501,Lipid
Serotonin,C12H33N3O7,723.91,6.65,356.254,Neurotransmitter
Serotonin,C8H39N2O0,892.6,5.14,90.84,Organic Compound
Dopamine,C1H18N2O8,994.02,13.57,84.821,Alcohol
Adenosine triphosphate,C19H23N5O5,129.08,3.91,638.754,Amide
Ethanol,C4H37N3O0,220.38,N/A,146.177,Nucleotide
Caffeine,C16H17N2O5,848.89,8.32,825.719,Alkaloid
Cholesterol,C16H18N3O2,581.03,3.18,188.379,Alkaloid
Urea,C16H34N2O5,705.48,10.17,911.546,Organic Compound
Glucose,C14H34N5O9,964.08,1.0,519.109,Carbohydrate
Adenosine triphosphate,C9H13N5O1,608.51,2.13,774.73,Alkaloid
Dopamine,C20H14N5O9,939.58,11.79,828.519,Nucleotide
Caffeine,C7H1N0O0,422.7,7.15,368.262,Alcohol
Caffeine,C16H34N4O3,306.87,9.89,50.184,Neurotransmitter
Urea,C8H25N5O0,397.83,7.57,380.012,Organic Compound
Ethanol,C1H30N0O8,736.63,4.39,356.056,Organic Compound
Cholesterol,C20H10N0O2,511.67,3.43,906.539,Organic Compound
Serotonin,C15H37N5O10,190.81,5.74,440.892,Lipid
Aspirin,C7H19N1O4,213.32,10.29,881.325,Alcohol
Adrenaline,C20H2N5O10,361.05,5.34,524.235,Carbohydrate
Aspirin,C2H22N4O5,540.54,12.59,783.821,Alkaloid
Adenosine triphosphate,C2H23N0O1,267.59,1.88,873.792,Neurotransmitter
Ethanol,C14H21N4O0,679.81,8.75,353.093,Alkaloid
Adrenaline,C16H25N3O4,167.31,8.93,726.027,Amide
Glucose,C1H36N4O7,589.91,4.72,472.643,Nucleotide
Cholesterol,C5H6N4O9,874.22,8.22,299.821,Alcohol
Aspirin,C11H10N4O4,370.67,N/A,543.517,Carbohydrate
Serotonin,C18H39N5O1,480.81,1.53,770.166,Lipid
Aspirin,C6H32N1O1,220.99,6.71,401.699,Amide
Adrenaline,C11H24N5O0,612.51,4.68,87.936,Neurotransmitter
Dopamine,C12H25N2O7,415.45,11.19,804.372,Carbohydrate
Urea,C14H28N5O5,348.99,1.26,633.01,Amide
Dopamine,C10H2N3O5,273.1,N/A,189.138,Lipid
