compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C13H37N0O3,274.09,13.76,230.616,Lipid
Glucose,C3H3N4O4,171.37,13.11,280.685,Alcohol
Aspirin,C8H40N3O1,300.68,6.03,761.087,Hormone
Adenosine triphosphate,C16H39N2O8,901.7,6.96,494.146,Amide
Adrenaline,C20H11N5O5,527.46,13.65,594.665,Amide
Ethanol,C18H29N2O5,776.22,N/A,274.187,Alcohol
Dopamine,C8H34N2O2,703.62,1.7,523.775,Neurotransmitter
Glucose,C3H13N4O1,788.0,N/A,277.325,Organic Compound
Urea,C10H12N4O8,690.99,12.86,793.592,Organic Compound
Ethanol,C3H15N4O0,531.13,4.18,960.766,Lipid
Caffeine,C12H29N5O2,191.05,N/A,520.499,Organic Compound
Serotonin,C17H34N0O0,507.86,N/A,881.779,Amide
Ethanol,C11H31N3O8,284.8,13.39,435.197,Neurotransmitter
Dopamine,C2H9N3O0,973.96,1.97,34.154,Neurotransmitter
Serotonin,C3H18N1O0,760.57,8.02,405.247,Carbohydrate
Cholesterol,C3H39N3O9,920.75,7.88,828.956,Amide
Aspirin,C1H39N0O5,992.94,12.66,820.091,Alkaloid
Cholesterol,C1H11N3O10,136.2,7.71,54.319,Hormone
Urea,C15H15N4O6,61.33,6.33,952.588,Nucleotide
Ethanol,C6H32N1O9,735.72,N/A,109.547,Alkaloid
Ethanol,C10H2N3O9,754.53,9.4,518.498,Nucleotide
Adenosine triphosphate,C2H24N3O10,907.62,1.29,804.524,Organic Compound
Adrenaline,C7H11N1O5,808.83,11.65,111.142,Carbohydrate
Urea,C3H1N4O0,929.7,N/A,320.799,Nucleotide
Cholesterol,C18H4N4O1,824.19,1.73,458.567,Nucleotide
Adrenaline,C12H38N4O7,898.81,4.05,703.083,Nucleotide
Serotonin,C20H1N3O2,54.63,N/A,486.699,Alcohol
Ethanol,C6H10N2O7,860.11,13.95,96.777,Alcohol
Glucose,C18H18N3O3,101.83,3.22,485.594,Amide
Adrenaline,C14H30N0O0,483.8,1.5,286.189,Nucleotide
Serotonin,C18H15N2O8,241.6,12.74,238.846,Neurotransmitter
Ethanol,C8H18N3O7,244.54,6.34,301.643,Alkaloid
Aspirin,C12H27N1O0,222.31,6.23,921.791,Lipid
Aspirin,C10H21N1O3,138.9,8.98,143.334,Neurotransmitter
Aspirin,C8H12N5O0,724.97,8.47,164.391,Carbohydrate
Dopamine,C7H34N4O9,506.83,N/A,532.073,Amide
Serotonin,C18H35N2O2,959.63,3.21,663.288,Carbohydrate
Adrenaline,C16H39N4O8,937.23,11.32,407.737,Neurotransmitter
Cholesterol,C16H34N4O8,936.0,6.77,864.272,Amide
Glucose,C9H6N0O2,966.89,8.99,139.407,Alcohol
Aspirin,C16H35N2O10,409.24,9.61,419.919,Alkaloid
Adenosine triphosphate,C13H16N5O7,252.77,8.45,382.401,Hormone
Dopamine,C16H29N4O6,562.83,N/A,78.007,Lipid
Serotonin,C7H3N1O8,809.98,N/A,634.457,Hormone
Caffeine,C15H27N2O4,670.83,12.66,294.686,Hormone
Ethanol,C19H20N4O8,720.27,2.69,206.274,Alcohol
Glucose,C9H22N5O1,247.09,9.42,217.782,Amide
Caffeine,C19H15N4O10,100.08,13.67,929.905,Neurotransmitter
Cholesterol,C10H6N5O4,642.3,5.23,199.022,Neurotransmitter
Dopamine,C6H16N3O5,784.55,6.09,7.449,Amide
Serotonin,C14H11N3O0,708.09,12.15,395.558,Hormone
Serotonin,C1H11N4O6,965.26,10.88,709.968,Amide
Urea,C14H7N4O0,709.89,N/A,813.06,Lipid
Adenosine triphosphate,C12H9N4O1,498.97,6.71,487.774,Hormone
Serotonin,C16H16N1O6,598.97,13.37,869.057,Lipid
Aspirin,C6H23N3O5,834.1,4.5,492.736,Alkaloid
Dopamine,C17H27N5O3,148.37,11.84,526.353,Hormone
Caffeine,C2H19N4O9,983.17,12.06,93.758,Carbohydrate
Serotonin,C12H2N1O4,253.18,3.75,422.663,Organic Compound
Serotonin,C12H27N5O5,736.36,9.82,873.752,Nucleotide
Dopamine,C9H3N0O7,350.12,12.29,157.02,Lipid
Ethanol,C8H23N0O7,422.62,N/A,150.356,Nucleotide
Dopamine,C2H5N1O10,610.23,13.29,955.631,Alkaloid
Caffeine,C5H20N1O8,476.87,5.5,74.611,Hormone
Adrenaline,C18H35N4O9,973.38,13.92,636.811,Nucleotide
Adrenaline,C2H17N0O10,825.64,N/A,427.332,Hormone
Urea,C15H7N0O8,549.52,10.01,60.629,Organic Compound
Glucose,C7H4N0O9,911.63,N/A,1.044,Amide
Urea,C4H25N0O8,732.64,6.6,48.695,Nucleotide
Serotonin,C1H37N1O9,906.94,4.8,921.348,Alcohol
Ethanol,C2H6N0O10,966.39,11.83,213.1,Neurotransmitter
