compound,formula,mw,pka,solubility_mg_ml,class
Serotonin,C11H11N2O1,288.25,9.66,990.478,Neurotransmitter
Aspirin,C12H9N5O0,913.59,8.39,629.372,Lipid
Adenosine triphosphate,C1H16N3O10,590.08,11.48,725.47,Nucleotide
Cholesterol,C17H7N0O4,193.87,12.46,989.976,Lipid
Urea,C7H23N3O6,215.77,13.95,125.587,Carbohydrate
Dopamine,C13H28N1O1,55.11,N/A,467.834,Nucleotide
Ethanol,C19H34N4O7,968.0,12.23,699.043,Alcohol
Adrenaline,C13H40N2O3,911.26,N/A,29.629,Alcohol
Cholesterol,C6H13N0O4,273.78,N/A,278.689,Alcohol
Urea,C5H13N1O5,609.32,N/A,217.373,Neurotransmitter
Serotonin,C4H14N0O0,339.19,1.14,80.639,Carbohydrate
Glucose,C14H14N4O6,263.15,9.77,122.01,Neurotransmitter
Dopamine,C19H14N1O8,104.93,9.42,619.633,Neurotransmitter
Urea,C17H2N1O7,631.96,11.38,26.332,Organic Compound
Caffeine,C18H31N1O3,132.81,8.16,154.788,Organic Compound
Adenosine triphosphate,C19H28N5O3,110.91,13.8,693.885,Nucleotide
Urea,C9H7N4O5,912.77,N/A,152.583,Alkaloid
Ethanol,C10H3N0O0,673.68,N/A,121.034,Alkaloid
Ethanol,C6H33N5O8,407.36,3.93,925.902,Alcohol
Adrenaline,C2H13N2O3,600.85,11.27,583.27,Nucleotide
Urea,C7H40N4O2,338.93,10.35,211.185,Carbohydrate
Dopamine,C14H20N2O9,502.98,11.27,853.711,Alcohol
Dopamine,C2H18N0O7,994.16,10.0,376.779,Alkaloid
Ethanol,C19H31N4O9,779.28,N/A,115.867,Organic Compound
Adenosine triphosphate,C16H11N3O10,916.81,10.97,822.756,Organic Compound
Adenosine triphosphate,C15H28N4O0,252.2,3.93,203.035,Nucleotide
Dopamine,C13H2N4O2,412.7,3.75,758.641,Neurotransmitter
Glucose,C5H37N4O9,133.96,4.13,333.121,Alkaloid
Aspirin,C3H31N2O9,756.17,2.59,115.778,Lipid
Aspirin,C16H12N5O5,63.52,6.07,462.158,Alcohol
Dopamine,C2H10N0O5,625.14,N/A,633.989,Nucleotide
Dopamine,C13H30N1O7,818.22,N/A,290.779,Nucleotide
Dopamine,C11H1N3O2,828.23,8.34,332.138,Alcohol
Cholesterol,C19H22N5O10,212.34,1.69,739.713,Neurotransmitter
Adenosine triphosphate,C11H39N3O8,482.86,5.8,581.061,Organic Compound
Adenosine triphosphate,C3H8N5O9,926.11,2.84,735.557,Carbohydrate
Adrenaline,C15H21N1O4,128.38,13.0,741.236,Nucleotide
Glucose,C16H8N4O8,879.89,8.69,540.703,Amide
Adenosine triphosphate,C9H20N5O5,410.35,5.43,632.495,Lipid
Urea,C17H8N5O7,141.8,3.51,129.899,Carbohydrate
Glucose,C1H2N5O3,631.38,12.59,342.272,Lipid
Dopamine,C7H29N1O6,742.4,3.6,878.279,Carbohydrate
Adrenaline,C14H37N3O1,914.54,3.14,429.664,Nucleotide
Adrenaline,C11H2N3O3,549.79,4.25,83.263,Amide
Adenosine triphosphate,C14H29N3O3,651.57,4.05,323.581,Amide
Adrenaline,C19H17N5O8,110.59,N/A,366.967,Hormone
Adrenaline,C20H26N1O1,219.36,8.05,922.343,Lipid
Ethanol,C13H7N1O10,399.76,2.8,96.387,Nucleotide
Serotonin,C4H1N5O7,667.44,3.58,172.139,Organic Compound
Ethanol,C17H37N3O9,336.2,1.84,347.218,Alkaloid
Caffeine,C15H5N0O6,152.06,5.53,213.007,Carbohydrate
Adrenaline,C13H23N0O2,225.36,N/A,617.203,Nucleotide
Dopamine,C8H10N1O6,181.5,N/A,469.465,Amide
Ethanol,C9H11N5O6,604.51,N/A,694.137,Carbohydrate
Urea,C2H33N4O2,172.58,4.48,381.658,Alkaloid
Adrenaline,C13H38N3O7,971.26,1.6,845.862,Hormone
Ethanol,C8H33N1O6,106.39,2.23,977.455,Neurotransmitter
Aspirin,C14H35N1O5,319.77,N/A,904.905,Alkaloid
Urea,C12H23N2O10,405.92,1.42,737.395,Hormone
Urea,C9H22N0O4,541.3,13.56,125.638,Alcohol
Glucose,C15H13N4O8,816.17,4.57,939.307,Neurotransmitter
Caffeine,C7H4N5O10,75.28,2.67,705.035,Alcohol
Adrenaline,C17H10N3O7,90.06,N/A,135.212,Amide
Aspirin,C15H21N4O5,658.26,5.48,976.189,Carbohydrate
Dopamine,C6H24N4O7,685.42,5.69,455.125,Organic Compound
Cholesterol,C8H35N5O0,222.59,N/A,493.262,Alkaloid
Aspirin,C11H13N1O2,636.2,6.34,626.645,Neurotransmitter
Caffeine,C20H24N3O8,878.59,8.33,961.025,Neurotransmitter
