species,family,leaf_length_cm,flower_color,habitat,region
Arm point,Brassicaceae,32.54,Purple,Freshwater,Arid
First growth,Rosaceae,21.42,Green,Desert,Subtropical
Hair significant,Poaceae,18.25,Orange,Tundra,Tropical
Reflect smile,Fabaceae,41.67,Red,Wetland,Arid
Radio attention,Orchidaceae,2.18,Purple,Marine,Arid
Often teacher,Rosaceae,41.74,Orange,Forest,Temperate
Dog modern,Brassicaceae,15.12,Purple,Marine,Tropical
Success hotel,Fabaceae,18.0,Pink,Urban,Tropical
Ability couple,Orchidaceae,6.99,Red,Freshwater,Subtropical
Least difficult,Rosaceae,38.96,Green,Grassland,Temperate
Item history,Rosaceae,28.73,White,Wetland,Subtropical
Catch myself,Poaceae,21.38,Purple,Marine,Subtropical
Involve off,Rosaceae,22.31,Blue,Tundra,Tropical
Pattern out,Poaceae,14.26,White,Desert,Mediterranean
Value our,Brassicaceae,33.04,Pink,Freshwater,Polar
Able street,Poaceae,42.04,Purple,Wetland,Mediterranean
Remember law,Fabaceae,5.35,Blue,Forest,Tropical
Citizen that,Rosaceae,16.32,Red,Urban,Arid
World there,Fabaceae,30.67,Orange,Tundra,Arid
This effort,Solanaceae,12.8,Blue,Urban,Subtropical
Put after,Rosaceae,3.16,Blue,Grassland,Arid
Family whom,Fabaceae,21.7,Green,Grassland,Temperate
Live play,Brassicaceae,37.42,Purple,Urban,Tropical
Issue another,Brassicaceae,34.06,White,Marine,Temperate
Food tax,Poaceae,32.6,Red,Forest,Arid
Including successful,Brassicaceae,24.27,Blue,Urban,Arid
Like set,Rosaceae,35.56,Pink,Marine,Tropical
Pull sport,Brassicaceae,23.68,Orange,Freshwater,Mediterranean
Identify poor,Brassicaceae,44.12,Blue,Freshwater,Tropical
Other world,Fabaceae,19.16,Purple,Marine,Subtropical
Whom be,Poaceae,37.39,Red,Urban,Polar
Security heavy,Rosaceae,13.62,White,Desert,Subtropical
Cup bed,Solanaceae,38.23,Yellow,Marine,Polar
Six understand,Poaceae,17.35,Pink,Urban,Tropical
Within safe,Solanaceae,41.25,Yellow,Forest,Polar
