species,family,leaf_length_cm,flower_color,habitat,region
Shoulder chair,Fabaceae,35.01,White,Forest,Temperate
Theory structure,Rosaceae,37.74,Pink,Desert,Mediterranean
Agreement man,Fabaceae,6.04,Red,Desert,Mediterranean
Radio once,Poaceae,35.52,Green,Freshwater,Subtropical
Hot majority,Poaceae,31.36,Blue,Urban,Subtropical
Charge commercial,Rosaceae,16.76,White,Forest,Polar
Wait western,Poaceae,49.53,Yellow,Tundra,Temperate
Point none,Asteraceae,27.56,Purple,Wetland,Arid
Camera into,Brassicaceae,15.64,Green,Grassland,Subtropical
Hot popular,Orchidaceae,36.48,Green,Tundra,Temperate
Arm site,Orchidaceae,29.76,Green,Forest,Subtropical
Never whose,Brassicaceae,17.0,White,Urban,Mediterranean
Real hard,Orchidaceae,32.84,Orange,Freshwater,Polar
Century four,Asteraceae,13.89,Blue,Marine,Tropical
Moment enough,Orchidaceae,34.23,Blue,Marine,Temperate
Tree age,Fabaceae,14.31,Pink,Desert,Mediterranean
Who manager,Orchidaceae,30.26,Pink,Wetland,Arid
Option old,Asteraceae,25.73,Green,Desert,Polar
Century must,Solanaceae,10.08,Yellow,Urban,Mediterranean
Example approach,Brassicaceae,17.34,Green,Urban,Mediterranean
Near toward,Fabaceae,38.34,White,Urban,Arid
Meet parent,Fabaceae,26.77,Red,Desert,Polar
Policy however,Solanaceae,44.76,Pink,Freshwater,Mediterranean
Want sense,Brassicaceae,21.39,Blue,Marine,Polar
Try cost,Orchidaceae,10.7,Red,Desert,Tropical
Risk possible,Fabaceae,12.87,Pink,Urban,Temperate
Order you,Rosaceae,3.94,Yellow,Urban,Temperate
Experience campaign,Asteraceae,49.49,Red,Urban,Mediterranean
Bank property,Fabaceae,46.17,Yellow,Wetland,Tropical
Hundred southern,Orchidaceae,18.93,Pink,Forest,Mediterranean
North article,Asteraceae,33.12,Red,Tundra,Mediterranean
Final prove,Rosaceae,27.79,Purple,Freshwater,Arid
Available then,Orchidaceae,14.98,Yellow,Grassland,Tropical
Focus property,Solanaceae,5.84,Orange,Urban,Subtropical
Into situation,Orchidaceae,25.05,Purple,Desert,Temperate
Mean article,Fabaceae,24.85,Red,Urban,Temperate
Seat health,Brassicaceae,29.52,Purple,Forest,Arid
