species,family,leaf_length_cm,flower_color,habitat,region
Wear environment,Asteraceae,14.16,Purple,Desert,Subtropical
Possible here,Fabaceae,7.98,Yellow,Wetland,Mediterranean
Professor learn,Rosaceae,28.13,Orange,Tundra,Temperate
Think dinner,Rosaceae,21.37,Orange,Forest,Polar
Rich there,Poaceae,5.0,Blue,Freshwater,Tropical
Bed fire,Orchidaceae,5.55,White,Freshwater,Subtropical
Major stop,Asteraceae,37.86,White,Urban,Arid
Take visit,Solanaceae,44.54,Purple,Wetland,Arid
Source fine,Fabaceae,44.19,Purple,Wetland,Subtropical
Middle suggest,Poaceae,16.86,Yellow,Tundra,Polar
Agency affect,Fabaceae,27.93,Purple,Tundra,Polar
Research suddenly,Fabaceae,28.47,Yellow,Urban,Polar
Politics account,Rosaceae,31.0,Blue,Desert,Subtropical
Other sound,Asteraceae,25.6,Yellow,Marine,Temperate
Contain say,Brassicaceae,24.46,Orange,Marine,Tropical
Chance business,Solanaceae,24.56,Blue,Desert,Subtropical
Camera read,Rosaceae,47.19,Red,Grassland,Temperate
Head assume,Fabaceae,21.0,Blue,Forest,Temperate
Million school,Rosaceae,9.32,Purple,Desert,Tropical
Serious consumer,Rosaceae,49.77,White,Wetland,Mediterranean
Party station,Fabaceae,19.95,Pink,Tundra,Mediterranean
Travel challenge,Orchidaceae,3.45,Orange,Forest,Arid
Hotel fire,Rosaceae,27.62,Orange,Grassland,Mediterranean
Result nation,Fabaceae,29.37,Yellow,Desert,Polar
Too cause,Solanaceae,18.21,Green,Grassland,Arid
Suggest training,Fabaceae,25.46,Green,Urban,Mediterranean
Deal network,Asteraceae,17.72,Orange,Tundra,Temperate
Again save,Solanaceae,36.36,Purple,Forest,Arid
Her green,Poaceae,1.1,Purple,Desert,Subtropical
Audience above,Rosaceae,33.9,White,Urban,Arid
Eight list,Brassicaceae,7.63,Pink,Freshwater,Subtropical
Serious against,Asteraceae,41.07,Green,Urban,Mediterranean
Become among,Solanaceae,33.54,Yellow,Desert,Polar
Mention people,Fabaceae,3.69,Purple,Wetland,Tropical
Speech whole,Solanaceae,49.32,Pink,Tundra,Polar
Significant force,Rosaceae,2.41,Red,Freshwater,Tropical
Rest modern,Fabaceae,13.55,Red,Desert,Polar
Account major,Asteraceae,27.01,Blue,Desert,Temperate
Evidence require,Fabaceae,46.71,Green,Urban,Subtropical
Wall whose,Poaceae,17.69,Green,Desert,Subtropical
Face again,Fabaceae,2.97,Yellow,Forest,Polar
Appear represent,Fabaceae,13.42,Green,Desert,Tropical
How minute,Poaceae,10.48,Green,Grassland,Polar
To plan,Brassicaceae,18.28,Orange,Wetland,Tropical
Effect move,Brassicaceae,40.59,Green,Grassland,Arid
Mother and,Poaceae,39.23,Green,Marine,Temperate
Today situation,Asteraceae,2.01,Blue,Urban,Temperate
Tonight avoid,Fabaceae,3.72,Pink,Desert,Temperate
