species,family,leaf_length_cm,flower_color,habitat,region
Nation no,Solanaceae,44.98,Blue,Urban,Subtropical
Place worker,Fabaceae,40.07,Yellow,Marine,Tropical
Alone beat,Brassicaceae,20.09,White,Forest,Polar
Rather green,Rosaceae,31.69,Green,Wetland,Temperate
Garden place,Asteraceae,5.87,Green,Desert,Arid
Film push,Brassicaceae,6.79,White,Forest,Tropical
Dog father,Orchidaceae,45.2,Yellow,Forest,Tropical
Poor here,Brassicaceae,1.32,Green,Grassland,Polar
Important end,Fabaceae,16.49,Red,Forest,Subtropical
Week industry,Poaceae,38.76,Red,Tundra,Polar
If training,Asteraceae,41.51,Purple,Forest,Temperate
Drop major,Asteraceae,12.51,Red,Tundra,Mediterranean
Even rich,Solanaceae,37.32,Red,Urban,Temperate
Practice protect,Brassicaceae,35.67,Red,Wetland,Subtropical
Reveal own,Orchidaceae,4.21,Green,Freshwater,Subtropical
Staff reality,Fabaceae,26.76,Orange,Wetland,Mediterranean
Beat save,Orchidaceae,21.03,White,Wetland,Polar
But price,Rosaceae,4.14,Orange,Desert,Arid
Sister arm,Rosaceae,17.77,Green,Urban,Polar
Degree police,Orchidaceae,31.97,Yellow,Urban,Polar
Management show,Rosaceae,13.85,Pink,Freshwater,Temperate
Traditional trade,Brassicaceae,47.62,White,Forest,Subtropical
Political my,Brassicaceae,13.47,Blue,Grassland,Mediterranean
Sea mind,Asteraceae,47.95,Purple,Marine,Polar
Send government,Poaceae,48.91,Orange,Urban,Subtropical
Decade difficult,Asteraceae,15.44,Orange,Marine,Polar
Maybe fine,Fabaceae,2.79,Purple,Marine,Tropical
There lay,Brassicaceae,36.97,Blue,Tundra,Temperate
Camera on,Rosaceae,40.37,Pink,Wetland,Subtropical
Beautiful others,Rosaceae,34.6,Blue,Grassland,Arid
Class identify,Fabaceae,15.51,Orange,Tundra,Tropical
Certainly their,Brassicaceae,14.21,Blue,Marine,Temperate
Idea matter,Asteraceae,14.06,Orange,Marine,Polar
Program our,Poaceae,2.79,White,Urban,Tropical
Plant indeed,Orchidaceae,27.0,White,Urban,Subtropical
Must fact,Asteraceae,37.64,Pink,Desert,Polar
Friend mother,Orchidaceae,39.52,Pink,Marine,Arid
Main pattern,Poaceae,30.66,White,Wetland,Mediterranean
You light,Fabaceae,5.58,Orange,Freshwater,Subtropical
Management night,Fabaceae,4.47,Yellow,Wetland,Temperate
Black specific,Orchidaceae,44.25,Yellow,Tundra,Mediterranean
Main often,Rosaceae,47.03,Blue,Freshwater,Tropical
Own national,Fabaceae,44.29,Pink,Urban,Mediterranean
In shoulder,Poaceae,48.42,Red,Urban,Tropical
Care five,Solanaceae,29.77,Green,Forest,Temperate
Course onto,Rosaceae,21.34,Pink,Desert,Arid
Source maintain,Solanaceae,13.26,Yellow,Grassland,Polar
Practice interesting,Brassicaceae,15.36,Red,Tundra,Arid
Example big,Fabaceae,14.24,White,Forest,Subtropical
Surface more,Rosaceae,39.5,Orange,Marine,Subtropical
Bank country,Brassicaceae,37.49,Pink,Forest,Tropical
Think compare,Poaceae,44.42,White,Marine,Tropical
Year turn,Asteraceae,43.45,Orange,Tundra,Arid
Both sea,Fabaceae,47.44,Blue,Freshwater,Temperate
Main teach,Asteraceae,19.19,Green,Marine,Arid
Former actually,Asteraceae,3.18,Purple,Desert,Polar
Ability political,Rosaceae,44.83,Pink,Desert,Mediterranean
Night ever,Orchidaceae,43.23,Yellow,Grassland,Arid
Happen raise,Poaceae,38.55,Orange,Freshwater,Arid
Participant trouble,Rosaceae,33.82,Pink,Tundra,Tropical
Financial material,Brassicaceae,19.05,Blue,Urban,Polar
Who garden,Rosaceae,10.14,Red,Tundra,Mediterranean
Take kid,Rosaceae,30.87,White,Forest,Polar
Avoid improve,Poaceae,23.99,Green,Grassland,Mediterranean
Everyone my,Brassicaceae,47.09,White,Tundra,Mediterranean
Assume significant,Rosaceae,47.93,Blue,Forest,Polar
Put allow,Poaceae,42.76,Red,Freshwater,Mediterranean
Notice society,Solanaceae,47.62,White,Tundra,Tropical
Light with,Rosaceae,20.49,Red,Urban,Mediterranean
Tough sense,Rosaceae,41.92,Purple,Forest,Arid
Herself gas,Poaceae,34.79,Green,Grassland,Tropical
Laugh travel,Asteraceae,16.63,Purple,Marine,Mediterranean
Fly stay,Asteraceae,2.35,Orange,Forest,Polar
Certain type,Solanaceae,23.39,Pink,Marine,Mediterranean
Environmental white,Brassicaceae,23.25,Orange,Urban,Tropical
Owner energy,Rosaceae,3.31,Green,Wetland,Mediterranean
Grow figure,Brassicaceae,25.3,Blue,Desert,Mediterranean
High hot,Orchidaceae,17.73,Orange,Marine,Tropical
Kitchen I,Fabaceae,40.03,White,Desert,Mediterranean
Energy eight,Asteraceae,3.46,Red,Desert,Arid
Choose sing,Orchidaceae,31.5,Purple,Marine,Mediterranean
First gun,Poaceae,20.62,Yellow,Desert,Subtropical
Reason window,Orchidaceae,7.46,Green,Grassland,Tropical
