species,family,leaf_length_cm,flower_color,habitat,region
Debate thank,Brassicaceae,40.26,White,Marine,Temperate
Hope whole,Orchidaceae,37.6,Orange,Wetland,Temperate
Benefit total,Brassicaceae,19.12,Blue,Tundra,Tropical
Wife make,Rosaceae,17.59,Pink,Desert,Subtropical
Sell chair,Poaceae,31.21,White,Desert,Temperate
His their,Orchidaceae,14.45,Red,Wetland,Arid
Ever fund,Fabaceae,23.07,Green,Urban,Polar
Professional area,Poaceae,5.52,Red,Desert,Temperate
Soldier specific,Asteraceae,22.35,White,Freshwater,Subtropical
Within news,Solanaceae,28.55,White,Marine,Subtropical
Relate social,Poaceae,13.66,White,Wetland,Tropical
Them police,Asteraceae,46.63,Blue,Urban,Temperate
Control next,Asteraceae,41.22,Orange,Tundra,Mediterranean
Reach brother,Rosaceae,41.19,Orange,Grassland,Tropical
Population capital,Poaceae,21.64,Pink,Forest,Polar
Have some,Orchidaceae,6.4,Yellow,Urban,Mediterranean
Wish doctor,Asteraceae,10.68,Blue,Tundra,Temperate
President story,Brassicaceae,17.09,Orange,Tundra,Tropical
Billion will,Orchidaceae,42.9,Purple,Freshwater,Subtropical
Arrive hear,Poaceae,25.9,Pink,Forest,Mediterranean
Cut administration,Asteraceae,15.07,Green,Tundra,Tropical
Serious strong,Orchidaceae,45.21,Purple,Urban,Temperate
Office indeed,Orchidaceae,43.16,Orange,Urban,Temperate
Bring hot,Asteraceae,15.62,Green,Urban,Mediterranean
Air pretty,Poaceae,36.13,Blue,Desert,Polar
So world,Solanaceae,15.46,White,Desert,Tropical
Turn yet,Orchidaceae,38.44,White,Desert,Tropical
Several pattern,Fabaceae,49.45,White,Tundra,Arid
Decade travel,Poaceae,7.69,White,Desert,Arid
Game popular,Solanaceae,25.48,Pink,Forest,Polar
So occur,Orchidaceae,17.54,Pink,Wetland,Temperate
Parent rate,Fabaceae,6.99,Purple,Wetland,Subtropical
Coach state,Rosaceae,7.67,Yellow,Urban,Polar
Minute million,Brassicaceae,6.88,Orange,Grassland,Temperate
Office medical,Brassicaceae,36.19,Blue,Forest,Arid
Understand wait,Asteraceae,43.39,Purple,Grassland,Mediterranean
