species,family,leaf_length_cm,flower_color,habitat,region
Race cell,Orchidaceae,37.99,Red,Forest,Arid
Difficult investment,Orchidaceae,41.11,Orange,Marine,Temperate
Recently enjoy,Rosaceae,8.34,Purple,Freshwater,Mediterranean
Goal attack,Solanaceae,18.32,Pink,Tundra,Temperate
Customer others,Brassicaceae,9.27,Red,Wetland,Arid
This attack,Asteraceae,7.38,Purple,Freshwater,Polar
Drive major,Poaceae,34.51,Pink,Desert,Mediterranean
Exactly Mrs,Poaceae,6.86,Red,Freshwater,Polar
Me space,Asteraceae,30.22,Blue,Forest,Subtropical
Family charge,Poaceae,25.24,White,Marine,Tropical
They wind,Fabaceae,43.3,Pink,Tundra,Polar
Should artist,Solanaceae,30.89,White,Desert,Subtropical
Put information,Asteraceae,47.87,Orange,Forest,Arid
Pay animal,Fabaceae,47.58,Green,Wetland,Arid
Best realize,Fabaceae,19.25,Pink,Grassland,Polar
Situation resource,Brassicaceae,32.78,White,Forest,Arid
World exist,Asteraceae,6.72,Orange,Desert,Mediterranean
While catch,Fabaceae,31.0,Orange,Forest,Temperate
Movie their,Rosaceae,9.34,Blue,Desert,Mediterranean
News control,Rosaceae,22.43,Purple,Forest,Mediterranean
Artist your,Rosaceae,40.35,Green,Forest,Temperate
Trial mention,Poaceae,42.89,Yellow,Tundra,Arid
Reflect stop,Orchidaceae,31.39,Purple,Desert,Tropical
Fast fight,Orchidaceae,2.13,Yellow,Marine,Tropical
Speech wide,Asteraceae,30.58,White,Urban,Subtropical
Way campaign,Brassicaceae,25.96,Blue,Marine,Mediterranean
Tax country,Orchidaceae,13.58,Blue,Desert,Polar
Family improve,Fabaceae,49.5,Orange,Marine,Polar
Ability address,Orchidaceae,47.73,Yellow,Urban,Polar
Area man,Rosaceae,2.58,White,Marine,Arid
Establish happy,Fabaceae,33.57,Orange,Freshwater,Polar
Charge never,Brassicaceae,14.61,Purple,Desert,Tropical
Hit tax,Fabaceae,40.55,Blue,Grassland,Temperate
Each treatment,Poaceae,5.24,White,Desert,Tropical
