cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_60327,Epithelial,67.39,32,84.1
CELL_17921,Epithelial,116.76,49,57.21
CELL_83939,Stem Cell,63.89,13,86.23
CELL_83803,Erythrocyte,107.99,15,53.01
CELL_42454,Erythrocyte,34.86,18,52.13
CELL_18737,Epithelial,84.9,38,83.82
CELL_96639,Stem Cell,115.27,48,59.21
CELL_14152,Erythrocyte,24.76,29,66.43
CELL_27458,Leukocyte,112.36,14,87.26
CELL_57751,Fibroblast,111.63,30,72.46
CELL_49947,Neuron,44.38,12,79.03
CELL_28577,Neuron,63.92,39,71.44
CELL_43458,Myocyte,16.53,16,60.08
CELL_27633,Epithelial,56.7,31,66.29
CELL_24054,Leukocyte,105.94,34,87.24
CELL_41955,Leukocyte,10.91,48,97.01
CELL_10265,Epithelial,91.69,47,67.15
CELL_65416,Neuron,18.8,42,78.72
CELL_21518,Stem Cell,93.4,37,65.71
CELL_48553,Erythrocyte,88.58,39,59.93
CELL_70463,Leukocyte,84.36,31,99.93
CELL_22753,Leukocyte,56.88,21,56.01
CELL_21731,Erythrocyte,33.61,33,89.43
CELL_95213,Leukocyte,10.53,27,78.5
CELL_18933,Neuron,16.59,25,97.53
CELL_78250,Fibroblast,56.45,27,82.65
CELL_41003,Myocyte,93.46,16,82.48
CELL_80220,Erythrocyte,30.45,16,81.76
CELL_31325,Leukocyte,87.96,19,72.87
CELL_71219,Stem Cell,57.46,16,65.72
CELL_52047,Neuron,96.83,48,60.24
CELL_20944,Fibroblast,62.02,28,70.01
CELL_22222,Stem Cell,16.63,44,93.66
CELL_16467,Epithelial,55.11,44,77.94
CELL_48883,Fibroblast,109.14,37,79.91
CELL_36253,Neuron,65.61,26,95.53
CELL_89476,Erythrocyte,65.32,25,54.73
CELL_30961,Erythrocyte,59.98,43,69.51
CELL_35357,Myocyte,23.97,33,93.9
CELL_94257,Epithelial,92.83,10,53.07
CELL_80399,Fibroblast,92.29,24,56.29
CELL_87669,Epithelial,45.54,41,55.83
CELL_94226,Myocyte,8.81,19,84.1
CELL_24418,Erythrocyte,7.3,22,64.19
CELL_90390,Myocyte,42.71,25,68.41
CELL_41882,Neuron,10.6,34,65.06
CELL_61224,Epithelial,67.53,38,69.02
CELL_50720,Leukocyte,51.76,16,54.44
CELL_94462,Leukocyte,95.21,20,85.89
CELL_50788,Leukocyte,101.29,17,91.02
CELL_36574,Stem Cell,53.41,27,64.79
CELL_18310,Stem Cell,73.09,8,70.89
CELL_64528,Epithelial,62.9,6,80.16
CELL_77432,Neuron,46.07,39,76.29
CELL_11136,Neuron,47.94,40,88.96
CELL_50963,Erythrocyte,84.73,46,67.26
CELL_75349,Stem Cell,85.73,8,53.17
CELL_41189,Leukocyte,55.1,19,61.59
CELL_71487,Epithelial,16.59,20,56.68
CELL_23009,Myocyte,74.19,5,99.16
CELL_60709,Myocyte,35.03,15,85.72
CELL_88622,Epithelial,20.84,24,79.68
CELL_87494,Stem Cell,28.57,36,93.35
CELL_27357,Myocyte,43.98,29,95.07
CELL_95129,Stem Cell,49.01,47,73.99
CELL_72065,Myocyte,92.26,32,82.49
CELL_97930,Stem Cell,105.91,42,94.76
CELL_42983,Fibroblast,76.56,11,99.38
CELL_33544,Erythrocyte,65.63,23,56.79
CELL_27576,Erythrocyte,23.25,35,64.29
CELL_20683,Myocyte,117.38,24,99.24
CELL_43724,Fibroblast,55.99,37,72.93
CELL_47490,Epithelial,107.1,22,70.81
CELL_39594,Myocyte,60.52,31,82.26
CELL_98970,Epithelial,85.92,19,63.5
CELL_19656,Stem Cell,113.74,40,83.07
CELL_55452,Stem Cell,54.07,31,82.84
CELL_78840,Stem Cell,36.85,32,71.53
CELL_32770,Fibroblast,99.81,19,86.66
CELL_34047,Erythrocyte,60.63,44,80.21
CELL_98379,Epithelial,100.83,39,84.62
CELL_19647,Leukocyte,116.3,44,87.15
CELL_37589,Erythrocyte,12.1,27,59.29
CELL_52656,Stem Cell,86.76,42,57.71
CELL_44771,Fibroblast,80.21,37,52.79
CELL_54869,Neuron,91.14,28,56.93
CELL_84344,Neuron,115.04,36,83.07
CELL_14709,Stem Cell,110.13,23,53.92
CELL_98588,Leukocyte,52.77,7,90.78
CELL_55998,Fibroblast,24.07,49,51.25
CELL_62803,Erythrocyte,72.17,31,59.06
CELL_94895,Myocyte,112.19,18,65.18
CELL_19854,Neuron,26.98,29,98.08
CELL_76296,Myocyte,75.21,21,92.45
CELL_34366,Fibroblast,66.11,14,97.71
CELL_16573,Fibroblast,14.46,28,50.63
CELL_44633,Stem Cell,30.31,15,99.85
CELL_80586,Fibroblast,82.18,49,67.13
CELL_33175,Myocyte,43.89,27,79.24
CELL_78935,Neuron,33.25,7,78.46
CELL_30751,Stem Cell,64.0,48,76.42
CELL_99583,Epithelial,114.48,20,98.77
CELL_21617,Neuron,103.3,49,66.87
CELL_49463,Neuron,100.11,9,65.03
CELL_99388,Epithelial,31.94,50,67.53
CELL_63600,Leukocyte,80.46,17,75.6
CELL_75806,Fibroblast,116.07,37,93.55
CELL_90550,Epithelial,33.83,8,81.05
CELL_86764,Epithelial,66.87,6,54.25
CELL_53056,Erythrocyte,99.35,9,95.75
CELL_98956,Neuron,14.51,34,99.21
CELL_54559,Erythrocyte,100.77,30,67.36
CELL_36318,Neuron,67.01,24,88.35
CELL_19141,Myocyte,88.46,32,94.87
CELL_98357,Erythrocyte,86.93,17,53.72
CELL_63500,Stem Cell,115.1,36,55.44
CELL_96064,Epithelial,106.24,47,71.47
CELL_51727,Leukocyte,61.84,14,54.6
CELL_83644,Fibroblast,5.88,14,54.61
CELL_89725,Neuron,5.92,18,59.89
CELL_31524,Fibroblast,16.52,31,81.88
CELL_77640,Myocyte,30.58,46,53.47
CELL_23561,Myocyte,28.11,28,61.34
CELL_71865,Leukocyte,9.85,7,61.72
CELL_51951,Stem Cell,51.3,40,51.26
CELL_79928,Fibroblast,70.68,49,77.65
CELL_42433,Leukocyte,61.38,45,86.05
CELL_11884,Myocyte,7.88,21,83.97
CELL_24048,Leukocyte,8.34,19,92.54
CELL_24130,Myocyte,78.81,38,88.86
CELL_77728,Fibroblast,97.3,20,61.45
CELL_36040,Myocyte,93.59,7,76.1
CELL_17152,Erythrocyte,88.98,10,99.09
CELL_94247,Stem Cell,64.0,28,88.59
CELL_62436,Epithelial,6.95,5,53.69
CELL_40678,Epithelial,30.28,22,68.39
CELL_22000,Epithelial,119.48,9,98.29
CELL_73995,Myocyte,7.57,15,83.85
CELL_88489,Stem Cell,7.23,35,84.13
CELL_37489,Erythrocyte,75.7,9,61.03
CELL_19870,Leukocyte,115.21,8,68.9
CELL_78583,Stem Cell,52.43,40,63.94
CELL_81321,Fibroblast,83.04,17,99.68
CELL_24320,Neuron,84.01,46,78.06
CELL_10561,Leukocyte,37.93,38,83.06
CELL_81606,Fibroblast,76.76,32,81.66
CELL_95053,Stem Cell,64.28,5,97.01
CELL_73379,Epithelial,41.87,11,51.07
CELL_27192,Leukocyte,20.0,47,95.04
CELL_63512,Stem Cell,108.17,39,74.14
CELL_81390,Myocyte,51.22,41,50.56
CELL_11845,Myocyte,18.03,37,73.88
CELL_42429,Neuron,78.45,36,71.9
CELL_83764,Epithelial,41.8,44,81.11
CELL_92707,Stem Cell,40.68,19,94.2
CELL_52636,Stem Cell,92.2,43,84.26
CELL_59947,Myocyte,95.87,49,59.39
CELL_17041,Leukocyte,75.56,16,78.76
CELL_14816,Epithelial,24.37,18,76.81
CELL_86531,Fibroblast,106.29,7,64.31
CELL_20829,Epithelial,34.28,26,90.16
CELL_17559,Neuron,75.21,11,90.37
CELL_56836,Epithelial,109.19,24,57.34
CELL_86832,Myocyte,58.0,19,82.26
CELL_60019,Erythrocyte,58.93,43,53.35
CELL_69642,Neuron,85.68,25,71.14
CELL_72336,Neuron,90.29,46,51.48
CELL_99394,Epithelial,99.48,34,77.73
CELL_86390,Myocyte,22.67,45,70.89
CELL_29677,Epithelial,19.17,5,51.41
CELL_30274,Neuron,87.72,39,88.86
CELL_83179,Epithelial,89.08,12,97.0
CELL_85442,Stem Cell,29.19,28,80.81
CELL_13132,Myocyte,91.24,18,83.25
CELL_78712,Myocyte,49.06,26,67.13
CELL_76409,Erythrocyte,97.13,8,79.26
CELL_41543,Myocyte,38.13,12,69.77
CELL_30348,Fibroblast,99.49,35,54.76
CELL_94490,Myocyte,41.04,31,91.69
CELL_72406,Erythrocyte,104.31,24,87.25
CELL_15308,Neuron,6.36,35,77.13
CELL_99916,Fibroblast,101.13,25,61.44
CELL_52283,Erythrocyte,5.44,17,56.37
CELL_60512,Stem Cell,12.58,49,71.55
CELL_86947,Stem Cell,70.66,39,90.06
CELL_79563,Myocyte,45.11,43,84.57
CELL_67925,Leukocyte,108.31,44,84.78
CELL_40751,Erythrocyte,36.9,39,56.15
CELL_43295,Neuron,37.61,21,78.94
CELL_86040,Erythrocyte,37.39,20,96.1
CELL_14397,Fibroblast,38.61,17,69.85
CELL_88512,Myocyte,83.25,49,53.05
CELL_70719,Leukocyte,22.94,8,70.9
CELL_86658,Myocyte,32.6,27,95.64
CELL_89026,Epithelial,58.23,40,50.48
CELL_90464,Stem Cell,96.14,9,71.3
CELL_82917,Erythrocyte,26.51,33,94.37
CELL_93262,Erythrocyte,77.31,26,66.08
CELL_68043,Erythrocyte,11.91,38,88.12
CELL_82480,Leukocyte,19.45,6,72.25
CELL_66962,Epithelial,100.99,30,71.73
CELL_96205,Erythrocyte,50.8,32,90.99
CELL_31650,Fibroblast,71.99,39,64.49
CELL_92850,Fibroblast,86.74,22,62.97
CELL_90088,Myocyte,37.31,5,84.69
CELL_56209,Fibroblast,13.01,22,84.72
CELL_79279,Epithelial,55.09,18,63.6
CELL_10133,Fibroblast,72.48,33,81.77
CELL_59227,Erythrocyte,112.81,15,75.3
CELL_25102,Fibroblast,41.32,29,77.3
CELL_46301,Fibroblast,98.41,48,71.5
CELL_44517,Neuron,11.01,25,83.33
CELL_41702,Epithelial,93.0,37,57.03
CELL_77329,Stem Cell,108.22,32,83.84
CELL_69619,Myocyte,34.94,15,82.31
CELL_97446,Stem Cell,44.02,38,65.62
CELL_25356,Epithelial,83.61,50,97.17
CELL_44126,Fibroblast,57.6,20,88.78
CELL_74167,Myocyte,86.77,24,53.43
CELL_38281,Stem Cell,71.13,13,90.24
CELL_19707,Leukocyte,69.46,5,91.29
CELL_49372,Epithelial,65.35,36,95.89
CELL_49331,Stem Cell,51.74,46,70.95
CELL_43799,Neuron,94.82,47,92.87
CELL_35044,Erythrocyte,110.89,38,98.8
CELL_27686,Leukocyte,42.9,46,78.79
CELL_33037,Neuron,39.19,40,58.68
CELL_30839,Fibroblast,24.22,8,88.23
CELL_57205,Leukocyte,71.95,35,95.22
CELL_69522,Erythrocyte,23.58,5,75.01
CELL_69638,Erythrocyte,20.34,28,81.85
CELL_11099,Leukocyte,74.59,36,95.14
CELL_94930,Erythrocyte,45.91,44,54.48
CELL_29313,Stem Cell,68.66,5,63.61
CELL_24300,Neuron,85.37,25,70.68
CELL_12679,Erythrocyte,13.07,30,78.32
CELL_42330,Fibroblast,99.38,27,68.38
CELL_66569,Epithelial,18.98,16,83.51
CELL_95229,Leukocyte,55.63,12,86.52
CELL_82744,Neuron,47.55,7,99.0
CELL_32809,Stem Cell,118.1,30,85.55
CELL_47591,Stem Cell,9.06,26,74.43
CELL_17388,Stem Cell,16.19,9,95.18
CELL_93184,Leukocyte,74.28,20,95.4
CELL_34832,Erythrocyte,83.25,45,79.91
CELL_93687,Fibroblast,58.98,42,83.58
CELL_80761,Epithelial,32.24,44,64.2
CELL_16883,Neuron,81.31,11,93.34
CELL_95465,Erythrocyte,54.69,31,81.27
CELL_10680,Erythrocyte,92.35,24,92.57
CELL_14643,Myocyte,37.09,42,94.82
CELL_42460,Stem Cell,69.51,43,71.15
CELL_18585,Neuron,91.65,34,50.04
CELL_92905,Erythrocyte,7.35,24,92.72
CELL_19938,Myocyte,77.07,18,91.54
CELL_95778,Stem Cell,20.06,34,76.33
CELL_78738,Stem Cell,55.24,16,72.21
CELL_71829,Epithelial,92.84,7,67.9
CELL_80202,Leukocyte,109.38,14,84.38
CELL_34075,Epithelial,51.69,35,82.84
CELL_99282,Erythrocyte,100.63,43,63.53
CELL_79524,Myocyte,11.7,21,53.59
CELL_16015,Fibroblast,73.31,16,66.71
CELL_38379,Myocyte,17.93,31,89.84
CELL_87501,Leukocyte,98.15,15,70.59
CELL_44903,Epithelial,93.47,45,99.09
CELL_65545,Myocyte,42.48,32,56.96
CELL_59305,Epithelial,80.96,35,81.76
CELL_80727,Stem Cell,111.75,47,68.29
CELL_25688,Leukocyte,54.43,40,53.04
CELL_89574,Stem Cell,57.09,7,87.24
CELL_33279,Myocyte,78.74,25,51.76
CELL_25079,Fibroblast,74.0,21,73.87
CELL_59413,Epithelial,10.52,7,74.49
CELL_68797,Erythrocyte,114.49,7,89.84
CELL_23761,Epithelial,62.37,18,52.75
CELL_26629,Epithelial,91.49,27,52.44
CELL_70168,Neuron,58.64,22,61.04
CELL_96535,Leukocyte,44.7,34,67.97
CELL_90943,Fibroblast,22.92,8,79.69
CELL_59318,Neuron,116.78,19,76.23
CELL_99402,Neuron,95.96,26,71.59
CELL_62363,Fibroblast,28.5,15,86.04
CELL_92073,Stem Cell,60.0,21,59.15
CELL_58861,Neuron,42.27,25,54.9
CELL_99234,Neuron,68.17,13,99.18
CELL_33267,Erythrocyte,67.3,24,98.76
CELL_31246,Stem Cell,102.51,39,92.47
CELL_49523,Erythrocyte,65.45,23,94.28
CELL_81224,Stem Cell,78.59,30,91.27
CELL_28375,Stem Cell,12.38,45,56.15
CELL_55242,Myocyte,32.02,14,73.39
CELL_37054,Epithelial,70.32,45,88.57
CELL_81146,Leukocyte,38.88,40,77.65
CELL_12977,Leukocyte,117.25,11,93.37
CELL_69008,Neuron,71.85,17,82.05
CELL_80899,Stem Cell,78.8,5,94.56
CELL_26851,Myocyte,117.61,8,62.58
CELL_45526,Myocyte,82.08,10,86.37
CELL_69072,Neuron,97.12,47,91.64
CELL_58189,Erythrocyte,6.13,45,56.99
CELL_97220,Neuron,80.03,18,73.49
CELL_92732,Leukocyte,81.49,35,99.82
CELL_84663,Myocyte,19.43,41,86.85
CELL_39450,Myocyte,108.31,34,53.62
CELL_41459,Myocyte,78.6,33,75.23
CELL_72953,Leukocyte,55.56,26,94.79
CELL_53109,Erythrocyte,23.72,7,55.5
CELL_25681,Myocyte,113.99,44,53.55
CELL_99059,Stem Cell,24.6,50,64.03
CELL_64655,Leukocyte,116.08,47,71.18
CELL_71877,Myocyte,57.99,13,93.07
CELL_28251,Erythrocyte,54.92,27,79.91
CELL_52588,Leukocyte,15.17,33,89.14
CELL_63757,Myocyte,25.49,26,88.8
CELL_56961,Leukocyte,40.18,42,74.6
CELL_47891,Erythrocyte,117.28,6,72.01
CELL_14587,Stem Cell,20.41,43,63.22
CELL_97544,Fibroblast,91.16,20,96.2
CELL_36549,Neuron,85.93,14,67.58
CELL_19548,Stem Cell,56.26,16,88.7
CELL_91235,Leukocyte,59.83,49,58.02
CELL_97039,Myocyte,113.59,9,93.33
CELL_47399,Stem Cell,70.08,25,94.82
CELL_12126,Myocyte,108.67,14,50.69
CELL_18999,Neuron,96.0,9,50.48
CELL_44177,Erythrocyte,39.6,48,53.45
CELL_69113,Erythrocyte,5.91,22,90.81
CELL_17385,Neuron,50.17,35,89.42
CELL_31024,Stem Cell,19.98,27,65.97
CELL_60775,Erythrocyte,52.74,23,77.09
CELL_81027,Stem Cell,92.8,49,73.22
CELL_14934,Myocyte,42.27,14,58.07
CELL_72550,Neuron,108.45,37,82.18
CELL_48560,Neuron,6.01,38,79.47
CELL_88882,Stem Cell,119.18,31,94.9
CELL_69572,Fibroblast,115.13,48,51.49
CELL_35315,Epithelial,49.45,10,51.42
CELL_61856,Neuron,99.36,11,80.13
CELL_80644,Neuron,19.34,46,84.97
CELL_70536,Neuron,43.03,42,57.36
CELL_11215,Leukocyte,59.07,33,65.26
CELL_20971,Neuron,75.65,21,58.34
CELL_92864,Erythrocyte,23.47,32,56.23
CELL_66469,Myocyte,69.03,6,67.25
CELL_74080,Fibroblast,35.0,6,75.01
CELL_40100,Myocyte,80.32,26,78.46
CELL_63818,Epithelial,89.01,21,94.85
CELL_55067,Fibroblast,104.26,45,98.32
CELL_16689,Fibroblast,94.2,48,95.49
CELL_15043,Stem Cell,87.13,14,73.84
CELL_47713,Erythrocyte,112.48,17,78.39
CELL_55540,Erythrocyte,118.17,33,53.62
CELL_18921,Stem Cell,59.22,11,68.6
CELL_49895,Neuron,41.13,21,62.73
CELL_26444,Myocyte,117.15,44,62.67
CELL_25314,Erythrocyte,42.76,13,92.36
CELL_34343,Neuron,19.25,34,81.24
CELL_52947,Fibroblast,46.5,47,92.07
CELL_86250,Neuron,79.64,19,66.07
CELL_68580,Stem Cell,106.73,40,84.23
CELL_20285,Erythrocyte,52.65,20,74.41
CELL_33228,Erythrocyte,39.82,48,96.83
CELL_61185,Myocyte,47.17,16,71.5
CELL_48446,Neuron,21.94,7,96.08
CELL_38655,Leukocyte,98.17,49,69.37
CELL_66066,Epithelial,102.23,11,82.75
CELL_37973,Stem Cell,102.51,32,86.21
CELL_40544,Fibroblast,98.92,36,90.98
CELL_60628,Fibroblast,103.73,34,79.53
CELL_53675,Leukocyte,108.5,32,91.36
CELL_96607,Myocyte,104.93,11,79.53
CELL_95537,Fibroblast,102.73,36,54.3
CELL_61340,Leukocyte,22.25,37,58.42
CELL_67309,Epithelial,77.87,12,68.59
CELL_54500,Epithelial,27.94,22,60.57
CELL_53627,Myocyte,118.16,24,61.9
CELL_98092,Neuron,119.43,15,85.94
CELL_54081,Erythrocyte,64.0,29,82.44
CELL_53456,Myocyte,93.15,8,56.06
CELL_36347,Leukocyte,34.28,39,81.39
CELL_21072,Epithelial,21.46,10,97.38
CELL_91755,Stem Cell,54.59,17,79.8
CELL_71032,Stem Cell,115.21,28,51.11
CELL_31984,Leukocyte,70.09,12,88.51
CELL_77411,Leukocyte,81.03,17,95.87
CELL_39421,Neuron,24.83,21,62.16
CELL_27248,Epithelial,79.09,36,82.85
CELL_62632,Stem Cell,45.11,29,96.77
