cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_88810,Myocyte,105.19,20,91.05
CELL_60253,Neuron,15.19,41,99.69
CELL_45826,Myocyte,23.19,26,67.42
CELL_15835,Erythrocyte,48.89,18,57.58
CELL_82828,Leukocyte,95.08,40,60.68
CELL_55507,Neuron,107.33,39,92.67
CELL_59133,Erythrocyte,109.57,32,96.97
CELL_32455,Stem Cell,11.43,44,69.76
CELL_65001,Myocyte,85.49,21,69.49
CELL_64453,Fibroblast,79.0,11,93.43
CELL_69269,Fibroblast,113.11,22,86.23
CELL_48192,Stem Cell,91.26,11,72.43
CELL_37247,Epithelial,95.54,21,90.41
CELL_51422,Epithelial,5.15,27,58.37
CELL_54061,Stem Cell,9.26,18,50.35
CELL_79758,Stem Cell,81.27,31,69.4
CELL_40805,Neuron,9.22,19,85.67
CELL_79101,Neuron,79.46,17,88.54
CELL_20718,Erythrocyte,47.25,6,59.72
CELL_23374,Fibroblast,73.04,12,80.38
CELL_63087,Myocyte,31.93,37,63.85
CELL_36918,Neuron,85.82,9,84.28
CELL_66042,Stem Cell,39.69,13,58.2
CELL_50739,Myocyte,25.37,9,91.95
CELL_12246,Myocyte,93.9,14,73.51
CELL_15845,Leukocyte,26.32,37,55.44
CELL_44928,Fibroblast,108.98,45,61.12
CELL_43354,Erythrocyte,118.54,30,83.97
CELL_40248,Leukocyte,99.91,8,64.98
CELL_28510,Erythrocyte,45.44,32,56.61
CELL_11875,Stem Cell,109.99,19,50.88
CELL_49659,Stem Cell,82.82,28,68.22
CELL_15992,Leukocyte,77.08,16,70.49
CELL_83128,Fibroblast,84.95,20,82.78
CELL_95355,Leukocyte,80.93,9,87.3
CELL_52142,Stem Cell,35.99,36,95.62
CELL_88344,Fibroblast,56.71,37,90.47
CELL_62570,Stem Cell,63.84,42,56.26
CELL_80128,Epithelial,30.82,10,68.07
CELL_25153,Epithelial,15.28,20,58.9
CELL_54839,Erythrocyte,49.12,45,66.64
CELL_86433,Fibroblast,87.07,31,96.95
CELL_82129,Leukocyte,106.5,45,52.98
CELL_71927,Stem Cell,19.37,35,75.75
CELL_32747,Leukocyte,100.02,10,79.35
CELL_69037,Neuron,16.81,37,81.54
CELL_25826,Stem Cell,60.03,36,79.79
CELL_97110,Epithelial,39.41,32,57.54
CELL_20174,Stem Cell,77.22,20,98.8
CELL_51164,Fibroblast,26.03,23,66.89
CELL_11236,Myocyte,65.07,48,70.98
CELL_53012,Epithelial,110.26,49,83.77
CELL_96358,Fibroblast,23.34,14,85.01
CELL_67799,Fibroblast,86.48,36,95.45
CELL_41225,Erythrocyte,8.17,21,60.78
CELL_30344,Erythrocyte,78.83,42,54.84
CELL_23640,Leukocyte,14.71,28,70.63
CELL_16613,Leukocyte,49.75,50,90.31
CELL_40652,Fibroblast,116.67,7,71.0
CELL_32658,Epithelial,76.58,14,77.15
CELL_21128,Epithelial,11.8,17,67.39
CELL_82690,Epithelial,68.31,15,55.56
CELL_26968,Epithelial,68.13,23,94.89
CELL_51224,Stem Cell,34.91,6,87.94
CELL_12859,Leukocyte,33.86,28,73.71
CELL_67449,Epithelial,108.18,41,96.18
CELL_19366,Fibroblast,60.42,22,81.64
CELL_15599,Fibroblast,115.08,15,84.23
CELL_13918,Fibroblast,63.93,32,93.64
CELL_77053,Stem Cell,117.32,7,53.45
CELL_86410,Neuron,43.55,23,73.78
CELL_55628,Fibroblast,104.82,32,73.0
CELL_17994,Epithelial,48.45,22,65.39
CELL_51904,Leukocyte,12.51,32,58.54
CELL_53745,Stem Cell,57.2,40,74.19
CELL_99883,Stem Cell,47.02,43,70.44
CELL_43128,Myocyte,6.58,12,91.91
CELL_15297,Fibroblast,22.06,22,69.86
CELL_90323,Epithelial,114.77,16,55.87
CELL_84381,Stem Cell,8.76,43,52.18
CELL_90343,Fibroblast,106.03,10,60.79
CELL_26092,Neuron,70.51,24,74.11
CELL_58091,Fibroblast,62.73,24,64.83
CELL_34347,Fibroblast,73.18,35,76.48
CELL_14895,Erythrocyte,35.51,47,64.94
CELL_53477,Myocyte,104.45,47,93.39
CELL_21152,Epithelial,107.72,38,65.25
CELL_90391,Neuron,62.64,32,85.98
CELL_10436,Fibroblast,41.19,22,51.39
CELL_19022,Erythrocyte,54.72,43,89.35
CELL_33725,Fibroblast,60.21,45,68.88
CELL_73909,Neuron,66.35,32,98.8
CELL_45955,Fibroblast,79.61,33,81.53
CELL_33339,Stem Cell,79.63,49,89.95
CELL_60640,Erythrocyte,60.29,11,55.35
CELL_12977,Erythrocyte,77.9,7,90.05
CELL_68687,Erythrocyte,65.23,7,64.8
CELL_78383,Myocyte,53.55,11,61.85
CELL_79227,Stem Cell,95.76,15,71.97
CELL_96735,Leukocyte,43.7,34,57.44
CELL_51032,Fibroblast,36.19,40,59.2
CELL_44950,Fibroblast,21.87,22,98.21
CELL_60978,Epithelial,113.35,26,83.12
CELL_84252,Leukocyte,53.31,41,88.64
CELL_72401,Stem Cell,114.1,48,58.91
CELL_14663,Myocyte,95.11,9,52.61
CELL_11272,Erythrocyte,35.27,28,65.02
CELL_70479,Stem Cell,54.66,44,86.23
CELL_74226,Stem Cell,90.08,18,96.1
CELL_59922,Epithelial,110.77,31,96.08
CELL_99854,Epithelial,119.14,38,71.3
CELL_25459,Stem Cell,5.35,19,95.21
CELL_64956,Epithelial,100.61,49,64.02
CELL_65368,Epithelial,30.53,49,56.78
CELL_74028,Myocyte,61.92,8,50.3
CELL_53500,Fibroblast,84.98,39,90.06
CELL_18275,Leukocyte,38.88,44,75.77
CELL_32985,Epithelial,61.9,21,81.35
CELL_54894,Epithelial,56.56,41,98.36
CELL_67162,Fibroblast,56.63,47,65.22
CELL_60863,Stem Cell,115.82,6,50.33
CELL_18220,Myocyte,114.85,34,56.56
CELL_17856,Erythrocyte,53.22,24,94.43
CELL_53428,Erythrocyte,90.17,5,93.54
CELL_48586,Epithelial,73.49,29,55.24
CELL_45821,Leukocyte,46.82,48,94.55
CELL_58185,Stem Cell,7.91,15,82.72
CELL_65059,Leukocyte,5.3,45,94.78
CELL_37903,Myocyte,119.72,22,53.81
CELL_53137,Myocyte,78.16,28,97.35
CELL_89771,Leukocyte,102.74,38,70.3
CELL_76988,Stem Cell,67.17,46,57.14
CELL_86462,Fibroblast,76.22,16,72.35
CELL_12135,Neuron,47.51,38,53.16
CELL_79867,Myocyte,41.85,13,56.12
CELL_40909,Stem Cell,54.19,18,83.6
CELL_77732,Fibroblast,54.15,19,52.92
CELL_70476,Myocyte,18.49,12,96.55
CELL_45848,Erythrocyte,8.98,42,57.45
CELL_12795,Epithelial,30.08,27,62.69
CELL_46143,Epithelial,39.45,20,77.47
CELL_96149,Stem Cell,53.86,23,88.53
CELL_19104,Fibroblast,87.7,35,60.86
CELL_35015,Myocyte,76.89,11,73.36
CELL_91469,Fibroblast,93.92,15,77.66
CELL_39854,Erythrocyte,16.79,7,52.15
CELL_96593,Epithelial,87.01,9,99.56
CELL_77791,Leukocyte,66.81,14,95.88
CELL_21272,Erythrocyte,33.46,25,60.7
CELL_44018,Myocyte,47.35,46,81.86
CELL_36672,Erythrocyte,32.9,37,83.98
CELL_25064,Fibroblast,31.62,26,94.74
CELL_20097,Epithelial,74.11,42,74.33
CELL_63558,Neuron,65.68,27,56.92
CELL_40715,Myocyte,33.89,31,85.42
CELL_85339,Neuron,92.72,32,99.51
CELL_26291,Epithelial,81.67,46,72.54
CELL_29648,Erythrocyte,94.56,39,87.71
CELL_96208,Fibroblast,105.79,36,53.34
CELL_48969,Stem Cell,32.66,31,58.88
CELL_83486,Myocyte,52.37,49,66.85
CELL_28846,Erythrocyte,116.99,39,77.54
CELL_85354,Myocyte,101.51,28,62.62
CELL_98930,Erythrocyte,76.29,40,72.6
CELL_54771,Fibroblast,5.25,24,68.66
CELL_50321,Fibroblast,102.65,5,67.83
CELL_61763,Myocyte,24.52,41,99.5
CELL_38934,Neuron,79.46,38,98.44
CELL_37043,Erythrocyte,107.72,37,93.56
CELL_77693,Epithelial,21.69,8,80.77
CELL_38017,Epithelial,52.28,49,93.92
CELL_44813,Leukocyte,38.14,22,81.95
CELL_45363,Myocyte,51.59,38,61.03
CELL_65914,Stem Cell,79.9,42,64.51
