cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_53750,Myocyte,6.42,25,62.09
CELL_83304,Erythrocyte,73.26,13,59.66
CELL_55420,Epithelial,75.08,41,66.82
CELL_41584,Neuron,74.63,9,67.7
CELL_94323,Neuron,104.03,42,54.46
CELL_88740,Epithelial,84.47,29,62.78
CELL_54354,Stem Cell,58.76,6,87.97
CELL_24292,Fibroblast,54.84,12,82.48
CELL_20174,Leukocyte,30.33,12,85.26
CELL_35605,Epithelial,38.01,35,71.91
CELL_37536,Stem Cell,76.44,11,63.62
CELL_18778,Stem Cell,107.75,13,96.77
CELL_52333,Neuron,17.35,6,69.78
CELL_45511,Neuron,43.97,11,94.85
CELL_68912,Myocyte,95.18,27,52.91
CELL_85648,Leukocyte,73.49,20,51.07
CELL_40855,Erythrocyte,9.55,7,84.34
CELL_63592,Fibroblast,118.17,19,75.43
CELL_53464,Neuron,47.4,12,64.69
CELL_60281,Fibroblast,113.27,45,98.3
CELL_51040,Fibroblast,39.13,50,54.26
CELL_67161,Leukocyte,110.74,13,89.63
CELL_52036,Erythrocyte,16.18,29,54.81
CELL_11001,Fibroblast,73.1,9,96.21
CELL_94964,Fibroblast,17.64,5,98.68
CELL_68531,Leukocyte,109.65,23,62.84
CELL_81332,Leukocyte,109.34,11,65.4
CELL_84325,Fibroblast,94.89,46,50.63
CELL_10710,Stem Cell,99.4,44,55.79
CELL_57177,Stem Cell,74.67,39,91.42
CELL_79272,Leukocyte,109.99,12,90.09
CELL_59934,Myocyte,75.58,47,95.19
CELL_68352,Myocyte,69.8,34,58.22
CELL_55341,Stem Cell,79.76,44,80.65
CELL_44828,Leukocyte,58.3,9,83.32
CELL_79436,Epithelial,47.89,46,79.51
CELL_70438,Leukocyte,26.41,17,79.68
CELL_67497,Neuron,84.24,22,76.74
CELL_17452,Myocyte,24.21,19,70.91
CELL_22516,Fibroblast,7.37,29,85.91
CELL_76396,Neuron,107.16,42,80.38
CELL_88976,Leukocyte,83.31,17,95.12
CELL_72292,Fibroblast,86.24,36,75.16
CELL_42223,Myocyte,8.07,14,65.91
CELL_80042,Myocyte,105.08,25,85.87
CELL_67163,Epithelial,103.5,17,88.78
CELL_74876,Myocyte,19.46,9,85.62
CELL_87672,Stem Cell,110.89,8,53.61
CELL_60635,Myocyte,53.11,15,93.42
CELL_71460,Leukocyte,56.81,48,55.01
CELL_97951,Neuron,71.47,19,64.57
CELL_88863,Epithelial,80.84,48,75.37
CELL_79156,Stem Cell,80.3,47,96.19
CELL_46505,Stem Cell,111.39,25,90.59
CELL_60929,Neuron,96.26,47,69.95
CELL_27688,Myocyte,10.11,35,58.5
CELL_22186,Epithelial,91.63,29,60.41
CELL_70315,Erythrocyte,33.47,6,80.38
CELL_92243,Myocyte,84.98,45,93.33
CELL_66509,Myocyte,67.75,16,72.51
CELL_93545,Stem Cell,27.53,45,91.6
CELL_55415,Erythrocyte,15.61,13,93.59
CELL_46932,Stem Cell,35.91,39,68.41
CELL_61326,Epithelial,82.06,45,83.95
CELL_96629,Fibroblast,42.16,43,83.1
CELL_67180,Epithelial,58.41,46,66.5
CELL_89808,Leukocyte,71.39,14,77.3
CELL_57384,Neuron,8.5,44,71.88
CELL_57937,Epithelial,20.34,12,82.29
CELL_83026,Epithelial,92.69,5,87.05
CELL_56300,Fibroblast,71.66,47,92.66
CELL_20894,Myocyte,11.23,29,57.63
CELL_40096,Leukocyte,78.81,21,59.15
CELL_26768,Stem Cell,117.3,24,78.23
CELL_63695,Leukocyte,62.07,22,64.91
CELL_29981,Erythrocyte,63.34,26,81.74
CELL_79103,Myocyte,91.76,30,56.24
CELL_28246,Leukocyte,7.44,33,55.16
CELL_26147,Leukocyte,106.15,50,69.27
CELL_86933,Leukocyte,53.06,46,67.02
CELL_32289,Epithelial,62.98,35,57.87
CELL_15257,Neuron,17.37,46,85.34
CELL_35643,Epithelial,111.72,18,94.61
CELL_84904,Myocyte,114.64,39,78.26
CELL_91270,Leukocyte,49.7,31,83.33
CELL_91253,Leukocyte,44.65,12,98.83
CELL_74988,Neuron,119.91,30,57.85
CELL_46196,Leukocyte,32.13,6,58.97
CELL_73954,Leukocyte,71.5,33,80.94
CELL_62127,Neuron,42.49,37,53.38
CELL_10022,Myocyte,88.83,41,84.4
CELL_37134,Erythrocyte,67.38,27,96.24
CELL_42858,Myocyte,58.88,42,77.08
CELL_45432,Erythrocyte,57.48,43,98.0
CELL_61985,Myocyte,33.7,19,55.18
CELL_22619,Epithelial,89.61,13,92.07
CELL_28438,Leukocyte,105.22,22,73.44
CELL_63305,Fibroblast,10.21,6,54.95
CELL_75790,Stem Cell,44.21,30,75.28
CELL_93679,Epithelial,6.01,18,74.19
CELL_90505,Fibroblast,108.76,15,73.07
CELL_42698,Stem Cell,102.65,20,90.72
CELL_54470,Stem Cell,13.04,6,94.44
CELL_65490,Epithelial,21.62,12,56.15
CELL_58670,Leukocyte,104.32,7,93.09
CELL_11074,Epithelial,20.92,46,69.74
CELL_91339,Erythrocyte,30.48,10,91.27
CELL_79811,Erythrocyte,9.48,34,66.0
CELL_81197,Stem Cell,100.13,12,90.13
CELL_34909,Erythrocyte,91.11,17,62.39
CELL_43434,Stem Cell,27.91,48,92.8
CELL_86942,Myocyte,100.57,32,70.79
CELL_80984,Stem Cell,54.14,32,73.86
CELL_91249,Leukocyte,60.81,49,84.68
CELL_70501,Epithelial,87.94,44,51.21
CELL_65851,Erythrocyte,113.99,7,80.1
CELL_87543,Epithelial,85.92,33,59.83
CELL_18489,Neuron,11.79,26,83.87
CELL_87971,Stem Cell,57.52,31,56.22
CELL_84474,Myocyte,57.8,50,94.54
CELL_33657,Leukocyte,64.72,42,75.26
CELL_45733,Epithelial,109.98,37,95.14
CELL_80342,Fibroblast,40.72,30,75.39
CELL_99425,Myocyte,88.6,15,79.07
CELL_36050,Fibroblast,52.4,35,92.69
CELL_49856,Epithelial,68.6,19,65.78
CELL_69957,Fibroblast,30.35,11,68.81
CELL_12073,Neuron,16.76,34,95.79
CELL_64827,Erythrocyte,67.36,46,69.65
CELL_81291,Myocyte,54.38,26,93.97
CELL_64247,Erythrocyte,63.09,50,65.01
CELL_41491,Myocyte,114.79,27,50.8
CELL_15389,Fibroblast,33.88,39,84.35
CELL_93148,Fibroblast,103.95,13,88.02
CELL_74804,Epithelial,71.37,46,83.46
CELL_66245,Stem Cell,35.95,30,84.41
CELL_60575,Stem Cell,72.88,18,74.25
CELL_57480,Leukocyte,48.23,36,51.41
CELL_61740,Neuron,87.05,50,90.72
CELL_68120,Myocyte,26.38,47,76.67
CELL_29286,Neuron,110.92,18,92.39
CELL_87258,Erythrocyte,9.98,8,59.41
CELL_62995,Leukocyte,83.07,8,83.68
CELL_36428,Leukocyte,104.35,26,86.31
CELL_91418,Leukocyte,15.57,8,86.78
CELL_67248,Fibroblast,73.01,10,96.4
CELL_24653,Fibroblast,110.82,37,94.75
CELL_13637,Fibroblast,95.48,35,82.87
CELL_62185,Myocyte,18.35,6,56.65
CELL_55855,Neuron,74.02,35,69.68
CELL_55681,Epithelial,40.77,50,68.12
CELL_77921,Fibroblast,61.68,5,76.12
CELL_38494,Erythrocyte,34.48,14,89.38
CELL_25624,Myocyte,52.26,37,62.64
CELL_41791,Neuron,28.3,46,82.79
CELL_78796,Leukocyte,94.0,33,65.07
CELL_40130,Stem Cell,13.62,13,78.7
CELL_18427,Fibroblast,98.97,34,70.36
CELL_45802,Erythrocyte,74.32,37,59.29
CELL_50194,Erythrocyte,59.14,11,79.9
CELL_88822,Stem Cell,29.43,5,93.94
CELL_40454,Epithelial,114.19,20,75.43
CELL_71019,Stem Cell,97.88,48,85.38
CELL_52091,Epithelial,56.71,17,91.99
CELL_45031,Fibroblast,9.77,14,56.85
CELL_93713,Myocyte,15.61,20,71.44
CELL_67971,Erythrocyte,30.41,16,94.09
CELL_29056,Erythrocyte,38.52,6,66.61
CELL_91877,Erythrocyte,17.41,7,70.24
CELL_46645,Neuron,36.51,17,91.23
CELL_49025,Erythrocyte,48.88,16,59.29
CELL_49944,Myocyte,119.06,37,50.76
CELL_50532,Fibroblast,25.35,26,94.78
CELL_43864,Stem Cell,5.43,40,94.21
CELL_75108,Epithelial,69.87,33,86.03
CELL_53560,Erythrocyte,66.48,15,57.6
CELL_59189,Fibroblast,75.87,10,86.39
CELL_65374,Fibroblast,71.86,39,85.5
CELL_15895,Erythrocyte,55.01,19,86.03
CELL_86861,Stem Cell,66.3,38,92.51
CELL_99296,Leukocyte,60.67,30,70.06
CELL_50604,Neuron,90.24,38,77.58
CELL_17341,Neuron,104.94,47,79.26
CELL_95426,Epithelial,53.76,46,91.86
CELL_36723,Erythrocyte,12.64,29,52.04
CELL_47664,Stem Cell,40.65,41,52.02
CELL_65575,Myocyte,79.0,15,80.08
CELL_60170,Neuron,11.66,38,61.56
CELL_63754,Stem Cell,75.16,39,56.36
CELL_25054,Epithelial,40.94,34,87.0
CELL_17199,Leukocyte,20.83,26,76.4
CELL_26603,Epithelial,59.68,34,81.49
CELL_62715,Erythrocyte,33.66,24,99.58
CELL_73314,Fibroblast,117.48,6,68.57
CELL_72723,Neuron,98.15,36,55.97
CELL_44101,Epithelial,48.35,36,52.96
CELL_37632,Fibroblast,105.84,5,78.78
CELL_92270,Erythrocyte,61.87,48,66.58
CELL_28546,Epithelial,87.25,16,86.2
CELL_64404,Fibroblast,18.72,46,67.54
CELL_38088,Erythrocyte,66.33,26,58.38
CELL_86796,Myocyte,71.62,28,69.66
CELL_83866,Leukocyte,89.23,23,90.43
CELL_73956,Fibroblast,22.08,5,53.32
CELL_31139,Stem Cell,67.06,48,88.36
CELL_19042,Neuron,118.6,10,60.67
CELL_22636,Neuron,29.65,16,68.3
CELL_27836,Neuron,35.3,19,70.92
CELL_29903,Stem Cell,98.03,35,68.39
CELL_27995,Leukocyte,71.82,13,98.46
CELL_14155,Erythrocyte,80.92,28,62.95
CELL_62996,Erythrocyte,115.39,31,87.83
CELL_47088,Myocyte,99.5,9,51.32
CELL_38013,Fibroblast,13.78,14,95.39
CELL_77592,Stem Cell,20.65,15,93.44
CELL_68924,Epithelial,27.7,15,64.01
CELL_66764,Epithelial,50.3,43,54.09
CELL_40641,Leukocyte,18.56,27,98.73
CELL_86681,Erythrocyte,5.01,35,88.83
CELL_26457,Stem Cell,89.63,32,59.18
CELL_22758,Neuron,109.92,11,68.93
CELL_50261,Stem Cell,95.94,20,72.71
CELL_91156,Myocyte,91.1,32,70.96
CELL_12311,Epithelial,34.1,8,71.14
CELL_41368,Erythrocyte,67.48,16,55.02
CELL_15965,Epithelial,26.39,20,55.12
CELL_55566,Stem Cell,48.58,35,65.0
CELL_41720,Neuron,71.46,21,76.45
CELL_96174,Fibroblast,67.79,23,81.74
CELL_67558,Stem Cell,115.51,20,90.67
CELL_87559,Epithelial,111.62,31,80.52
