cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_70993,Erythrocyte,95.09,49,57.17
CELL_55351,Stem Cell,49.91,41,99.47
CELL_36521,Neuron,61.91,27,53.67
CELL_48889,Fibroblast,58.54,45,86.63
CELL_49190,Epithelial,98.6,12,88.91
CELL_92889,Leukocyte,68.73,47,57.44
CELL_22095,Fibroblast,46.69,40,84.51
CELL_10462,Erythrocyte,77.48,18,70.19
CELL_52708,Epithelial,22.27,7,53.06
CELL_78073,Fibroblast,22.54,48,64.11
CELL_13932,Fibroblast,95.82,27,96.79
CELL_40194,Leukocyte,91.9,15,69.93
CELL_59694,Stem Cell,52.85,21,59.94
CELL_29346,Erythrocyte,82.22,21,54.15
CELL_18584,Epithelial,89.45,32,87.46
CELL_84660,Stem Cell,94.57,45,83.47
CELL_36824,Stem Cell,25.38,36,63.52
CELL_59297,Neuron,36.68,28,58.44
CELL_52523,Stem Cell,69.72,35,78.06
CELL_46018,Neuron,117.12,13,50.59
CELL_31313,Neuron,72.3,14,82.62
CELL_19073,Myocyte,110.58,18,88.62
CELL_23919,Neuron,9.59,45,92.77
CELL_40931,Myocyte,99.56,14,56.46
CELL_78238,Neuron,28.02,42,57.25
CELL_96368,Myocyte,16.42,41,65.38
CELL_71805,Myocyte,88.35,48,65.01
CELL_30505,Myocyte,37.05,18,88.57
CELL_22358,Leukocyte,70.37,26,57.73
CELL_65163,Neuron,18.44,15,66.75
CELL_13011,Epithelial,59.65,5,65.72
CELL_76388,Neuron,36.45,35,97.81
CELL_79609,Epithelial,57.14,24,59.34
CELL_27691,Leukocyte,85.11,9,85.15
CELL_87629,Fibroblast,53.08,26,84.04
CELL_38899,Neuron,99.19,44,61.64
CELL_84840,Stem Cell,103.59,24,86.64
CELL_92262,Fibroblast,27.76,48,52.47
CELL_68630,Fibroblast,39.03,40,70.18
CELL_78250,Neuron,65.75,21,76.25
CELL_44141,Stem Cell,47.16,34,62.36
CELL_66307,Fibroblast,29.18,9,84.94
CELL_78696,Stem Cell,59.0,5,72.2
CELL_44427,Leukocyte,108.16,5,86.57
CELL_35076,Erythrocyte,14.24,47,59.13
CELL_56393,Fibroblast,37.42,10,62.51
CELL_92696,Erythrocyte,11.37,43,80.74
CELL_43496,Neuron,56.04,33,56.76
CELL_57005,Erythrocyte,60.28,14,63.66
CELL_20821,Leukocyte,100.79,11,52.31
CELL_20954,Myocyte,92.43,34,65.77
CELL_11935,Leukocyte,87.15,26,70.97
CELL_14541,Fibroblast,40.14,23,78.69
CELL_83987,Neuron,72.78,20,90.02
CELL_26657,Leukocyte,80.6,6,84.11
CELL_70445,Erythrocyte,70.91,19,71.94
CELL_67897,Neuron,87.31,44,98.29
CELL_17472,Neuron,75.99,34,93.18
CELL_75450,Epithelial,94.41,50,75.31
CELL_54124,Neuron,13.68,7,61.27
CELL_92019,Leukocyte,49.7,49,81.21
