cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_73711,Fibroblast,102.3,30,83.05
CELL_90691,Leukocyte,61.23,34,58.17
CELL_73615,Neuron,82.33,7,91.03
CELL_10306,Neuron,32.96,42,74.25
CELL_47793,Neuron,103.57,35,96.27
CELL_65312,Leukocyte,19.62,5,62.33
CELL_19736,Myocyte,18.04,20,96.19
CELL_14936,Leukocyte,93.56,44,59.43
CELL_46663,Epithelial,119.75,14,70.76
CELL_12858,Neuron,67.43,44,99.21
CELL_50869,Neuron,70.33,49,64.12
CELL_25183,Leukocyte,70.49,47,94.86
CELL_18713,Myocyte,112.08,28,85.57
CELL_33342,Stem Cell,32.99,33,88.99
CELL_57608,Fibroblast,24.23,16,96.4
CELL_98880,Leukocyte,70.67,42,69.21
CELL_18150,Epithelial,106.96,43,67.8
CELL_54175,Erythrocyte,84.26,25,75.02
CELL_95199,Epithelial,11.11,12,87.0
CELL_40268,Epithelial,46.78,6,89.92
CELL_26752,Fibroblast,61.44,5,76.7
CELL_93916,Fibroblast,92.13,25,63.09
CELL_47773,Neuron,106.14,39,93.18
CELL_62499,Epithelial,44.42,50,50.9
CELL_66396,Myocyte,38.2,6,91.72
CELL_50159,Neuron,81.97,35,70.84
CELL_11687,Leukocyte,62.89,24,67.6
CELL_17661,Fibroblast,16.04,11,74.72
CELL_96953,Leukocyte,73.67,49,59.92
CELL_68764,Myocyte,78.04,20,73.13
CELL_41820,Myocyte,55.5,16,51.59
CELL_13114,Epithelial,109.55,30,69.65
CELL_62326,Neuron,112.49,49,96.48
CELL_33350,Myocyte,86.44,10,50.63
CELL_75234,Stem Cell,56.51,13,85.77
CELL_29459,Stem Cell,29.63,36,82.32
CELL_64613,Epithelial,32.58,11,90.59
CELL_78765,Epithelial,65.14,13,52.26
CELL_38474,Neuron,38.72,17,95.99
CELL_48332,Erythrocyte,11.14,43,78.02
CELL_14392,Myocyte,105.12,44,72.67
CELL_79378,Leukocyte,100.01,20,66.03
CELL_10663,Erythrocyte,101.12,8,63.34
CELL_10841,Erythrocyte,81.04,8,97.15
CELL_51533,Myocyte,74.69,22,68.12
CELL_87356,Fibroblast,87.05,8,80.77
CELL_97078,Neuron,36.53,6,66.01
CELL_35221,Epithelial,15.13,26,92.84
CELL_60844,Stem Cell,104.16,30,80.98
CELL_32530,Neuron,58.97,43,51.23
CELL_68474,Fibroblast,79.81,36,57.13
CELL_90246,Myocyte,63.07,36,75.0
CELL_44603,Neuron,80.7,17,51.31
CELL_92601,Leukocyte,10.25,13,91.11
CELL_85728,Erythrocyte,52.2,13,91.63
CELL_46856,Myocyte,47.56,36,73.62
CELL_89118,Erythrocyte,57.38,48,64.28
CELL_33143,Leukocyte,81.41,40,83.73
CELL_79593,Erythrocyte,8.18,8,60.64
CELL_65471,Fibroblast,12.82,18,94.46
CELL_74162,Erythrocyte,92.78,40,57.78
CELL_46379,Myocyte,100.16,44,72.03
CELL_13118,Epithelial,8.38,10,50.73
CELL_33904,Erythrocyte,13.34,31,57.42
CELL_15873,Fibroblast,105.69,34,64.96
CELL_66175,Neuron,13.79,26,84.72
CELL_13061,Epithelial,5.24,44,65.2
CELL_82689,Erythrocyte,28.83,27,64.73
CELL_44401,Erythrocyte,67.57,49,53.77
CELL_76114,Epithelial,93.93,44,78.01
CELL_55707,Stem Cell,104.45,9,77.05
CELL_95609,Neuron,62.35,33,76.86
CELL_50963,Leukocyte,80.17,29,91.05
CELL_69273,Fibroblast,44.81,24,62.64
CELL_26631,Myocyte,103.84,28,96.07
CELL_99636,Epithelial,94.97,5,94.66
CELL_24212,Epithelial,89.89,20,96.39
CELL_25970,Myocyte,16.81,15,51.19
CELL_16266,Stem Cell,69.9,25,94.93
CELL_26534,Fibroblast,28.36,50,72.44
CELL_84218,Myocyte,39.02,5,71.65
CELL_89329,Stem Cell,90.41,50,55.94
CELL_62051,Erythrocyte,66.49,6,95.09
CELL_52532,Stem Cell,35.65,39,56.99
CELL_30458,Epithelial,65.63,15,88.47
CELL_76274,Erythrocyte,98.61,15,51.01
CELL_95350,Fibroblast,99.11,37,79.87
CELL_83617,Stem Cell,100.87,47,98.2
CELL_60781,Leukocyte,72.52,45,50.03
CELL_44530,Epithelial,105.44,20,97.64
CELL_48430,Stem Cell,51.19,37,83.32
CELL_31280,Stem Cell,72.43,7,62.6
CELL_42426,Stem Cell,60.42,14,61.82
CELL_41849,Leukocyte,26.79,23,95.23
CELL_44118,Fibroblast,93.41,41,57.99
CELL_35417,Leukocyte,23.73,9,69.86
CELL_98610,Epithelial,26.67,15,58.71
CELL_61203,Myocyte,74.57,13,66.92
CELL_59534,Leukocyte,85.22,44,98.65
CELL_29308,Fibroblast,92.84,15,65.02
CELL_98842,Fibroblast,26.61,46,88.45
CELL_23438,Stem Cell,118.2,37,96.46
CELL_44110,Erythrocyte,40.89,43,92.6
CELL_56136,Neuron,67.56,28,74.59
CELL_41431,Neuron,61.2,34,59.2
CELL_12021,Leukocyte,85.07,29,68.97
CELL_28256,Stem Cell,100.51,24,91.78
CELL_60086,Stem Cell,97.95,48,84.73
CELL_72583,Leukocyte,76.17,30,84.86
CELL_65883,Leukocyte,97.88,49,92.4
CELL_10071,Stem Cell,28.97,14,65.45
CELL_61701,Neuron,93.62,28,97.47
CELL_16453,Erythrocyte,114.6,20,98.58
CELL_20263,Neuron,16.28,48,66.86
CELL_59666,Leukocyte,34.79,29,96.37
CELL_66087,Epithelial,83.23,15,80.8
CELL_79913,Erythrocyte,94.21,35,94.36
CELL_22374,Stem Cell,15.18,50,61.8
CELL_95999,Leukocyte,78.53,34,84.09
CELL_17080,Fibroblast,114.8,11,69.24
CELL_26939,Epithelial,67.4,11,90.44
CELL_23755,Erythrocyte,75.0,5,77.94
CELL_28124,Epithelial,58.2,26,89.54
CELL_58973,Stem Cell,18.02,49,77.8
CELL_42548,Epithelial,63.91,21,61.63
CELL_87044,Myocyte,53.5,7,73.38
CELL_58593,Neuron,113.99,12,75.9
CELL_29260,Erythrocyte,39.75,42,52.89
CELL_80241,Fibroblast,14.47,42,50.23
CELL_86382,Stem Cell,65.66,14,69.38
CELL_68701,Leukocyte,86.62,25,67.06
CELL_88252,Stem Cell,115.63,10,91.11
CELL_90556,Myocyte,79.22,50,89.25
CELL_64904,Myocyte,97.84,10,85.29
CELL_28030,Epithelial,52.54,27,89.45
CELL_88173,Epithelial,85.11,6,70.25
CELL_26200,Stem Cell,79.11,18,57.63
CELL_85027,Fibroblast,69.61,34,97.38
CELL_28893,Epithelial,94.88,42,51.8
CELL_74158,Fibroblast,109.25,45,74.12
CELL_10510,Erythrocyte,111.33,36,60.23
CELL_27943,Myocyte,62.53,38,75.48
CELL_58935,Neuron,65.76,16,58.38
CELL_69969,Fibroblast,57.25,22,60.43
CELL_99279,Epithelial,108.87,46,54.36
CELL_94692,Myocyte,41.78,37,60.92
CELL_69047,Myocyte,115.48,50,67.65
CELL_94875,Epithelial,20.22,18,83.94
CELL_30115,Fibroblast,75.26,38,77.3
CELL_53503,Myocyte,92.22,45,53.54
CELL_13263,Neuron,95.38,25,62.01
CELL_33571,Neuron,73.29,44,79.5
CELL_92555,Stem Cell,43.17,49,50.61
CELL_88445,Erythrocyte,49.22,39,90.23
CELL_91744,Leukocyte,59.84,16,92.92
CELL_82481,Erythrocyte,65.43,39,94.23
CELL_23449,Neuron,82.97,38,82.68
CELL_98839,Fibroblast,16.56,36,54.15
CELL_88709,Stem Cell,16.37,37,62.65
CELL_28691,Epithelial,50.8,14,81.13
CELL_38021,Neuron,71.87,14,52.54
CELL_46065,Fibroblast,63.64,12,85.48
CELL_96970,Leukocyte,81.89,27,52.05
CELL_50390,Neuron,85.3,9,70.45
