cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_41754,Erythrocyte,98.03,18,68.76
CELL_64500,Erythrocyte,29.8,47,52.55
CELL_97529,Fibroblast,114.99,41,52.43
CELL_25581,Fibroblast,43.4,8,99.19
CELL_46854,Myocyte,33.97,14,56.29
CELL_71332,Erythrocyte,119.41,14,67.1
CELL_64985,Fibroblast,86.49,32,73.83
CELL_18220,Erythrocyte,26.23,44,62.32
CELL_39913,Leukocyte,115.62,48,80.39
CELL_90888,Leukocyte,115.28,48,66.85
CELL_32080,Fibroblast,79.27,31,76.21
CELL_34687,Leukocyte,105.54,47,93.51
CELL_66501,Erythrocyte,11.19,25,85.43
CELL_61119,Leukocyte,96.23,42,79.54
CELL_43283,Erythrocyte,58.59,23,94.52
CELL_94453,Myocyte,108.73,23,67.55
CELL_75452,Myocyte,68.26,9,87.74
CELL_86553,Fibroblast,68.93,41,53.5
CELL_34464,Stem Cell,101.84,43,96.28
CELL_49083,Stem Cell,45.74,24,51.29
CELL_53784,Epithelial,87.64,18,97.9
CELL_41574,Stem Cell,88.0,26,68.84
CELL_95146,Epithelial,17.78,35,87.75
CELL_90553,Myocyte,36.77,21,84.74
CELL_13625,Leukocyte,43.99,31,80.58
CELL_72386,Erythrocyte,50.98,13,66.03
CELL_78851,Erythrocyte,78.63,45,99.09
CELL_89995,Erythrocyte,92.67,12,99.87
CELL_57037,Myocyte,13.74,36,89.39
CELL_69894,Neuron,5.14,24,92.92
CELL_54454,Leukocyte,101.59,31,71.08
CELL_72586,Neuron,84.32,25,91.26
CELL_96328,Stem Cell,48.21,18,74.63
CELL_52183,Neuron,5.3,27,70.95
CELL_41553,Epithelial,66.59,37,93.78
CELL_41423,Neuron,97.38,9,82.45
CELL_39214,Erythrocyte,71.48,48,51.27
CELL_24456,Neuron,63.4,27,79.25
CELL_25350,Fibroblast,117.71,13,69.64
CELL_44149,Epithelial,114.31,43,50.42
CELL_21991,Leukocyte,34.93,25,65.77
CELL_29772,Neuron,36.51,16,88.35
CELL_21553,Neuron,34.45,30,57.94
CELL_28759,Myocyte,106.95,35,55.32
CELL_10033,Myocyte,68.24,23,50.69
CELL_63918,Stem Cell,68.1,36,75.42
CELL_46335,Epithelial,89.68,11,70.99
CELL_59789,Myocyte,45.88,6,80.34
CELL_48758,Stem Cell,82.69,28,78.29
CELL_57192,Stem Cell,72.99,19,87.53
CELL_62188,Leukocyte,65.53,27,93.74
CELL_84974,Myocyte,103.22,8,67.52
CELL_92804,Neuron,65.96,30,60.76
CELL_14584,Myocyte,44.15,32,67.04
CELL_36885,Epithelial,99.93,36,67.09
CELL_91545,Fibroblast,97.92,50,54.89
CELL_69868,Erythrocyte,7.17,11,86.9
CELL_75183,Neuron,5.74,7,58.14
CELL_86789,Myocyte,18.5,6,86.35
CELL_15622,Epithelial,27.07,42,53.33
CELL_73779,Fibroblast,99.64,36,64.55
CELL_78473,Stem Cell,71.75,17,51.05
CELL_24502,Erythrocyte,6.39,16,99.03
CELL_13161,Stem Cell,95.68,31,70.29
CELL_97755,Leukocyte,84.61,43,69.78
CELL_65687,Epithelial,39.61,7,96.51
CELL_71555,Stem Cell,106.27,48,87.86
CELL_17572,Epithelial,89.57,10,66.76
CELL_96374,Epithelial,11.91,47,52.43
CELL_31194,Fibroblast,103.23,18,98.61
CELL_47374,Leukocyte,68.39,40,83.08
CELL_68278,Myocyte,61.19,12,72.14
CELL_28800,Epithelial,96.61,13,94.68
CELL_34444,Myocyte,85.42,19,74.04
CELL_30374,Fibroblast,100.2,22,82.95
CELL_76709,Stem Cell,81.75,12,53.87
CELL_53460,Myocyte,80.95,30,57.2
CELL_68811,Stem Cell,37.89,17,92.88
CELL_56761,Stem Cell,104.94,34,68.39
CELL_96118,Stem Cell,101.87,37,82.09
CELL_61918,Neuron,102.51,42,87.57
CELL_48821,Stem Cell,91.87,40,88.71
CELL_71094,Epithelial,85.71,36,60.93
CELL_48732,Leukocyte,37.02,31,94.93
CELL_52849,Neuron,17.67,28,50.63
CELL_66395,Leukocyte,79.28,11,62.56
CELL_70920,Erythrocyte,84.94,9,95.97
CELL_78642,Erythrocyte,46.5,38,83.14
CELL_27855,Neuron,72.77,39,71.71
CELL_70310,Neuron,87.82,12,91.22
CELL_37687,Fibroblast,106.59,37,97.79
CELL_89032,Stem Cell,74.03,42,74.35
CELL_79623,Fibroblast,62.19,23,99.68
CELL_21287,Erythrocyte,105.14,29,74.27
CELL_52209,Epithelial,76.32,16,97.32
CELL_91977,Leukocyte,6.63,29,59.88
CELL_71840,Neuron,42.94,47,72.65
CELL_85720,Epithelial,114.75,32,69.3
CELL_69366,Leukocyte,111.0,40,89.18
CELL_80574,Epithelial,53.84,13,96.27
CELL_88038,Neuron,107.11,7,72.44
CELL_62332,Epithelial,66.31,16,63.85
CELL_72046,Neuron,79.16,22,86.03
CELL_18747,Fibroblast,113.91,49,74.54
CELL_23609,Erythrocyte,114.92,40,76.63
CELL_96500,Leukocyte,81.28,23,81.6
CELL_29654,Leukocyte,39.69,17,85.74
CELL_44966,Neuron,8.6,24,96.7
CELL_57967,Fibroblast,116.08,27,61.16
CELL_67937,Epithelial,111.43,9,78.47
CELL_79682,Stem Cell,54.42,17,87.41
CELL_24585,Myocyte,8.21,26,90.09
CELL_31488,Neuron,88.25,38,59.93
CELL_75553,Epithelial,76.9,9,83.16
CELL_10833,Leukocyte,101.39,8,72.58
CELL_82147,Neuron,69.69,6,76.96
CELL_92602,Neuron,5.78,45,93.39
CELL_66293,Myocyte,29.31,12,56.16
CELL_50493,Stem Cell,119.9,50,63.08
CELL_64716,Leukocyte,54.56,42,80.61
CELL_61657,Epithelial,69.52,28,56.05
CELL_97209,Myocyte,10.24,48,74.64
CELL_71951,Erythrocyte,85.41,33,63.32
CELL_34386,Leukocyte,88.95,27,74.63
CELL_33232,Epithelial,62.33,43,80.71
CELL_66403,Fibroblast,71.73,19,53.59
CELL_39891,Stem Cell,85.85,14,55.63
CELL_35629,Fibroblast,21.46,35,77.72
CELL_42119,Fibroblast,39.34,10,95.87
CELL_14745,Epithelial,10.82,34,99.34
CELL_10160,Myocyte,65.26,10,77.96
CELL_14569,Epithelial,11.26,35,74.21
CELL_81887,Leukocyte,27.05,6,79.88
CELL_85751,Fibroblast,108.91,41,52.62
CELL_90145,Fibroblast,97.17,7,95.81
CELL_92657,Neuron,7.51,31,50.2
CELL_57606,Erythrocyte,13.63,40,50.66
CELL_63530,Leukocyte,116.44,9,97.6
