cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_53261,Erythrocyte,102.22,26,51.95
CELL_63866,Fibroblast,29.16,41,73.05
CELL_76659,Fibroblast,105.55,24,64.7
CELL_32720,Erythrocyte,111.25,28,66.64
CELL_44773,Fibroblast,94.25,43,96.42
CELL_65787,Stem Cell,66.32,34,68.87
CELL_15491,Epithelial,27.16,30,62.94
CELL_76529,Leukocyte,31.97,44,68.17
CELL_82812,Epithelial,69.16,33,81.75
CELL_32271,Epithelial,26.23,39,64.54
CELL_78271,Stem Cell,93.9,41,99.51
CELL_99622,Epithelial,6.49,21,74.15
CELL_36226,Fibroblast,65.43,36,92.36
CELL_63508,Epithelial,59.9,38,91.88
CELL_47158,Neuron,79.9,39,52.72
CELL_29294,Fibroblast,23.11,17,57.56
CELL_96311,Epithelial,57.51,39,98.5
CELL_57397,Leukocyte,70.74,12,64.81
CELL_51490,Neuron,32.84,24,51.38
CELL_37149,Fibroblast,76.24,21,76.23
CELL_65153,Erythrocyte,34.48,37,79.55
CELL_98018,Leukocyte,98.07,42,82.47
CELL_56053,Neuron,80.36,50,65.18
CELL_19626,Neuron,89.5,36,89.54
CELL_43206,Neuron,82.8,8,70.79
CELL_23097,Neuron,14.5,42,54.82
CELL_92227,Erythrocyte,69.04,47,59.92
CELL_27472,Myocyte,115.71,31,96.23
CELL_94725,Epithelial,66.53,39,92.03
CELL_81028,Leukocyte,94.58,29,77.77
CELL_13362,Stem Cell,75.37,15,77.71
CELL_68154,Neuron,112.18,33,61.66
CELL_49003,Neuron,9.28,39,74.88
CELL_29772,Leukocyte,73.03,31,96.48
CELL_72696,Erythrocyte,44.29,31,96.67
CELL_45648,Erythrocyte,41.67,39,74.76
CELL_99750,Leukocyte,67.23,21,66.81
CELL_52844,Stem Cell,113.56,40,80.3
CELL_87949,Epithelial,83.8,37,96.24
CELL_95937,Fibroblast,45.79,39,83.08
CELL_18415,Myocyte,42.98,13,75.22
CELL_47348,Erythrocyte,111.17,25,62.42
CELL_33454,Leukocyte,36.66,32,88.45
CELL_19985,Leukocyte,6.43,20,55.05
CELL_64165,Neuron,106.73,24,65.26
CELL_93261,Erythrocyte,27.87,6,69.85
CELL_24197,Fibroblast,119.57,46,91.39
CELL_53946,Epithelial,19.22,10,82.07
CELL_71101,Erythrocyte,100.58,31,50.64
CELL_97605,Epithelial,93.76,27,92.12
CELL_20848,Myocyte,80.94,46,60.9
CELL_92388,Neuron,45.9,21,75.73
CELL_96294,Myocyte,90.61,41,81.17
CELL_55928,Leukocyte,92.52,45,78.76
CELL_80791,Stem Cell,15.18,6,83.18
CELL_44710,Myocyte,19.41,26,56.19
CELL_18435,Leukocyte,21.49,5,68.94
CELL_77208,Erythrocyte,38.63,42,55.71
CELL_48339,Fibroblast,112.65,37,83.46
CELL_92328,Neuron,75.67,40,73.41
CELL_90212,Myocyte,45.9,34,89.43
CELL_40186,Myocyte,119.88,49,91.87
CELL_70188,Myocyte,48.02,50,89.38
CELL_87540,Fibroblast,97.98,19,65.88
CELL_96994,Neuron,9.52,16,66.1
CELL_94139,Fibroblast,70.17,38,70.83
CELL_70482,Stem Cell,34.08,30,92.32
CELL_41518,Erythrocyte,42.02,11,67.64
CELL_48579,Fibroblast,52.24,20,86.44
CELL_92403,Myocyte,34.78,22,58.04
CELL_37558,Neuron,109.46,14,63.62
CELL_68335,Myocyte,44.11,19,53.31
CELL_14810,Leukocyte,55.43,21,78.32
CELL_66615,Leukocyte,39.51,17,95.83
CELL_76230,Leukocyte,99.45,26,88.96
CELL_51445,Epithelial,48.96,44,88.86
CELL_63089,Myocyte,71.33,16,51.27
CELL_49827,Neuron,102.61,45,77.63
CELL_16390,Stem Cell,82.02,35,90.05
CELL_73460,Epithelial,93.22,30,89.3
CELL_93650,Fibroblast,52.2,47,54.21
CELL_85237,Neuron,53.93,23,84.38
CELL_39788,Myocyte,22.23,47,55.05
CELL_90300,Fibroblast,82.91,37,65.58
CELL_27004,Stem Cell,35.38,6,50.06
CELL_88251,Epithelial,20.28,16,75.87
CELL_41984,Leukocyte,13.34,48,64.42
CELL_74893,Leukocyte,109.58,36,76.76
CELL_19593,Erythrocyte,63.76,40,62.11
CELL_93299,Neuron,63.65,27,73.48
CELL_35259,Neuron,101.75,24,90.92
CELL_87219,Erythrocyte,70.13,50,90.9
CELL_99291,Erythrocyte,47.84,44,56.8
CELL_83762,Stem Cell,10.03,11,94.88
CELL_98503,Leukocyte,78.83,37,76.48
CELL_35595,Fibroblast,42.82,5,51.99
CELL_52093,Myocyte,118.21,49,91.48
CELL_87550,Stem Cell,117.82,30,72.95
CELL_38774,Leukocyte,22.2,42,79.46
CELL_99427,Leukocyte,47.7,50,81.7
CELL_97200,Fibroblast,31.65,33,76.36
CELL_43615,Epithelial,20.28,17,76.67
CELL_61158,Leukocyte,33.33,22,50.54
CELL_64766,Epithelial,75.76,32,59.12
CELL_99708,Leukocyte,25.38,41,79.47
CELL_51076,Erythrocyte,76.82,14,57.39
CELL_18987,Myocyte,87.98,43,92.39
CELL_37161,Leukocyte,119.36,11,77.63
CELL_17898,Leukocyte,45.28,34,71.2
CELL_95169,Myocyte,28.53,26,66.83
CELL_42692,Epithelial,107.48,25,90.04
CELL_95455,Epithelial,43.09,48,88.01
CELL_80951,Stem Cell,106.14,44,73.81
CELL_40551,Erythrocyte,48.4,21,70.28
CELL_16518,Leukocyte,94.98,6,58.52
CELL_67348,Leukocyte,37.95,44,57.03
CELL_28041,Neuron,93.63,37,75.24
CELL_72040,Fibroblast,38.6,8,93.21
CELL_65791,Erythrocyte,10.89,32,58.78
CELL_24132,Stem Cell,48.35,9,84.02
CELL_27132,Stem Cell,32.13,30,55.39
CELL_68009,Leukocyte,10.04,28,70.22
CELL_79580,Neuron,55.7,8,87.85
CELL_45472,Fibroblast,5.35,24,89.46
CELL_41508,Erythrocyte,53.38,40,78.88
CELL_58077,Fibroblast,69.97,14,52.7
CELL_95372,Stem Cell,79.26,48,70.52
CELL_67259,Leukocyte,51.07,13,86.81
CELL_76270,Neuron,102.49,36,95.66
CELL_86779,Erythrocyte,22.36,5,87.49
CELL_63139,Myocyte,49.4,41,60.98
CELL_57912,Fibroblast,53.52,18,59.84
CELL_89598,Stem Cell,71.64,30,69.46
CELL_44272,Stem Cell,6.43,8,89.04
CELL_62693,Stem Cell,44.23,5,90.24
CELL_30630,Epithelial,30.75,50,99.66
CELL_34405,Neuron,58.73,19,73.55
CELL_46967,Leukocyte,64.53,18,92.41
CELL_93792,Myocyte,98.58,25,72.5
CELL_82958,Leukocyte,74.22,23,89.27
CELL_80537,Neuron,35.77,23,56.08
CELL_34628,Neuron,32.66,45,62.62
CELL_31929,Myocyte,65.86,12,57.59
CELL_14417,Erythrocyte,48.37,34,84.83
CELL_66448,Leukocyte,19.48,32,72.64
