cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_37910,Neuron,116.82,33,96.35
CELL_41086,Fibroblast,114.89,45,93.72
CELL_26227,Myocyte,10.47,44,94.39
CELL_93493,Fibroblast,66.47,12,50.41
CELL_43821,Stem Cell,69.33,46,85.38
CELL_71466,Myocyte,11.48,13,57.13
CELL_59898,Leukocyte,30.95,37,80.55
CELL_76484,Stem Cell,17.27,35,59.21
CELL_18798,Neuron,26.89,14,78.3
CELL_46344,Myocyte,7.07,41,88.96
CELL_70449,Myocyte,27.74,20,60.75
CELL_42346,Fibroblast,91.66,17,93.2
CELL_72289,Myocyte,53.63,22,82.72
CELL_54099,Erythrocyte,71.94,47,83.67
CELL_31447,Epithelial,85.82,40,85.67
CELL_39815,Fibroblast,15.77,48,89.47
CELL_53894,Neuron,43.55,29,67.69
CELL_89305,Neuron,7.27,40,59.67
CELL_46294,Myocyte,54.19,34,69.92
CELL_42636,Erythrocyte,7.83,34,61.68
CELL_68711,Fibroblast,95.7,20,59.24
CELL_61474,Stem Cell,68.66,27,69.7
CELL_83973,Fibroblast,50.97,24,76.64
CELL_68417,Leukocyte,60.59,30,87.04
CELL_39445,Leukocyte,85.87,25,80.77
CELL_69153,Stem Cell,52.67,21,68.15
CELL_52672,Leukocyte,46.19,18,80.62
CELL_54435,Myocyte,64.68,29,52.08
CELL_19690,Leukocyte,106.62,24,57.29
CELL_54432,Fibroblast,118.7,46,68.42
CELL_46310,Fibroblast,14.95,26,81.16
CELL_68068,Neuron,104.25,14,53.06
CELL_82430,Neuron,22.81,33,59.14
CELL_97052,Stem Cell,26.67,48,88.32
CELL_60184,Epithelial,94.9,25,94.59
CELL_55425,Neuron,77.33,46,71.95
CELL_95094,Stem Cell,44.55,19,59.67
CELL_39202,Neuron,88.19,27,58.04
CELL_42532,Myocyte,115.87,18,54.04
CELL_22810,Myocyte,105.3,43,79.1
CELL_34547,Leukocyte,21.06,35,82.48
CELL_83892,Myocyte,83.68,39,88.19
CELL_86888,Fibroblast,25.51,36,74.79
CELL_76372,Erythrocyte,33.61,36,83.27
CELL_26174,Stem Cell,94.1,18,78.29
CELL_30365,Epithelial,85.93,46,52.21
CELL_20536,Neuron,49.02,10,57.76
CELL_87410,Myocyte,28.71,24,65.92
CELL_33847,Erythrocyte,54.61,10,87.86
CELL_41403,Myocyte,110.22,42,53.67
CELL_13712,Epithelial,45.15,14,70.9
CELL_13796,Leukocyte,115.17,28,78.19
CELL_84444,Leukocyte,11.44,28,91.97
CELL_46784,Epithelial,33.91,47,88.83
CELL_38086,Myocyte,80.48,16,70.94
CELL_46276,Neuron,12.56,15,82.09
CELL_96764,Neuron,31.7,23,82.85
CELL_83489,Fibroblast,116.26,38,86.6
CELL_22555,Erythrocyte,115.62,27,71.31
CELL_20847,Fibroblast,61.58,50,92.66
CELL_56992,Myocyte,17.42,29,82.18
CELL_19321,Leukocyte,38.87,14,90.01
CELL_23822,Fibroblast,7.08,9,74.47
CELL_65478,Epithelial,55.35,17,88.19
CELL_37173,Leukocyte,6.25,26,58.71
CELL_94289,Erythrocyte,45.96,20,98.27
CELL_26226,Epithelial,113.13,17,92.22
CELL_53449,Stem Cell,17.63,5,73.06
CELL_44308,Stem Cell,15.91,20,57.64
CELL_44957,Leukocyte,38.64,21,71.66
CELL_60901,Stem Cell,6.29,27,64.17
CELL_19072,Stem Cell,112.37,46,87.18
CELL_76754,Leukocyte,38.46,46,91.28
CELL_97085,Erythrocyte,74.28,49,55.27
CELL_51652,Fibroblast,25.14,26,71.04
CELL_10062,Neuron,90.89,22,76.41
CELL_38261,Myocyte,99.57,23,58.97
CELL_50301,Epithelial,42.58,41,87.63
CELL_34077,Neuron,29.31,22,51.26
CELL_99101,Epithelial,46.07,26,81.46
CELL_53334,Neuron,103.92,14,51.52
CELL_95116,Leukocyte,9.98,18,59.05
CELL_87164,Epithelial,13.66,44,79.59
CELL_29609,Neuron,30.35,5,68.7
CELL_53503,Myocyte,28.3,39,80.04
CELL_48279,Leukocyte,58.58,41,84.35
CELL_81881,Epithelial,19.17,33,66.88
CELL_67999,Myocyte,89.15,34,88.45
CELL_49666,Leukocyte,32.84,42,71.38
CELL_10061,Myocyte,85.69,14,61.68
CELL_84811,Epithelial,82.7,22,92.0
CELL_24230,Leukocyte,86.35,39,65.68
CELL_32475,Leukocyte,109.34,25,75.36
CELL_18165,Epithelial,116.67,28,79.27
CELL_27311,Neuron,18.4,47,66.02
CELL_19489,Myocyte,16.64,8,81.23
CELL_77317,Erythrocyte,89.0,32,62.84
CELL_20244,Fibroblast,110.18,10,50.66
CELL_56761,Fibroblast,53.69,18,78.36
CELL_59965,Erythrocyte,115.9,37,88.31
CELL_99279,Fibroblast,100.5,35,96.07
CELL_73130,Stem Cell,44.73,25,74.35
CELL_64551,Myocyte,68.31,20,72.25
CELL_43182,Stem Cell,80.12,37,86.35
CELL_29325,Stem Cell,113.98,28,81.29
CELL_99075,Myocyte,95.35,20,86.52
CELL_50991,Fibroblast,53.99,36,58.86
CELL_73759,Myocyte,63.84,49,94.68
CELL_16143,Erythrocyte,36.66,36,55.93
CELL_22636,Erythrocyte,5.99,10,85.31
CELL_96803,Myocyte,111.7,41,62.48
