cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_63662,Epithelial,118.59,26,68.22
CELL_68440,Myocyte,53.22,43,63.05
CELL_31441,Fibroblast,78.42,44,93.67
CELL_23249,Myocyte,60.32,7,68.71
CELL_64278,Erythrocyte,34.82,21,61.32
CELL_94024,Neuron,54.96,21,83.44
CELL_39687,Epithelial,78.36,14,56.21
CELL_44190,Neuron,24.53,39,76.88
CELL_14170,Neuron,52.97,37,98.13
CELL_56043,Stem Cell,62.98,28,65.55
CELL_91198,Erythrocyte,83.41,40,99.73
CELL_83668,Erythrocyte,73.46,47,93.97
CELL_55838,Fibroblast,43.98,8,81.03
CELL_60181,Leukocyte,96.32,10,57.45
CELL_80503,Neuron,54.8,37,78.71
CELL_52197,Myocyte,111.45,38,93.94
CELL_44801,Erythrocyte,58.49,41,82.45
CELL_17203,Neuron,64.6,33,80.1
CELL_28322,Leukocyte,51.46,21,75.57
CELL_85287,Stem Cell,92.81,28,92.11
CELL_85916,Erythrocyte,84.03,48,85.9
CELL_61367,Myocyte,8.19,23,79.66
CELL_30960,Neuron,76.12,22,98.59
CELL_15391,Leukocyte,31.41,24,57.48
CELL_30428,Leukocyte,100.3,15,96.0
CELL_52274,Erythrocyte,38.98,14,81.08
CELL_43305,Erythrocyte,42.82,29,78.75
CELL_61465,Stem Cell,52.42,15,80.74
CELL_36820,Myocyte,50.24,50,94.99
CELL_40673,Erythrocyte,88.12,35,81.59
CELL_56714,Neuron,117.43,7,80.26
CELL_60768,Myocyte,114.04,35,72.61
CELL_86135,Fibroblast,97.87,26,92.13
CELL_25046,Leukocyte,115.87,29,56.46
CELL_35757,Myocyte,119.47,28,50.5
CELL_15580,Erythrocyte,84.58,44,67.3
CELL_69986,Erythrocyte,63.01,6,74.62
CELL_83395,Leukocyte,83.46,12,91.41
CELL_65242,Myocyte,33.97,19,94.51
CELL_83795,Erythrocyte,65.16,32,57.76
CELL_59156,Fibroblast,76.67,42,57.67
CELL_68380,Leukocyte,50.16,7,78.97
CELL_79285,Myocyte,53.69,39,58.29
CELL_72421,Neuron,53.99,38,88.96
