cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_15301,Stem Cell,29.16,14,82.41
CELL_64976,Stem Cell,42.53,36,77.63
CELL_64619,Myocyte,49.57,20,62.22
CELL_30150,Stem Cell,117.97,20,80.06
CELL_71083,Myocyte,115.23,32,86.4
CELL_74093,Neuron,43.86,39,88.04
CELL_82580,Neuron,34.73,24,99.34
CELL_90090,Neuron,93.27,30,86.68
CELL_46767,Fibroblast,23.11,42,62.5
CELL_23447,Stem Cell,51.78,46,85.79
CELL_77880,Leukocyte,98.23,34,53.7
CELL_97156,Leukocyte,64.34,31,90.15
CELL_86753,Myocyte,42.32,36,60.3
CELL_64113,Neuron,6.67,39,61.24
CELL_24880,Leukocyte,17.77,26,89.53
CELL_41832,Fibroblast,75.78,46,80.02
CELL_79726,Leukocyte,17.27,30,64.85
CELL_66990,Erythrocyte,24.51,25,88.21
CELL_12441,Epithelial,118.11,12,88.52
CELL_20505,Fibroblast,26.6,42,83.33
CELL_28976,Stem Cell,8.18,42,55.81
CELL_49337,Epithelial,57.93,37,79.01
CELL_28357,Neuron,47.08,29,71.55
CELL_59708,Fibroblast,15.59,26,71.79
CELL_52450,Myocyte,31.03,32,96.9
CELL_44600,Fibroblast,26.93,36,76.89
CELL_67249,Epithelial,86.43,32,51.02
CELL_28265,Neuron,87.98,25,97.19
CELL_74840,Fibroblast,64.88,12,65.7
CELL_93252,Myocyte,96.52,50,53.01
CELL_43399,Neuron,6.95,37,71.02
CELL_59438,Stem Cell,61.37,11,74.88
CELL_67331,Myocyte,118.83,47,65.19
CELL_63441,Leukocyte,15.29,24,90.32
CELL_91644,Erythrocyte,113.23,35,95.3
CELL_80231,Neuron,92.39,24,97.5
CELL_41115,Fibroblast,20.2,10,68.82
CELL_26669,Fibroblast,84.78,23,86.74
CELL_41117,Erythrocyte,109.39,20,66.46
CELL_51466,Leukocyte,62.79,30,77.47
CELL_47878,Myocyte,60.03,15,67.69
CELL_95627,Erythrocyte,53.54,40,65.65
CELL_94864,Neuron,61.65,50,69.53
CELL_19768,Erythrocyte,110.07,10,90.31
CELL_51398,Stem Cell,38.18,30,53.86
CELL_51292,Neuron,64.71,48,97.25
CELL_34732,Myocyte,106.77,33,67.81
CELL_65506,Fibroblast,33.51,48,52.37
CELL_81107,Erythrocyte,17.34,22,63.81
