cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_45944,Leukocyte,63.35,40,53.27
CELL_58198,Epithelial,19.68,32,94.78
CELL_86934,Erythrocyte,80.96,38,73.08
CELL_32831,Myocyte,79.58,9,74.8
CELL_35506,Neuron,70.58,9,56.68
CELL_18726,Myocyte,22.0,32,79.78
CELL_22262,Fibroblast,62.73,24,84.06
CELL_55111,Fibroblast,65.19,31,57.84
CELL_70238,Stem Cell,5.48,28,85.57
CELL_38061,Stem Cell,112.7,45,71.47
CELL_80298,Neuron,33.42,12,87.11
CELL_22548,Fibroblast,47.68,16,88.01
CELL_88103,Myocyte,30.84,24,57.76
CELL_57040,Epithelial,72.57,19,95.76
CELL_89434,Stem Cell,14.99,11,86.34
CELL_80463,Neuron,115.25,31,70.18
CELL_77514,Fibroblast,89.76,37,99.02
CELL_39665,Leukocyte,30.51,45,75.11
CELL_52808,Erythrocyte,93.28,23,95.51
CELL_28177,Epithelial,92.89,41,85.64
CELL_74430,Stem Cell,97.69,17,54.79
CELL_46809,Stem Cell,100.3,9,71.74
CELL_26807,Stem Cell,115.39,28,66.05
CELL_10186,Erythrocyte,115.99,7,59.03
CELL_33325,Leukocyte,37.19,16,50.39
CELL_24003,Erythrocyte,45.3,32,75.42
CELL_40091,Leukocyte,29.65,33,88.37
CELL_91280,Fibroblast,26.16,31,99.3
CELL_53812,Epithelial,93.69,5,55.84
CELL_55964,Fibroblast,36.99,27,61.95
CELL_63704,Epithelial,98.63,12,88.52
CELL_67558,Neuron,6.42,41,81.78
CELL_68266,Stem Cell,103.34,42,79.87
CELL_85097,Stem Cell,5.97,8,72.76
CELL_77218,Myocyte,54.3,47,62.2
CELL_36320,Epithelial,31.85,12,71.87
CELL_85944,Epithelial,50.4,5,69.78
CELL_75877,Neuron,74.59,15,58.39
CELL_63200,Erythrocyte,53.03,46,65.05
CELL_81628,Leukocyte,36.6,30,67.89
CELL_87690,Neuron,57.7,19,67.25
CELL_55480,Stem Cell,94.57,28,74.07
CELL_53923,Neuron,119.99,35,52.44
CELL_27363,Myocyte,88.97,27,97.18
CELL_87397,Neuron,9.57,45,50.32
CELL_70310,Stem Cell,30.31,50,93.21
CELL_56628,Fibroblast,34.7,31,59.61
