cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_53388,Erythrocyte,64.37,13,77.27
CELL_60668,Myocyte,10.38,50,88.15
CELL_34105,Neuron,65.53,22,70.73
CELL_16882,Myocyte,29.74,10,78.28
CELL_72980,Myocyte,108.89,7,76.95
CELL_86909,Fibroblast,58.0,14,57.02
CELL_29337,Epithelial,100.18,5,93.58
CELL_12494,Epithelial,116.57,37,97.58
CELL_70799,Leukocyte,20.61,7,85.6
CELL_39893,Leukocyte,42.61,46,92.42
CELL_76832,Myocyte,12.89,10,55.92
CELL_63809,Fibroblast,48.83,43,97.55
CELL_53979,Neuron,24.18,26,86.33
CELL_36510,Myocyte,92.58,40,86.11
CELL_90730,Stem Cell,28.85,37,66.13
CELL_23129,Myocyte,80.17,20,95.3
CELL_42341,Neuron,60.09,40,56.85
CELL_99696,Stem Cell,68.6,19,72.11
CELL_64765,Stem Cell,50.98,35,82.81
CELL_74366,Erythrocyte,112.93,36,56.16
CELL_73271,Stem Cell,32.94,22,65.41
CELL_94908,Epithelial,118.54,34,65.58
CELL_30018,Epithelial,51.01,48,97.29
CELL_74026,Leukocyte,24.09,30,83.43
CELL_76611,Fibroblast,16.12,41,51.26
CELL_56299,Neuron,89.92,44,70.08
CELL_80774,Neuron,98.41,33,53.39
CELL_51562,Erythrocyte,81.67,50,95.88
CELL_96477,Leukocyte,82.72,21,88.83
CELL_92551,Epithelial,9.74,27,85.91
CELL_90989,Erythrocyte,24.64,15,93.1
CELL_87726,Myocyte,106.67,50,83.39
CELL_42900,Stem Cell,89.99,7,99.84
CELL_50316,Epithelial,110.87,33,51.32
CELL_39335,Fibroblast,21.38,49,58.9
CELL_12785,Fibroblast,12.91,38,72.02
CELL_24559,Neuron,12.41,9,98.01
CELL_58716,Stem Cell,100.05,48,50.94
CELL_36877,Fibroblast,82.17,17,96.04
CELL_19865,Myocyte,30.37,9,77.84
CELL_14141,Leukocyte,8.84,22,89.22
CELL_76685,Erythrocyte,28.63,18,63.06
CELL_91264,Neuron,44.51,42,67.41
CELL_71598,Leukocyte,13.24,15,72.38
CELL_75768,Fibroblast,101.02,43,59.94
CELL_97577,Leukocyte,30.09,29,60.24
CELL_33820,Stem Cell,76.03,18,74.33
CELL_55657,Neuron,40.92,30,67.78
CELL_50400,Fibroblast,68.33,5,92.92
CELL_55516,Stem Cell,16.18,38,53.9
CELL_59229,Neuron,46.6,8,56.65
CELL_48071,Epithelial,59.94,42,57.37
CELL_71487,Epithelial,113.13,29,79.68
CELL_24481,Fibroblast,105.54,36,91.44
