cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_15830,Fibroblast,13.09,47,72.5
CELL_58587,Fibroblast,30.59,50,99.11
CELL_79449,Neuron,14.64,45,62.54
CELL_36609,Leukocyte,108.78,34,90.75
CELL_79440,Stem Cell,78.91,15,81.27
CELL_27415,Myocyte,55.62,5,89.03
CELL_52922,Erythrocyte,51.87,9,84.97
CELL_21097,Leukocyte,82.69,14,68.0
CELL_68892,Neuron,60.07,42,64.98
CELL_49963,Leukocyte,76.78,29,64.43
CELL_58216,Stem Cell,20.58,25,83.9
CELL_48522,Stem Cell,82.42,14,83.81
CELL_22714,Erythrocyte,24.5,33,83.14
CELL_64716,Epithelial,65.58,14,74.69
CELL_32786,Epithelial,95.89,46,95.87
CELL_77095,Erythrocyte,111.15,29,73.23
CELL_97744,Fibroblast,5.84,44,72.76
CELL_79734,Erythrocyte,27.04,8,72.47
CELL_34533,Fibroblast,52.39,42,81.8
CELL_15358,Leukocyte,94.39,28,75.05
CELL_56887,Leukocyte,7.83,11,63.71
CELL_30401,Epithelial,16.16,30,89.83
CELL_42469,Leukocyte,59.42,27,90.57
CELL_34000,Stem Cell,111.38,40,54.48
CELL_71647,Myocyte,54.97,18,86.72
CELL_79529,Neuron,67.04,10,68.84
CELL_61093,Fibroblast,114.7,25,85.78
CELL_77751,Stem Cell,55.4,13,73.07
CELL_97904,Epithelial,72.14,41,82.7
CELL_32854,Epithelial,15.16,35,53.09
CELL_34666,Stem Cell,17.94,22,85.2
CELL_35637,Stem Cell,14.35,48,66.4
CELL_37917,Fibroblast,101.93,27,65.62
CELL_47715,Neuron,44.3,18,90.81
CELL_47552,Neuron,73.57,29,91.21
CELL_30068,Leukocyte,66.01,5,52.15
CELL_95916,Fibroblast,79.43,37,99.64
CELL_87749,Leukocyte,75.51,14,73.5
CELL_57997,Erythrocyte,64.93,37,59.27
CELL_68105,Fibroblast,68.21,46,77.47
CELL_99282,Neuron,103.26,20,94.08
CELL_23158,Epithelial,33.74,39,97.29
CELL_34696,Leukocyte,52.9,13,97.05
CELL_98979,Epithelial,117.33,22,96.08
CELL_83293,Leukocyte,51.23,49,80.34
CELL_33763,Leukocyte,42.75,28,86.54
CELL_61556,Neuron,87.51,18,77.39
CELL_18817,Neuron,112.74,50,80.38
CELL_13466,Myocyte,80.76,33,60.53
CELL_80306,Leukocyte,24.41,27,53.94
CELL_56306,Fibroblast,87.23,31,66.25
CELL_42889,Myocyte,81.4,29,89.89
CELL_22959,Fibroblast,54.54,44,56.35
CELL_32747,Epithelial,32.45,6,91.63
CELL_76443,Fibroblast,106.78,15,81.2
CELL_45700,Erythrocyte,39.71,36,62.5
CELL_22209,Erythrocyte,42.47,33,82.55
CELL_72441,Erythrocyte,49.45,7,64.81
CELL_17850,Epithelial,84.72,33,60.46
CELL_13459,Epithelial,22.76,46,63.09
CELL_14896,Leukocyte,72.52,44,53.31
CELL_82207,Fibroblast,44.9,15,55.68
