cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_81512,Stem Cell,84.64,30,62.07
CELL_70388,Fibroblast,5.61,15,68.98
CELL_75586,Erythrocyte,70.95,39,93.59
CELL_40065,Fibroblast,26.53,22,89.91
CELL_62024,Fibroblast,14.98,5,56.72
CELL_83044,Neuron,53.6,21,85.26
CELL_15207,Fibroblast,68.03,8,97.07
CELL_44059,Neuron,94.13,9,91.65
CELL_37455,Leukocyte,33.19,29,62.26
CELL_69894,Leukocyte,102.44,10,53.16
CELL_92070,Fibroblast,116.97,43,95.55
CELL_58228,Epithelial,47.83,44,82.4
CELL_33549,Stem Cell,44.22,26,78.25
CELL_75648,Erythrocyte,111.3,44,70.23
CELL_32446,Myocyte,13.89,36,82.37
CELL_85974,Epithelial,98.41,23,69.81
CELL_51428,Neuron,11.15,6,77.94
CELL_15428,Epithelial,73.67,7,81.19
CELL_26854,Stem Cell,34.51,48,85.21
CELL_50311,Neuron,64.22,16,68.19
CELL_65320,Myocyte,91.66,43,71.51
CELL_50202,Epithelial,30.59,7,92.68
CELL_52944,Fibroblast,105.89,16,85.77
CELL_10901,Leukocyte,65.18,6,55.85
CELL_94711,Leukocyte,62.78,20,85.88
CELL_23334,Neuron,17.06,41,90.58
CELL_83705,Fibroblast,70.42,8,60.92
CELL_14559,Stem Cell,67.19,40,87.11
CELL_68966,Erythrocyte,42.86,49,82.28
CELL_92345,Fibroblast,104.73,37,50.16
CELL_10881,Myocyte,60.39,36,95.4
CELL_53996,Epithelial,66.87,50,85.14
CELL_64190,Myocyte,90.53,34,71.14
CELL_79141,Stem Cell,72.17,11,68.76
CELL_40956,Fibroblast,87.87,37,74.36
CELL_32158,Myocyte,10.45,11,58.1
CELL_71126,Stem Cell,75.96,14,90.72
CELL_36302,Epithelial,116.75,19,78.96
CELL_32010,Leukocyte,58.59,8,60.94
CELL_35520,Stem Cell,14.36,13,92.69
CELL_70965,Myocyte,62.11,26,83.2
CELL_64322,Epithelial,106.45,25,82.3
CELL_51096,Leukocyte,89.61,15,54.38
CELL_10932,Fibroblast,93.34,32,78.51
CELL_19969,Stem Cell,37.5,19,59.26
CELL_71320,Epithelial,108.67,30,51.89
CELL_95397,Fibroblast,19.2,36,95.69
CELL_21268,Neuron,52.02,50,72.35
CELL_65377,Leukocyte,12.0,40,65.49
CELL_53919,Stem Cell,42.75,23,60.17
CELL_82183,Stem Cell,67.03,39,96.28
CELL_50224,Stem Cell,72.41,42,97.94
CELL_34876,Fibroblast,11.87,8,73.25
CELL_14822,Myocyte,98.8,22,56.03
CELL_96177,Epithelial,5.86,8,57.21
CELL_66086,Neuron,23.5,9,89.07
CELL_22132,Myocyte,88.66,13,66.7
CELL_99636,Stem Cell,116.34,20,99.24
CELL_15208,Erythrocyte,48.26,31,89.99
CELL_96640,Neuron,115.6,46,50.9
CELL_93156,Leukocyte,119.89,13,86.4
CELL_59023,Epithelial,68.95,20,58.56
CELL_78502,Erythrocyte,119.12,30,66.65
CELL_56204,Fibroblast,62.14,12,84.37
CELL_28032,Fibroblast,30.28,27,62.01
CELL_36634,Stem Cell,83.42,8,74.98
CELL_92419,Neuron,108.76,34,57.58
CELL_95988,Leukocyte,34.36,33,76.6
