cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_73352,Myocyte,113.09,37,99.91
CELL_22084,Leukocyte,78.15,38,85.69
CELL_98779,Stem Cell,32.53,17,92.87
CELL_17528,Fibroblast,117.64,23,99.98
CELL_11333,Stem Cell,13.47,27,75.79
CELL_95005,Fibroblast,102.81,5,71.67
CELL_79320,Leukocyte,9.79,7,64.21
CELL_50325,Fibroblast,33.21,19,97.25
CELL_45813,Erythrocyte,42.55,6,63.18
CELL_94033,Stem Cell,13.59,6,90.53
CELL_46687,Erythrocyte,17.38,49,60.87
CELL_84739,Epithelial,72.37,12,68.18
CELL_66170,Fibroblast,44.73,31,50.6
CELL_67446,Neuron,22.63,41,77.23
CELL_40552,Stem Cell,16.46,9,67.73
CELL_36438,Myocyte,77.53,9,87.3
CELL_20334,Fibroblast,101.71,20,75.44
CELL_86963,Myocyte,51.62,21,80.38
CELL_91260,Leukocyte,26.91,34,62.55
CELL_38233,Epithelial,31.72,28,71.78
CELL_35114,Erythrocyte,78.07,34,99.36
CELL_96200,Stem Cell,19.64,48,58.92
CELL_89762,Epithelial,7.37,35,95.16
CELL_78683,Fibroblast,96.95,11,55.4
CELL_19659,Leukocyte,96.07,18,61.59
CELL_32592,Leukocyte,5.82,20,51.75
CELL_70957,Erythrocyte,95.54,38,50.12
CELL_16589,Stem Cell,106.11,46,91.43
CELL_31632,Neuron,103.55,36,89.09
CELL_18104,Myocyte,70.49,21,93.36
CELL_89300,Stem Cell,28.27,46,87.1
CELL_97177,Erythrocyte,10.6,17,67.39
CELL_72729,Neuron,39.61,19,60.73
CELL_67817,Fibroblast,44.07,22,79.95
CELL_90061,Fibroblast,30.64,6,60.31
CELL_75299,Myocyte,55.7,45,95.26
CELL_25969,Leukocyte,68.56,41,94.15
CELL_69838,Erythrocyte,38.21,8,99.52
CELL_85190,Erythrocyte,90.22,17,97.67
CELL_16557,Myocyte,83.92,39,72.08
CELL_64440,Leukocyte,49.5,37,52.89
CELL_87587,Leukocyte,34.71,43,58.24
CELL_29801,Neuron,107.57,8,98.98
CELL_96212,Neuron,108.01,22,76.67
CELL_47500,Erythrocyte,5.81,26,53.83
CELL_96437,Myocyte,24.55,25,68.64
CELL_27017,Epithelial,19.4,19,57.0
CELL_29844,Stem Cell,13.61,32,91.13
CELL_26248,Fibroblast,59.9,42,67.16
CELL_94154,Fibroblast,99.35,32,52.99
CELL_53451,Epithelial,56.47,26,86.39
CELL_91598,Fibroblast,58.21,36,59.73
CELL_87853,Stem Cell,42.17,36,87.28
CELL_34088,Stem Cell,100.11,47,64.05
CELL_56628,Neuron,9.63,28,50.47
CELL_34272,Fibroblast,13.05,35,78.71
CELL_70174,Neuron,52.39,12,71.71
CELL_94331,Neuron,14.57,47,96.05
CELL_11310,Neuron,88.17,17,57.66
CELL_88650,Stem Cell,87.79,19,96.41
CELL_94034,Myocyte,71.56,47,64.91
CELL_42724,Epithelial,95.44,9,91.34
CELL_32650,Leukocyte,103.09,40,56.79
CELL_81835,Erythrocyte,32.97,22,78.26
CELL_83673,Neuron,73.9,23,96.63
CELL_84402,Myocyte,55.2,17,88.86
CELL_19323,Myocyte,34.92,32,68.75
CELL_85152,Leukocyte,84.03,25,69.97
CELL_38881,Neuron,54.6,18,87.15
CELL_79301,Leukocyte,64.59,24,50.2
CELL_31546,Stem Cell,9.58,16,88.87
CELL_60115,Erythrocyte,61.23,24,87.06
CELL_23046,Erythrocyte,108.28,12,86.67
CELL_72809,Myocyte,19.87,47,57.94
CELL_11358,Neuron,84.14,24,88.68
CELL_76668,Myocyte,103.75,31,61.5
CELL_68458,Fibroblast,72.46,36,77.08
CELL_28482,Epithelial,65.15,43,70.32
CELL_60573,Neuron,89.23,18,86.44
CELL_76779,Epithelial,51.69,43,82.46
CELL_18245,Fibroblast,91.36,39,77.1
CELL_90589,Stem Cell,84.66,31,70.84
CELL_94097,Neuron,117.75,19,53.91
CELL_74486,Fibroblast,75.39,41,57.25
