cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_19769,Epithelial,99.9,8,95.69
CELL_18231,Leukocyte,6.43,26,83.34
CELL_58849,Fibroblast,86.44,6,98.03
CELL_63824,Leukocyte,27.23,44,68.98
CELL_22388,Myocyte,39.54,42,82.93
CELL_23272,Stem Cell,67.46,10,91.81
CELL_80708,Neuron,20.62,10,69.63
CELL_77266,Neuron,92.57,31,68.49
CELL_38585,Myocyte,58.86,43,68.82
CELL_43851,Erythrocyte,16.57,28,58.09
CELL_88644,Fibroblast,50.13,28,78.23
CELL_18362,Myocyte,80.6,31,74.66
CELL_85693,Myocyte,7.25,30,73.72
CELL_66625,Erythrocyte,55.02,35,72.41
CELL_86632,Neuron,99.1,5,77.32
CELL_27721,Neuron,66.6,31,65.21
CELL_67499,Myocyte,86.82,13,94.74
CELL_98136,Epithelial,90.66,35,66.65
CELL_20745,Epithelial,106.8,26,53.83
CELL_11487,Erythrocyte,24.45,50,72.27
CELL_41847,Epithelial,38.45,26,55.5
CELL_64453,Neuron,94.22,28,60.83
CELL_44504,Fibroblast,19.78,40,75.59
CELL_77331,Leukocyte,45.11,9,74.86
CELL_45582,Fibroblast,69.11,32,74.02
CELL_11037,Leukocyte,115.53,50,85.83
CELL_45589,Epithelial,99.89,27,98.59
CELL_65374,Myocyte,110.09,18,75.02
CELL_21633,Leukocyte,45.88,42,97.67
CELL_85601,Neuron,95.22,45,99.41
CELL_85206,Stem Cell,16.98,31,90.4
CELL_42766,Leukocyte,62.93,45,91.01
CELL_38680,Stem Cell,27.87,22,86.27
CELL_38735,Erythrocyte,88.25,47,64.88
CELL_86247,Erythrocyte,112.85,11,89.91
CELL_70687,Fibroblast,101.79,17,59.18
CELL_26071,Neuron,40.06,20,78.39
CELL_42433,Erythrocyte,80.51,50,64.26
CELL_51506,Fibroblast,82.68,35,54.56
CELL_91798,Myocyte,113.45,38,75.6
CELL_10534,Myocyte,61.94,28,98.3
CELL_53140,Myocyte,27.15,12,89.45
CELL_26983,Erythrocyte,94.44,41,98.99
CELL_45394,Neuron,24.95,9,88.57
CELL_19315,Neuron,82.21,29,93.65
