cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_93061,Neuron,30.0,10,78.07
CELL_81140,Erythrocyte,67.71,49,69.72
CELL_52966,Erythrocyte,27.45,48,71.75
CELL_63633,Stem Cell,117.78,17,55.45
CELL_59628,Erythrocyte,87.45,33,94.22
CELL_41981,Neuron,113.14,5,77.05
CELL_56677,Erythrocyte,90.69,16,92.3
CELL_44127,Epithelial,64.61,42,71.22
CELL_83822,Stem Cell,117.92,34,67.29
CELL_39494,Fibroblast,36.34,24,77.47
CELL_34355,Epithelial,113.8,7,77.7
CELL_55629,Fibroblast,15.77,15,89.66
CELL_14494,Fibroblast,67.96,22,66.16
CELL_38282,Leukocyte,37.16,12,88.77
CELL_79099,Leukocyte,5.1,9,81.58
CELL_54543,Myocyte,38.46,37,72.02
CELL_69581,Myocyte,108.72,13,85.31
CELL_61450,Stem Cell,119.06,39,67.02
CELL_40171,Stem Cell,119.63,8,70.51
CELL_92248,Stem Cell,98.17,35,60.31
CELL_57630,Leukocyte,7.91,45,62.32
CELL_83053,Epithelial,27.47,34,68.17
CELL_71278,Epithelial,103.47,15,81.1
CELL_79611,Myocyte,85.36,19,72.87
CELL_44210,Epithelial,45.93,46,80.8
CELL_55345,Stem Cell,54.62,39,77.89
CELL_65137,Fibroblast,110.71,20,60.1
CELL_10528,Leukocyte,66.88,42,73.56
CELL_36298,Epithelial,86.33,46,95.63
CELL_64380,Leukocyte,47.82,22,54.67
CELL_48801,Myocyte,97.49,48,63.06
CELL_39605,Stem Cell,100.22,22,68.55
CELL_55268,Epithelial,39.83,13,58.48
CELL_85353,Leukocyte,51.3,32,58.27
CELL_98567,Fibroblast,92.47,14,68.05
CELL_27289,Leukocyte,23.01,40,54.03
CELL_32572,Stem Cell,71.78,37,80.47
CELL_77989,Stem Cell,45.43,23,95.37
CELL_68107,Epithelial,97.11,46,85.38
CELL_68465,Erythrocyte,115.34,27,65.42
CELL_11563,Neuron,92.38,38,66.97
CELL_41858,Epithelial,30.88,10,99.19
CELL_40516,Epithelial,87.38,18,88.16
CELL_46853,Stem Cell,58.29,7,87.09
CELL_49939,Myocyte,85.43,43,60.6
CELL_63799,Neuron,119.42,20,92.13
CELL_64973,Myocyte,68.17,45,93.66
CELL_68229,Fibroblast,68.25,47,94.95
CELL_76609,Leukocyte,51.99,41,82.9
CELL_35788,Myocyte,96.9,18,82.24
CELL_41739,Erythrocyte,74.06,20,86.28
CELL_70770,Leukocyte,96.19,50,72.71
CELL_19000,Erythrocyte,83.29,48,86.02
CELL_17760,Stem Cell,100.83,27,60.65
CELL_46609,Leukocyte,96.78,28,62.0
CELL_80143,Fibroblast,15.07,29,69.22
CELL_15960,Epithelial,45.97,11,67.21
CELL_11539,Fibroblast,41.19,32,64.19
CELL_54775,Neuron,66.59,30,93.64
CELL_41402,Stem Cell,93.24,40,51.37
CELL_95080,Epithelial,7.19,11,87.51
CELL_82152,Neuron,68.63,35,71.13
CELL_24048,Myocyte,85.56,42,55.18
CELL_55140,Myocyte,33.38,33,57.95
CELL_37889,Fibroblast,92.46,23,60.39
CELL_76996,Fibroblast,13.43,46,92.75
CELL_33842,Leukocyte,51.41,31,95.96
CELL_78888,Erythrocyte,50.43,25,95.52
CELL_54689,Erythrocyte,67.67,38,75.22
CELL_53533,Epithelial,25.77,19,83.33
CELL_19374,Stem Cell,65.59,37,51.52
CELL_54861,Leukocyte,55.25,15,52.24
CELL_83731,Neuron,51.37,7,72.69
CELL_92023,Stem Cell,32.21,30,98.27
CELL_12793,Erythrocyte,97.81,49,82.21
CELL_71743,Epithelial,94.23,30,90.31
CELL_55524,Epithelial,25.56,15,90.95
CELL_43675,Erythrocyte,13.65,31,92.66
CELL_42064,Leukocyte,74.67,46,62.77
CELL_36917,Leukocyte,58.88,50,51.23
CELL_94115,Fibroblast,37.27,19,88.51
CELL_43385,Fibroblast,111.9,22,68.16
CELL_76365,Neuron,37.02,39,53.28
CELL_45178,Leukocyte,52.47,10,65.61
CELL_25957,Fibroblast,24.08,40,99.82
CELL_47322,Erythrocyte,22.01,9,63.81
CELL_66859,Neuron,15.77,36,97.35
CELL_98628,Fibroblast,104.95,34,92.95
CELL_59604,Leukocyte,85.98,42,72.08
CELL_41892,Fibroblast,81.84,13,76.13
