cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_55723,Myocyte,41.79,31,99.98
CELL_98777,Erythrocyte,37.06,29,66.98
CELL_71418,Neuron,45.54,22,82.22
CELL_98114,Leukocyte,14.71,31,70.41
CELL_31331,Leukocyte,22.52,36,73.16
CELL_37849,Myocyte,64.12,31,84.99
CELL_56453,Erythrocyte,38.03,12,50.24
CELL_48953,Myocyte,71.06,23,53.44
CELL_66885,Neuron,65.44,23,60.04
CELL_69405,Stem Cell,62.86,44,92.6
CELL_43943,Stem Cell,108.82,10,95.77
CELL_40578,Stem Cell,54.37,26,81.25
CELL_11567,Leukocyte,109.27,50,87.5
CELL_74345,Epithelial,77.57,20,77.72
CELL_78643,Stem Cell,89.89,10,96.22
CELL_27128,Neuron,105.28,12,51.99
CELL_73223,Neuron,115.98,44,95.82
CELL_30401,Fibroblast,44.31,43,96.84
CELL_54143,Erythrocyte,108.4,37,85.7
CELL_21128,Fibroblast,61.47,15,99.41
CELL_88287,Fibroblast,30.73,46,94.93
CELL_45022,Myocyte,38.84,6,66.36
CELL_44867,Stem Cell,44.6,22,59.39
CELL_96099,Erythrocyte,82.68,6,58.6
CELL_93868,Neuron,18.12,14,71.7
CELL_76862,Erythrocyte,103.96,34,60.89
CELL_81529,Leukocyte,38.95,15,74.69
CELL_66403,Leukocyte,25.97,23,60.19
CELL_41487,Stem Cell,72.53,22,63.0
CELL_53186,Erythrocyte,59.72,26,59.19
CELL_82970,Myocyte,35.32,28,89.05
CELL_41855,Leukocyte,10.05,30,58.96
CELL_48937,Myocyte,68.58,50,68.89
CELL_37011,Myocyte,46.44,30,58.34
CELL_87939,Erythrocyte,79.04,34,64.46
CELL_68983,Erythrocyte,117.85,5,84.22
CELL_38011,Neuron,44.71,17,90.67
CELL_40589,Myocyte,62.13,9,61.88
CELL_91079,Erythrocyte,96.66,30,71.37
CELL_75931,Neuron,111.93,37,57.42
CELL_73113,Epithelial,67.28,29,51.7
CELL_98307,Erythrocyte,99.86,45,96.54
CELL_12375,Neuron,28.31,19,77.53
CELL_13527,Epithelial,21.18,22,70.8
CELL_19426,Myocyte,11.86,15,51.33
CELL_99151,Leukocyte,95.31,38,70.41
CELL_15785,Epithelial,71.85,28,87.57
CELL_52296,Neuron,5.29,13,87.85
CELL_29228,Leukocyte,37.69,33,99.01
CELL_93099,Neuron,75.3,44,59.67
CELL_42291,Fibroblast,34.17,34,92.15
CELL_71288,Epithelial,113.11,19,56.06
CELL_57007,Erythrocyte,38.16,16,92.87
CELL_53102,Erythrocyte,97.17,24,66.87
CELL_94882,Epithelial,39.86,24,99.97
CELL_72972,Stem Cell,33.2,42,54.73
CELL_85810,Myocyte,5.09,19,67.68
CELL_89064,Neuron,106.1,38,58.24
CELL_55076,Fibroblast,86.23,46,75.48
CELL_47756,Myocyte,98.76,43,93.51
CELL_67304,Leukocyte,5.34,25,82.41
CELL_23839,Erythrocyte,23.35,32,67.92
CELL_27052,Leukocyte,74.11,42,56.55
