cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_83384,Leukocyte,21.73,24,52.63
CELL_85716,Stem Cell,27.1,22,82.16
CELL_97589,Stem Cell,56.49,46,62.97
CELL_24068,Neuron,114.19,41,65.37
CELL_34785,Fibroblast,6.81,15,57.2
CELL_63437,Epithelial,105.74,22,99.63
CELL_39966,Erythrocyte,92.55,32,92.44
CELL_60918,Epithelial,38.75,37,71.81
CELL_64426,Leukocyte,102.92,20,79.37
CELL_81457,Epithelial,9.25,33,86.81
CELL_54198,Leukocyte,42.91,19,98.95
CELL_80504,Neuron,74.67,29,79.24
CELL_82791,Fibroblast,110.61,11,82.66
CELL_76164,Erythrocyte,27.92,18,96.27
CELL_19013,Leukocyte,117.06,33,88.2
CELL_50206,Erythrocyte,109.16,20,69.95
CELL_54872,Erythrocyte,31.25,24,62.84
CELL_78128,Erythrocyte,96.06,17,70.13
CELL_21252,Epithelial,92.56,27,78.31
CELL_68070,Erythrocyte,63.87,22,92.39
CELL_14873,Erythrocyte,41.31,5,63.05
CELL_47484,Neuron,55.6,26,91.0
CELL_53117,Fibroblast,70.25,33,80.78
CELL_24654,Neuron,47.96,31,58.41
CELL_43256,Myocyte,6.57,40,75.74
CELL_85929,Leukocyte,60.3,23,92.71
CELL_77745,Myocyte,57.54,35,93.18
CELL_60394,Stem Cell,118.75,31,85.39
CELL_41971,Myocyte,117.99,47,73.42
CELL_88301,Epithelial,96.95,42,54.65
CELL_96444,Erythrocyte,72.89,30,83.47
CELL_11756,Epithelial,7.39,31,52.24
CELL_22801,Leukocyte,67.06,40,55.95
CELL_25749,Leukocyte,72.51,43,96.82
CELL_27805,Leukocyte,103.45,14,72.97
CELL_52396,Stem Cell,66.79,42,97.93
CELL_17104,Leukocyte,11.16,29,90.84
CELL_32879,Erythrocyte,13.58,23,61.62
CELL_66936,Fibroblast,25.99,25,88.84
CELL_98185,Stem Cell,43.7,25,75.49
CELL_59382,Stem Cell,72.21,50,70.82
CELL_38061,Myocyte,18.88,39,67.44
CELL_43532,Erythrocyte,33.64,44,87.84
CELL_76389,Erythrocyte,10.51,13,76.35
CELL_50941,Myocyte,14.92,24,54.12
CELL_79763,Erythrocyte,22.37,12,99.64
CELL_85971,Fibroblast,17.58,19,96.8
CELL_42795,Epithelial,28.22,30,98.84
CELL_59921,Leukocyte,68.18,30,86.19
CELL_86345,Leukocyte,37.2,48,66.88
CELL_14949,Epithelial,75.96,21,54.18
CELL_10854,Erythrocyte,60.94,41,82.49
CELL_33236,Epithelial,119.46,29,68.1
CELL_25938,Neuron,77.26,33,59.98
CELL_54445,Neuron,101.57,29,91.3
CELL_38121,Epithelial,36.37,43,98.92
CELL_87754,Fibroblast,33.43,34,55.14
CELL_70527,Fibroblast,46.39,8,85.28
CELL_54336,Myocyte,45.15,22,51.48
CELL_84257,Leukocyte,90.89,24,71.9
CELL_59866,Neuron,15.25,8,63.76
CELL_12059,Erythrocyte,69.92,49,80.4
CELL_49873,Myocyte,53.57,36,99.08
CELL_22583,Erythrocyte,17.33,20,98.29
CELL_90875,Leukocyte,66.34,21,73.46
CELL_60907,Erythrocyte,100.27,18,68.01
CELL_35361,Fibroblast,61.62,29,82.6
CELL_90675,Epithelial,99.77,25,60.13
CELL_17028,Erythrocyte,119.14,38,81.71
CELL_90867,Myocyte,110.77,28,65.24
CELL_74988,Erythrocyte,104.22,20,82.89
CELL_87728,Neuron,22.1,39,63.14
CELL_14206,Leukocyte,22.61,27,56.22
CELL_10223,Leukocyte,19.41,19,86.99
CELL_50198,Erythrocyte,60.43,50,71.02
CELL_93803,Erythrocyte,23.12,42,94.78
CELL_79602,Stem Cell,40.95,19,56.51
CELL_89132,Stem Cell,93.73,32,99.61
CELL_35550,Stem Cell,96.18,49,57.36
CELL_56987,Erythrocyte,13.65,9,91.76
CELL_73567,Epithelial,52.72,16,67.03
CELL_30556,Leukocyte,68.47,17,80.9
CELL_19398,Stem Cell,80.11,35,65.25
CELL_18085,Epithelial,10.41,49,89.3
CELL_45512,Epithelial,48.75,10,52.97
CELL_68072,Neuron,60.12,12,83.75
CELL_33450,Fibroblast,83.5,13,54.05
CELL_19613,Myocyte,111.1,44,90.01
CELL_12457,Erythrocyte,39.52,7,88.53
CELL_76615,Epithelial,78.66,37,99.06
CELL_95976,Myocyte,39.03,13,94.34
CELL_47165,Fibroblast,89.12,48,66.25
CELL_20744,Myocyte,91.18,39,92.49
CELL_38699,Epithelial,54.66,36,76.41
CELL_97829,Leukocyte,81.96,35,72.16
CELL_17866,Fibroblast,81.43,28,66.76
CELL_16558,Fibroblast,14.76,31,65.06
CELL_54996,Fibroblast,61.18,25,72.78
CELL_53404,Erythrocyte,90.77,25,57.49
CELL_52599,Neuron,64.0,34,63.39
CELL_48907,Myocyte,23.36,34,78.82
CELL_91206,Neuron,37.68,42,51.14
CELL_92234,Erythrocyte,67.7,48,79.44
CELL_89658,Myocyte,33.62,8,58.24
CELL_21711,Neuron,33.7,37,98.67
CELL_48327,Neuron,11.27,37,99.43
CELL_80852,Leukocyte,44.15,37,71.9
CELL_22353,Epithelial,118.1,8,68.33
CELL_27611,Fibroblast,110.85,9,67.44
CELL_24912,Leukocyte,17.23,43,71.57
CELL_98157,Epithelial,39.06,22,93.04
CELL_39574,Fibroblast,61.36,48,56.31
CELL_67622,Epithelial,30.69,30,53.49
CELL_35636,Erythrocyte,26.74,49,59.98
CELL_15548,Myocyte,26.43,29,56.61
CELL_82785,Stem Cell,86.17,24,98.12
CELL_55891,Fibroblast,7.05,34,89.68
CELL_98907,Leukocyte,82.07,26,52.96
CELL_16640,Erythrocyte,42.28,27,58.98
CELL_60443,Epithelial,114.23,35,58.0
CELL_79724,Neuron,91.92,44,61.86
CELL_74152,Leukocyte,78.26,22,66.02
CELL_33986,Leukocyte,44.5,22,54.07
CELL_50732,Myocyte,77.23,34,79.98
CELL_57067,Stem Cell,32.82,40,65.22
CELL_40952,Epithelial,24.09,33,90.48
CELL_58839,Fibroblast,46.43,20,81.46
CELL_81145,Fibroblast,80.15,46,57.25
CELL_79712,Stem Cell,41.1,47,91.64
CELL_58175,Stem Cell,35.14,14,77.02
CELL_37069,Myocyte,63.32,29,57.21
CELL_47055,Myocyte,101.38,31,65.45
CELL_22112,Neuron,57.95,46,87.1
CELL_85979,Myocyte,113.81,37,98.77
CELL_49562,Myocyte,11.09,7,80.25
CELL_68854,Myocyte,8.91,28,63.02
CELL_63672,Fibroblast,85.01,30,50.96
CELL_84823,Epithelial,32.26,8,92.68
CELL_44969,Leukocyte,24.85,34,95.71
CELL_82920,Epithelial,91.35,12,91.11
CELL_79531,Epithelial,61.16,38,86.26
CELL_12480,Stem Cell,14.39,18,77.19
CELL_64217,Myocyte,100.77,39,52.7
CELL_33740,Epithelial,52.48,22,71.67
CELL_16744,Stem Cell,119.44,40,96.6
CELL_23388,Fibroblast,74.92,50,74.37
CELL_72148,Epithelial,10.55,5,54.44
CELL_58494,Leukocyte,28.04,18,65.33
CELL_77325,Neuron,85.6,37,61.76
CELL_79876,Stem Cell,26.1,10,65.98
CELL_27846,Myocyte,33.55,40,67.71
CELL_69276,Epithelial,114.64,12,66.49
CELL_66335,Neuron,76.55,21,60.76
CELL_86447,Epithelial,20.66,8,82.94
CELL_19734,Epithelial,7.97,8,66.78
CELL_46242,Myocyte,98.53,38,87.78
CELL_90812,Fibroblast,19.55,24,55.07
CELL_44703,Fibroblast,47.02,21,57.4
CELL_37890,Leukocyte,24.96,44,82.32
CELL_80326,Epithelial,87.74,21,58.91
CELL_27066,Epithelial,55.34,27,83.2
CELL_93783,Leukocyte,99.29,12,50.09
CELL_68556,Erythrocyte,32.4,18,54.4
CELL_63971,Epithelial,31.09,22,61.6
CELL_55028,Erythrocyte,73.87,10,60.85
CELL_28234,Neuron,97.88,28,62.53
CELL_52404,Epithelial,16.26,46,63.7
CELL_56227,Erythrocyte,88.69,49,82.71
CELL_93963,Leukocyte,79.18,21,94.97
CELL_96631,Fibroblast,87.08,8,54.63
CELL_35968,Myocyte,5.5,7,66.93
CELL_13765,Erythrocyte,90.83,24,89.49
CELL_82214,Neuron,108.35,44,64.41
CELL_93703,Myocyte,103.09,39,62.72
CELL_53203,Epithelial,17.16,37,64.55
CELL_68717,Neuron,25.01,19,94.94
CELL_45945,Neuron,87.78,18,89.12
CELL_91993,Epithelial,112.23,24,96.05
CELL_54183,Fibroblast,73.21,42,69.47
CELL_22810,Epithelial,64.67,40,98.63
CELL_21976,Stem Cell,20.24,14,86.39
CELL_26301,Leukocyte,17.65,50,75.3
CELL_60680,Erythrocyte,117.62,39,52.42
CELL_22636,Stem Cell,13.75,47,74.28
CELL_16652,Fibroblast,17.94,16,65.89
CELL_28521,Neuron,65.62,21,88.92
CELL_25904,Neuron,66.6,16,57.03
CELL_54509,Erythrocyte,87.42,29,69.25
CELL_25074,Neuron,81.21,6,79.2
