cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_85583,Erythrocyte,18.62,35,97.68
CELL_36859,Myocyte,110.91,20,80.56
CELL_14383,Erythrocyte,119.45,43,61.1
CELL_17580,Fibroblast,109.14,7,87.52
CELL_33691,Myocyte,93.72,32,91.84
CELL_55738,Neuron,53.48,19,84.65
CELL_38351,Epithelial,6.75,42,50.05
CELL_78770,Leukocyte,102.44,7,63.03
CELL_27450,Fibroblast,45.02,25,86.12
CELL_11741,Stem Cell,12.64,44,92.69
CELL_23952,Fibroblast,33.49,23,90.49
CELL_95069,Stem Cell,46.56,8,87.34
CELL_21461,Leukocyte,91.04,24,82.58
CELL_20567,Leukocyte,11.62,46,92.67
CELL_12741,Erythrocyte,115.76,35,71.29
CELL_89935,Neuron,111.51,19,74.56
CELL_22519,Leukocyte,31.53,34,84.97
CELL_98710,Fibroblast,21.49,19,83.24
CELL_13055,Fibroblast,98.28,50,79.34
CELL_28650,Leukocyte,108.85,50,79.59
CELL_61244,Epithelial,42.16,15,64.95
CELL_80735,Stem Cell,24.81,34,62.93
CELL_58919,Myocyte,36.29,13,57.89
CELL_82837,Leukocyte,78.97,28,90.51
CELL_80912,Stem Cell,21.74,13,82.57
CELL_41001,Fibroblast,68.15,18,91.74
CELL_56084,Stem Cell,106.38,32,60.07
CELL_15969,Myocyte,52.99,37,69.9
CELL_52294,Fibroblast,51.31,18,67.02
CELL_69117,Leukocyte,44.88,14,98.45
CELL_22294,Myocyte,15.7,22,70.01
CELL_59470,Leukocyte,112.68,23,83.02
CELL_44772,Stem Cell,27.95,18,89.35
CELL_81687,Leukocyte,38.83,28,54.01
CELL_63493,Neuron,13.67,50,67.5
CELL_82741,Epithelial,86.04,29,60.85
CELL_73464,Neuron,108.15,16,58.63
CELL_87657,Epithelial,101.34,37,79.11
CELL_66347,Neuron,99.46,5,79.85
CELL_64322,Stem Cell,104.71,7,91.08
CELL_72641,Neuron,114.15,47,79.79
CELL_50309,Myocyte,112.23,38,61.53
CELL_33386,Epithelial,31.91,16,59.32
CELL_14671,Erythrocyte,113.79,40,52.2
CELL_28593,Fibroblast,26.01,35,78.01
CELL_35466,Fibroblast,119.13,29,87.26
CELL_78812,Epithelial,45.42,47,54.74
CELL_93857,Neuron,108.87,37,64.59
CELL_14885,Stem Cell,23.24,50,93.74
CELL_58615,Neuron,73.28,27,65.72
CELL_71842,Erythrocyte,107.31,10,55.51
CELL_69296,Stem Cell,98.41,42,89.42
CELL_92075,Neuron,65.48,23,97.05
CELL_95535,Stem Cell,43.66,38,59.83
CELL_57414,Fibroblast,37.43,13,96.74
CELL_32631,Neuron,54.49,46,88.75
CELL_13898,Leukocyte,15.01,41,94.58
CELL_83984,Myocyte,57.76,46,83.85
CELL_82327,Epithelial,8.02,48,90.09
CELL_21232,Epithelial,87.97,8,79.35
CELL_99997,Neuron,68.0,7,89.24
