cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_52382,Epithelial,22.46,39,51.02
CELL_27126,Myocyte,29.22,39,56.46
CELL_38897,Myocyte,119.05,6,89.36
CELL_78899,Erythrocyte,42.89,35,74.82
CELL_69922,Leukocyte,71.25,42,92.03
CELL_35734,Fibroblast,35.93,45,78.37
CELL_51582,Myocyte,29.22,50,63.93
CELL_43052,Epithelial,63.89,18,68.42
CELL_93913,Fibroblast,30.64,45,91.4
CELL_62612,Fibroblast,18.34,32,55.39
CELL_82683,Myocyte,109.49,39,59.64
CELL_62933,Leukocyte,27.88,35,58.03
CELL_36105,Stem Cell,95.36,39,92.96
CELL_12656,Stem Cell,89.88,14,53.33
CELL_13788,Stem Cell,51.42,44,87.11
CELL_25558,Epithelial,59.26,17,63.15
CELL_85590,Stem Cell,81.93,46,66.42
CELL_91161,Erythrocyte,36.85,13,62.85
CELL_54912,Neuron,99.99,10,60.64
CELL_75027,Leukocyte,30.03,28,79.56
CELL_24553,Leukocyte,106.68,43,77.72
CELL_77849,Neuron,27.5,19,61.6
CELL_16057,Stem Cell,75.2,31,65.17
CELL_21678,Epithelial,107.36,49,78.98
CELL_53856,Stem Cell,82.25,18,89.03
CELL_18565,Fibroblast,81.73,34,79.36
CELL_75736,Erythrocyte,34.93,46,54.07
CELL_26226,Fibroblast,46.39,24,71.61
CELL_95883,Neuron,36.87,35,82.41
CELL_82336,Stem Cell,93.3,24,63.78
CELL_88631,Epithelial,66.47,18,66.06
CELL_55222,Fibroblast,23.48,10,75.27
CELL_77192,Neuron,65.35,35,59.98
CELL_51683,Erythrocyte,93.17,6,90.2
CELL_97300,Stem Cell,56.59,42,55.81
CELL_65335,Stem Cell,113.43,27,86.35
CELL_70900,Myocyte,17.58,7,91.14
CELL_86333,Fibroblast,62.97,16,99.85
CELL_54985,Myocyte,112.41,40,97.06
CELL_55662,Leukocyte,15.37,24,75.13
CELL_14671,Epithelial,35.57,12,61.54
CELL_71762,Fibroblast,74.51,23,56.27
CELL_70305,Neuron,39.99,9,86.95
CELL_58645,Stem Cell,33.06,21,91.13
CELL_55772,Epithelial,116.11,24,77.21
CELL_88555,Stem Cell,20.04,20,80.83
CELL_28032,Neuron,77.32,34,61.04
CELL_60214,Neuron,67.27,23,69.73
CELL_80321,Fibroblast,40.86,11,50.79
CELL_76425,Epithelial,39.66,40,94.34
CELL_37241,Epithelial,8.34,44,55.82
CELL_50960,Fibroblast,79.18,5,98.28
CELL_80442,Epithelial,75.42,26,68.29
CELL_47056,Epithelial,14.81,36,67.0
CELL_38560,Fibroblast,70.34,45,51.85
CELL_77860,Erythrocyte,26.92,20,53.52
CELL_11448,Leukocyte,101.28,49,99.14
CELL_61784,Erythrocyte,111.87,39,60.27
CELL_57348,Fibroblast,9.22,38,82.13
CELL_73502,Myocyte,17.35,24,96.62
CELL_36384,Epithelial,80.02,43,91.7
CELL_52039,Myocyte,98.26,33,67.59
CELL_37735,Fibroblast,31.78,41,63.11
CELL_90916,Stem Cell,41.31,46,89.28
CELL_38695,Epithelial,115.22,41,69.5
CELL_95633,Fibroblast,116.97,20,54.38
CELL_31053,Epithelial,64.63,27,96.7
CELL_21950,Stem Cell,107.89,17,77.8
CELL_99092,Epithelial,60.01,20,86.95
CELL_66446,Stem Cell,90.88,12,77.65
CELL_43992,Myocyte,55.93,20,64.07
CELL_44206,Neuron,105.55,8,51.52
CELL_76760,Erythrocyte,98.08,6,81.51
CELL_63083,Erythrocyte,30.68,11,67.77
CELL_27420,Neuron,14.77,33,91.78
CELL_73672,Myocyte,19.12,25,71.23
CELL_92509,Fibroblast,8.7,10,70.03
CELL_98721,Erythrocyte,108.55,49,51.15
CELL_48180,Neuron,58.72,5,89.98
CELL_30391,Leukocyte,64.86,20,87.05
CELL_27382,Stem Cell,22.19,35,85.02
CELL_72196,Epithelial,73.87,38,89.15
CELL_90813,Leukocyte,9.37,43,50.68
CELL_40937,Stem Cell,89.93,5,85.35
CELL_40729,Neuron,76.14,26,89.97
CELL_13099,Myocyte,69.38,18,77.61
CELL_20728,Leukocyte,106.65,44,94.25
CELL_21340,Neuron,118.53,46,77.49
CELL_70493,Myocyte,66.63,42,67.08
CELL_11703,Epithelial,48.12,49,84.45
CELL_15514,Fibroblast,99.1,30,63.38
CELL_94907,Neuron,13.16,39,89.41
CELL_63003,Myocyte,35.21,50,72.27
CELL_98402,Neuron,99.78,37,77.02
CELL_48437,Fibroblast,78.84,41,51.51
CELL_29891,Myocyte,71.09,34,62.63
CELL_62826,Stem Cell,46.87,8,83.15
CELL_42700,Erythrocyte,29.52,39,57.18
CELL_32128,Myocyte,50.12,30,97.45
CELL_26098,Myocyte,75.89,16,66.57
CELL_59673,Fibroblast,19.53,6,75.06
CELL_60922,Leukocyte,87.18,7,51.01
CELL_91244,Myocyte,101.1,48,66.02
CELL_48701,Erythrocyte,107.74,37,56.88
CELL_70832,Stem Cell,102.13,9,66.87
CELL_70696,Epithelial,111.58,37,76.2
CELL_71617,Leukocyte,42.24,50,64.83
CELL_26871,Fibroblast,89.3,5,97.93
CELL_28487,Leukocyte,95.27,35,79.36
CELL_17584,Neuron,11.56,7,75.92
CELL_68733,Myocyte,89.24,37,81.71
CELL_61450,Neuron,5.6,31,91.37
CELL_16373,Fibroblast,75.27,35,71.13
CELL_38929,Leukocyte,112.65,38,98.32
CELL_68080,Leukocyte,35.03,50,60.85
CELL_86725,Neuron,82.23,22,66.96
CELL_47009,Neuron,35.02,27,98.04
CELL_87948,Myocyte,26.21,34,87.71
CELL_95331,Erythrocyte,98.52,48,62.54
CELL_33858,Stem Cell,88.61,43,92.75
CELL_24590,Myocyte,115.25,39,72.26
CELL_22010,Erythrocyte,58.27,20,78.35
CELL_16956,Erythrocyte,66.29,17,55.72
CELL_62888,Leukocyte,47.39,31,51.37
CELL_27494,Stem Cell,62.59,6,67.17
CELL_34310,Neuron,84.71,9,94.65
CELL_51294,Myocyte,84.4,26,97.26
CELL_12791,Stem Cell,84.36,23,91.24
CELL_94387,Erythrocyte,46.47,29,58.32
CELL_32344,Neuron,102.3,16,90.77
CELL_97427,Myocyte,12.1,12,64.98
CELL_51480,Erythrocyte,74.53,24,50.57
CELL_39610,Neuron,113.31,27,80.3
CELL_31006,Epithelial,97.45,31,99.96
CELL_90315,Erythrocyte,22.49,50,61.41
CELL_48957,Epithelial,95.27,47,52.12
CELL_13154,Erythrocyte,112.51,39,83.27
CELL_26235,Myocyte,100.57,7,59.9
CELL_84526,Epithelial,32.12,42,63.44
CELL_95357,Leukocyte,30.34,26,68.65
CELL_70969,Fibroblast,14.34,17,69.7
CELL_15277,Neuron,109.45,44,89.56
CELL_94806,Fibroblast,119.53,7,60.64
CELL_50447,Erythrocyte,80.47,11,65.49
CELL_26205,Erythrocyte,46.23,49,86.12
CELL_74781,Myocyte,96.17,37,91.12
CELL_55057,Epithelial,115.48,9,57.6
CELL_89119,Leukocyte,70.79,37,93.92
CELL_95390,Leukocyte,30.81,31,73.17
CELL_57814,Myocyte,82.92,28,85.24
CELL_49856,Neuron,111.45,41,63.26
CELL_28562,Fibroblast,49.38,6,51.33
CELL_18905,Neuron,21.61,25,59.16
CELL_36718,Fibroblast,119.77,6,61.26
CELL_59580,Leukocyte,51.7,14,62.09
CELL_88263,Stem Cell,62.54,14,92.92
CELL_53246,Stem Cell,58.84,42,51.42
CELL_64032,Neuron,73.0,29,54.96
CELL_53853,Erythrocyte,48.24,41,92.48
CELL_66919,Epithelial,107.54,19,94.64
CELL_81604,Neuron,23.22,36,73.51
CELL_82434,Leukocyte,29.38,38,58.36
CELL_83126,Fibroblast,101.73,21,96.09
CELL_99094,Myocyte,20.71,26,58.33
CELL_40809,Epithelial,83.32,31,84.83
CELL_58007,Fibroblast,106.5,42,82.11
CELL_49572,Erythrocyte,69.18,45,78.02
CELL_95383,Epithelial,85.71,46,75.6
CELL_31555,Neuron,56.99,45,94.42
CELL_33364,Neuron,48.45,5,68.73
CELL_29015,Leukocyte,105.89,5,54.24
CELL_56985,Epithelial,113.32,39,52.52
CELL_86131,Epithelial,11.02,21,69.6
CELL_62119,Leukocyte,109.06,40,53.77
CELL_68623,Myocyte,12.22,27,67.18
CELL_37058,Myocyte,23.49,42,66.75
CELL_19277,Epithelial,105.68,43,66.8
CELL_56854,Myocyte,76.89,40,79.69
CELL_37766,Epithelial,80.36,35,58.42
CELL_43475,Stem Cell,45.81,46,81.22
CELL_39278,Leukocyte,81.65,27,50.23
CELL_12359,Fibroblast,95.68,25,96.54
CELL_72552,Stem Cell,83.69,19,52.62
CELL_66793,Fibroblast,74.13,15,84.04
CELL_14587,Leukocyte,81.16,13,64.77
CELL_31102,Epithelial,68.45,9,70.97
CELL_72310,Epithelial,115.15,42,58.13
CELL_38224,Neuron,54.01,16,71.02
CELL_45283,Neuron,79.73,49,63.75
CELL_53183,Leukocyte,20.28,33,88.46
CELL_44297,Neuron,20.74,29,86.46
CELL_50334,Stem Cell,14.24,21,84.58
CELL_55575,Neuron,50.69,46,53.72
CELL_32030,Neuron,11.73,23,55.02
CELL_83381,Epithelial,92.43,12,79.44
CELL_23385,Stem Cell,45.44,32,70.95
CELL_82690,Neuron,10.97,20,61.15
CELL_66910,Fibroblast,10.42,37,87.55
CELL_85529,Leukocyte,76.19,32,58.8
CELL_55812,Neuron,111.89,41,75.08
CELL_20575,Erythrocyte,109.07,14,60.98
CELL_53324,Epithelial,77.61,41,80.28
CELL_87652,Erythrocyte,104.73,33,99.95
CELL_66046,Stem Cell,83.2,49,89.85
CELL_29451,Epithelial,46.24,50,65.54
CELL_69640,Fibroblast,5.2,13,94.7
CELL_68608,Myocyte,96.03,28,74.98
CELL_14821,Fibroblast,49.41,50,96.99
CELL_23312,Fibroblast,51.11,10,64.94
CELL_84780,Leukocyte,55.17,15,51.95
CELL_11877,Neuron,52.42,20,91.78
CELL_18858,Myocyte,91.52,24,62.17
CELL_12638,Stem Cell,57.08,42,63.37
CELL_57753,Stem Cell,67.25,26,73.86
CELL_15842,Myocyte,35.07,31,80.29
CELL_50662,Stem Cell,82.77,18,52.07
CELL_75620,Leukocyte,5.88,47,57.15
CELL_93840,Myocyte,63.92,21,53.82
CELL_20313,Fibroblast,22.17,43,77.45
CELL_51186,Neuron,91.86,28,64.37
CELL_88413,Fibroblast,93.92,14,57.34
CELL_82764,Myocyte,53.15,5,63.74
CELL_44552,Neuron,107.54,42,52.54
CELL_42558,Neuron,65.27,18,89.78
CELL_23634,Leukocyte,70.16,48,50.09
CELL_97243,Fibroblast,62.7,28,64.18
CELL_90305,Leukocyte,25.2,35,55.61
CELL_28026,Erythrocyte,88.43,24,51.36
CELL_20487,Epithelial,90.04,39,84.39
CELL_12108,Erythrocyte,87.52,21,96.35
CELL_93237,Stem Cell,95.55,43,53.07
CELL_65565,Myocyte,84.18,6,83.88
CELL_20670,Fibroblast,31.36,18,65.5
CELL_24951,Erythrocyte,48.84,25,75.55
CELL_64943,Stem Cell,102.43,41,71.45
CELL_44542,Epithelial,95.06,33,56.71
CELL_71646,Neuron,36.35,7,69.72
CELL_58509,Stem Cell,15.81,23,56.9
CELL_81128,Fibroblast,61.0,29,73.34
CELL_77517,Leukocyte,21.63,41,83.06
CELL_48267,Stem Cell,29.73,9,89.31
CELL_64272,Fibroblast,29.74,6,64.33
CELL_75918,Neuron,31.24,23,74.32
CELL_21583,Neuron,47.05,30,95.25
CELL_35326,Leukocyte,88.67,44,74.02
CELL_17288,Fibroblast,28.39,41,57.32
CELL_88147,Neuron,79.4,38,92.13
CELL_64843,Myocyte,22.71,26,67.53
CELL_90018,Erythrocyte,18.35,25,63.92
CELL_29271,Myocyte,85.36,44,64.86
CELL_67901,Epithelial,18.85,20,71.79
CELL_30892,Fibroblast,96.02,47,55.8
CELL_91672,Neuron,103.1,15,56.51
CELL_70659,Leukocyte,114.21,33,89.88
CELL_21178,Myocyte,89.22,34,96.83
CELL_74966,Myocyte,54.71,44,66.68
CELL_35857,Neuron,8.31,6,63.21
CELL_31696,Epithelial,91.48,6,99.84
CELL_65749,Stem Cell,101.15,28,64.83
CELL_31051,Fibroblast,105.42,43,73.91
CELL_28188,Erythrocyte,62.89,35,81.74
CELL_59103,Fibroblast,88.46,40,98.12
CELL_73003,Neuron,87.06,9,78.01
CELL_53495,Epithelial,10.36,42,70.24
CELL_64237,Neuron,20.75,48,77.11
CELL_50340,Stem Cell,103.21,5,65.76
CELL_49990,Leukocyte,83.87,49,98.23
CELL_71785,Stem Cell,119.7,5,56.5
CELL_96424,Neuron,55.61,40,98.68
CELL_55262,Neuron,50.57,37,55.39
CELL_62806,Leukocyte,66.97,37,97.16
CELL_39514,Neuron,33.65,9,75.91
CELL_50622,Epithelial,60.75,46,58.16
CELL_71364,Stem Cell,24.73,18,85.35
CELL_34359,Stem Cell,76.93,28,80.44
CELL_96385,Myocyte,24.73,40,93.61
CELL_93845,Stem Cell,43.37,47,61.54
CELL_85496,Erythrocyte,91.23,18,55.92
CELL_32538,Epithelial,115.14,33,70.47
CELL_61320,Fibroblast,41.33,20,62.22
CELL_60781,Leukocyte,84.95,26,50.73
CELL_87736,Neuron,115.98,15,69.49
CELL_77520,Leukocyte,49.92,44,99.16
CELL_95103,Leukocyte,115.62,47,66.32
CELL_38213,Neuron,55.92,47,56.35
CELL_19436,Stem Cell,68.2,29,52.4
CELL_18685,Fibroblast,59.78,13,64.16
CELL_26658,Fibroblast,9.47,30,85.43
CELL_91619,Epithelial,114.52,48,73.71
CELL_41490,Fibroblast,116.31,38,80.0
CELL_56511,Leukocyte,55.36,11,57.62
CELL_58823,Erythrocyte,93.66,25,89.01
CELL_74428,Epithelial,38.39,38,83.96
CELL_27405,Neuron,111.24,36,69.79
CELL_72518,Myocyte,40.65,30,78.59
CELL_80571,Epithelial,51.85,34,81.8
CELL_19285,Epithelial,32.38,36,86.72
CELL_48872,Fibroblast,36.77,15,97.62
CELL_47615,Myocyte,74.0,44,84.24
CELL_37854,Epithelial,21.65,45,95.7
CELL_33051,Stem Cell,19.34,18,52.81
CELL_36658,Epithelial,64.6,43,94.85
CELL_30325,Epithelial,12.73,8,71.13
CELL_37309,Neuron,45.31,47,75.62
CELL_48727,Fibroblast,70.15,18,64.45
CELL_61589,Stem Cell,67.81,12,53.38
CELL_19970,Fibroblast,103.97,16,61.75
CELL_82893,Epithelial,24.13,31,82.33
CELL_25869,Leukocyte,31.12,47,67.45
CELL_26875,Epithelial,54.82,22,62.37
CELL_36742,Stem Cell,24.22,31,68.03
CELL_98220,Epithelial,52.2,50,58.78
CELL_89970,Epithelial,64.09,31,82.09
CELL_89097,Neuron,74.44,8,80.83
CELL_65026,Neuron,56.26,13,58.89
CELL_53156,Erythrocyte,17.62,50,85.97
CELL_77377,Neuron,115.53,44,72.41
CELL_31625,Myocyte,55.32,44,53.12
CELL_93926,Leukocyte,25.35,25,90.89
CELL_79073,Myocyte,110.87,50,87.71
CELL_79957,Myocyte,112.41,28,92.12
CELL_68670,Myocyte,30.83,44,50.48
