cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_39240,Neuron,55.26,33,76.82
CELL_54135,Stem Cell,108.78,8,86.52
CELL_99329,Leukocyte,35.42,30,93.15
CELL_14675,Erythrocyte,56.28,41,51.92
CELL_41234,Leukocyte,38.67,21,51.17
CELL_57697,Neuron,99.51,23,98.65
CELL_57937,Epithelial,22.57,43,73.49
CELL_68814,Erythrocyte,39.87,9,95.01
CELL_32538,Neuron,71.92,35,91.79
CELL_37816,Erythrocyte,44.82,35,70.61
CELL_74241,Stem Cell,20.52,6,98.04
CELL_75636,Epithelial,7.36,23,89.43
CELL_25274,Leukocyte,9.41,11,97.99
CELL_63028,Erythrocyte,10.42,7,92.2
CELL_72549,Fibroblast,60.06,24,95.43
CELL_52203,Neuron,18.7,19,85.83
CELL_11417,Leukocyte,73.53,38,77.97
CELL_57012,Stem Cell,16.94,13,84.71
CELL_20127,Epithelial,57.21,16,93.2
CELL_96341,Fibroblast,47.25,40,57.34
CELL_90017,Fibroblast,48.32,37,71.46
CELL_76973,Erythrocyte,119.36,42,67.63
CELL_42053,Epithelial,101.67,44,55.21
CELL_19991,Leukocyte,67.32,28,69.13
CELL_77861,Epithelial,96.17,13,99.84
CELL_38311,Leukocyte,6.85,21,68.61
CELL_68340,Fibroblast,64.56,44,65.6
CELL_60400,Stem Cell,6.9,15,64.61
CELL_40120,Neuron,90.19,41,83.33
CELL_67213,Erythrocyte,97.19,37,95.41
CELL_94175,Epithelial,105.42,39,79.78
CELL_76665,Epithelial,52.52,33,67.86
CELL_61091,Stem Cell,80.66,21,62.47
CELL_86863,Stem Cell,30.3,21,68.34
CELL_13955,Stem Cell,29.18,24,51.0
CELL_73473,Epithelial,63.98,9,83.44
CELL_23176,Erythrocyte,34.98,20,59.59
CELL_41848,Erythrocyte,53.34,40,96.29
CELL_82081,Erythrocyte,89.54,49,69.94
CELL_80110,Myocyte,44.88,29,72.89
CELL_69133,Fibroblast,94.92,34,87.12
CELL_35616,Epithelial,32.38,15,67.87
CELL_33975,Neuron,115.83,21,86.02
CELL_56048,Myocyte,59.23,17,70.1
CELL_79888,Leukocyte,84.32,45,77.49
CELL_60447,Fibroblast,77.65,41,80.02
CELL_74980,Myocyte,68.69,41,64.74
CELL_75485,Neuron,50.26,13,57.04
CELL_42953,Myocyte,41.19,34,82.91
CELL_38496,Fibroblast,14.23,44,61.21
CELL_81618,Stem Cell,26.24,21,93.93
CELL_27332,Leukocyte,47.82,35,71.57
CELL_52685,Epithelial,94.31,10,52.79
CELL_63143,Epithelial,48.73,48,62.43
CELL_12242,Neuron,86.86,42,57.45
CELL_45608,Myocyte,53.5,47,80.22
CELL_58308,Leukocyte,38.87,14,81.89
CELL_49016,Epithelial,116.84,8,79.14
CELL_76785,Stem Cell,52.91,21,65.24
CELL_64202,Erythrocyte,89.98,21,93.5
CELL_19268,Stem Cell,27.82,34,87.64
CELL_59609,Fibroblast,88.34,43,91.05
CELL_94766,Neuron,118.35,19,78.43
CELL_79190,Leukocyte,53.04,48,56.33
CELL_37845,Epithelial,75.8,13,97.28
CELL_61573,Stem Cell,80.48,12,70.4
CELL_51310,Fibroblast,25.66,33,75.4
CELL_66769,Stem Cell,32.79,29,74.28
CELL_11173,Myocyte,87.72,42,71.77
CELL_31461,Epithelial,9.67,25,81.16
CELL_59150,Fibroblast,67.17,39,79.25
CELL_59101,Epithelial,63.1,10,88.04
CELL_76582,Myocyte,18.44,6,84.89
CELL_67746,Neuron,99.5,26,78.55
CELL_24609,Myocyte,49.96,37,52.05
CELL_29976,Myocyte,17.53,43,61.23
CELL_81980,Leukocyte,70.83,7,80.23
CELL_10862,Leukocyte,52.7,10,77.89
CELL_26861,Myocyte,42.11,35,92.57
CELL_39791,Neuron,95.05,10,75.18
CELL_15421,Myocyte,93.29,11,93.6
CELL_70461,Erythrocyte,8.96,15,90.57
CELL_62236,Stem Cell,67.48,13,52.72
CELL_88972,Fibroblast,114.62,11,93.09
CELL_70811,Fibroblast,69.47,16,60.42
CELL_29822,Myocyte,74.43,25,89.54
CELL_10038,Stem Cell,74.73,41,59.7
CELL_46594,Epithelial,83.53,41,81.19
CELL_41812,Myocyte,51.1,11,83.43
CELL_49594,Epithelial,20.22,15,70.6
CELL_53258,Neuron,43.68,43,67.38
CELL_76625,Leukocyte,110.26,42,88.25
CELL_32890,Myocyte,111.61,25,91.54
CELL_17721,Erythrocyte,61.37,8,73.86
CELL_81826,Erythrocyte,84.39,37,79.22
CELL_73838,Erythrocyte,18.49,28,84.03
CELL_15474,Stem Cell,65.61,40,75.13
CELL_40286,Neuron,105.21,14,66.54
CELL_38808,Myocyte,17.79,18,51.86
CELL_45084,Myocyte,8.39,49,54.22
CELL_35637,Neuron,18.17,24,87.38
CELL_42057,Neuron,70.44,43,58.65
CELL_85902,Fibroblast,81.73,45,51.93
CELL_66847,Fibroblast,41.68,42,82.0
CELL_17741,Neuron,25.53,42,84.57
CELL_14733,Myocyte,57.18,5,93.37
CELL_87070,Epithelial,49.05,43,55.77
CELL_35502,Stem Cell,118.52,27,90.52
CELL_76395,Stem Cell,18.98,39,54.57
CELL_90117,Epithelial,97.28,10,96.33
CELL_14687,Erythrocyte,30.33,18,68.26
CELL_50525,Myocyte,44.07,12,65.85
CELL_93611,Erythrocyte,31.84,33,66.39
CELL_55718,Leukocyte,46.93,34,84.16
CELL_30189,Epithelial,91.06,42,78.51
CELL_71376,Leukocyte,20.67,39,78.23
CELL_18006,Fibroblast,30.63,9,98.08
CELL_69423,Fibroblast,66.79,39,64.46
CELL_85044,Myocyte,21.74,20,82.34
CELL_66749,Stem Cell,90.72,24,63.25
CELL_69878,Epithelial,96.61,42,91.68
CELL_39634,Neuron,99.09,35,51.97
CELL_86286,Epithelial,116.26,9,85.17
CELL_89207,Leukocyte,28.69,15,56.81
CELL_64157,Epithelial,38.18,49,73.31
CELL_20295,Neuron,9.47,17,71.19
CELL_62993,Epithelial,96.56,23,58.41
CELL_72380,Leukocyte,69.33,45,55.55
CELL_76652,Neuron,45.16,30,95.64
CELL_51217,Myocyte,45.71,20,92.95
CELL_52623,Stem Cell,113.74,38,89.06
CELL_25120,Leukocyte,112.37,15,79.22
CELL_30694,Stem Cell,48.94,50,84.9
CELL_87655,Fibroblast,76.24,41,92.38
CELL_29425,Leukocyte,64.19,19,97.99
CELL_80705,Fibroblast,42.57,24,90.82
CELL_17070,Epithelial,113.83,42,60.25
CELL_87644,Leukocyte,39.99,6,52.39
CELL_64105,Leukocyte,21.98,16,95.28
CELL_46386,Fibroblast,98.99,20,54.85
CELL_18634,Epithelial,115.18,25,55.97
CELL_90053,Neuron,31.81,26,81.74
CELL_77440,Erythrocyte,110.5,30,85.27
CELL_87892,Leukocyte,42.17,10,94.36
CELL_80223,Leukocyte,18.99,33,54.77
CELL_38247,Leukocyte,89.54,12,96.69
CELL_90034,Erythrocyte,88.51,34,98.88
CELL_94830,Erythrocyte,14.2,50,99.09
CELL_33578,Erythrocyte,61.76,33,61.99
CELL_17841,Myocyte,79.56,23,58.86
CELL_42449,Neuron,6.39,18,86.27
CELL_70592,Stem Cell,46.01,50,97.85
CELL_49647,Fibroblast,115.15,29,78.61
CELL_56522,Fibroblast,105.49,45,68.16
CELL_34260,Epithelial,74.55,23,83.26
CELL_88422,Epithelial,77.19,29,97.9
CELL_84450,Fibroblast,73.92,46,57.7
CELL_53207,Epithelial,32.9,41,90.37
CELL_79370,Fibroblast,73.0,47,63.38
CELL_35482,Erythrocyte,59.51,43,72.02
