cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_70470,Erythrocyte,104.45,37,54.29
CELL_88996,Stem Cell,62.88,15,66.18
CELL_50723,Epithelial,42.33,35,67.95
CELL_44119,Myocyte,75.58,41,93.44
CELL_58152,Erythrocyte,94.66,26,94.63
CELL_71216,Fibroblast,56.17,23,89.7
CELL_64187,Myocyte,69.82,13,76.31
CELL_10390,Fibroblast,37.8,9,53.32
CELL_34755,Erythrocyte,42.01,35,77.54
CELL_88189,Neuron,56.45,19,65.09
CELL_55872,Myocyte,8.61,22,88.37
CELL_95160,Neuron,65.39,42,56.43
CELL_25424,Erythrocyte,18.48,30,74.11
CELL_81200,Leukocyte,20.6,29,62.11
CELL_71919,Erythrocyte,60.67,31,89.11
CELL_27045,Epithelial,48.46,19,79.67
CELL_84842,Fibroblast,119.11,9,64.92
CELL_27367,Neuron,53.4,39,54.64
CELL_96319,Fibroblast,26.09,28,94.71
CELL_69628,Stem Cell,89.58,5,93.72
CELL_83951,Leukocyte,11.39,31,98.91
CELL_14349,Epithelial,46.72,35,64.6
CELL_46329,Myocyte,88.23,35,50.28
CELL_35727,Stem Cell,95.21,6,87.07
CELL_36564,Leukocyte,69.77,22,73.77
CELL_28886,Neuron,72.65,23,53.4
CELL_52159,Stem Cell,90.89,19,86.84
CELL_55483,Stem Cell,106.16,38,54.33
CELL_70319,Fibroblast,82.12,29,60.6
CELL_39492,Epithelial,18.5,16,71.93
CELL_49747,Epithelial,77.27,5,62.71
CELL_95544,Fibroblast,31.25,35,64.33
CELL_52905,Erythrocyte,102.69,23,76.83
CELL_74866,Fibroblast,15.54,35,55.98
CELL_50893,Erythrocyte,28.72,46,65.15
CELL_70731,Myocyte,73.03,27,62.93
CELL_64008,Stem Cell,13.28,50,69.29
CELL_65503,Epithelial,113.37,37,53.47
CELL_81035,Leukocyte,93.81,14,95.31
CELL_69504,Myocyte,35.23,6,76.17
CELL_53914,Neuron,15.29,5,75.56
CELL_86102,Myocyte,75.39,42,92.07
CELL_50563,Fibroblast,98.62,47,90.92
CELL_69912,Neuron,58.4,17,93.79
CELL_87374,Fibroblast,90.27,26,73.46
CELL_60349,Myocyte,20.32,8,72.52
CELL_56762,Epithelial,80.85,36,64.28
CELL_79951,Neuron,92.85,24,53.11
CELL_38625,Erythrocyte,62.7,5,58.59
CELL_94456,Fibroblast,79.85,31,83.33
CELL_60311,Stem Cell,99.62,22,98.16
CELL_75118,Myocyte,94.51,34,65.54
CELL_14084,Leukocyte,46.9,44,92.28
CELL_54536,Fibroblast,11.7,17,70.75
CELL_16806,Stem Cell,118.9,41,88.21
CELL_93213,Myocyte,16.52,50,50.82
CELL_57208,Fibroblast,118.92,50,54.23
CELL_17130,Fibroblast,27.09,30,96.13
CELL_41202,Neuron,33.46,15,90.65
CELL_25442,Stem Cell,38.47,44,69.72
CELL_77892,Erythrocyte,99.93,6,71.92
CELL_36115,Fibroblast,5.25,39,65.58
