cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_35824,Myocyte,76.24,24,81.99
CELL_84142,Myocyte,10.62,43,70.17
CELL_40804,Leukocyte,71.25,13,87.74
CELL_35298,Neuron,63.62,34,85.26
CELL_72684,Leukocyte,99.53,5,74.04
CELL_20269,Stem Cell,70.41,50,85.92
CELL_43058,Stem Cell,9.95,49,98.59
CELL_85631,Neuron,79.01,14,64.83
CELL_64591,Stem Cell,103.48,45,78.83
CELL_12774,Leukocyte,58.75,32,86.62
CELL_16059,Erythrocyte,80.24,35,97.82
CELL_35389,Fibroblast,21.84,40,83.99
CELL_38371,Stem Cell,20.66,33,95.21
CELL_92588,Leukocyte,104.53,31,67.51
CELL_47741,Epithelial,90.26,22,75.09
CELL_93752,Stem Cell,34.36,40,93.16
CELL_91839,Stem Cell,14.82,23,86.03
CELL_20179,Myocyte,94.94,45,59.77
CELL_84161,Erythrocyte,28.35,37,93.08
CELL_51404,Leukocyte,76.87,9,89.44
CELL_47204,Stem Cell,27.61,33,82.06
CELL_62265,Neuron,119.9,7,99.51
CELL_27987,Stem Cell,61.01,21,50.32
CELL_23839,Myocyte,82.8,44,65.79
CELL_54368,Neuron,18.47,30,92.42
CELL_24790,Myocyte,62.91,33,91.55
CELL_87407,Fibroblast,113.25,6,61.68
CELL_56714,Fibroblast,37.29,19,93.73
CELL_53144,Stem Cell,115.96,45,72.88
CELL_84257,Myocyte,62.62,46,69.17
CELL_19235,Erythrocyte,46.98,8,88.0
CELL_75603,Epithelial,96.03,45,65.45
CELL_63579,Neuron,17.51,45,87.51
CELL_35062,Fibroblast,15.57,20,52.03
CELL_23108,Epithelial,84.4,48,56.59
CELL_95083,Epithelial,102.21,10,68.11
CELL_36016,Epithelial,25.81,8,57.22
CELL_74228,Neuron,11.24,13,60.7
CELL_61765,Erythrocyte,34.77,21,90.85
CELL_54209,Stem Cell,49.75,38,53.13
CELL_59473,Neuron,48.22,29,55.61
CELL_11175,Fibroblast,57.86,45,66.44
CELL_88070,Myocyte,93.61,20,81.16
CELL_64928,Neuron,108.83,28,79.87
CELL_88251,Fibroblast,93.33,11,56.97
CELL_11558,Neuron,65.45,34,82.73
CELL_85522,Neuron,31.28,26,96.63
CELL_10612,Myocyte,40.42,13,98.36
CELL_57309,Myocyte,45.94,23,72.22
CELL_44507,Leukocyte,117.96,45,61.11
CELL_94393,Erythrocyte,102.93,43,99.19
CELL_84423,Leukocyte,71.6,38,89.85
CELL_99515,Myocyte,66.45,45,66.57
CELL_51618,Leukocyte,57.94,34,68.45
CELL_14382,Leukocyte,43.96,49,56.69
CELL_46804,Stem Cell,20.44,35,82.19
CELL_39523,Myocyte,72.55,26,68.0
CELL_62691,Fibroblast,115.28,43,81.09
CELL_23542,Myocyte,45.41,8,50.46
CELL_73951,Neuron,68.27,33,69.99
CELL_24497,Myocyte,60.53,41,87.68
CELL_99096,Fibroblast,62.53,6,59.91
CELL_41617,Stem Cell,84.11,41,75.9
CELL_43209,Erythrocyte,21.19,50,93.17
CELL_74552,Stem Cell,51.96,50,72.9
CELL_48490,Fibroblast,117.37,24,85.97
CELL_80414,Myocyte,40.27,32,50.22
CELL_57007,Neuron,46.31,30,94.84
CELL_53870,Erythrocyte,64.71,46,75.12
CELL_38697,Neuron,98.73,32,83.08
CELL_27699,Stem Cell,108.46,23,79.55
CELL_10861,Epithelial,32.12,39,51.51
CELL_59960,Neuron,106.13,50,81.53
CELL_84387,Leukocyte,114.04,5,72.17
CELL_21399,Neuron,5.05,36,92.0
CELL_51228,Stem Cell,89.07,36,55.79
CELL_58761,Epithelial,52.11,25,68.7
CELL_72887,Stem Cell,66.83,13,95.51
CELL_68786,Leukocyte,14.74,21,80.95
CELL_98810,Erythrocyte,53.89,15,85.89
CELL_36671,Fibroblast,30.42,27,62.26
CELL_62020,Leukocyte,98.21,31,57.98
CELL_35538,Epithelial,79.53,12,63.04
CELL_27486,Stem Cell,94.81,20,84.77
CELL_66231,Erythrocyte,6.42,35,56.44
CELL_80347,Neuron,76.31,17,57.88
CELL_62456,Erythrocyte,20.37,16,88.98
CELL_67831,Fibroblast,68.23,27,58.94
CELL_40994,Epithelial,107.13,12,77.43
CELL_20060,Myocyte,28.92,49,61.54
CELL_27558,Neuron,74.93,27,93.76
CELL_80424,Fibroblast,103.18,7,90.62
CELL_39388,Stem Cell,10.63,42,70.47
CELL_24337,Epithelial,117.99,20,61.92
CELL_64854,Fibroblast,103.84,47,60.39
CELL_75901,Myocyte,26.39,7,87.46
CELL_54090,Neuron,53.17,12,69.51
CELL_48470,Fibroblast,97.95,49,69.51
CELL_72415,Stem Cell,8.38,44,97.6
CELL_56736,Erythrocyte,74.48,11,85.26
CELL_75323,Leukocyte,108.81,33,52.23
CELL_97126,Erythrocyte,44.62,45,60.38
CELL_16505,Leukocyte,95.91,38,94.08
CELL_92378,Erythrocyte,85.96,43,97.81
CELL_35259,Leukocyte,116.35,40,93.51
CELL_72388,Leukocyte,43.28,5,74.44
CELL_84283,Erythrocyte,36.86,24,62.66
CELL_18579,Myocyte,49.5,38,94.8
CELL_44682,Stem Cell,94.75,7,87.56
CELL_66236,Neuron,57.67,14,54.04
CELL_90728,Epithelial,71.79,27,78.52
CELL_86614,Fibroblast,104.81,46,71.14
CELL_84625,Leukocyte,110.45,41,65.29
CELL_21664,Myocyte,82.94,39,77.34
CELL_22398,Stem Cell,77.93,8,96.14
CELL_79650,Myocyte,42.0,44,59.92
CELL_49192,Stem Cell,103.75,27,72.7
CELL_46404,Epithelial,103.71,43,55.66
CELL_43976,Neuron,13.65,43,65.82
CELL_47184,Epithelial,31.12,22,91.18
CELL_21731,Myocyte,42.54,33,62.96
CELL_86728,Leukocyte,98.29,12,62.81
CELL_27692,Stem Cell,48.63,16,84.53
CELL_27993,Erythrocyte,24.92,14,64.91
CELL_83780,Erythrocyte,41.33,11,54.31
CELL_94561,Stem Cell,83.64,17,53.07
CELL_68734,Fibroblast,24.56,20,96.02
CELL_86746,Epithelial,99.5,14,97.1
CELL_90759,Stem Cell,100.66,42,78.25
CELL_62153,Fibroblast,80.12,30,88.51
CELL_64334,Fibroblast,74.64,16,73.18
CELL_57521,Leukocyte,29.49,43,80.9
CELL_61896,Erythrocyte,96.69,24,83.02
CELL_45600,Leukocyte,94.85,29,96.82
CELL_40883,Erythrocyte,106.75,15,59.35
CELL_41502,Neuron,59.33,7,52.24
CELL_97831,Stem Cell,104.32,18,92.02
CELL_65933,Epithelial,40.11,7,85.69
CELL_14164,Epithelial,46.69,42,55.87
CELL_58072,Stem Cell,68.95,19,64.73
CELL_98541,Fibroblast,12.88,25,66.83
CELL_45482,Myocyte,60.5,36,65.8
CELL_84860,Neuron,36.14,17,63.13
CELL_93961,Fibroblast,17.07,27,79.08
CELL_87922,Myocyte,71.84,6,79.22
CELL_90954,Neuron,110.94,46,89.51
CELL_50402,Stem Cell,110.89,24,71.09
CELL_81342,Neuron,111.54,22,62.84
CELL_33255,Neuron,43.66,23,81.99
CELL_53808,Erythrocyte,83.22,18,95.8
CELL_23051,Fibroblast,16.46,35,63.68
CELL_81803,Stem Cell,13.09,23,84.41
CELL_63082,Fibroblast,16.15,31,55.1
CELL_17915,Myocyte,19.14,39,73.18
CELL_68578,Fibroblast,47.82,10,52.07
CELL_32501,Myocyte,24.8,29,91.59
CELL_28122,Myocyte,91.7,25,97.52
CELL_24455,Leukocyte,24.0,24,85.02
CELL_80302,Fibroblast,100.28,46,64.65
CELL_56874,Erythrocyte,44.89,14,99.18
CELL_95189,Epithelial,94.83,26,96.49
CELL_77050,Erythrocyte,79.11,20,77.34
CELL_82750,Myocyte,74.45,41,58.93
CELL_44906,Stem Cell,72.59,11,92.36
CELL_86607,Fibroblast,29.35,29,93.1
CELL_18390,Leukocyte,32.76,12,68.98
CELL_37693,Stem Cell,47.24,20,60.61
CELL_10202,Erythrocyte,15.75,31,54.46
CELL_67430,Stem Cell,112.02,8,85.95
CELL_30161,Leukocyte,52.48,44,54.73
CELL_58247,Neuron,113.05,47,91.05
CELL_52448,Epithelial,87.76,16,67.0
CELL_63861,Fibroblast,88.37,26,52.93
CELL_93180,Erythrocyte,19.75,21,78.95
CELL_39093,Myocyte,73.95,31,81.17
CELL_60342,Erythrocyte,14.23,30,91.03
CELL_43037,Stem Cell,45.61,32,95.02
CELL_69618,Erythrocyte,86.78,48,57.12
CELL_67524,Stem Cell,14.46,31,72.5
CELL_66766,Myocyte,62.49,46,65.46
CELL_96773,Epithelial,113.44,46,73.06
CELL_53390,Stem Cell,58.51,10,75.95
CELL_56478,Myocyte,27.6,48,75.82
CELL_62144,Leukocyte,101.29,22,74.12
CELL_73516,Neuron,27.31,34,91.87
CELL_76463,Myocyte,43.8,18,68.03
CELL_14449,Fibroblast,26.92,15,75.71
CELL_93184,Neuron,77.08,21,62.43
CELL_93117,Stem Cell,110.57,38,97.9
CELL_95291,Leukocyte,59.38,36,58.17
CELL_33048,Neuron,72.49,7,59.95
CELL_60408,Neuron,114.13,34,63.02
CELL_90240,Erythrocyte,109.72,29,83.19
CELL_62377,Leukocyte,33.39,29,95.39
CELL_11377,Stem Cell,38.23,39,73.52
CELL_55144,Fibroblast,79.66,29,87.22
CELL_68341,Myocyte,119.12,48,88.05
CELL_41594,Neuron,37.86,41,58.8
CELL_93225,Leukocyte,55.21,15,59.74
CELL_92376,Epithelial,13.13,7,90.98
CELL_96233,Neuron,67.46,29,58.95
CELL_28747,Erythrocyte,46.71,17,64.33
CELL_55725,Fibroblast,97.48,34,85.86
CELL_95492,Erythrocyte,108.32,28,83.47
CELL_35288,Epithelial,64.13,33,94.41
CELL_28967,Stem Cell,89.63,25,99.84
CELL_17062,Myocyte,87.5,49,59.95
CELL_27693,Epithelial,99.28,37,96.97
CELL_92064,Neuron,16.38,19,71.63
CELL_72177,Epithelial,74.09,11,82.15
CELL_33665,Stem Cell,97.84,12,72.54
CELL_84275,Fibroblast,23.15,28,99.23
CELL_99863,Epithelial,83.62,43,60.9
CELL_35027,Epithelial,114.35,19,90.71
CELL_89185,Stem Cell,10.74,47,73.95
CELL_38732,Myocyte,45.73,26,72.96
CELL_42334,Leukocyte,111.19,27,76.46
CELL_47598,Myocyte,36.17,5,96.7
CELL_96855,Neuron,33.62,41,94.03
CELL_58950,Myocyte,6.07,50,73.06
CELL_89512,Epithelial,73.13,39,53.11
CELL_33948,Leukocyte,69.79,43,81.6
CELL_62590,Epithelial,47.66,43,87.85
CELL_75141,Stem Cell,43.61,7,56.16
CELL_68748,Leukocyte,78.87,12,64.88
CELL_31178,Epithelial,97.84,50,70.49
CELL_27100,Erythrocyte,108.72,29,74.83
CELL_47918,Stem Cell,105.75,11,92.8
CELL_20054,Myocyte,104.4,40,82.88
CELL_51677,Neuron,63.83,23,70.39
CELL_63346,Neuron,112.72,28,89.11
CELL_56195,Myocyte,93.74,19,85.26
CELL_81595,Leukocyte,19.26,6,83.08
CELL_63258,Fibroblast,58.9,12,50.64
CELL_63811,Epithelial,85.92,7,75.32
CELL_93216,Erythrocyte,76.72,33,89.94
CELL_74431,Leukocyte,43.73,24,93.0
CELL_87112,Stem Cell,90.0,25,59.7
CELL_19867,Neuron,48.89,42,73.42
CELL_84435,Stem Cell,101.88,36,76.94
CELL_85207,Neuron,27.51,39,58.02
CELL_77078,Epithelial,58.09,14,93.74
CELL_50280,Erythrocyte,62.17,18,59.72
CELL_46890,Myocyte,115.95,29,81.09
CELL_45618,Stem Cell,49.19,43,56.53
CELL_68323,Fibroblast,117.91,46,83.29
CELL_77746,Epithelial,8.4,32,75.6
CELL_88818,Erythrocyte,80.86,31,68.43
CELL_92764,Leukocyte,104.94,37,77.7
CELL_54390,Stem Cell,60.73,27,91.31
CELL_12578,Erythrocyte,50.41,13,87.49
CELL_20787,Leukocyte,92.13,11,88.62
CELL_72859,Stem Cell,74.46,24,56.3
CELL_20480,Erythrocyte,82.06,36,61.36
CELL_26085,Fibroblast,58.85,40,59.95
CELL_77996,Myocyte,7.85,36,63.85
CELL_64099,Leukocyte,29.15,50,84.25
CELL_20296,Neuron,102.01,18,68.24
CELL_82225,Fibroblast,81.02,15,71.88
CELL_47040,Stem Cell,58.4,27,96.67
CELL_99912,Stem Cell,7.25,21,54.11
CELL_12472,Stem Cell,77.65,33,75.51
CELL_54473,Epithelial,108.19,19,81.97
CELL_30269,Erythrocyte,88.88,33,60.83
CELL_90110,Leukocyte,90.08,18,94.72
CELL_25580,Neuron,117.7,7,80.93
CELL_98288,Stem Cell,56.51,31,83.48
CELL_60916,Leukocyte,16.26,12,80.05
CELL_81154,Erythrocyte,56.76,19,76.48
CELL_86350,Neuron,16.82,24,64.3
CELL_41227,Stem Cell,86.28,35,89.51
CELL_96060,Myocyte,75.1,15,68.94
CELL_66887,Myocyte,76.98,16,58.99
CELL_52381,Leukocyte,28.22,24,64.2
CELL_42808,Leukocyte,87.68,11,69.12
CELL_64758,Erythrocyte,91.88,41,91.57
CELL_95819,Myocyte,118.69,49,96.63
CELL_63525,Fibroblast,26.51,45,55.52
CELL_95927,Erythrocyte,77.81,14,91.01
CELL_41346,Epithelial,32.33,45,82.04
CELL_65648,Stem Cell,91.19,34,63.02
CELL_42368,Stem Cell,48.36,48,94.36
CELL_82086,Fibroblast,102.96,36,53.76
CELL_83322,Stem Cell,64.59,39,93.23
CELL_31444,Epithelial,91.32,39,86.78
CELL_20851,Neuron,111.05,15,87.13
CELL_27890,Stem Cell,83.76,11,87.6
CELL_74665,Leukocyte,30.28,45,93.45
CELL_75956,Stem Cell,89.28,12,56.09
CELL_18955,Epithelial,91.29,7,97.32
CELL_29871,Leukocyte,47.96,48,78.57
CELL_55916,Neuron,8.69,10,67.46
CELL_49335,Myocyte,59.24,48,83.88
CELL_48774,Epithelial,32.99,20,54.31
CELL_24432,Erythrocyte,96.44,9,68.61
CELL_65363,Erythrocyte,18.9,31,50.77
CELL_38773,Erythrocyte,96.87,14,61.14
CELL_17351,Epithelial,6.5,33,93.0
CELL_84002,Myocyte,16.77,23,66.15
CELL_21677,Epithelial,25.77,50,95.34
CELL_14976,Neuron,109.75,7,72.36
CELL_41291,Fibroblast,105.17,6,53.29
CELL_92279,Leukocyte,75.22,10,71.78
CELL_92642,Fibroblast,85.71,46,76.04
CELL_64288,Erythrocyte,78.86,35,55.05
CELL_32106,Leukocyte,112.23,15,59.19
CELL_37388,Stem Cell,93.97,47,60.25
CELL_43010,Epithelial,43.81,33,77.14
CELL_54566,Epithelial,110.2,21,68.84
CELL_13814,Epithelial,83.04,31,61.95
CELL_71208,Fibroblast,61.38,10,91.79
CELL_12604,Neuron,85.34,13,77.45
CELL_36438,Leukocyte,36.42,22,50.93
CELL_96373,Stem Cell,118.79,37,92.05
CELL_89567,Leukocyte,56.78,6,90.65
CELL_12581,Stem Cell,86.14,26,96.13
CELL_56839,Leukocyte,51.01,15,79.81
CELL_49201,Neuron,64.45,46,53.1
CELL_53321,Stem Cell,50.3,13,57.93
CELL_66904,Neuron,41.89,18,92.88
CELL_46038,Leukocyte,95.15,24,95.58
CELL_52460,Erythrocyte,84.14,37,84.72
CELL_61967,Leukocyte,19.44,49,68.63
CELL_29679,Myocyte,117.7,48,62.91
CELL_22888,Leukocyte,75.27,19,58.95
CELL_58469,Stem Cell,93.72,32,95.68
CELL_96387,Myocyte,75.64,43,99.48
CELL_59259,Neuron,93.21,23,96.55
CELL_86721,Neuron,12.28,50,88.5
CELL_14215,Stem Cell,99.68,25,73.14
CELL_68613,Myocyte,21.46,37,84.19
CELL_86387,Erythrocyte,26.98,42,69.63
CELL_69091,Neuron,95.84,17,88.15
CELL_21797,Neuron,101.19,20,52.31
CELL_49398,Leukocyte,81.51,37,78.95
CELL_82983,Erythrocyte,96.31,7,63.11
CELL_40390,Epithelial,92.58,49,95.54
CELL_77737,Leukocyte,24.99,35,70.47
CELL_87851,Epithelial,64.95,24,96.86
CELL_41443,Neuron,56.02,41,81.46
CELL_12272,Erythrocyte,33.42,33,79.33
CELL_25744,Leukocyte,62.53,50,68.92
CELL_17512,Stem Cell,25.98,12,77.75
CELL_91963,Neuron,54.97,47,52.54
CELL_26885,Leukocyte,81.77,22,90.96
CELL_43207,Neuron,71.75,34,55.92
CELL_56565,Leukocyte,53.03,19,52.8
CELL_24730,Leukocyte,33.19,39,73.51
CELL_18301,Fibroblast,32.0,19,96.57
CELL_90509,Epithelial,79.02,33,79.15
CELL_43464,Epithelial,76.46,13,70.12
CELL_73168,Fibroblast,65.92,19,55.32
CELL_68911,Fibroblast,47.6,24,93.58
CELL_90537,Stem Cell,89.8,20,80.43
CELL_50253,Erythrocyte,85.08,29,87.21
CELL_78162,Erythrocyte,31.94,21,78.57
CELL_55519,Myocyte,16.88,39,53.84
CELL_81830,Myocyte,5.34,25,74.14
CELL_91377,Neuron,99.28,47,84.49
CELL_29248,Fibroblast,55.39,42,92.31
CELL_47026,Stem Cell,19.23,20,80.13
CELL_57162,Epithelial,91.91,46,78.45
CELL_88983,Fibroblast,117.18,15,97.42
CELL_14046,Neuron,10.81,10,81.6
CELL_47791,Myocyte,31.59,41,78.99
CELL_89931,Leukocyte,115.02,37,92.04
CELL_77267,Myocyte,41.09,17,55.04
CELL_45656,Neuron,88.04,33,58.47
CELL_32529,Stem Cell,9.09,20,97.7
CELL_15181,Myocyte,16.08,5,52.26
CELL_27831,Stem Cell,33.53,33,83.13
CELL_34286,Erythrocyte,86.18,29,53.55
CELL_31385,Neuron,42.36,26,72.96
CELL_44570,Epithelial,48.51,31,58.41
CELL_92060,Erythrocyte,55.65,24,60.49
CELL_53148,Leukocyte,54.86,30,89.6
CELL_81290,Myocyte,68.38,17,52.83
CELL_45159,Stem Cell,106.24,26,50.97
CELL_72669,Stem Cell,119.64,8,58.74
CELL_33055,Stem Cell,44.38,24,73.19
CELL_49725,Myocyte,94.77,43,70.32
CELL_52294,Fibroblast,26.62,8,79.67
CELL_18512,Epithelial,21.8,6,60.36
CELL_99958,Neuron,62.51,12,84.27
CELL_91942,Myocyte,61.95,30,61.09
CELL_39667,Myocyte,51.08,7,72.19
CELL_73802,Leukocyte,24.56,17,67.36
CELL_87171,Neuron,103.12,27,66.08
CELL_21140,Epithelial,36.82,49,76.19
CELL_92662,Stem Cell,29.36,34,65.88
CELL_22185,Neuron,109.82,32,65.49
CELL_76318,Erythrocyte,41.73,38,96.2
CELL_46661,Epithelial,118.02,33,68.16
CELL_38521,Epithelial,6.77,25,73.49
CELL_54916,Leukocyte,45.06,37,83.65
CELL_69079,Erythrocyte,9.36,33,84.59
CELL_81532,Leukocyte,53.03,7,80.7
CELL_41489,Erythrocyte,75.8,5,72.9
CELL_83418,Erythrocyte,15.3,34,65.66
CELL_29414,Neuron,69.06,11,86.56
CELL_51633,Myocyte,93.52,28,54.64
