cell_id,cell_type,diameter_um,organelle_count,viability_pct
CELL_58093,Fibroblast,50.23,33,63.73
CELL_64993,Myocyte,10.55,10,79.9
CELL_23882,Epithelial,87.6,13,62.88
CELL_84246,Erythrocyte,13.81,23,89.42
CELL_90367,Stem Cell,78.0,25,95.52
CELL_85171,Neuron,71.31,13,75.09
CELL_63496,Stem Cell,79.84,46,51.74
CELL_78833,Erythrocyte,49.72,37,54.01
CELL_82332,Leukocyte,110.92,42,81.58
CELL_29579,Epithelial,83.62,33,50.03
CELL_73099,Stem Cell,48.86,10,76.9
CELL_48892,Leukocyte,26.55,45,63.83
CELL_38624,Fibroblast,77.78,8,55.55
CELL_39342,Stem Cell,45.22,5,62.42
CELL_99536,Neuron,92.34,13,73.63
CELL_59851,Epithelial,22.07,15,71.32
CELL_33087,Epithelial,5.45,11,76.31
CELL_17938,Neuron,118.53,42,83.9
CELL_20018,Fibroblast,96.7,37,70.19
CELL_57179,Erythrocyte,69.88,29,60.3
CELL_21504,Erythrocyte,114.03,29,60.03
CELL_23538,Myocyte,33.65,22,52.26
CELL_41170,Leukocyte,51.85,19,66.08
CELL_89066,Neuron,98.72,24,79.74
CELL_51268,Erythrocyte,84.1,36,69.17
CELL_56443,Neuron,116.88,15,88.63
CELL_51101,Fibroblast,59.44,26,73.42
CELL_92780,Fibroblast,20.22,23,90.71
CELL_55770,Myocyte,15.66,13,80.47
CELL_14029,Stem Cell,97.09,43,59.97
CELL_34365,Fibroblast,38.47,13,89.33
CELL_34934,Stem Cell,84.11,9,50.17
CELL_70934,Fibroblast,79.89,19,95.84
CELL_50614,Epithelial,97.8,17,52.18
CELL_29170,Neuron,8.47,24,74.58
CELL_12946,Myocyte,107.52,36,70.0
CELL_69971,Erythrocyte,13.91,6,67.76
CELL_59876,Epithelial,112.48,41,86.88
CELL_27015,Erythrocyte,34.85,50,55.9
CELL_70801,Neuron,7.61,18,55.29
CELL_72108,Neuron,73.45,50,88.09
CELL_40756,Fibroblast,105.51,12,52.29
CELL_67345,Neuron,12.74,6,73.96
CELL_77675,Stem Cell,60.23,45,59.9
CELL_84553,Myocyte,60.2,38,55.91
CELL_11770,Fibroblast,51.22,12,88.08
CELL_54228,Neuron,77.19,21,95.69
CELL_76248,Erythrocyte,32.71,37,73.43
CELL_25967,Epithelial,79.43,7,94.76
CELL_42102,Leukocyte,7.23,41,69.5
CELL_45857,Neuron,43.7,12,57.69
CELL_45880,Stem Cell,53.8,44,59.65
CELL_52761,Stem Cell,13.92,8,96.18
CELL_65242,Leukocyte,100.31,29,66.53
CELL_91148,Neuron,31.49,16,50.8
CELL_83230,Stem Cell,75.41,43,55.76
CELL_47939,Stem Cell,54.22,25,89.19
CELL_85422,Stem Cell,45.89,27,72.75
CELL_62496,Epithelial,85.61,18,51.42
CELL_61613,Epithelial,83.15,10,74.95
CELL_63923,Epithelial,88.55,18,51.29
CELL_44623,Leukocyte,14.6,27,94.29
CELL_54892,Leukocyte,70.53,46,99.65
CELL_67514,Epithelial,33.48,45,61.58
CELL_74159,Leukocyte,58.83,6,68.56
CELL_28611,Neuron,63.14,34,83.28
CELL_75502,Myocyte,22.65,41,61.56
CELL_75639,Stem Cell,82.64,15,97.51
CELL_54846,Erythrocyte,36.66,24,71.61
CELL_59143,Fibroblast,99.28,44,85.37
CELL_23987,Fibroblast,74.12,47,59.2
CELL_40287,Myocyte,45.3,7,72.01
CELL_41838,Fibroblast,9.17,5,56.23
CELL_50083,Myocyte,8.3,47,93.12
CELL_61632,Fibroblast,98.54,21,90.01
CELL_33657,Neuron,112.35,30,72.25
CELL_18402,Fibroblast,33.76,9,73.13
CELL_71593,Erythrocyte,118.4,45,75.88
CELL_68722,Epithelial,58.98,19,67.83
CELL_95793,Erythrocyte,38.27,35,91.55
CELL_52740,Epithelial,49.06,9,68.84
CELL_10649,Myocyte,17.71,50,95.46
CELL_69789,Leukocyte,100.39,10,57.94
CELL_80728,Myocyte,66.78,49,51.31
CELL_60182,Neuron,101.67,46,98.74
CELL_38683,Myocyte,70.44,45,65.24
CELL_38451,Neuron,47.08,11,62.61
CELL_98113,Stem Cell,39.48,6,85.2
CELL_43153,Stem Cell,69.15,16,62.38
CELL_55146,Neuron,30.12,12,79.97
CELL_90680,Fibroblast,16.02,43,84.47
CELL_25393,Fibroblast,27.07,12,63.71
CELL_14170,Neuron,77.78,50,83.71
CELL_71660,Myocyte,23.71,22,57.44
CELL_63844,Neuron,99.61,38,88.8
CELL_46563,Epithelial,11.55,36,73.13
CELL_79738,Stem Cell,36.52,12,67.96
CELL_40164,Epithelial,5.81,40,74.72
CELL_54446,Fibroblast,92.4,39,77.79
CELL_69058,Fibroblast,12.23,43,78.92
CELL_40159,Neuron,27.76,10,94.1
CELL_36994,Erythrocyte,92.46,50,69.45
CELL_45375,Stem Cell,22.07,17,78.93
CELL_91142,Erythrocyte,30.08,33,56.8
CELL_27660,Neuron,77.91,50,62.72
CELL_54421,Stem Cell,86.67,42,90.23
CELL_27505,Stem Cell,108.48,43,79.06
CELL_36554,Neuron,37.68,7,67.29
CELL_11914,Epithelial,10.41,22,58.96
CELL_72702,Myocyte,109.15,30,91.9
CELL_62710,Neuron,77.53,33,74.66
CELL_12930,Fibroblast,19.4,23,94.53
CELL_61992,Fibroblast,92.78,20,69.23
CELL_29081,Neuron,25.31,45,88.09
CELL_16417,Myocyte,84.69,8,57.19
CELL_34615,Epithelial,14.43,24,53.92
CELL_91363,Stem Cell,76.88,6,98.99
CELL_97797,Neuron,104.08,24,67.63
CELL_89349,Fibroblast,105.32,20,98.53
CELL_66093,Erythrocyte,80.01,21,76.22
CELL_25375,Erythrocyte,87.87,7,51.62
CELL_52501,Fibroblast,15.03,5,72.31
CELL_63353,Fibroblast,97.11,44,61.28
CELL_99842,Leukocyte,14.39,27,53.73
CELL_76142,Myocyte,57.04,38,84.28
CELL_67353,Stem Cell,71.04,10,93.29
CELL_55190,Myocyte,29.88,16,85.39
CELL_77359,Neuron,107.56,12,93.62
CELL_89504,Leukocyte,15.49,15,59.16
CELL_76085,Myocyte,84.39,43,94.82
CELL_15384,Erythrocyte,96.58,29,63.19
CELL_10163,Leukocyte,17.03,12,67.87
CELL_10028,Epithelial,58.33,48,63.08
CELL_77897,Leukocyte,83.24,46,72.58
CELL_67197,Myocyte,109.6,37,98.72
CELL_96367,Stem Cell,17.47,17,86.98
CELL_65920,Fibroblast,60.47,24,86.81
CELL_96252,Epithelial,107.81,39,63.89
CELL_11070,Epithelial,26.02,37,90.63
CELL_27556,Epithelial,104.94,30,59.37
CELL_99548,Epithelial,61.64,11,60.84
CELL_20406,Epithelial,29.41,11,75.29
CELL_61165,Fibroblast,39.38,24,73.01
CELL_71379,Stem Cell,61.47,15,78.26
CELL_45647,Myocyte,103.0,15,62.28
CELL_67984,Myocyte,92.58,29,98.29
CELL_59337,Fibroblast,85.82,38,74.31
CELL_94254,Neuron,26.14,46,63.88
CELL_25740,Neuron,51.91,13,72.93
CELL_25164,Leukocyte,89.32,20,96.72
CELL_28728,Epithelial,24.89,16,87.83
CELL_68945,Stem Cell,18.94,41,54.23
CELL_53387,Neuron,35.02,10,86.87
CELL_18070,Neuron,84.61,45,51.54
CELL_13418,Erythrocyte,58.87,19,96.05
CELL_75297,Epithelial,25.85,28,62.46
CELL_42190,Myocyte,53.6,43,86.18
CELL_66857,Leukocyte,8.79,16,89.26
CELL_90506,Myocyte,94.95,15,98.53
CELL_15282,Myocyte,47.82,18,75.5
CELL_98386,Stem Cell,48.48,33,67.26
CELL_19468,Myocyte,71.35,14,80.01
CELL_40475,Stem Cell,66.99,47,50.65
CELL_58610,Fibroblast,64.25,40,56.47
CELL_38198,Stem Cell,105.23,35,99.5
CELL_12637,Leukocyte,16.01,50,90.3
CELL_60237,Neuron,24.49,45,57.6
CELL_15996,Erythrocyte,49.04,11,86.84
CELL_18635,Leukocyte,33.12,12,66.91
CELL_59152,Neuron,117.83,11,53.17
CELL_49630,Stem Cell,51.74,17,91.18
CELL_60652,Fibroblast,28.77,39,85.15
CELL_80991,Leukocyte,44.23,46,78.43
CELL_94714,Neuron,113.09,21,97.01
CELL_54294,Myocyte,48.59,40,69.49
CELL_47875,Stem Cell,45.56,18,88.89
CELL_30429,Stem Cell,77.4,36,71.04
CELL_79159,Erythrocyte,99.24,38,62.08
CELL_71224,Fibroblast,12.13,10,79.09
CELL_11422,Fibroblast,31.48,11,55.99
CELL_88641,Leukocyte,101.35,39,89.08
CELL_13395,Epithelial,48.12,27,95.76
CELL_80887,Fibroblast,112.18,34,99.5
CELL_88551,Epithelial,15.96,49,72.5
CELL_99046,Myocyte,51.12,41,62.48
CELL_43653,Stem Cell,80.6,47,53.66
CELL_33290,Erythrocyte,112.47,16,63.82
CELL_65777,Neuron,79.79,8,89.56
CELL_67163,Myocyte,108.76,41,97.69
CELL_25492,Leukocyte,92.03,5,52.96
CELL_37889,Erythrocyte,81.76,21,61.88
CELL_29832,Stem Cell,59.98,9,82.53
CELL_15362,Erythrocyte,103.81,38,71.46
CELL_27290,Stem Cell,113.08,24,74.03
CELL_72219,Fibroblast,10.06,13,58.12
CELL_11629,Leukocyte,85.94,23,79.8
CELL_56716,Stem Cell,116.8,40,54.66
CELL_87930,Neuron,46.52,42,52.54
CELL_57602,Fibroblast,5.38,42,54.73
CELL_46388,Epithelial,84.87,27,86.04
CELL_57408,Epithelial,51.71,16,74.64
CELL_27159,Fibroblast,95.08,31,84.5
CELL_36869,Myocyte,8.01,24,74.74
CELL_44345,Neuron,16.18,44,55.56
CELL_31234,Stem Cell,85.57,46,70.45
CELL_85976,Fibroblast,15.01,12,61.59
CELL_40253,Epithelial,42.31,18,89.45
